'an'he 安阖
'an'he'ri 安阖日
'ao'lan 傲滥
'ao'shuang 傲霜
'bai'bei 白备
'bai'gui'gong 白圭宫
'bai'jia 百稼
'bai'mian'zhi'dun 白绵之盾
'bai'yang 白阳
'bai'yin'zhi'xu 白银之墟
'bai'zhi 白雉
'ban'qu 班渠
'ban'si 半嗣
'bao'cui'yuan 保翠院
'bi'shuang'zhu 碧双珠
'bi'xia'xuan'jun 碧霞玄君
'biao'zhong 标仲
'bin'man 宾满
'cai'guo 才国
'cai'jing 蔡晶
'cai'lin 采麟
'cai'wang 采王
'cai'zhou'guo 才州国
'cang'yuan 苍猿
'chang'shi 常世
'chang'xian'gong 长闲宫
'chang'you 长右
'chao'shi 朝士
'cheng'shang'peng'yi 乘上鹏翼
'chi'hu 赤虎
'chi'suo'tiao 赤索条
'chong'gao'shan 崇高山
'chong'ling 崇岭
'chu'wei 杵隗
'chun'guan 春官
'chun'guan'zhang 春官长
'cui'huang'gong 翠篁宫
'cui'wei'jun 翠微君
'cuo'wang 错王
'da'bu 大卜
'da'jie 达姐
'da'mu'ling 大木铃
'da'pu 大仆
'da'she 大射
'da'shi 大师
'da'si'kong 大司空
'da'si'kou 大司寇
'da'si'ma 大司马
'da'si'tu 大司徒
'da'xing'ren 大行人
'da'zong'bo 大宗伯
'dai'guo 戴国
'dai'ji'guo 戴极国
'dai'wang 代王
'di'gang 地纲
'di'guan 地官
'di'guan'ci'guan 地官次官
'di'guan'zhang 地官长
'di'mian 觌面
'di'mian'zhi'zui 觌面之罪
'di'shang 砥尚
'di'xian 地仙
'dian'xing 典刑
'dong'fang'li'yun 东方丽韵
'dong'guan 冬官
'dong'guan'zhang 冬官长
'dong'qi 冬器
'dong'zhi'hai'shen 东之海神
'du'zhen 杜真
'e'cheng 峨城
'er'sheng 二声
'er'sheng'shi 二声氏
'fan'guo 范国
'fan'lin 氾麟
'fan'lin 泛麟
'fan'wang 仮王
'fan'wang 泛王
'fan'xi'guo 范西国
'fang'guo 芳国
'fang'ji'guo 芳极国
'fei'shu 飞鼠
'fei'xian 飞仙
'fen'hua'gong 芬华宫
'feng'han 风汉
'feng'huang 凤凰
'feng'jun 风骏
'feng'lin 峰麟
'feng'wang 峯王
'feng'wang 峰王
'feng'zhi'hai 风之海
'feng'zhi'wan'li 风之万里
'fu'min 浮民
'gang'shi 刚氏
'gao'xiu 高岫
'gao'xiu'shan 高岫山
'ge'jing 割旌
'ge'ren 阁人
'gei'tian 给田
'gen'jian 根健
'geng'ye 更夜
'gong'guo 恭国
'gong'qi 供麒
'gong'qing 宫卿
'gong'wang 供王
'gong'zhou'guo 恭州国
'gou'yu 勾玉
'gu'diao 蛊雕
'gu'tui'shan 蛊蜕衫
'gu'xin'xiang 故心郷
'gu'yue'cang'ye 孤月苍夜
'guan'gong 关弓
'gui'gui 桂桂
'guo'shi 国氏
'hai'ke 海客
'hao'li 蒿里
'he'ju 褐狙
'he'yu 合窳
'hei'bei 黑备
'heng'shan 恒山
'hong'ci 鸿慈
'hong'ji 鸿基
'hong'rong'jing 鸿溶镜
'hu'ben'shi 虎贲式
'hu'xiao 虎啸
'hua'shan 华山
'hua'xu'hua'duo 华胥华朵
'hua'xu'hua'duo 华胥花朵
'hua'xu'zhi'you'meng 华胥之幽梦
'hua'ying 花影
'huai'da 怀达
'huan'tui 桓魋
'huang'bei 黄备
'huang'gu 黄姑
'huang'hun'zhi'an 黄昏之岸
'huang'zhu 黄朱
'huang'zhu'zhi'min 黄朱之民
'hun'ren 阍人
'huo'shan 霍山
'ji'liang 吉量
'ji'ren 鸡人
'ji'shi 技师
'jia'chao 假朝
'jia'ji 架戟
'jia'sheng 家生
'jia'wang 假王
'jian'zhong'da 健仲鞑
'jiang'shi 匠师
'jiang'zuo 将作
'jiao'wang 骄王
'jie'hu 芥瑚
'jie'shen 界身
'jie'wu 截忤
'jie'zhou 节州
'jin'bo'gong 金波宫
'jin'gang'shan 金刚山
'jin'jun 禁军
'jing'bai 荆柏
'jing'gong 靖共
'jing'qi 景麒
'jing'tai'fu 景台辅
'jing'wang 景王
'jing'zhou 靖州
'ju'mo 沮墨
'kai'zhi 凯之
'le'jun 乐俊
'lei'hua 涙华
'li'guang 利广
'li'jiao 俐角
'li'jiao 悧角
'li'mei 骊媚
'li'ming'zhi'kong 黎明之空
'li'mu 里木
'li'xue 梨雪
'li'zai 里宰
'li'zhai 李斋
'lian'guo 涟国
'lian'ji'guo 涟极国
'lian'lin 廉麟
'lian'qiang 连樯
'lian'shan'yuan'jing 莲山远景
'lian'wang 廉王
'lie'mu'shi 猎木师
'lie'shi'shi 猎尸师
'lie'wang 烈王
'ling'diao 灵雕
'ling'yin 令尹
'ling'yun'shan 凌云山
'liu'bei'guo 柳北国
'liu'guan 六官
'liu'guo 柳国
'liu'qi 刘麒
'liu'tai 六太
'liu'wang 刘王
'long'qia 隆洽
'lu'mu 路木
'lu'shu 鹿蜀
'lu'xian'xin 栌先新
'luan'guo 卵果
'luo'ren 罗人
'luo'shi 罗氏
'luo'zhao'zhi'yu 落照之狱
'lv'xu 闾胥
'ma'fu 马腹
'man'weng'shi 满瓮石
'meng'ji 孟极
'mi'gong'zhi'an 迷宫之岸
'ming'shi 鸣蚀
'ming'xian 鸣贤
'mu'bo 牧伯
'mu'ren 木人
'nei'shi 内史
'nei'xiao'chen 内小臣
'nei'zai 内宰
'nv'guai 女怪
'nv'shi 女史
'nv'yu 女御
'peng'chu 鹏雏
'peng'shan 蓬山
'peng'shan'gong 蓬山公
'pi'xu 丕绪
'pi'xu'zhi'niao 丕绪之鸟
'piao'feng'zhi'wang 飘风之王
'piao'qi 骠骑
'pu'su 蒲苏
'qi'lin 麒麟
'qiao'guo 巧国
'qiao'zhou'guo 巧州国
'qin'yuan 钦原
'qing'bei 青备
'qing'dian'gong 青淀宫
'qing'dong'guo 庆东国
'qing'guo 庆国
'qing'han'gong 清汉宫
'qing'xin 清辛
'qiong'qi 穷奇
'qiu'guan 秋官
'qiu'guan'ci'guan 秋官次官
'que'he 塙和
'que'hu 雀胡
'que'lin 塙麟
'ren'shou 仁兽
'rong'ke 蓉可
'rong'you 冗佑
'rong'zhu 荣祝
'rui'yun 瑞云
'rui'zhou 瑞州
'san'ci 三刺
'san'gong 三公
'san'gu 三孤
'san'she 三赦
'san'you 三宥
'san'zhui 三骓
'shan'ke 山客
'shan'zi 汕子
'shang'long 尚隆
'shao'shu 少塾
'she'li 射礼
'she'niao'shi 射鸟氏
'she'ren 射人
'she'shen'mu 舍身木
'she'shi 射士
'she'yi 射仪
'shen'gu 什钴
'shen'ji 神籍
'shen'si 慎思
'sheng'guo 生国
'sheng'hong 升纮
'sheng'shan 升山
'shi'dao'zhi'zheng 失道之症
'shi'ling 使令
'shou'zhou 首州
'shu'jue 舒觉
'shu'rong 舒荣
'shuang'feng'gong 霜枫宫
'shui'yu'dao 水禺刀
'shun'feng'che 顺风车
'shun'guo 舜国
'shun'ji'guo 舜极国
'si'ci 司刺
'si'fa 司法
'si'fang'ge 偲芳歌
'si'hui 司会
'si'li 司隶
'si'qiu 司裘
'si'shi 司士
'si'xing 司刑
'si'you 司右
'song'lin 宋麟
'song'shan'cheng'san 松山诚三
'suan'yu 酸与
'sui'ren 遂人
'sun'zhao 孙昭
'tai'bao 太保
'tai'fu 台辅
'tai'fu 太傅
'tai'guo 胎果
'tai'ke 胎壳
'tai'qi 泰麒
'tai'shi 太师
'tai'shou 太守
'tai'wang 泰王
'tai'wei 太卫
'tai'zai 太宰
'tao'que 陶雀
'tao'tie 饕餮
'tian'bo 天伯
'tian'dao 天道
'tian'gang 天纲
'tian'gang'tian'dao 天纲天道
'tian'guan 天官
'tian'guan'zhang 天官长
'tian'lie 田猎
'tian'ma 天马
'tian'quan 天犬
'tu'nan'zhi'yi 图南之翼
'wan'qiu 顽丘
'wang'qi 王气
'wei'chao 伪朝
'wei'wang 伪王
'wo'fei 沃飞
'wo'you 斡由
'wu'gang'huan'she 吴刚环蛇
'wu'gang'men 吴刚门
'wu'lan'di 吴蓝涤
'wu'shan 五山
'wu'tong'gong 梧桐宫
'wu'wang 梧王
'xi'hui 夕晖
'xi'qu 犀渠
'xi'zhi'cang'hai 西之沧海
'xi'zhou 喜州
'xia'guan 夏官
'xia'guan'zhang 夏官长
'xian'bo 仙伯
'xian'zheng 县正
'xiang'chang 郷长
'xiang'qiong 祥琼
'xiang'xu 庠序
'xiao'si'kou 小司寇
'xiao'si'tu 小司徒
'xiao'song'shang'long 小松尚隆
'xiao'zai 小宰
'xiao'zhi'tian 晓之天
'xu'hai 虚海
'xu'pei 许配
'xuan'shi 玄师
'xuan'wu 玄武
'xuan'ying'gong 玄瑛宫
'xuan'zhi'yue 玄之月
'xun'qi 徇麒
'xun'wang 徇王
'ya'feng 呀峰
'ya'shi'zhuo 鸭世卓
'yan'chao 燕朝
'yan'guo 雁国
'yan'qi 延麒
'yan'she 燕射
'yan'wang 延王
'yan'zhou'guo 雁州国
'yao'mo'zhi'zi 妖魔之子
'yao'tian 尧天
'ye'mu 野木
'ye'xiang'yue'na 夜想月雫
'yi'ning 揖宁
'yi'sa 伊洒
'yi'shu 义塾
'yin'sa 尹洒
'ying'geng 瑛庚
'ying'sun'gong 鹰隼宫
'ying'zhi'hai 影之海
'ying'zhou 瑛州
'yu'lan 玉兰
'yu'liao'gong 雨潦宫
'yu'quan 玉泉
'yu'shi 御史
'yu'wang 予王
'yu'wang'shu'jue 予王舒觉
'yu'xi 御玺
'yu'ye'fu'ren 玉叶夫人
'yuan'fu 远甫
'yuan'kui 元魁
'yue'mi'feng'ying 月迷风影
'yue'xi 月溪
'yue'zhi'ying 月之影
'zai'fu 宰辅
'zha'xiao'zong 乍骁宗
'zhang'lu 掌戮
'zhang'qiu 掌囚
'zhang'she 掌舍
'zhang'shen 杖身
'zhao'zhang 昭彰
'zhe'fu 折伏
'zhe'wei'zhi'dun 辙围之盾
'zhen'shi'zhi'qiao 真实之鞘
'zhen'wei 祯卫
'zheng'lai 正赖
'zhi'cao 芝草
'zhi'chao 治朝
'zhi'ji 雉鸡
'zhi'ren 楖人
'zhong'da 仲鞑
'zhong'dao'yang'zi 中岛阳子
'zhong'shuo 重朔
'zhong'zai 冢宰
'zhou'hou 州侯
'zhou'si'ma 州司马
'zhou'zai 州宰
'zhu'jing 朱旌
'zhu'jing 珠晶
'zhu'lu'feng 助露峰
'zhu'que 朱雀
'zhu'shi 朱氏
'zhu'xia 朱夏
'zhu'yan 朱厌
'zong'lin 宗麟
'zong'wang 宗王
'zou'guo 奏国
'zou'nan'guo 奏南国
'zou'yu 驺虞
