'bao'gong 报工
'bei'xuan'tong'yu'ke'mu 备选统驭科目
'biao'zhun'jia 标准价
'biao'zhun'jia'ge'biao'ji 标准价格标记
'biao'zhun'jia'ge'fa'bu 标准价格发布
'biao'zhun'jia'ge'ji'suan'bian'shi 标准价格计算变式
'biao'zhun'qing'zhang 标准清账
'bu'fen'qing'zhang 部分清账
'chang'qi'dai'tan'fei'yong 长期待摊费用
'cheng'ben'dui'xiang 成本对象
'cheng'ben'shou'ji'qi 成本收集器
'cheng'ben'shou'ji'qi'jie'suan 成本收集器结算
'cheng'ben'zhong'xin 成本中心
'dan'bian'ping'zheng 单边凭证
'dan'ji'jia'ge'cha'yi 单级价格差异
'dao'qi'ri 到期日
'dui'zhang 对账
'duo'ji'jia'ge'cha'yi 多级价格差异
'fa'piao'jiao'yan 发票校验
'fei'yong'fen'ge 费用分割
'fei'yong'fen'pei 费用分配
'fei'yong'fen'tan 费用分摊
'fei'yong'gui'ji 费用归集
'fen'ge'ping'gu 分割评估
'fen'lei'zhang 分类账
'gong'xu 工序
'gong'yi'lu'xian 工艺路线
'gong'zuo'zhong'xin 工作中心
'gu'ding'zi'chan 固定资产
'guo'jia'ke'mu'biao 国家科目表
'guo'zhang'ping'zheng 过账凭证
'guo'zhang'qi'jian 过账期间
'guo'zhang'ri'qi 过账日期
'ji'hua'can'shu'wen'jian 计划参数文件
'ji'suan'shi'ji'zuo'ye'jia'ge 计算实际作业价格
'ji'tuan'ke'mu'biao 集团科目表
'ji'zhang'ma 记账码
'jia'ge'cha'yi 价格差异
'jia'ge'cha'yi'huan'yuan 价格差异还原
'jie'suan 结算
'jie'suan'can'shu'wen'jian 结算参数文件
'jie'suan'gui'ze 结算规则
'ke'mu'yu'e'biao 科目余额表
'li'run'zhong'xin 利润中心
'li'run'zhong'xin'jia 利润中心价
'li'run'zhong'xin'ping'gu 利润中心评估
'li'run'zhong'xin'zhuan'yi'ding'jia 利润中心转移定价
'nei'bu'ding'dan 内部订单
'pi'ci'fen'ge 批次分割
'ping'xing'fen'lei'zhang 平行分类账
'qing'zhang 清账
'sheng'chan'ding'dan 生产订单
'sheng'chan'ding'dan'jie'suan 生产订单结算
'sheng'yu'qing'zhang 剩余清账
'shi'ji'cheng'ben'huan'yuan 实际成本还原
'te'bie'zong'zhang'biao'zhi 特别总账标识
'tong'yu'ke'mu 统驭科目
'tou'zi'can'shu'wen'jian 投资参数文件
'wang'luo'can'shu'wen'jian 网络参数文件
'wang'luo'zuo'ye 网络作业
'wu'liao'fen'lei'zhang 物料分类账
'wu'xing'zi'chan 无形资产
'xiang'mu'jie'suan 项目结算
'xiao'shou'ding'dan'jie'suan 销售订单结算
'yi'dong'ping'jun'jia 移动平均价
'ying'shou'fa'piao 应收发票
'yu'suan'can'shu'wen'jian 预算参数文件
'yu'zhi'ping'zheng 预制凭证
'yuan'yin'dai'ma 原因代码
'yun'ying'ke'mu'biao 运营科目表
'zai'jian'gong'cheng 在建工程
'zhuang'tai'can'shu'wen'jian 状态参数文件
'zi'duan'zhuang'tai'zu 字段状态组
'zong'zhang 总账
'zuo'ye'ji'hua'jia'ge 作业计划价格
'zuo'ye'jia'ge'chong'gu 作业价格重估
'zuo'ye'lei'xing 作业类型
'zuo'ye'lei'xing'ji'hua'jia'ge 作业类型计划价格
