'bai'bu'yu 百步余
'bai'gong'jing 拜恭敬
'bai'shi'huai 百事坏
'bao'en'chang 报恩长
'bao'yuan'duan 报怨短
'bi'cong'ming 蔽聪明
'bi'shuo'chang 彼说长
'bi'wu'qi 彼勿起
'bi'yan'zheng 笔砚正
'bian'niao'hui 便溺回
'bu'cong'rong 步从容
'bu'fen'ming 不分明
'bu'guan'ji 不关己
'bu'gui'hua 不贵华
'bu'li'chuang 不离床
'bu'li'xing 不力行
'bu'qin'ren 不亲仁
'bu'ru'ren 不如人
'bu'ru'shao 不如少
'bu'xue'wen 不学文
'cai'da'zhe 才大者
'cai'wu'qing 财物轻
'chang'bei'ye 常悲咽
'chang'fu'hua 长浮华
'chang'hu'ren 长呼人
'chang'wu'yan 长无言
'chao'qi'zao 朝起早
'chen'bi'guan 晨必盥
'chen'ze'sheng 晨则省
'cheng'he'ren 成何人
'cheng'xia'che 乘下车
'cheng'zun'zhang 称尊长
'chu'bi'gao 出必告
'chu'ze'di 出则弟
'ci'er'kuan 慈而宽
'ci'jin'xin 次谨信
'ci'shuo'duan 此说短
'ci'wei'zhong 此未终
'dai'bi'pu 待婢仆
'dan'li'xing 但力行
'dan'xue'wen 但学文
'dang'zi'li 当自砺
'dao'liang'kui 道两亏
'dao'ren'shan 道人善
'de'jie'jian 德皆建
'de'ri'jin 德日进
'de'you'shang 德有伤
'di'bu'wen 低不闻
'di'dao'gong 弟道恭
'di'tong'zai 地同载
'di'zi'gui 弟子规
'dong'ze'wen 冬则温
'dou'nao'chang 斗闹场
'du'kan'bi 读看毕
'du'shu'fa 读书法
'dui'yi'ming 对以名
'dui'yin'shi 对饮食
'dui'zun'zhang 对尊长
'en'yu'bao 恩欲报
'er'qin'ren 而亲仁
'fan'ai'zhong 泛爱众
'fan'bi'mian 反必面
'fan'chu'yan 凡出言
'fan'dao'zi 凡道字
'fan'qu'yu 凡取与
'fan'shi'ren 凡是人
'fang'du'ci 方读此
'fang'shi'qing 房室清
'fang'wu'yan 方无言
'fei'mao'gao 非貌高
'fei'sheng'shu 非圣书
'fei'yan'da 非言大
'fen'zi'min 忿自泯
'fu'mu'hu 父母呼
'fu'mu'jiao 父母教
'fu'mu'ming 父母命
'fu'mu'ze 父母责
'gong'fu'dao 工夫到
'gou'qing'nuo 苟轻诺
'gou'shan'wei 苟擅为
'gou'si'cang 苟私藏
'guan'bi'zheng 冠必正
'gui'fen'xiao 贵分晓
'gui'yu'wu 归于无
'guo'bu'gui 过不规
'guo'neng'gai 过能改
'guo'ren'zhe 果仁者
'guo'ri'shao 过日少
'guo'you'dai 过犹待
'hai'yuan'chu 还原处
'hang'gao'zhe 行高者
'hao'qi'sui 号泣随
'hou'you'ji 后有急
'hua'shuo'duo 话说多
'huai'xin'zhi 坏心志
'huan'jie'lian 缓揭帘
'hui'wu'ci 秽污词
'hun'ze'ding 昏则定
'huo'qie'zuo 祸且作
'huo'yin'shi 或饮食
'huo'zuo'zou 或坐走
'ji'an'jie 几案洁
'ji'bu'yu 己不欲
'ji'dai'jiao 即代叫
