'ba'gua'jia'zi'shen'ji'gui'cang 八卦甲子神机鬼藏
'bu'sheng'zhe'yi'du'bu'hua'zhe'wang'fu 不生者疑独不化者往复
'da'ti'dao'zhe'tian'xia'zhi'jun'zi'suo'xi'yan 大体道者天下之君子所系焉
'dao'bu'ke'wen'wen'bu'ruo'sai'ci'zhi'wei'da'de 道不可闻闻不若塞此之谓大得
'dao'heng'zhi'er'cheng'wu'wei'zhi'er'ran 道行之而成物谓之而然
'dao'yin'yang'zhi'he'yi'cheng'ruo'sheng'zai'ruo'xing 盗阴阳之和以成若生载若形
'de'er'bu'xi'shi'er'bu'you'zhi'fen'zhi'wu'chang'ye 得而不喜失而不忧知分之无常也
'di'wang'shu'chan'san'dai'shu'ji 帝王殊禅三代殊继
'fan'fan'hu'qi'ruo'si'fang'wu'qiong'qi'wu'suo'zhen'yu 泛泛乎其若四方无穷其无所畛域
'hua'sheng'zhi'xiang'dai'ruo'qi'bu'xiang'dai 化声之相待若其不相待
'jiu'qiao'zhi'xie'zai'hu'san'yao'ke'yi'dong'jing 九窍之邪在乎三要可以动静
'kun'bai'jia'zhi'zhi'qiong'zhong'kou'zhi'bian 困百家之知穷众口之辩
'lu'dao'qin'shou'shui'dao'yu'bie'wang'fei'dao'ye 陆盗禽兽水盗鱼鳖亡非盗也
'qu'shi'bu'ke'yi'yu'yu'dao'zhe'shu'yu'jiao'ye 曲士不可以语于道者束于教也
'ren'ke'wei'ye'yi'ke'kui'ye'li'xiang'wei'ye 仁可为也义可亏也礼相伪也
'ri'yue'you'shu'da'xiao'you'ding 日月有数大小有定
'sheng'ren'zao'zhi'er'bu'wei'guo'zhi'er'bu'shou 圣人遭之而不违过之而不守
'shi'qi'shi'bai'hai'li'dong'qi'ji'wan'hua'an 食其时百骸理动其机万化安
'tian'di'yu'wo'bing'sheng'er'wan'wu'yu'wo'wei'yi 天地与我并生而万物与我为一
'tian'ren'he'fa'wan'hua'ding'ji 天人合发万化定基
'tian'sheng'wan'wu'wei'ren'wei'gui 天生万物唯人为贵
'tian'xia'mo'da'yu'qiu'hao'zhi'mo'er'da'shan'wei'xiao 天下莫大于秋毫之末而大山为小
'wei'da'sheng'zhe'wei'sheng'ren'neng'zhi 为大胜者唯圣人能之
'wu'dong'wu'xi'shi'yu'xuan'ming'fan'yu'da'tong 无东无西始于玄冥反于大通
'wu'you'suo'jiang'wu'you'suo'ying 无有所将无有所迎
'xi'nu'ai'le'lv'tan'bian're'yao'yi'qi'tai 喜怒哀乐虑叹变热姚佚启态
'xin'sheng'yu'wu'si'yu'wu'ji'zai'mu 心生于物死于物机在目
'xing'er'bu'zhi'gui'shi'jia'zhe'ye 行而不知归失家者也
'yi'dao'guan'zhi'wu'wu'gui'jian 以道观之物无贵贱
'yi'shou'qi'cheng'xing'bu'wang'yi'dai'jin 一受其成形不忘以待尽
'yin'yang'si'shi'yun'xing'ge'de'qi'xu 阴阳四时运行各得其序
'yu'zhou'zai'hu'shou'wan'hua'sheng'hu'shen 宇宙在乎手万化生乎身
'zhi'xing'xing'zhi'bu'xing'hu'dao'bu'dang'ming 知形形之不形乎道不当名
'zhi'yan'qu'yan'zhi'wei'qu'wei 至言去言至为去为
'zi'bi'ze'bu'jian'zi'shi'ze'zhi'zhi 自彼则不见自是则知之
'zi'ran'zhi'dao'jing'gu'tian'di'wan'wu'sheng 自然之道静故天地万物生
