'ai'qi 嗳气
'ai'zi'bing 艾滋病
'bai'ban 白斑
'bai'dai 白带
'bai'nei'zhang 白内障
'bai'nei'zhang'zhai'chu'shu 白内障摘除术
'bai'xi'bao'jian'shao 白细胞减少
'bai'xi'bao'zeng'duo 白细胞增多
'bai'xue'bing 白血病
'bai'xue'bing'yang'fan'ying 白血病样反应
'ban'qiu'zhen 斑丘疹
'bei'bu'ji'bing 背部疾病
'ben'bing'tong'niao 苯丙酮尿
'ben'men'chi'huan'bu'neng 贲门驰缓不能
'bi'dong'mai'xue'shuan'xing'cheng 臂动脉血栓形成
'bi'jing 闭经
'bi'jing'mai'xue'shuan'xing'cheng 臂静脉血栓形成
'bi'nv 鼻衄
'bi'qian'xue'shuan'xing'jing'mai'yan 鼻浅血栓性静脉炎
'bi'shen'xue'shuan'xing'jing'mai'yan 臂深血栓性静脉炎
'bi'xi'rou 鼻息肉
'bi'xue'shuan'xing'jing'mai'yan 臂血栓性静脉炎
'bi'yan 鼻炎
'bi'zhong'ge'chuan'kong 鼻中隔穿孔
'bi'zhong'ge'kui'yang 鼻中隔溃疡
'bian'mi 便秘
'bian'tai'fan'ying 变态反应
'bian'tai'fan'ying'jia'zhong 变态反应加重
'bian'tai'fan'ying'xing'pi'yan 变态反应性皮炎
'bian'ying'xing'fei'pao'yan 变应性肺泡炎
'bian'ying'xing'mai'guan'yan 变应性脉管炎
'biao'pi'huai'si 表皮坏死
'bie'qi 憋气
'bing'du'gan'ran 病毒感染
'bing'li'xing'gu'zhe 病理性骨折
'bing'zhi'zheng 并指症
'bo'li'ti'tuo'li 玻璃体脱离
'bo'qi'gong'neng'zhang'ai 勃起功能障碍
'bo'tuo'xing'pi'yan 剥脱性皮炎
'bu'lin'zheng 卟啉症
'bu'nai'ru'tang 不耐乳糖
'bu'shi 不适
'bu'tai'yi'chang 步态异常
'bu'ti'yin'zi'yi'chang 补体因子异常
'bu'yun'bu'yu 不孕不育
'cang'bai 苍白
'cang'mao'nang'zhong 藏毛囊肿
'chan'cheng'yan'chang 产程延长
'chan'hou'mi'ru'jian'shao 产后泌乳减少
'chan'hou'mi'ru'zeng'jia 产后泌乳增加
'chan'shang 产伤
'chang'chuan'kong 肠穿孔
'chang'dong'li'ji'bing 肠动力疾病
'chang'geng'zu 肠梗阻
'chang'huai'si 肠坏死
'chang'kui'yang 肠溃疡
'chang'kui'yang'chuan'kong 肠溃疡穿孔
'chang'ma'bi 肠麻痹
'chang'ming'yin'yi'chang 肠鸣音异常
'chang'xi'mo'jing'mai'xue'shuan'xing'jing'mai'yan 肠系膜静脉血栓性静脉炎
'chang'xi'mo'shuan'se 肠系膜栓塞
'chang'xi'mo'xue'guan'xue'shuan'xing'cheng 肠系膜血管血栓形成
'chang'xia'zhai 肠狭窄
'chang'yan 肠炎
'chang'yan'jia'zhong 肠炎加重
'chao'hong 潮红
'chao'sheng'xin'dong'tu'yi'chang 超声心动图异常
'chao'shi'hu'xi 潮式呼吸
'che'yao'xing'chou'chu 撤药性抽搐
'che'yao'xing'chu'xie 撤药性出血
'che'yao'xing'tou'tong 撤药性头痛
'che'yao'xing'xin'lv'shi'chang 撤药性心律失常
