'a'na'zha'wang 阿那吒王
'an'bo'luo'mo'lin'tuo'ning'suo'po'he 唵钵啰末邻陀宁娑婆诃
'an'e'e'nang'san'po'mo'wa'ri'luo'hu 唵誐誐曩三婆嚩韈日啰斛
'an'le'yi'yang 安乐易养
'an'mo'ri'luo'da'he'he'hu 唵嚩日啰怛诃贺斛
'an'pu'sa'qian 安菩萨前
'an'tu'di'zhen'yan 安土地真言
'ba'chu'gen'ben'ye'yuan 拔出根本业缘
'ba'ri 八日
'ba'she'di'yu 拔舌地狱
'ba'she'geng'li 拔舌耕犁
'ba'zhe 八者
'bai'fo'yan 白佛言
'bai'hu'gui'wang 白虎鬼王
'bai'ji'gui'shen 拜祭鬼神
'bai'qi'fo'yan 白其佛言
'bai'qian'bao'ying 百千报应
'bai'qian'bei'yu'chang'fen'di'shen 百千倍于常分地神
'bai'qian'fang'bian 百千方便
'bai'qian'jie'zhong 百千劫中
'bai'qian'sheng'zhong 百千生中
'bai'qian'sheng'zhong'shou'shang'miao'le 百千生中受上妙乐
'bai'qian'sui'zhong 百千岁中
'bai'qian'wan'jie 百千万劫
'bai'qian'wan'jie'shuo'bu'zhou 百千万劫说不周
'bai'qian'wan'sheng 百千万生
'bai'qian'wan'shu 百千万数
'bai'qian'wan'yi 百千万亿
'bai'qian'wan'yi'deng'shi 百千万亿等事
'bai'qian'wan'yi'deng'yuan 百千万亿等愿
'bai'qian'wan'yi'fang'bian 百千万亿方便
'bai'qian'yi'hua'du 百千亿化度
'bai'qian'zui'zhuang 百千罪状
'bai'sheng'nv'yue 白圣女曰
'bai'sheng'qian'sheng 百生千生
'bai'you'xun'nei 百由旬内
'bai'zhi'jie'nei 百肢节内
'bang'wu'gong'de'ji'li'yi'shi 谤无功德及利益事
'bao'bei'yi'fu 宝贝衣服
'bao'bei'yin'shi 宝贝饮食
'bao'bei'ying'luo 宝贝璎珞
'bao'jin'ying'dang'duo'e'dao 报尽应当堕恶道
'bao'lun'hao'guang 宝轮毫光
'bao'pi'di'yu 剥皮地狱
'bao'yu'bao'yun'wu'shu'zhong'wei'xiang'wei'rui'bian'zhuang'yan 宝雨宝云无数种为祥为瑞遍庄严
'bei'bu'jin'yu'fang 被捕禁狱房
'bei'lian'zhan'li'bu'zan'she 悲恋瞻礼不暂舍
'bei'qi'zhan'li 悲泣瞻礼
'bei'sheng'jing'yang 倍生敬仰
'bei'shou'zhong'ku 备受众苦
'bei'yu'chang'qing'zhong'sheng'zhi'fen 倍于常情众生之分
'bei'zhu'e'shou 被诸恶兽
'bei'zhu'juan'shu'zao'shi'e'yin 被诸眷属造是恶因
'ben'zun'di'zang'pu'sa'mo'he'sa 本尊地藏菩萨摩诃萨
'bi'bu'tui'zhuan 必不退转
'bi'cheng'pu'ti 必成菩提
'bi'duo'e'qu 必堕恶趣
'bi'fo'shou'ming 彼佛寿命
'bi'hai'zhi'dong 彼海之东
'bi'hao'xiang'guang 碧毫相光
'bi'huai'yi'huo 必怀疑惑
'bi'huo'da'li 必获大利
'bi'jing'bu'duo'e'dao 毕竟不堕恶道
'bi'jing'bu'tui'a'nou'duo'luo'san'miao'san'pu'ti'shi 毕竟不退阿耨多罗三藐三菩提事
'bi'jing'cheng'fo 毕竟成佛
'bi'jing'cheng'fo'chao'sheng'si 毕竟成佛超生死
'bi'neng'cheng'fo'wei'shen 必能承佛威神
'bi'qiu'ni 比丘尼
'bi'sheng'e'qu 必生恶趣
'bi'sheng'yi'zi 婢生一子
'bi'shi'san'sui 毕十三岁
'bi'xin'heng'bu'zhu 彼心恒不住
'bi'zhi'chu'suo 必知处所
'bi'zhu'tong'lai'deng'bei 彼诸同来等辈
'bi'zi'da'yan 婢子答言
'bian'bai'qian'wan'yi'shi'jie 遍百千万亿世界
'bian'dei'jie'tuo 便得解脱
'bian'guan'shi'fang 遍观十方
'bian'he'she'fu 便合设福
'bian'jie'li'ming'yang 遍界利冥阳
'bian'jing'tian 遍净天
'bian'ling'wei'hu 便令卫护
'bian'lun'ye'guo 辩论业果
'bian'man'bai'qian'wan'yi'heng'he'sha'shi'jie 遍满百千万亿恒河沙世界
'bian'man'wan'li 遍满万里
'bian'yu'jue'hua'ding'zi'zai'wang'ru'lai'ta'xiang'zhi'qian 便于觉华定自在王如来塔像之前
'bian'zhao'bai'qian'wan'yi'heng'he'sha'deng'zhu'fo'shi'jie 遍照百千万亿恒河沙等诸佛世界
'bian'zhi'wu'liang 便至无量
'bo're'bo'luo'mi'yin 般若波罗蜜音
'bu'bian'shan'e 不辨善恶
'bu'bian'shi'shi 不辨是事
'bu'ci'pi'juan 不辞疲倦
'bu'de'an'le 不得安乐
'bu'duo'di'yu 不堕地狱
'bu'duo'e'gui 不堕饿鬼
'bu'duo'pang'sheng 不堕旁生
'bu'gan'jiu'shi 不敢久视
'bu'hui'wo'yi 不会我意
'bu'jing'zun'jing 不敬尊经
'bu'jiu'ming'zhong 不久命终
'bu'jiu'zhi'jian 不久之间
'bu'jue'jiu'ceng'suo'luo'xian'dao 不觉旧曾所落险道
'bu'ke'ji'jie 不可计劫
'bu'ke'liang 不可量
'bu'ke'shuo'bu'ke'shuo'yi'qie'zhu'fo 不可说不可说一切诸佛
'bu'ke'shuo'wu'liang'a'seng'qi'shi'jie 不可说无量阿僧祇世界
'bu'ke'si 不可思
'bu'ke'si'yi 不可思议
'bu'ke'wei'yu 不可为喻
'bu'ke'yi 不可议
'bu'ling'e'shi 不令恶事
'bu'ling'e'shi'heng'shi 不令恶事横事
'bu'luo'e'dao 不落恶道
'bu'neng'de'zhi 不能得知
'bu'neng'du'song 不能读诵
'bu'neng'sun'zhi 不能损之
'bu'neng'zhi'zi'xin 不能知自心
'bu'qi'er'dao 不期而到
'bu'qi'yu'di 不弃于地
'bu'que'zhen'yan 补缺真言
'bu'ren'cheng'shuo 不忍称说
'bu'sheng'jing'yang 不生敬仰
'bu'shi'da'li 不失大利
'bu'shi'gong'yang 布施供养
'bu'shi'jie'yuan 布施结缘
'bu'shi'jue'hua'ding'zi'zai'wang'ru'lai'ta'si 布施觉华定自在王如来塔寺
'bu'shi'yi'yao'yin'shi'wo'ju 布施医药饮食卧具
'bu'shi'yin'yuan 布施因缘
'bu'shou'nv'shen 不受女身
'bu'si'yi'shi 不思议事
'bu'wen'duo'shao 不问多少
'bu'wen'nan'nv 不问男女
'bu'wen'nan'zi'nv'ren 不问男子女人
'bu'wen'shan'e 不问善恶
'bu'wen'you'zui'wu'zui 不问有罪无罪
'bu'xiao'fu'mu 不孝父母
'bu'xin'yin'guo 不信因果
'bu'xing'shan'zhe 不行善者
'bu'yi'hou'shi'e'ye'zhong'sheng'wei'lv 不以后世恶业众生为虑
'bu'yi'wei'lv 不以为虑
'bu'zhi'hun'shen'dang'zhi'he'qu 不知魂神当至何趣
'bu'zhi'luo'zai'he'qu 不知落在何趣
'cai'hua'zhong'wu'xin 彩画中无心
'cai'jue'ji'han 才觉饥寒
'can'qi'bu'le'zhe 惨凄不乐者
'cao'mu'shen 草木神
'chan'bo'luo'mi'yin 禅波罗蜜音
'chan'ti'bo'luo'mi'yin 羼提波罗蜜音
'chang'de'bai'qian'gui'shen 常得百千鬼神
'chang'de'duan'zheng 常得端正
'chang'de'qi'bao'ju'zu 常得七宝具足
'chang'qing'san'bao 常轻三宝
'chang'sheng'ren'tian 常生人天
'chang'sheng'zun'gui 常生尊贵
'chang'wei'da'fan'tian'wang 常为大梵天王
'chang'wei'di'wang 常为帝王
'chang'wei'jing'ju'tian'zhu 常为净居天主
'chang'wei'liu'yu'tian'zhu 常为六欲天主
'chang'wei'lun'wang 常为轮王
'chang'wei'wang'nv 常为王女
'chang'wei'xiao'guo'wang'shen 常为小国王身
'chang'wei'zhu'xiao'guo'wang 常为诸小国王
'chang'wei'zhuan'lun'wang'shen 常为转轮王身
'chang'yi'hua'xiang 常以华香
'chang'zai'ren'tian 常在人天
'chang'zai'tian'shang 常在天上
'chang'zai'you'ming'zhong 常在幽冥中
'chang'zai'zhu'tian 常在诸天
'chang'zhi'su'ming 常知宿命
'chao'sheng'yin'shi 超圣因事
'chao'yi'bai'da'jie'sheng'si'zhi'zui 超一百大劫生死之罪
'chen'ji'zui'ren 趁及罪人
'chen'sha'xian'di'zang 尘刹现地藏
'cheng'fo'ming'hao'pin'di'jiu 称佛名号品第九
'cheng'fo'wei'li 承佛威力
'cheng'fo'wei'shen 承佛威神
'cheng'ru'xiao'jing'li 承汝孝敬力
'cheng'shang'huo'ju 城上火聚
'cheng'si'gong'de 承斯功德
'cheng'si'gong'yang'di'zang'li'gu 承斯供养地藏力故
'cheng'si'lin'ming'zhong'shi 承斯临命终时
'cheng'si'nan'nv 承斯男女
'cheng'yang'di'zang'bu'si'yi'shi 称扬地藏不思议事
'cheng'yang'zan'tan'di'zang'pu'sa 称扬赞叹地藏菩萨
'cheng'yang'zan'tan'di'zang'pu'sa'yi 称扬赞叹地藏菩萨已
'chi'hu'gui'wang 赤虎鬼王
'chi'shao'tong'zhu 赤烧铜柱
'chi'zhu'xiao'gui 敕诸小鬼
'chou'chang'cuo'zhan 抽肠锉斩
'chou'you'he'zhang 愁忧合掌
'chu'da'yin'sheng 出大音声
'chu'fei'ci'yuan'li'gu 除非慈愿力故
'chu'fei'ye'jin 除非业尽
'chu'fo'shen'xue 出佛身血
'chu'mo'hai'zhong 出没海中
'chu'ru'shen'hu 出入神护
'chu'ru'shi'deng'bu'ke'shuo'bu'ke'shuo'yin'yi 出如是等不可说不可说音已
'chu'sheng'e'gui'deng 畜生饿鬼等
'chu'sheng'zhi'shi 初生之时
'chu'wei'miao'yin 出微妙音
'chu'wu'wu'jian'sha'hai'zhi'zui 除五无间杀害之罪
'chu'wu'wu'jian'zui 除五无间罪
'chu'yu'sheng'tian'tang 出狱生天堂
'chuan'ze'shen 川泽神
'chui'qi'liang'jiu 垂泣良久
'chun'fei'ji'li 纯飞蒺藜
'ci'ai'jiu'ba 慈哀救拔
'ci'ai'min'wo 慈哀愍我
'ci'bei'xuan'shuo 慈悲宣说
'ci'bei'yin 慈悲音
'ci'guo'tu'ta'guo'tu 此国土他国土
'ci'jie'cheng'hou 此界成后
'ci'jie'huai'shi 此界坏时
'ci'jie'shi'di'zang'pu'sa'jiu'yuan'jie'lai 此皆是地藏菩萨久远劫来
'ci'jie'shi'ye'dao'lun'dui 此皆是业道论对
'ci'jie'shi'yi'sheng'shi'sheng 此皆是一生十生
'ci'jing'you'san'ming 此经有三名
'ci'lu'ru'zhe 此路入者
'ci'min'ci'shi'zui'ku'zhong'sheng 慈愍此世罪苦众生
'ci'pu'sa'wei'shen'shi'yuan 此菩萨威神誓愿
'ci'ri'xi'de'shou'le 此日悉得受乐
'ci'shi'da'tie'wei'shan'xi'mian'di'yi'zhong'hai 此是大铁围山西面第一重海
'ci'shi'he'chu 此是何处
'ci'shi'jie'ta'shi'jie 此世界他世界
'ci'shi'yan'fu'ti'zao'e'zhong'sheng 此是阎浮提造恶众生
'ci'shui'he'yuan 此水何缘
'ci'si'zhong'wu 此四种物
'ci'xin'gui'wang 慈心鬼王
'ci'xin'shen'yu'hai 慈心深逾海
'ci'yin'ji'shan 慈因积善
'ci'you'qian'bai 次有千百
'ci'you'wu'bai 次有五百
'ci'zhe'jie'shi'nan'yan'fu'ti'xing'e'zhong'sheng 此者皆是南阎浮提行恶众生
'cong'chu'ru'shi 从初入时
'cong'di'er'you 从地而有
'cong'ming'li'gen 聪明利根
'cong'nian'jing'jie 从年竟劫
'cong'xian'hao'jian 从纤毫间
'cong'ye'dao'chu'zhe 从业道出者
'cong'zuo'er'qi 从座而起
'cu'shuo'ru'shi 粗说如是
'cun'wang'huo'bao 存亡获报
'cun'wang'huo'li 存亡获利
