'ai'la 艾拉
'ai'li'er 艾莉儿
'ai'lin 艾琳
'an'ling'si'shen'ma'meng 暗灵死神玛蒙
'an'na 安娜
'an'na'bu 安纳布
'ao'ci'ma 奥茨玛
'ao'luo'la 奥罗拉
'bai'er 拜尔
'bai'er'mei 拜尔梅
'bao'li'su'shan 暴力苏珊
'bei'li'ya 贝利亚
'bei'si'te 贝斯特
'bei'xi'mo'si 贝希摩斯
'bing'lian'bei'di 冰莲贝蒂
'cao'yi 曹佾
'cha'ke'si 查克斯
'chang'xia 常夏
'chi'chao'a'nuo 赤潮阿诺
'chi'yao'sha'shou 赤曜杀手
'dao'ge'la'si 道格拉斯
'de'gu'la 德古拉
'di'fen'ni 蒂芬妮
'di'lun 迪伦
'dong'ni'ya 冬妮娅
'du'la'suo'er 杜拉索尔
'fa'lan'ni 法兰尼
'fan'hai'xin 范海辛
'fan'sai'ti 凡赛提
'fen'li'e 芬里厄
'fu'lei'de 弗雷德
'fu'lei'ya 芙蕾雅
'gai'yin 该隐
'ge'lei'si 格蕾丝
'gong'ming 公明
'guai'dao'ai'de'hua 怪盗爱德华
'gui'pai'you'xi'ji'la 鬼牌游戏基拉
'ha'ke'si 哈克斯
'hai'de'wei'li 海德薇莉
'he'fei 赫菲
'he'lian 赫连
'hei'an'tian'shi 黑暗天使
'hong'ji 红姬
'hua'lai'shi 华莱士
'huan'jing'xiao'hong'mao 幻境小红帽
'huo'guang 霍光
'huo'hua'de 霍华德
'ji'er'he'la 吉尔赫拉
'jiang'wen 蒋文
'jiao'fu'yue'han 教父约翰
'jie'er'si 捷尔斯
'ka'luo'ya 卡洛娅
'ke'lao'di'ya 克劳迪娅
'ke'lao'si 克劳斯
'ke'li'fu 克里夫
'ke'lu'si 克鲁斯
'kui'lei'wa'wa'duo'duo 傀儡娃娃朵朵
'lai'en 莱恩
'lai'si'te 莱斯特
'lan'de 兰德
'lao'lun'si 劳伦斯
'li'ang 利昂
'li'ang 里昂
'li'en 里恩
'li'li'an 莉莉安
'li'wei'si 里维斯
'lie'ri'zan'ge 烈日赞歌
'lin'da 琳妲
'ling'hun'sheng'nv'ke'li'si'ting 灵魂圣女柯莉丝汀
'long'ji 龙吉
'lu'en 卢恩
'lu'ka'si 卢卡斯
'luo'bo'te 罗伯特
'luo'en 罗恩
'luo'li'an 洛里安
'ma'er'si 马尔斯
'ma'ge'li'te 玛格丽特
'meng'jing'ai'li'si 梦境爱丽丝
'meng'lie'gong'jue 猛烈公爵
'mi'jing'bai'xue'gong'zhu 秘境白雪公主
'mi'mi'jun'tuan'ai'er'lun 秘密军团艾尔伦
'mi'mi'jun'tuan'ai'er'sha 秘密军团艾尔莎
'mo'xi'ya 莫西雅
'mu'xing'yu 暮行雨
'ni'pu'dun 尼普顿
'nuo'ya 诺亚
'ou'li'sha 欧丽莎
'pi'te 皮特
'pu'li'xi'la 普莉希拉
'pu'rui'si 普瑞斯
'qi'yue'shi'zhe'xia'zuo 契约使者夏佐
'qiu'mo'li 丘墨利
'sai'er'si 赛尔丝
'sai'er'te 赛尔特
'sai'li'na 赛莉娜
'sai'te'si 赛特斯
'shen'she'shou 神射手
'shen'shi'feng'du 绅士风度
'sheng'qi'shi'lei'gen 圣骑士雷根
'shou'yu'zhe'fei'si'na 兽语者菲斯娜
'si'te'lei'er 斯特雷尔
'suo'er 索尔
'tao'li'si 桃丽丝
'te'gong'xian'feng 特工先锋
'wang'pai'ji'shi 王牌机师
'wei'lian 威廉
'wen'ni'sha 温妮莎
'wen'sen'te 文森特
'wu'kong 悟空
'wu'la'nuo 乌拉诺
'xi'ge 西格
'xi'meng 西蒙
'xia'ke 夏克
'xia'luo'te 夏洛特
'xiao'bo'na 萧伯纳
'xue'hua'yi'lian'na 雪花伊莲娜
'xue'xing'ma'li 血腥玛丽
'yi'li'sha'bai 伊丽莎白
'yi'li'ya 伊丽娅
'you'li'an 尤里安
'yu'zao'qian 玉藻前
'zhan'ni'fu 詹妮弗
'zhi'ming'mo'shu'bo'deng 致命魔术波登
'zhu'he 祝和
'zhu'li'an 朱利安
'zi'qiao 子乔
