'a'nan 阿难
'a'nan'bai'fo 阿难白佛
'a'nan'dui'yue 阿难对曰
'ai'bao'tan'zhong 爱保贪重
'ai'fa'yue'fa'xi'fa'zhi'xin 爱法乐法喜法之心
'ai'yu'jiao'luan 爱欲交乱
'ai'yu'rong'hua 爱欲荣华
'ai'yu'zhi'zhong 爱欲之中
'ai'zai'shen'ke'shang 哀哉甚可伤
'an'suo'xu'dai 安所须待
'ba'ai'yu'zhi'ben 拔爱欲之本
'ba'duan'sheng'si'zhong'e'zhi'ben 拔断生死众恶之本
'ba'sheng'si'zhi'ku 拔生死之苦
'ba'shi'wan'bi'qiu 八十万比丘
'ba'yin'chang'miao'xiang 八音畅妙响
'ba'zhu'yu'ci 拔诸欲刺
'bai'fo'he'yuan'xiao 白佛何缘笑
'bai'huai'xian'ming 败坏贤明
'bai'jie 百劫
'bai'qian'wan'jie'bu'neng'qiong'jin 百千万劫不能穷尽
'bai'qian'yin'yue 百千音乐
'bai'yan 白言
'ban'xuan'fa'shi 颁宣法时
'bao'xiang'wu'jia'yi 宝香无价衣
'bi'cheng'ru'shi'sha 必成如是刹
'bi'de'chao'jue'qu 必得超绝去
'bi'er'pu'sa 彼二菩萨
'bi'fo'guang'ming 彼佛光明
'bi'fo'guo'tu 彼佛国土
'bi'fo'guo'zhong 彼佛国中
'bi'fo'guo'zhong'zhu'sheng'wen'zhong 彼佛国中诸声闻众
'bi'guo'pu'sa 彼国菩萨
'bi'guo'ren'min 彼国人民
'bi'guo'yao'wen'fa 必过要闻法
'bi'hua'sheng'zhe 彼化生者
'bi'jian'ci'tu 彼见此土
'bi'pu'sa'deng 彼菩萨等
'bi'tu'pu'sa'zhong 彼土菩萨众
'bi'you'ba'shi'yi'pu'sa 彼有八十亿菩萨
'bi'you'bai'ba'shi'yi'pu'sa 彼有百八十亿菩萨
'bi'you'er'bai'er'shi'yi'pu'sa 彼有二百二十亿菩萨
'bi'you'er'bai'wu'shi'yi'pu'sa 彼有二百五十亿菩萨
'bi'you'jiu'shi'yi'pu'sa 彼有九十亿菩萨
'bi'you'liu'shi'yi'pu'sa 彼有六十亿菩萨
'bi'you'qi'bai'jiu'shi'yi'da'pu'sa'zhong 彼有七百九十亿大菩萨众
'bi'you'shi'si'yi'pu'sa 彼有十四亿菩萨
'bi'you'shi'yi'pu'sa 彼有十亿菩萨
'bi'you'wan'si'qian'pu'sa 彼有万四千菩萨
'bi'you'wu'bai'yi'pu'sa 彼有五百亿菩萨
'bi'you'wu'shu'bu'ke'cheng'ji'zhu'pu'sa'zhong 彼有无数不可称计诸菩萨众
'bi'yu'wu'liang'zun 必于无量尊
'bi'zhu'pu'sa'cheng'jiu'ru'shi'wu'liang'gong'de 彼诸菩萨成就如是无量功德
'bian'dun'duo'zhi 便顿夺之
'bian'fu'mi'san 便复糜散
'bian'su'de'shen'tong 便速得神通
'bian'yu'qi'bao'hua'zhong 便于七宝华中
'bian'zhao'shi'fang'guo 遍照十方国
'bian'zhi'shi'fang'gong'yang'zhu'fo 遍至十方供养诸佛
'biao'li'xiang'ying 表里相应
'bie'li'jiu'chang 别离久长
'bie'qi'ming'ji 别其名籍
'bing'ge'wu'yong 兵戈无用
'bing'ying'chou'ku 屏营愁苦
'bu'bi'zun'bei 不避尊卑
'bu'cong'ren'xin 不从人心
'bu'cun'shi'you'zhi'yi 不存师友之义
'bu'da'wei'e 不大为恶
'bu'da'yu'dao'de 不达于道德
'bu'dan'ci'shi'si'fo'guo'zhong'zhu'pu'sa'deng 不但此十四佛国中诸菩萨等
'bu'dan'wo'sha'zhu'pu'sa'deng 不但我刹诸菩萨等
'bu'dang'tian'xin 不当天心
'bu'de'cuo'die 不得蹉跌
'bu'de'gong'yang'xiu'zhu'shan'ben 不得供养修诸善本
'bu'de'wen'ci'jing 不得闻此经
'bu'de'xiang'li 不得相离
'bu'de'xiu'xi'gong'de 不得修习功德
'bu'en'shi'hui 布恩施惠
'bu'gan'wei'shi 不敢违失
'bu'gan'you'yi 不敢有疑
'bu'gu'qian'hou 不顾前后
'bu'ji'sheng'gu 不忌胜故
'bu'jian'pu'sa'sheng'wen'sheng'zhong 不见菩萨声闻圣众
'bu'jian'pu'sa'zhu'sheng'wen'zhong 不见菩萨诸声闻众
'bu'jian'san'bao 不见三宝
'bu'jie'jing'zhe 不解经者
'bu'ke'chang'bao 不可常保
'bu'ke'cheng'ji 不可称计
'bu'ke'cheng'shu 不可称数
'bu'ke'cheng'shuo 不可称说
'bu'ke'cheng'zhi 不可称智
'bu'ke'jian'xiao 不可谏晓
'bu'ke'ju'yan 不可具言
'bu'ke'sheng'yan 不可胜言
'bu'ke'xi'shuo 不可悉说
'bu'ken'shi'yu 不肯施与
'bu'ken'wei'shan 不肯为善
'bu'ken'wei'shen 不肯畏慎
'bu'ken'zuo'shan 不肯作善
'bu'li'qing'yu 不离情欲
'bu'li'you'nao 不离忧恼
'bu'liao'fo'zhi 不了佛智
'bu'neng'de'dao 不能得道
'bu'neng'fu'de 不能复得
'bu'neng'ren'ru 不能忍辱
'bu'neng'shen'si'shu'ji 不能深思熟计
'bu'neng'shi'de 不能时得
'bu'neng'shi'hui 不能施惠
'bu'neng'you'nian 不能忧念
'bu'neng'zi'zhi 不能自知
'bu'nian'xiu'shan 不念修善
'bu'ren'bu'shun 不仁不顺
'bu'ru'wu'zi 不如无子
'bu'sheng'bu'mie'zhu'san'mei'men 不生不灭诸三昧门
'bu'sheng'yi'huo 不生疑惑
'bu'shi'dao'de 不识道德
'bu'shi'ren'qing 不识人情
'bu'shou'e'qu 不受恶趣
'bu'shun'fa'du 不顺法度
'bu'si'mu'ji 不思慕及
'bu'si'yi'zhi 不思议智
'bu'wei'fu'mu'zhi'en 不惟父母之恩
'bu'wei'tian'di'shen'ming'ri'yue 不畏天地神明日月
'bu'wei'zhong'e 不为众恶
'bu'wei'zhong'e'zhe 不为众恶者
'bu'wen'jing'fa 不闻经法
'bu'wu'xiu'shan 不务修善
'bu'xiao'er'qin 不孝二亲
'bu'xin'jing'fa 不信经法
'bu'xin'ren'si'geng'sheng 不信人死更生
'bu'xin'shi'yu 不欣世语
