'a'duo'nuo 阿多诺
'a'er'du'sai 阿尔都塞
'a'jia'de'mi 阿加德米
'a'lai'ye'shi 阿赖耶识
'a'li'si'tuo'le'si 阿里斯托勒斯
'a'mo'ni'a'si 阿摩尼阿斯
'a'mo'ni'a'si'sa'ka'si 阿摩尼阿斯萨卡斯
'a'na'ke'sa'ge'la 阿那克萨戈拉
'a'na'ke'xi'man'de 阿那克西曼德
'a'na'ke'xi'man'de 阿纳克西曼德
'a'na'ke'xi'mei'ni 阿那克西美尼
'a'na'ke'xi'mei'ni 阿纳克西美尼
'a'na'ke'xi'mi'ni 阿那克西米尼
'a'pu'li'a'li 阿菩黎阿黎
'a'tun 阿屯
'ai'bi'ke'tai'de 爱比克泰德
'ai'fei'si 爱非斯
'ai'fei'suo'si 艾菲索斯
'ai'li 爱力
'ai'li'ya'pai 爱利亚派
'ai'li'ya'xue'pai 爱利亚学派
'ai'si'qi 艾思奇
'ai'wu'xun'cha 爱无寻差
'ai'zhi 爱智
'an'ban'shou'yi 安般守意
'an'ji'ze'guang 暗极则光
'an'nian'ke'fu 安年柯夫
'an'pin'le'dao 安贫乐道
'an'shi'chu'shun 安时处顺
'an'shi'gao 安世高
'an'ti'si'tai'ni 安提斯泰尼
'an'xing'le'ming 安性乐命
'an'zhao'cha'ji 案兆察迹
'ao'fu'he'bian 奥伏赫变
'ao'gu'si'ding 奥古斯丁
'ao'le'liu 奥勒留
'ba'bu'zhong'dao 八不中道
'ba'chu'bai'jia 罢黜百家
'ba'ku'ning 巴枯宁
'ba'man'ni'de'si'pian 巴曼尼得斯篇
'ba'men'ni'de 巴门尼德
'ba'men'ni'de'bi'da'ge'la'si 巴门尼德毕达哥拉斯
'ba'shi 八识
'ba'zheng 八正
'ba'zheng'dao 八正道
'bai'dai'tong'dao 百代同道
'bai'gou'hei 白狗黑
'bai'he'shu 捭阖术
'bai'ma'fei'ma 白马非马
'bai'xing'ri'yong'zhi'xue 百姓日用之学
'bai'zhan'bu'dai 百战不殆
'ban'gu 班固
'ban'zhou'san'mei 般舟三昧
'bao'fa'chu'shi 抱法处势
'bao'guang 葆光
'bao'jiao'fei'zun'kong 保教非尊孔
'bao'jing'yan 鲍敬言
'bao'pu'zi 抱朴子
'bao'shi'chen 包世臣
'bao'wei'er 鲍威尔
'bao'zhen 葆真
'bei'ji'cheng 被继承
'bei'lai 贝莱
'bei'yu'wei 被誉为
'ben'gen 本根
'ben'ji 本寂
'ben'jue 本觉
'ben'mo 本末
'ben'ran 本然
'ben'shi 本始
'ben'ti 本体
'ben'wu 本无
'ben'xin 本心
'ben'yuan 本原
'ben'zhi'huan'chu'yi'ban 本质换出一般
'bi'an'shi'jie 彼岸世界
'bi'da'ge'la'si'xue'pai 毕达哥拉斯学派
'bi'de 比德
'bi'gu 辟谷
'bi'guan 壁观
'bi'kai'xin'yi 必开心意
'bi'liang 比量
'bi'ran'wang'guo 必然王国
'bi'ran'xing 必然性
'bi'shi'xiang'yin 彼是相因
'bi'xiang'sheng 比相生
'bi'yi'yi'shi'fei 彼亦一是非
'bi'yu'yi'qu'an'yu'da'li 蔽于一曲闇于大理
'bi'yuan 毕沅
'bi'zao 裨灶
'bian'dui'dai 辨对待
'bian'fei'bu'bian 变非不变
'bian'gu'yi'chang 变故易常
'bian'gu'yu'jin 变古愈尽
'bian'he 辨合
'bian'hua'qi'zhi 变化气质
'bian'ji'suo'zhi'xing 遍计所执性
'bian'min'yu'shen 便民愈甚
'bian'qi'wei'dao 变器卫道
'bian'shuo 辩说
'bian'wu'sheng 辩无胜
'bian'zhe'er'shi'yi'shi 辩者二十一事
'bian'zheng'fou'ding'guan 辩证否定观
'bian'zheng'wei'wu'zhu'yi 辩证唯物主义
'biao'quan 表诠
'biao'xian'chu 表现出
'bie'cai 别材
'bie'ming 别名
'bie'qu 别趣
'bie'tong'yi 别同异
'bie'you 别宥
'bing'cheng'wei 并称为
'bing'tan'bu'tong'qi'er'jiu 冰炭不同器而久
'bo'ai 博爱
'bo'ai'zhe'xue 博爱哲学
'bo'ben'sai'yuan 拨本塞源
'bo'en'shi'tan 伯恩施坦
'bo'fei'li 波菲利
'bo'he 帛和
'bo'la'tu'zhu'yi 柏拉图主义
'bo'luo'mi 波罗蜜
'bo'luo'wu'yu 剥落物欲
'bo're 般若
'bo're'wu'zhi 般若无知
'bo'tong'neng'yong 博通能用
'bo'wen'yue'li 博文约礼
'bo'xi'dong'ni 波昔东尼
'bo'xue'du'zhi 博学笃志
'bo'yang'fu 伯阳父
'bo'yang'fu 伯阳甫
'bo'yue 博约
'bu'bi'dan'xin 不必担心
'bu'cheng'wu'wu 不诚无物
'bu'dai'he'shang 布袋和尚
'bu'de'jing'tong 不得经同
'bu'dong'xin 不动心
'bu'er 不二
'bu'er'fa'men 不二法门
'bu'ha'lin 布哈林
'bu'ke'shi'zhi'zhi 不可使知之
'bu'ke'zhi'lun 不可知论
'bu'ke'zhi'zhi'shi 不可知之事
'bu'kong 不空
'bu'luo'he 布洛赫
'bu'ping'ze'ming 不平则鸣
'bu'qian'shi'fei'yi'yu'shi'su'chu 不谴是非以与世俗处
'bu'ren'ren'zhi'xin 不忍人之心
'bu'shang 卜商
'bu'shi 卜筮
'bu'shi'er'ran 不是而然
'bu'si'zhi'si 不似之似
'bu'tu'er'mu 不徒耳目
'bu'wei'er'cheng 不为而成
'bu'xing'er'zhi 不行而知
'bu'xue'wei'bi'wei'zhang'ye 不学未必为长夜
'bu'yi'lai'yu 不依赖于
'bu'yi'ren'zhu'tian 不以人助天
'bu'yu'ze'fei 不豫则废
'bu'zai'cun'zai 不再存在
'bu'zhen'kong 不真空
'bu'zhi'lian'chi 不知廉耻
'bu'zhi'suo'yi'yin'er'zi'yin 不知所以因而自因
'bu'zhi'yi'neng'xing 不知亦能行
'bu'zhi'zhi'zhi 不知之知
'bu'zhi'zhi'zhi'yu'bu'shi'zhi'zhi 不知之知与不识之知
'cai'mo 蔡墨
'cai'qing 才情
'cai'shang'si 蔡尚思
'cai'shen 蔡沈
'cai'xing 才性
'cai'xing'he 才性合
'cai'xing'li 才性离
'cai'xing'si'ben 才性四本
'cai'xing'si'ben'lun 才性四本论
'cai'xing'tong 才性同
'cai'xing'yi 才性异
'cai'xing'yi'tong 才性异同
'cai'xing'zhi'bian 才性之辨
'cai'xing'zhi'xue 才性之学
'cai'yong 蔡邕
'cai'yuan'ding 蔡元定
'cai'yuan'pei 蔡元培
'can'liang 参两
'can'tian'liang'di 参天两地
'can'wu'zhi'dao 参伍之道
'can'yan 参验
'cang'lin'shi'er'zhi'li'jie 仓廪实而知礼节
'cao'bao 曹褒
'cao'duan 曹端
'cao'shu 操术
'cao'si'wen 曹思文
'cao'zhi 曹植
'ce'yin'zhi'xin 侧隐之心
'ceng'qi 曾琦
'cha'lei 察类
'cha'na 刹那
'cha'shen'yi'zhi'tian 察身以知天
'cha'shi'duan'ni 察识端倪
'chan'ding 禅定
'chan'ji 禅机
'chan'sheng'mao'dun 产生矛盾
'chan'ti 阐提
'chan'zi 缠子
'chan'zong'mei'xue 禅宗美学
'chang'bi'you'shuai 昌必有衰
'chang'bian 常变
'chang'chun'zhen'ren 长春真人
'chang'dao 常道
'chang'de 常德
'chang'ju 长沮
'chang'ming 常名
'chang'quan 常权
'chang'tong'chang'bian 常统常变
'chang'wu'you 常无有
'chao'che 朝彻
'chao'cuo 晁错
'chen'bai'sha 陈白沙
'chen'chi 陈炽
'chen'chun 陈淳
'chen'du'xiu 陈独秀
'chen'fu'liang 陈傅良
'chen'gu'ying 陈鼓应
'chen'huan'zhang 陈焕章
'chen'huang 陈榥
'chen'jia'kang 陈家康
'chen'jian 陈建
'chen'jie'lu'he 尘芥六合
'chen'jing'yuan 陈景元
'chen'jiu'chuan 陈九川
'chen'li 陈澧
'chen'li 陈立
'chen'li'fu 陈立夫
'chen'liang 陈亮
'chen'long'chuan 陈龙川
'chen'pian 陈骈
'chen'qi'tian 陈启天
'chen'qiu 陈虬
'chen'quan 陈铨
'chen'que 陈确
'chen'rong'jie 陈荣捷
'chen'si'ming'xiang 沉思冥想
'chen'tian'hua 陈天华
'chen'tong'fu 陈同甫
'chen'tuan 陈抟
'chen'wei 谶纬
'chen'wei'shi 陈唯实
'chen'xian'zhang 陈献章
'chen'xiang'dao 陈祥道
'chen'ying'ning 陈樱宁
'chen'yuan'hui 陈元晖
'chen'zhong 陈仲
'chen'zhu'zhi'bian 陈朱之辩
'cheng'duan'li 程端礼
'cheng'duan'meng 程端蒙
'cheng'fen'zhi'yu 惩忿窒欲
'cheng'fu 承负
'cheng'gong'sui 成公绥
'cheng'guan 澄观
'cheng'hao 程颢
'cheng'huai'wei'xiang 澄怀味象
'cheng'ji 成极
'cheng'ji'cheng'wu 成己成物
'cheng'men'li'xue 程门立雪
'cheng'ming 诚明
'cheng'ming'dao 程明道
'cheng'tian'di'zhe'qi'ye 成天地者气也
'cheng'ting'zuo 程廷祚
'cheng'wu'you'xin 乘物游心
'cheng'xin 成心
'cheng'xuan'ying 成玄英
'cheng'yao'tian 程瑶田
'cheng'yi 诚意
'cheng'yi 程颐
'cheng'yi'chuan 程伊川
'cheng'yu'le 成于乐
'cheng'zhong'ying 成中英
'chi'chui'bu'jin 尺棰不尽
'chi'jie 持戒
'chong'ben'xi'mo 崇本息末
'chong'ben'yi'mo 崇本抑末
'chong'jue'wang'luo 冲决网罗
'chong'man'xia'ci 充满瑕疵
'chong'qi 冲气
'chong'shang'zhi'shi 崇尚知识
'chong'shi'zeng'hua 蹱事增华
'chong'shi'zhi'mei 充实之美
'chong'you 崇有
'chu'jing 处静
'chu'kuang'jie'yu 楚狂接舆
'chu'lei'shi'dao 触类是道
'chu'shi'jian 出世间
'chu'yong 储泳
'chuan'shen 传神
'chuan'shen'ji 传神记
'chuang'zao'de'ke'xue 创造的科学
'chun'ke'guan'fa 纯客观法
'chun'si'wei 纯思维
'ci'bei 慈悲
'ci'jie 雌节
'ci'rang'zhi'xin 辞让之心
'ci'xiong'gang'rou'zhi'bian 雌雄刚柔之辨
'ci'yi'yi'shi'fei 此亦一是非
'cu'ran'nian'de 猝然念得
'cui'hao 崔浩
'cui'jing 崔憬
'cui'ling'zhi'qi 粹灵之气
'cui'shi 崔适
'cui'shi 崔寔
'cui'shu 崔述
'cun'shen 存神
'cun'si 存思
'cun'tian'li 存天理
'cun'xiang 存想
'cun'xin 存心
'cun'yi'zhu'yi 存疑主义
'da'bian 大辩
'da'bie'ming 大别名
'da'dan'jia'she'xiao'xin'qiu'zheng 大胆假设小心求证
'da'dao 达道
'da'dao'bu'zhi 大盗不止
'da'dao'kong'jia'dian 打倒孔家店
'da'de 达德
'da'dong'li 大动力
'da'gong'ming 大共名
'da'gu 大故
'da'jiu'zhou'shuo 大九州说
'da'li 大理
'da'li'ming'yi 达理明义
'da'mei 大美
'da'ming 达名
'da'mo 达摩
'da'pin'xiao'pin'shuo 大贫小贫说
'da'qiao 大巧
'da'qing'ming 大清明
'da'sheng 达生
'da'shi'dong'ting 达视洞听
'da'ti 大体
'da'tong 大同
'da'tong'yi 大同异
'da'xiao'dai 大小戴
'da'xiao'ju'zu 大小俱足
'da'xiao'xia'hou 大小夏侯
'da'xin 大心
'da'yan'yi 大衍义
'da'yan'zhi'shu 大衍之数
'da'yi'tong 大一统
'da'yin 大音
'da'yong'liu'xing 大用流行
'da'zhang'fu 大丈夫
'da'zhi'da'jiao 大知大觉
'da'zhong'zhi'dao 大中之道
'dai'ao'zhen'ni'si 戴奥真尼斯
'dai'biao'ren'wu 代表人物
'dai'de 戴德
'dai'dong'yuan 戴东原
'dai'ji'tao 戴季陶
'dai'kui 戴逵
'dai'sheng 戴圣
'dai'wang 戴望
'dai'zhen 戴震
'dan'ming'yu'jian'ming 单名与兼名
'dan'shu 丹书
'dan'shui'kan'chai'wu'fei'miao'dao 担水砍柴无非妙道
'dang'ran 当然
'dao'an 道安
'dao'ben'qi'mo 道本器末
'dao'bu'ke'bian 道不可变
'dao'chuo 道绰
'dao'de'ge'ming 道德革命
'dao'de'tian'zun 道德天尊
'dao'de'wan'shan 道德完善
'dao'de'xiu'yang 道德修养
'dao'de'yuan'ze 道德原则
'dao'de'zhe'xue 道德哲学
'dao'fa 道法
'dao'fa'zi'ran 道法自然
'dao'ji 道纪
'dao'ji'shi'yi 道即是艺
'dao'ji'wan'li 道稽万理
'dao'jian 倒见
'dao'li 道理
'dao'li'xiang'ying 道理相应
'dao'qi 道器
'dao'sheng 道生
'dao'sheng'dun'wu'yi 道生顿悟义
'dao'sheng'fa 道生法
'dao'shu 道术
'dao'shu 道枢
'dao'ti'qi'yong 道体器用
'dao'tong'shuo 道统说
'dao'xin 道心
'dao'xuan 道宣
'dao'yi 道一
'dao'yi'you'dao 盗亦有道
'dao'yin 导引
'dao'zai'wu'zhong 道在物中
'de'ben'cai'mo 德本财末
'de'ben'zhi'mo 得本知末
'de'cao 德操
'de'le'si 德勒斯
'de'li 德力
'de'li'da 德里达
'de'mo'ke'li'te 德谟克利特
'de'nue'xiang'cheng 德虐相成
'de'qing 德清
'de'xian'sheng 德先生
'de'xiang'wang'yan 得象忘言
'de'xing 德行
'de'xing'zhi'zhi 德性之知
'de'yi'wang'xiang 得意忘象
'de'zhi 德治
'de'zhi'zhu'yi 德智主义
'deng'gao'bi'zi'bei 登高必自卑
'deng'ling'shi 邓陵氏
'deng'ling'zi 邓陵子
'deng'mu 邓牧
'deng'xi 邓析
'deng'xi'zi 邓析子
'deng'xian'he 邓显鹤
'deng'yan'da 邓演达
'deng'yi'zhe 邓以蛰
'di'ao'gen'ni 狄奥根尼
'di'ao'ji'ni'shi 迪奥吉尼士
'di'dao 地道
'di'de'luo 狄德罗
'di'ou'gen'ni 第欧根尼
'di'wo'fen'ming 敌我分明
'di'yi'zhe'xue 第一哲学
'di'you'chang'shu 地有常数
'di'zhong'hai'yan'an 地中海沿岸
'dian'qi 电气
'ding'fu'bao 丁福保
'ding'hui 定慧
'ding'ming'yu'xu'wei 定名与虚位
'ding'wen'jiang 丁文江
'ding'zi'you'wei 丁子有尾
'dong'bi'you'ji 动必有机
'dong'de'luo'ji 动的逻辑
'dong'de'wen'ming 动的文明
'dong'fang'shen'mi'zhu'yi 东方神秘主义
'dong'fei'zi'wai 动非自外
'dong'jing'hu'han 动静互涵
'dong'jing'jie'dong 动静皆动
'dong'wu'xin 董无心
'dong'xi'wen'hua'lun'zhan 东西文化论战
'dong'xin'ren'xing 动心忍性
'dong'ze'cheng'hun 动则成昏
'dong'zhong'shu 董仲舒
'dou'zheng'xing 斗争性
'du'bi 杜弼
'du'guang'ting 杜光庭
'du'guo'xiang 杜国庠
'du'hua 独化
'du'hua'yu'xuan'ming'zhi'jing 独化于玄冥之境
'du'li'cun'zai 独立存在
'du'lin 杜林
'du'sheng'er'wu'suo'zi'jie 独生而无所资借
'du'shou'su 杜守素
'du'shun 杜顺
'du'tou'wu'ming 独头无明
'du'tou'yi'shi 独头意识
'du'wu'ku 杜武库
'du'xin 独心
'du'xing 独性
'du'xing 笃行
'du'zhi'du'jue 独知独觉
'duan'mu'ci 端木赐
'dui'dai 对待
'dui'duo 对夺
'dui'kan'fa 对戡法
'dui'kang'xing'mao'dun 对抗性矛盾
'dui'li'qi'lai 对立起来
'dui'li'tong'yi 对立统一
'dui'sheng 对生
'dui'wu 对物
'dui'ying'ci'hui 对应词汇
'dui'zheng 对争
'dun'chao'zhi'wu 顿超直悟
'dun'gen 钝根
'dun'jian'zhi'zheng 顿渐之争
'dun'tian'bei'qing 遁天背情
'dun'wu 顿悟
'duo'yuan'ren'shi'lun 多元认识论
'duo'zhong'yi 多中一
'e'hu'zhi'hui 鹅湖之会
'en'pei'duo'ke'le 恩培多克勒
'er'bing 二柄
'er'di 二谛
'er'er'yi 二而一
'er'mu'zhi'guan 耳目之官
'er'mu'zhi'shi 耳目之实
'er'shuo 兒说
'er'wu'yi 二无一
'er'zhi'fei'zhi 而指非指
'fa'du 法度
'fa'hou'wang 法后王
'fa'jie 法界
'fa'jie'yuan'qi 法界缘起
'fa'lin 法琳
'fa'lv'pian 法律篇
'fa'sheng'yu'yi 法生于义
'fa'shi 法式
'fa'shu'shi 法术势
'fa'shun 法顺
'fa'tian'gui'zhen 法天贵真
'fa'tong 法统
'fa'xian 法显
'fa'xian'wang 法先王
'fa'xian'zhen'li 发现真理
'fa'xiang 法象
'fa'xiang 法相
'fa'xing 法性
'fa'yan 法演
'fa'yan 法眼
'fa'zang 法藏
'fa'zhan'zhe'xue 发展哲学
'fa'zhe'xue 法哲学
'fa'zhi 法执
'fan'ai'wan'wu 泛爱万物
'fan'ben 反本
