'an'ding'tuan'jie 安定团结
'an'quan'sheng'chan 安全生产
'ao'ren'zhi'ao 澳人治澳
'ba'mian 罢免
'bao'rong'duo'yang 包容多样
'biao'da'quan 表达权
'bing'you'suo'yi 病有所医
'can'yu'quan 参与权
'chang'xiao'ji'zhi 长效机制
'cheng'shi'qun 城市群
'cheng'zhi'fu'bai 惩治腐败
'chuang'xin 创新
'chuang'xin'fa'zhan'li'nian 创新发展理念
'chuang'xin'ren'cai 创新人才
'chuang'xin'xing 创新型
'chuang'xin'xing'guo'jia 创新型国家
'chuang'xin'zhi'hui 创新智慧
'chuang'zao'tiao'jian'rang'geng'duo'qun'zhong'yong'you'cai'chan'xing'shou'ru 创造条件让更多群众拥有财产性收入
'ci'shan'shi'ye 慈善事业
'cu'jin'she'hui'he'xie 促进社会和谐
'da'fa'zhan 大发展
'da'fa'zhan'da'fan'rong 大发展大繁荣
'da'fan'rong 大繁荣
'da'tuan'jie 大团结
'dang'feng'lian'zheng'jian'she 党风廉政建设
'dang'nei'xuan'ju'zhi'du 党内选举制度
'dang'yuan'zhu'ti'di'wei 党员主体地位
'de'yu'wei'xian 德育为先
'deng'xiao'ping'li'lun 邓小平理论
'di'qiu'jia'yuan 地球家园
'fa'zhan'fang'shi 发展方式
'fa'zhan'ji'yu 发展机遇
'fa'zhan'nan'ti 发展难题
'fa'zhan'zhi'liang 发展质量
'fa'zhi 法治
'fa'zhi'bao'zhang 法制保障
'fan'dui'tai'du 反对台独
'fan'fu'bai 反腐败
'fan'fu'bai'dou'zheng 反腐败斗争
'fan'fu'chang'lian 反腐倡廉
'fu'bai'guan'yuan 腐败官员
'fu'pin 扶贫
'fu'wu'xing'zheng'fu 服务型政府
'gai'ge'kai'fang 改革开放
'gang'ren'zhi'gang 港人治港
'gao'ju'zhong'guo'te'se'she'hui'zhu'yi'wei'da'qi'zhi 高举中国特色社会主义伟大旗帜
'gong'kai 公开
'gong'kai'xuan'ba 公开选拔
'gong'min'you'xu'zheng'zhi'can'yu 公民有序政治参与
'gong'ping 公平
'gong'ping'zhun'ru 公平准入
'gong'xin 公信
'gong'xin'li 公信力
'gong'ying 共赢
'gong'zheng 公正
'gong'zhong'can'yu'du 公众参与度
'gu'quan'da'ju 顾全大局
'guan'mei'gou'jie 官煤勾结
'guan'nian 观念
'guan'zhu'min'sheng 关注民生
'guo'jia'rong'yu'zhi'du 国家荣誉制度
'he'ping'tong'yi 和平统一
'he'ping'wai'jiao 和平外交
'he'ping'xie'yi 和平协议
'he'xie 和谐
'he'xie'fa'zhan 和谐发展
'he'xie'she'hui 和谐社会
'he'xie'wen'hua 和谐文化
'he'xie'xiang'chu 和谐相处
'he'zuo'yi'liao 合作医疗
'huan'jing'you'hao'xing 环境友好型
'huan'jing'you'hao'xing'she'hui 环境友好型社会
'huo'li 活力
'ji'ben'gong'gong'fu'wu'jun'deng'hua 基本公共服务均等化
'ji'ben'yang'lao 基本养老
'ji'ben'yi'liao 基本医疗
'ji'ben'yi'liao'bao'xian 基本医疗保险
'ji'ceng'qun'zhong'zi'zhi'zhi'du 基层群众自治制度
'ji'li'ji'zhi 激励机制
'ji'xu'jie'fang'si'xiang 继续解放思想
'ji'yu 机遇
'ji'yu'da'yu'tiao'zhan 机遇大于挑战
'ji'zhi 机制
'jian'chi'gai'ge'kai'fang 坚持改革开放
'jian'du 监督
'jian'du'quan 监督权
'jian'guan 监管
'jian'she'fu'qiang'min'zhu'wen'ming'he'xie'de'she'hui'zhu'yi'xian'dai'hua'guo'jia 建设富强民主文明和谐的社会主义现代化国家
'jian'she'he'xie'wen'hua 建设和谐文化
'jiao'yu'wei'sheng 教育卫生
'jie'neng'huan'bao'shui'ping 节能环保水平
'jie'neng'jian'pai 节能减排
'jie'yue'xing'she'hui 节约型社会
'jing'ji'dai 经济带
'jing'ji'jian'she 经济建设
'jing'ji'quan 经济圈
'jing'ji'ze'ren'shen'ji 经济责任审计
'jing'ji'zeng'zhang'ji 经济增长极
'jing'shen'jia'yuan 精神家园
'jing'zheng'ji'zhi 竞争机制
'jing'zheng'shang'gang 竞争上岗
'jiu'ye 就业
'jiu'ye'yuan'zhu 就业援助
'jiu'ye'yuan'zhu'zhi'du 就业援助制度
'ju'min'zhu'fang 居民住房
'jue'ce'tou'ming'du 决策透明度
'ke'chi'xu'fa'zhan'zhan'lue 可持续发展战略
'ke'jiao'xing'guo'zhan'lue 科教兴国战略
'ke'xue'fa'zhan 科学发展
'ke'xue'fa'zhan'guan 科学发展观
'lao'dong'jiu'ye 劳动就业
'lao'you'suo'de 劳有所得
'lao'you'suo'yang 老有所养
'li'wei'min'suo'mou 利为民所谋
'lian'zheng'wen'hua 廉政文化
'liang'an'tong'yi 两岸统一
'ling'dao'gan'bu'zuo'feng'jian'she 领导干部作风建设
'ling'jiu'ye 零就业
'ling'jiu'ye'jia'ting 零就业家庭
'min'sheng 民生
'min'zhu'guan'li 民主管理
'min'zhu'jian'du 民主监督
'min'zhu'jue'ce 民主决策
'min'zhu'xuan'ju 民主选举
'mou'fa'zhan 谋发展
'nong'min'jiu'ye 农民就业
'piao'jue 票决
'piao'jue'zhi 票决制
'po'jie'fa'zhan'nan'ti 破解发展难题
'qin'he'li 亲和力
'qin'jian'jian'jun 勤俭建军
'qing'wei'min'suo'xi 情为民所系
'qiu'he'ping 求和平
'quan'li'jie'gou 权力结构
'quan'mian'xie'tiao'ke'chi'xu 全面协调可持续
'quan'min'xue'xi 全民学习
'quan'wei'min'suo'yong 权为民所用
're'ci 热词
'ren'cai'qiang'guo'zhan'lue 人才强国战略
'ren'min'gong'xiang 人民共享
'ren'min'shou'chuang'jing'shen 人民首创精神
'ren'min'zhu'ti'di'wei 人民主体地位
'ren'quan 人权
'ren'quan'shi'ye 人权事业
'ren'ren'gong'xiang 人人共享
'ren'wen'guan'huai 人文关怀
'ren'yong'zhong'yao'gan'bu'piao'jue'zhi 任用重要干部票决制
'rong'ru'guan 荣辱观
'ruan'shi'li 软实力
'san'bu'zou 三步走
'san'bu'zou'zhan'lue 三步走战略
'san'ge'dai'biao 三个代表
'shang'ye'bao'xian 商业保险
'she'hui'bao'xian 社会保险
'she'hui'bao'zhang 社会保障
'she'hui'cheng'yuan 社会成员
'she'hui'fu'li 社会福利
'she'hui'gong'ping'zheng'yi 社会公平正义
'she'hui'he'xie 社会和谐
'she'hui'huo'li 社会活力
'she'hui'jian'du 社会监督
'she'hui'jian'she 社会建设
'she'hui'jiu'zhu 社会救助
'she'hui'zhi'an 社会治安
'she'hui'zhi'yuan'fu'wu'ti'xi 社会志愿服务体系
'she'hui'zhu'yi'he'xie'she'hui 社会主义和谐社会
'she'hui'zhu'yi'rong'ru'guan 社会主义荣辱观
'she'hui'zi'zhi'gong'neng 社会自治功能
'shen'ru'guan'che'luo'shi'ke'xue'fa'zhan'guan 深入贯彻落实科学发展观
'sheng'tai'wen'ming 生态文明
'sheng'tai'wen'ming'guan'nian 生态文明观念
'sheng'tai'wen'ming'guan'nian'zai'quan'she'hui'lao'gu'shu'li 生态文明观念在全社会牢固树立
'shi'chang'huan'jing 市场环境
'shi'jian'te'se 实践特色
'shi'qi'da'bao'gao'xin'ci're'ci'ku 十七大报告新词热词库
'shou'chuang'jing'shen 首创精神
'shou'ru'fen'pei 收入分配
'si'wei'yi'ti 四位一体
'si'xiang'ku 思想库
'su'zhi'jiao'yu 素质教育
'ti'gao'fa'zhan'zhi'liang'he'xiao'yi 提高发展质量和效益
'tiao'zhan 挑战
'tong'chou 统筹
'tong'chou'jian'gu 统筹兼顾
'tui'dong'ke'xue'fa'zhan 推动科学发展
'wei'da'ge'ming 伟大革命
'wei'duo'qu'quan'mian'jian'she'xiao'kang'she'hui'xin'sheng'li'er'fen'dou 为夺取全面建设小康社会新胜利而奋斗
'wei'hu'qun'zhong'quan'yi'ji'zhi 维护群众权益机制
'wen'hua'chan'ye'qun 文化产业群
'wen'hua'chuang'xin 文化创新
'wen'hua'chuang'zao'huo'li 文化创造活力
'wen'hua'da'fa'zhan 文化大发展
'wen'hua'da'fa'zhan'da'fan'rong 文化大发展大繁荣
'wen'hua'fa'zhan'huo'li 文化发展活力
'wen'hua'jian'she 文化建设
'wen'hua'ruan'shi'li 文化软实力
'wen'hua'sheng'chan'li 文化生产力
'wen'ming'fa'zhan 文明发展
'wen'ze 问责
'wen'ze'zhi 问责制
'xian'jin'xing 先进性
'xiao'kang 小康
'xiao'kang'she'hui 小康社会
'xiao'kang'shui'ping 小康水平
'xin'ci 新词
'xin'fang 信访
'xin'li'shu'dao 心理疏导
'xin'xi'gong'kai 信息公开
'xin'xi'hua 信息化
'xue'xi'xing'she'hui 学习型社会
'xue'you'suo'jiao 学有所教
'xun'shi 巡视
'yang'lao'bao'xian 养老保险
'yi'deng'xiao'ping'li'lun'he'san'ge'dai'biao'zhong'yao'si'xiang'wei'zhi'dao 以邓小平理论和三个代表重要思想为指导
'yi'guo'liang'zhi 一国两制
'yi'ren'wei'ben 以人为本
'yin'jiu'ci'zhi 引咎辞职
'yong'xu'fa'zhan 永续发展
'you'huan'yi'shi 忧患意识
'yu'ren'wei'ben 育人为本
'yu'shi'ju'jin 与时俱进
'zai'yang'guang'xia 在阳光下
'zhan'lue'ji'yu'qi 战略机遇期
'zheng'ce'ti'xi 政策体系
'zheng'fu'jian'guan 政府监管
'zheng'fu'zhi'xing'li 政府执行力
'zheng'ling'chang'tong 政令畅通
'zheng'qi'fen'kai 政企分开
