'an'jian 暗箭
'an'ran'xiao'hun 黯然销魂
'bang'pai'lian'sai 帮派联赛
'bao'shi'zhi'zhan 宝石之战
'bao'wei'luo'bo 保卫萝卜
'bao'zang'yao'guai 宝藏妖怪
'bei'dou'xing'gong 北斗星宫
'bei'ming'qiu'shui'jue 北冥秋水诀
'bian'jie 鞭诫
'bing'lin'cheng'xia 兵临城下
'bing'po'jing 冰魄镜
'bo're'huan'yu 般若幻域
'cang'jie'zhen 苍劫阵
'cang'long'mi'gong 藏龙迷宫
'cang'wu'yuan 苍梧渊
'chang'sheng'shu 长生术
'chao'yun'tai 朝云台
'chi'xue'fu 赤血符
'chong'xiao'jue 冲霄诀
'chou'dao'duan'shui 抽刀断水
'chu'ji'huan'ren'wu 初级环任务
'chuan'dao'shou'ye 传道授业
'chun'yang'jue 纯阳诀
'ci'xin 慈心
'da'fan'jin'zhong 大梵金钟
'dao'fa 道法
'dao'shi 道士
'deng'lu'jiang'li 登录奖励
'duo'bao'qi'bing 夺宝奇兵
'fan'sheng'shu 返生术
'fan'tian'yin 番天印
'fei'cui'zhu'lin 翡翠竹林
'fei'hua'zhai'ye 飞花摘叶
'fei'liu'shan 飞流山
'feng'huo'yin 风火印
'feng'yan'jue 烽烟诀
'feng'yun'jue 风云诀
'fu'ben'tiao'zhan 副本挑战
'fu'feng'cheng 扶风城
'fu'guang'yin 浮光印
'fu'hu'ji 伏虎击
'fu'ji 伏击
'fu'ling'yin 缚灵印
'fu'su'shu 复苏术
'gao'ji'huan'ren'wu 高级环任务
'gu'lao'cang'bao'tu 古老藏宝图
'guan'zhi'ren'wu 官职任务
'gui'wang'jiang'shi 鬼王降世
'gui'xu'yi'ji 归墟遗迹
'han'bing'huan 寒冰环
'hao'xia 豪侠
'hei'huo'shen'yuan 黑火深渊
'hong'lian'dao 红莲岛
'hong'lian'zhen'huo'zhou 红莲真火咒
'hu'shi 虎势
'hu'xiao 虎啸
'huan'fa'jin'zhong 幻法金钟
