'a'nan'tuo 阿难陀
'a'shao'tu'lou'tuo 阿少兔楼驮
'a'yi'duo'pu'sa 阿逸多菩萨
'ba'gong'de'shui 八功德水
'ba'sheng'dao'fen 八圣道分
'bai'he 白鹤
'bai'se'bai'guang 白色白光
'bao'ju'luo 薄拘罗
'bao'xiang'fo 宝相佛
'bei'fang'shi'jie 北方世界
'bi'fo'guang'ming'wu'liang 彼佛光明无量
'bi'fo'guo'tu 彼佛国土
'bi'fo'guo'tu'cheng'jiu'ru'shi'gong'de'zhuang'yan 彼佛国土成就如是功德庄严
'bi'fo'guo'tu'wu'san'e'dao 彼佛国土无三恶道
'bi'fo'he'gu'hao'a'mi'tuo 彼佛何故号阿弥陀
'bi'fo'shou'ming 彼佛寿命
'bi'fo'you'wu'liang'wu'bian'sheng'wen'di'zi 彼佛有无量无边声闻弟子
'bi'guo'chang'you'zhong'zhong'qi'miao'za'se'zhi'niao 彼国常有种种奇妙杂色之鸟
'bi'tu'he'gu'ming'wei'ji'le 彼土何故名为极乐
'bian'fu'san'qian'da'qian'shi'jie 遍覆三千大千世界
'bian'hua'suo'zuo 变化所作
'bin'tou'lu'po'luo'duo 宾头卢颇罗堕
'bing'zhu'pu'sa'mo'he'sa 并诸菩萨摩诃萨
'bo'li 玻璃
'bo'li'he'cheng 玻璃合成
'bu'ke'yi'shao'shan'gen'fu'de'yin'yuan 不可以少善根福德因缘
'chang'jing'jin'pu'sa 常精进菩萨
'chang'yi'qing'dan 常以清旦
'chang'zuo'tian'le 常作天乐
'che'qu 砗磲
'chi'di'chun'yi'jin'sha'bu'di 池底纯以金沙布地
'chi'fa'fo 持法佛
'chi'se'chi'guang 赤色赤光
'chi'zhong'lian'hua 池中莲华
'chi'zhu 赤珠
'chong'man'qi'zhong 充满其中
'chu'guang'chang'she'xiang 出广长舌相
'chu'he'ya'yin 出和雅音
'chu'wei'miao'yin 出微妙音
'cong'shi'xi'fang 从是西方
'da'guang'fo 大光佛
'da'ming'fo 大明佛
'da'mo'fo 达摩佛
'da'ru'che'lun 大如车轮
'da'xu'mi'fo 大须弥佛
'da'yan'jian'fo 大焰肩佛
'dan'ke'yi'wu'liang'wu'bian'a'seng'chi'shuo 但可以无量无边阿僧祇说
'dan'shou'zhu'le 但受诸乐
'dang'xin'shi'cheng'zan'bu'ke'si'yi'gong'de'yi'qie'zhu'fo'suo'hu'nian'jing 当信是称赞不可思议功德一切诸佛所护念经
'de'sheng'bi'guo 得生彼国
'de'yu'ru'shi'zhu'shang'shan'ren 得与如是诸上善人
'dong'fang'yi'you'a'chu'bing'fo 东方亦有阿閦鞞佛
'e'mi'tuo'fo'cheng'fo'yi'lai 阿弥陀佛成佛以来
'e'mi'tuo'fo'yu'zhu'sheng'zhong 阿弥陀佛与诸圣众
'er'shi'fo'gao'zhang'lao'she'li'fu 尔时佛告长老舍利弗
'fa'zhuang'fo 法幢佛
'fan'shi'jing'xing 饭食经行
'fei'shi'suan'shu'suo'neng'zhi'zhi 非是算数所能知之
'fei'shi'suan'shu'zhi'suo'neng'zhi 非是算数之所能知
'fo'shuo'a'mi'tuo'jing 佛说阿弥陀经
'fu'ci'she'li'fu 复次舍利弗
'ge'yi'yi'ge 各以衣裓
'ge'yu'qi'guo 各于其国
'gong'ming'zhi'niao 共命之鸟
'gong'yang'ta'fang'shi'wan'yi'fo 供养他方十万亿佛
'gu'ming'a'mi'tuo 故名阿弥陀
'gu'ming'ji'le 故名极乐
'gu'shuo'ci'yan 故说此言
'guo'shi'wan'yi'fo'tu 过十万亿佛土
'hai'dao'ben'guo 还到本国
'hao'a'mi'tuo 号阿弥陀
'he'kuang'you'shi 何况有实
