'an'jian'ji'gong 按件记工
'bao'chan'dao'hu 包产到户
'bao'gan'dao'hu 包干到户
'bao'gong 包工
'chang'nian'bao'gong 常年包工
'chu'bei'liang'ji'jin 储备粮基金
'di'quan 地权
'er'wu'jian'zu 二五减租
'fen'san'jing'ying 分散经营
'geng'di 耕地
'gong'fen'zhi 工分值
'gong'fen'zhi 工分制
'gu'fen'ji'jin 股份基金
'guo'tou'liang 过头粮
'guo'ying'nong'mu'chang 国营农牧场
'han'di 旱地
'huang'di 荒地
'ji'cha'tu'di'shou'ru 级差土地收入
'ji'jie'bao'gong 季节包工
'jia'ting'nong'chang 家庭农场
'jun'ken 军垦
'ke'fen'pei'zong'shou'ru 可分配总收入
'ken'huang 垦荒
'ken'zhi'zhi'shu 垦殖指数
'lao'dong'gong'fen 劳动工分
'lao'dong'ri'zhi 劳动日值
'liang'shi'chan'liang 粮食产量
'liang'shi'nian'du 粮食年度
'liang'shi'san'ding 粮食三定
'liang'shi'si'tong'yi 粮食四统一
'liang'shi'tong'gou'tong'xiao 粮食统购统销
'liang'shi'yi'gou'yi'xiao 粮食议购议销
'liang'shi'zheng'gou 粮食征购
'liang'shi'zheng'gou'ji'shu 粮食征购基数
'nong'chan'pin'he'tong'ding'gou 农产品合同定购
'nong'chan'pin'jia'gong 农产品加工
'nong'chan'pin'pai'gou 农产品派购
'nong'chan'pin'shang'pin'liang 农产品商品量
'nong'chan'pin'shang'pin'lv 农产品商品率
'nong'chan'pin'sheng'chan'ji'di 农产品生产基地
'nong'chan'pin'shi'chang 农产品市场
'nong'chan'pin'shou'gou 农产品收购
'nong'chan'pin'tong'gou 农产品统购
'nong'chan'pin'tong'gou'tong'xiao 农产品统购统销
'nong'chan'pin'yi'gou 农产品议购
'nong'chan'pin'yu'gou'ding'jin 农产品预购定金
'nong'chan'pin'zheng'gou 农产品征购
'nong'cun'gong'xiao'he'zuo'she 农村供销合作社
'nong'cun'gu'gong 农村雇工
'nong'cun'he'zuo'jing'ji 农村合作经济
'nong'cun'ren'kou 农村人口
'nong'cun'ren'min'gong'she 农村人民公社
'nong'cun'zhong'dian'hu 农村重点户
'nong'cun'zhuan'ye'hu 农村专业户
'nong'gong'lian'he'qi'ye 农工联合企业
'nong'ji'gong'ye 农机工业
'nong'tian'ji'ben'jian'she 农田基本建设
'nong'ye'bo'kuan 农业拨款
'nong'ye'guan'li'ti'zhi 农业管理体制
'nong'ye'he'zuo'hua 农业合作化
'nong'ye'ji'ben'jian'she 农业基本建设
'nong'ye'jing'ji'guan'li 农业经济管理
'nong'ye'lao'dong 农业劳动
'nong'ye'lao'dong'li'li'yong'lv 农业劳动力利用率
'nong'ye'lao'dong'li'zhuan'yi 农业劳动力转移
'nong'ye'qi'ye 农业企业
'nong'ye'qi'ye'ke'ji'guan'li 农业企业科技管理
'nong'ye'ren'kou 农业人口
'nong'ye'sheng'yu'lao'dong'li 农业剩余劳动力
'nong'ye'tou'zi 农业投资
'nong'ye'yong'di 农业用地
'nong'ye'yuan'cai'liao 农业原材料
'nong'yong'gong'ye 农用工业
'ping'gong'ji'fen 评工记分
'san'bao'yi'jiang 三包一奖
'san'ji'suo'you'dui'wei'ji'chu 三级所有队为基础
'sheng'chan'da'dui 生产大队
'sheng'chan'dui 生产队
'shuang'ceng'jing'ying 双层经营
'si'fen'huo'ping 死分活评
'si'fen'si'ji 死分死记
'tong'yi'jing'ying 统一经营
'tu'di 土地
'tu'di'bao'chou 土地报酬
'tu'di'bao'chou'di'jian'lv 土地报酬递减律
'tu'di'bu'chang'fei 土地补偿费
'tu'di'cheng'bao 土地承包
'tu'di'dang'an 土地档案
'tu'di'deng'ji 土地登记
'tu'di'fen'lei 土地分类
'tu'di'gai'liang 土地改良
'tu'di'gong'you'zhi 土地公有制
'tu'di'gou'cheng 土地构成
'tu'di'guan'li 土地管理
'tu'di'gui'hua 土地规划
'tu'di'guo'you'hua 土地国有化
'tu'di'jia'ge 土地价格
'tu'di'li'yong'fang'shi 土地利用方式
'tu'di'li'yong'jie'gou 土地利用结构
'tu'di'li'yong'lv 土地利用率
'tu'di'mai'mai 土地买卖
'tu'di'mo'shou 土地没收
'tu'di'ping'jia 土地评价
'tu'di'ru'gu'yu'fen'hong 土地入股与分红
'tu'di'sheng'chan'lv 土地生产率
'tu'di'shi'yong'quan 土地使用权
'tu'di'shi'yong'quan'chu'zu 土地使用权出租
'tu'di'shi'yong'quan'you'chang'zhuan'rang 土地使用权有偿转让
'tu'di'si'you'zhi 土地私有制
'tu'di'tui'hua 土地退化
'tu'di'zheng 土地证
'tu'di'zheng'shou 土地征收
'tu'di'zheng'yong 土地征用
'tu'di'zhi'du 土地制度
'tu'di'zhuan'bao 土地转包
'tu'di'zhuan'rang 土地转让
'tu'di'zi'ben 土地资本
'tu'di'zu'dian 土地租佃
'tu'rang'fei'li 土壤肥力
'xiang'zhen'qi'ye 乡镇企业
'xiao'duan'bao'gong 小段包工
'xiao'tu'di'chu'zu'zhe 小土地出租者
'yi'chan'ding'gong 以产定工
'yi'ping'er'diao 一平二调
'zhong'hua'ren'min'gong'he'guo'tu'di'guan'li'fa 中华人民共和国土地管理法
