'a'lai'ye 阿赖耶
'ba'da'sui 八大随
'bai'bu'shu 百部疏
'ben'lai'wu 本来无
'bi'bu'sheng 彼不生
'bi'lun'cang 彼论藏
'bi'lun'cang'you'shi'zhi'gui'yi'ben'yu'ga'shi 彼论藏有十支归一本瑜伽师
'bi'xiu'xiang 鼻嗅香
'bian'bu'shan 遍不善
'bian'fa'jie 遍法界
'bian'ji'xu 遍计虚
'bian'jie'shi'fa'yu 遍界施法雨
'bian'zhong'bian 辨中边
'bie'ming'shu 别名数
'bie'ming'shu'you'za'ji'bian'zhong'bian'neng'li'pi 别名数有杂集辨中边能离僻
'bing'mi'yan 并密严
'bu'fang'yi 不放逸
'bu'zhang'zhi 不仗质
'bu'zheng'zhi 不正知
'cha'na'xu 刹那续
'cha'na'xu'nian'sheng'mie'ping'deng'yuan'wu'jian'ge 刹那续念生灭平等缘无间隔
'chan'wei'shang 禅为尚
'chan'wu'yi 阐无遗
'chen'wei'jing 尘为境
'chen'wei'jing'gen'neng'zhu'shi'ba'jie'zhong'ge'shu 尘为境根能助十八界种各殊
'cheng'bian'ji 成遍计
'cheng'jue'xue 成绝学
'chu'bian'xing 初遍行
'chu'bian'xing'you'wu'zhi'chu'zuo'yi'shou'xiang'si 初遍行有五支触作意受想思
'chu'cha'na 初刹那
'chu'zuo'yi 触作意
'ci'ba'shi 此八识
'ci'ba'shi'ge'zi'zai'hao'xin'wang'neng'zhu'zai 此八识各自在号心王能主宰
'ci'bie'jing 次别境
'ci'bie'jing'yi'wu'lei'yu'sheng'jie'nian'ding'hui 次别境亦五类欲胜解念定慧
'ci'liu'shi 此六识
'ci'san'liang 此三量
'ci'san'yu 此三余
'ci'san'yu'yuan'zeng'shang'shun'huo'wei'ju'wu'zhang 此三余缘增上顺或违俱无障
'ci'zan'zhi 此暂止
'ci'zhu'fo 此诸佛
'ci'zhu'fo'mi'yi'shuo'yin'zhi'you'kong'dui'zhi 此诸佛密意说因执有空对治
'ci'zi'lei 此自类
'ci'zi'lei'ge'bie'qi'xiao'sui'shi'cu'meng'er 此自类各别起小随十麤猛尔
'cong'hui'zhe 聪慧者
'cong'hui'zhe'jing'yan'jiu'guan'xing'shen'guo'cheng'jiu 聪慧者境研究观行深果成就
'cong'shi'zhong 从实种
'cong'yi'ta 从依他
'cong'yi'ta'qu'ji'zhi'ming'yuan'cheng'zi'xing'shi 从依他去计执名圆成自性实
'cu'meng'er 麤猛尔
'da'di'zi 大弟子
'da'di'zi'you'kui'ji'bai'bu'shu'chan'wu'yi 大弟子有窥基百部疏阐无遗
'da'fang'guang 大方广
'da'shi'lie 大始列
