'bao'ying'jie'gui'yi 报应皆归一
'bi'er'cheng'feng'xi 彼二乘风息
'bian'qie'shen'xiu'xi 遍且深修习
'bu'bao'zao'yi'nu 不暴躁易怒
'bu'dian'dao'shi'fei 不颠倒是非
'bu'hao'da'xi'gong 不好大喜功
'bu'hao'qiang'zheng'xian 不好强争先
'bu'shi'zuo'shi'xiu 不时作时修
'bu'xi'nu'wu'chang 不喜怒无常
'bu'yi'lai'ta'yuan 不依赖他缘
'bu'ying'shuo'que'xian 不应说缺陷
'cheng'jiu'san'wu'li 成就三无离
'chu'hou'xing'er'shi 初后行二事
'da'cheng'si'jiao'yan 大乘死教言
'da'en 大恩
'dang'jian'ding'er'xiu 当坚定而修
'dang'xiu'qian'xing'fa 当修前行法
'dang'xue'san'zhong'nan 当学三种难
'dao'ti'zhu'pu'ji 道体住普基
'ding'li'da'bei'zun'zhe 顶礼大悲尊者
'duan'chu'zhu'xie'ming 断除诸邪命
'duan'yi'qie'guo'qiu 断一切果求
'dui'zhi'yi'zi'jie 对治亦自解
'e'qi'qiu'zong 额奇秋宗
'e'yuan'cheng'jue'dao 恶缘成觉道
'er'chuan'da'bao'zang 耳传大宝藏
'er'jing'jie'ying'ren 二境皆应忍
'er'zheng'qu'shang'shou 二证取上首
'guan'shi'yin'pu'sa 观世音菩萨
'guan'xin'xing'wu'sheng 观心性无生
'heng'dang'yi'huan'xi 恒当依欢喜
'heng'xue'san'zong'yi 恒学三总义
'ji'jing'sheng'di 寂静圣地
'jiang'ci'sheng'wu'zhuo 将此盛五浊
'jin'dang'xiu'zhu'yao 今当修主要
'jin'si'yi'wu'han 今死亦无憾
'kong'hu'wei'zui'shang 空护为最上
'mi'jing'guan'si'shen 迷境观四身
'mo'ci'yao'hai'chu 莫刺要害处
'mo'fa'cu'e'yu 莫发粗恶语
'mo'xue'zhong'yi'qi 莫学重义气
'mo'zhui'qiu'sheng'yu 莫追求声誉
'nai'chuan'zi'jin'zhou 乃传自金洲
'neng'qing'ku'ji'hui 能轻苦讥毁
'neng'san'ji'yuan'man 能散即圆满
'pian'zai'mo'yi'niu 犏载莫移牛
'qiao'jue'gan'lu'cang 窍诀甘露藏
'qing'diao'wo'zhi'jiao 请调我执教
'qu'ci'cong'zi'qi 取次从自起
'qu'san'zhu'yao'yin 取三主要因
'quan'mo'si'ta'guo 全莫思他过
'san'jing'du'shan'gen 三境毒善根
'she'ming'hu'er'shi 舍命护二事
'she'qi'you'du'shi 舍弃有毒食
'sheng'cheng 胜乘
'shi'yin 是因
'shui'yin'fa'cheng 水银法城
'si'hang'sheng'fang'bian 四行胜方便
'si'zhu'fa'ru'meng 思诸法如梦
'suo'yu'xiu'dao'yong 所遇修道用
'tian'mo'lun'wei'mo 天莫沦为魔
'wei'cu'yi'nian'bi 为促忆念彼
'wei'le'mo'qiu'ku 为乐莫求苦
'wu'hou'xian'zu'chu 勿候险阻处
'wu'li'zhong'wei'yi 五力重威仪
'wu'zhu'zun'zhe 无著尊者
'xian'jing'zhong'fan'nao 先净重烦恼
'xiu'san'wu'shi'huai 修三无失坏
'xiu'xin'qi'yao 修心七要
'xiu'xin'qi'yao'er'zhuan'lue'shi 修心七要耳传略释
'xiu'yi'qie'da'en 修一切大恩
'yi'er'guan'cha'jie 以二观察解
'yi'ju'xin'tu'qing'er'zhang'xian'li 以具信徒请而彰显力
'yi'zai'qing'qiu 一再请求
'ying'xiu'xi'wu'li 应修习五力
'you'xi'xiu'ye'xing 由昔修业醒
'yu'jia'xing'zhe 瑜伽行者
'yu'jing'xiu'wu'pian 于境修无偏
'yu'li'jing'heng'xiu 于厉境恒修
'yu'wei'yuan'xiu'yi 遇违缘修一
'yuan'er'pu'ti'xin 圆二菩提心
'yuan'man'suo'de 圆满所得
'yuan'zhu'zhong'sheng 愿诸众生
'za'xiu'er'qu'she 杂修二取舍
'zha'ba'fa'wang 扎巴法王
'zha'ba'jiang'cun 扎巴江村
'zhu'fa'she'yi'yao 诸法摄一要
'zhu'wei'yi'chi'song 诸威仪持颂
'zhu'yu'jia'she'yi 诸瑜伽摄一
'zhuan'wei'pu'ti'dao 转为菩提道
'zhuan'yu'zi'wen'zhong 转欲自稳重
'zi'zhong'xin'wei'yin 自众信为因
'zong'she'qiao'jue'yao 总摄窍诀要
'zui'man'qing'qi'shi 罪满情器时
'zuo'jian'xiu'huan'hua 坐间修幻化
