'bo'lan'qun'jia'rong'zhi'mei'li 博览群家容止美丽
'cai'lian'nan'tang'qiu'lian'hua'guo'ren'tou 采莲南塘秋莲花过人头
'cheng'qi'yin'luan'li'qi'ruo'er'wu'zhu 乘其阴乱利其弱而无主
'cheng'tian'di'zhi'zheng'yu'liu'qi'zhi'bian 乘天地之正御六气之辩
'ci'yi'ji'yang'yang'niao'ye'fei'yi'niao'yang'yang'niao'ye 此以己养养鸟也非以鸟养养鸟也
'dong'dao'shen'wei'huo'ran'ji'jie'ru'tu'wei'di 动刀甚微謋然己解如土委地
'fei'xing'sui'wan'bian'xian'zhang'yi'yi'lun 废兴虽万变宪章亦已沦
'feng'zhi'ji'ye'bu'hou'ze'qi'fu'da'yi'ye'wu'li 风之积也不厚则其负大翼也无力
'fu'zi'yan'zhi'yu'wo'xin'you'qi'qi'yan 夫子言之于我心有戚戚焉
'gua'gu'bu'ke'yi'di'zhong 寡固不可以敌众
'hua'ran'xiang'ran'zou'dao'huo'ran'mo'bu'zhong'yin 砉然向然奏刀騞然莫不中音
'jian'bu'xia'gui'fu'bu'jiao'pin 贱不下贵富不骄贫
'jiang'xin'bi'xin'chang'ji'yin'de'guang'jie'shan'yuan 将心比心常积阴德广结善缘
'jiao'ru'fei'jing'lin'dan'que'lv'yan'mie'jin'qing'hui'fa 皎如飞镜临丹阙绿烟灭尽清辉发
'ju'huai'yi'xing'yu'shang'qing'tian'lan'ming'yue 据怀疑型欲上青天览明月
'jun'xing'ren'zheng'si'min'qin'qi'shang 君行仁政斯民亲其上
'li'zhong'guo'er'fu'si'yi'ye 莅中国而抚四夷也
'ming'zu'yi'cha'qiu'hao'zhi'mo 明足以察秋毫之末
'pu'sa'ying'ru'shi'bu'shi'bu'zhu'yu'xiang 菩萨应如是布施不住于相
'qiao'xiao'qian'xi'mei'mu'pan'xi 巧笑倩兮美目盼兮
'qu'yan'fu'shi'wang'en'fu'yi'qian'wan'bu'neng'jiu'ta 趋炎附势忘恩负义千万不能救他
'suo'wei'yi'ren'zai'shui'yi'fang 所谓伊人在水一方
'tao'zhi'yao'yao'zhuo'zhuo'qi'hua 桃之夭夭灼灼其华
'wang'zhe'bu'ke'jian'lai'zhe'you'ke'zhui 往者不可谏来者犹可追
'wei'ying'er'zhuang'xi'wu'yu'qin'ce 为婴儿状戏舞于亲侧
'wo'zui'yu'mian'qin'qie'qu'ming'zhao'you'yi'bao'qin'lai 我醉欲眠亲且去明朝有意抱琴来
'wu'qing'yi'wu'zhong'wu'xing'yi'wu'sheng 无情亦无种无性亦无生
'wu'ying'ge'sheng'san'lv'chi'kong'yu'bian'shui'dong'liu'hai 舞影歌声散绿池空余汴水东流海
'xian'su'bao'pu'shao'si'gua'yu'jue'xue'wu'you 见素抱朴少思寡欲绝学无忧
'xu'jun'qing'song'xin'nu'li'bao'shuang'xue 勖君青松心努力保霜雪
'xue'yu'kong'zi'er'chuan'xiao'jing 学与孔子而传孝经
'ye'fen'you'ji'pi'mei'jing'jiang 夜分忧绩媲美敬姜
'yi'qie'xian'sheng'jie'yi'wu'wei'fa'er'you'cha'bie 一切贤圣皆以无为法而有差别
'ying'ying'lou'shang'nv'jiao'jiao'dang'chuang'you 盈盈楼上女皎皎当窗牖
'you'wu'xian'tian'de'wu'xing'ben'ji'liao 有物先天地无形本寂寥
'ze'qi'suo'yong'zhe'zhong'er'suo'yao'zhe'qing'ye 则其所用者重而所要者轻也
'zhi'qi'xiong'shou'qi'ci'wei'tian'xia'xi 知其雄守其雌为天下溪
'zi'lu'jin'li'fu'mi'feng'qin 子路尽力负米奉亲
