'an'ding'qing'jing 安定清静
'an'er'shou'zhi 按而收之
'an'fa'bing'de'bu'tong'de'shi'jian'di'dian 按发病的不同的时间地点
'an'yin'yang'shi'tiao'de'bing'li'bian'hua 按阴阳失调的病理变化
'an'zang'fu 按脏腑
'an'zhi'er'bu'de 按之而不得
'an'zhi'you'pi'kuai 按之有痞块
'ba'duan'jin 八段锦
'ba'gang 八纲
'ba'zheng'shen'ming'lun 八正神明论
'bai'bing'duo'you'tan'zuo'sui 百病多由痰作祟
'bai'bing'nai'bian'hua'er'sheng 百病乃变化而生
'bai'bing'you'sheng 百病由生
'bai'hou 白喉
'bai'mai'zhi'xue 百脉之血
'bai'tian'bing'qing'jiao'qing 白天病情较轻
'bai'tian'yang'sheng 白天阳盛
'bai'zhou'he'hei'ye 白昼和黑夜
'ban'lan'gen 板蓝根
'ban'shen'bu'sui 半身不遂
'ban'si'ban'sheng'ye 半死半生也
'ban'you'kuai'zhuang 伴有块状
'ban'zhen'xian'lu 斑疹显露
'bang'long 膀胧
'bang'long'de'gong'neng'shi'tiao 膀胧的功能失调
'bao'chi'shen'ti'jian'kang 保持身体健康
'bao'chi'xue'mai'chong'ying 保持血脉充盈
'bao'gong 胞宫
'bao'gong'gong'neng'shi'chang 胞宫功能失常
'bao'gong'xing'xue'guo'duo 胞宫行血过多
'bao'gong'xing'xue'se'zhi 胞宫行血涩滞
'bao'gong'xu'leng 胞宫虚冷
'bao'jian'shi'ye 保健事业
'bao'ming'quan'xing'lun 宝命全形论
'bao'nu'shang'gan 暴怒伤肝
'bao'shi'bao'yin 暴食暴饮
'bao'xi'guo'du 暴喜过度
'bei'dong'de 被动的
'bei'fang'duo'zao'han 北方多燥寒
'bei'ri'wei'yin 背日为阴
'bei'ze'qi'xiao 悲则气消
'bei'ze'xin'xi'ji 悲则心系急
'ben'hu'di'zhe 本乎地者
'ben'hu'tian'zhe 本乎天者
'ben'shen 本神
'ben'shi'he'biao'xiang'dui'er'yan 本是和标相对而言
'ben'yuan'wu'zhi 本原物质
'ben'zang'shou'xie'er'fa'bing 本脏受邪而发病
'ben'zhi'yu'xian'xiang 本质与现象
'beng'lou 崩漏
'beng'lou'nan'zhi 崩漏难止
'beng'lou'zheng 崩漏证
'bi'chang'jie'ya 必常洁雅
'bi'fu'qi'suo'zhu 必伏其所主
'bi'gan'mu'se 鼻干目涩
'bi'jian 鼻尖
'bi'jing 闭经
'bi'jue 闭厥
'bi'mian'guo'du'lao'yi 避免过度劳逸
'bi'mian'liu'yin 避免六淫
'bi'nv 鼻衄
'bi'po'yang'qi'fu'yue'yu'wai 逼迫阳气浮越于外
'bi'qi'du'qi 避其毒气
'bi'se 鼻塞
'bi'wei'fei'zhi'qiao 鼻为肺之窍
'bi'xian'sui'qi 必先岁气
'bi'xing'zhu'wai 必形诸外
'bi'xu'gu'mi 必须固密
'bi'yan'gan'zao 鼻咽干燥
'bi'yao'de'xiu'xi 必要的休息
'bi'yi'shan'dong 鼻翼煽动
'bi'zheng 痹证
'bi'zhi'you'shi 避之有时
'bi'zu'xin'mai 痹阻心脉
'bian'cheng'dong'chuang 便成冻疮
'bian'dan 便澹
'bian'hua'chu'yan 变化出焉
'bian'hua'zhe 变化着
'bian'hua'zhi'fu'mu 变化之父母
'bian'hua'zhi'jiao'mu 变化之交母
'bian'mi 便秘
'bian'ming'ji'bing'xing'zhi'de'han're'xu'shi 辨明疾病性质的寒热虚实
