'an'kou 安口
'an'ming 安鸣
'an'zhong 安中
'an'zhuang 安庄
'ba'kang 巴康
'ba'shang 巴上
'bai'ji 白集
'bei'guan 北关
'bei'jing 北景
'bei'ju 北居
'bei'ming 北铭
'bei'shun 北顺
'bei'tong 北同
'bei'xia 北夏
'bei'xing 北兴
'bi'gang 碧岗
'bi'gui 碧归
'bi'jie 碧节
'bi'wen 碧文
'bi'yu 碧玉
'bian'nan 边南
'bian'shan 边山
'bian'tang 边塘
'bian'xiang 边乡
'bo'feng 博丰
'bo'gong 博功
'bo'gui 博归
'bo'qing 渤清
'bo'shun 渤顺
'bo'ting 渤亭
'bo'yu 博裕
'bo'yu 渤余
'bu'hui 布汇
'bu'qi 布齐
'bu'xi 布溪
'bu'xing 布兴
'bu'yi 布邑
'cang'lu 苍卢
'cang'shun 苍顺
'cang'xi 苍西
'chang'an 长安
'chang'dian 长殿
'chang'jie 长界
'chang'jun 长郡
'chang'yang 长阳
'cheng'du 成都
'cheng'he 成鹤
'cheng'shan 成山
'cheng'xi 成西
'cheng'zhuang 成庄
'da'he 大贺
'da'ji 达集
'da'ju 达居
'da'lv 达律
'da'rou 大柔
'da'shun 大顺
'da'tu 大徒
'da'wu 大午
'da'xian 大县
'dai'xi 代西
'dai'zi 代淄
'dan'guang 丹光
'dan'han 丹汉
'dan'ji 丹极
'dan'xia 丹下
'dan'zhen 丹镇
'dan'zong 丹宗
'dang'jing 宕靖
'dang'li 宕里
'dang'rao 宕饶
'di'cang 帝仓
'di'lang 帝朗
'di'ning 帝宁
'di'shang 狄上
'di'tai 帝泰
'ding'gu 定故
'ding'rou 定柔
'ding'sheng 定圣
'dong'lang 东朗
'dong'mu 东木
'dong'rou 东柔
'en'yao 恩姚
'fan'hai 泛海
'fan'ming 范名
'fan'nan 范南
'fan'yang 范阳
'fang'guan 房关
'fang'qing 房清
'fang'yue 房月
'fei'chi 费池
'fei'su 费苏
'fei'xi 费溪
'fei'zong 费宗
'feng'bei 风北
'feng'chang 丰长
'feng'chang 风长
'feng'chi 风池
'feng'chuan 封川
'feng'dong 丰东
'feng'gui 风归
'feng'rao 风饶
'feng'sha 丰沙
'feng'tang 丰堂
'feng'tian 凤田
'feng'wu 丰武
'feng'xia 风下
'feng'xiang 丰乡
'feng'xin 丰信
'feng'xing 丰兴
'feng'yan 丰延
'feng'yu 封玉
'feng'yue 风越
'feng'zhong 凤重
'feng'zi 封资
'fo'chi 佛池
'fu'chang 涪昌
'fu'dong 涪东
'fu'han 扶汉
'fu'ji 扶积
'fu'jian 扶间
'fu'nan 扶南
'fu'qi 涪齐
'fu'qing 扶青
'fu'yun 涪云
'fu'zhong 涪中
'gang'bei 冈北
'gang'ge 冈阁
'gang'qi 冈起
'gang'wen 冈文
'gang'yang 冈阳
'gang'yuan 冈原
'gu'feng 古封
'gu'ge 古阁
'gu'li 古里
'gu'men 古门
'gu'rao 古饶
'gu'tang 古塘
'gu'tian 古天
'gu'xi 古西
'gu'yuan 姑元
'guang'feng 广风
'guang'ling 广陵
'guang'yuan 广元
'gui'ling 桂陵
'gui'qing 桂青
'gui'shi 桂石
'gui'tang 贵堂
'gui'tong 桂同
'gui'yun 贵云
'gui'ze 桂泽
'hai'du 海都
'hai'ji 海吉
'hai'qi 海启
'hai'yu 海余
'han'a 寒阿
'han'cheng 寒承
'han'dan 邯郸
'han'gu 寒古
'han'yuan 寒远
'han'zhong 寒中
'han'zhong 汉中
'he'ci 合慈
'he'feng 和封
'he'jia 合嘉
'he'jin 河津
'he'jing 合靖
'he'lin 河林
'he'ning 河宁
'he'qing 河青
'he'xin 合新
'he'xin 和信
'he'yuan 合元
'hong'gu 宏固
'hong'qing 宏清
'hong'yi 宏邑
'hou'dou 后都
'hou'ji 后集
'hou'xi 后溪
'hu'qi 虎启
'hu'qiong 虎琼
'hu'sha 虎沙
'hu'shun 虎顺
'hu'yang 虎阳
'hua'chi 华池
'hua'guan 华关
'hua'he 化河
'hua'he 华和
'hua'ling 华陵
'hua'rong 华戎
'hua'wei 华威
'hua'yan 华延
'hua'yin 华垠
'hua'zuo 华左
'hui'he 会贺
'hui'lang 会朗
'hui'wei 惠威
'hui'zhuang 会庄
'ji'chang 吉长
'ji'liang 济梁
'ji'mu 即牧
'ji'mu 济木
'ji'qiu 济丘
'ji'tian 即田
'ji'xi 吉西
'ji'xin 济信
'ji'zhong 吉中
'jia'gang 嘉冈
'jia'he 佳河
'jia'hu 佳湖
'jia'hui 佳会
'jia'hui 嘉汇
'jia'jing 佳景
'jia'ling 佳陵
'jia'qu 佳曲
'jia'rou 佳柔
'jia'shan 嘉山
'jia'xi 佳西
'jia'yue 佳月
'jian'ning 建宁
'jiang'de 江德
'jiang'li 江里
'jiang'xia 江夏
'jiang'zhen 江镇
'jiao'chi 交池
'jiao'gang 交岗
'jiao'ming 交鸣
'jiao'zuo 交左
'jie'gang 碣冈
'jie'gang 碣岗
