'bo'hua'de'guan 伯华得官
'cheng'jie'hu'qi'chou'ye 称解狐其仇也
'cheng'qi'chou'bu'wei'chan 称其仇不为谄
'dui'yue'chi'ye'ke 对曰赤也可
'dui'yue'wu'ye'ke 对曰午也可
'fu'wei'shan'gu'neng'ju'qi'lei 夫唯善故能举其类
'jian'yi'guan'er'san'wu'cheng 建一官而三物成
'jiang'li'zhi'er'zu'you'wen'yan 将立之而卒又问焉
'jie'hu'de'ju'qi'wu'de'wei 解狐得举祁午得位
'jin'hou'yue'shu'ke'yi'dai'zhi 晋侯曰孰可以代之
'ju'qi'pian'bu'wei'dang 举其偏不为党
'jun'zi'wei'qi'xi'yu'shi'neng'ju'shan'yi 君子谓祁奚于是能举善矣
'li'qi'zi'bu'wei'bi 立其子不为比
'neng'ju'shan'ye 能举善也
'qi'qi'xi'zhi'wei'yi 其祁奚之谓矣
'qi'xi'qing'lao'jin'hou'wen'si'yan 祁奚请老晋侯问嗣焉
'shang'shu'yue'wu'pian'wu'dang'wang'dao'dang'dang 商书曰无偏无党王道荡荡
'shi'yi'si'zhi'qi'xi'you'yan 是以似之祁奚有焉
'shi'yun'wei'qi'you'zhi 诗云惟其有之
'yang'she'chi'zuo'zhi 羊舌赤佐之
'yu'shi'shi'qi'wu'wei'zhong'jun'wei 于是使祁午为中军尉
'yu'shi'yang'she'zhi'si'yi 于是羊舌职死矣
