'a'bo'ding'an'na'bo'li'si'yi'chang 阿伯丁安纳波利斯异常
'a'bu'la'mi'shi'bing 阿布拉米氏病
'a'cha'te'ti'er'si'shi 阿查特提尔斯氏
'a'de'ping'zhong'du'zhi'jing'shen'zhang'ai 阿的平中毒致精神障碍
'a'di'sen'ai'di'sheng'shi'pin'xue 阿狄森艾迪生氏贫血
'a'di'sen'shi'bing 阿狄森氏病
'a'di'sen'shi'bing'wei'xiang 阿狄森氏病危象
'a'di'si'fan'ying'huo'xian'xiang 阿蒂斯反应或现象
'a'er'bo'si'shang'bao'shi'bing 阿耳伯斯尚堡氏病
'a'er'ci'hai'mo'bing'ban'you'wan'qi'fa'bing'lao'nian'xing 阿尔茨海默病伴有晚期发病老年性
'a'er'ci'hai'mo'bing'zao'lao'xing 阿尔茨海默病早老性
'a'er'ci'hai'mo'shi'bing'yin'qi'de'chi'dai 阿尔茨海默氏病引起的痴呆
'a'er'ci'hai'mo'shi'bing'zao'lao'xing'chi'dai 阿耳茨海默氏病早老性痴呆
'a'er'ci'hai'mo'ying'hua 阿尔茨海默硬化
'a'er'ke'wei'er'fa'shi'fei 阿尔克韦尔法氏肺
'a'er'po'si 阿尔珀斯
'a'er'wa'lei'si'shi'zong'he'zheng 阿尔瓦雷斯氏综合征
'a'fu'di're 阿弗地热
'a'fu'ta'kou'chuang 阿弗他口疮
'a'fu'ta'kou'yan 阿弗他口炎
'a'fu'ta'yan'xia'yan 阿弗他咽峡炎
'a'fu'ta'yan'yan 阿弗他咽炎
'a'ge'la'sha'men'shi'jun'chang'yan 阿哥拉沙门氏菌肠炎
'a'hong'bing 阿洪病
'a'ke'sen'fei'er'de'bian'xing'gai'hua'xing 阿克森费尔德变性钙化性
'a'ke'sen'fei'er'de'yin'yi'chang'huo'zong'he'zheng 阿克森费尔德因异常或综合征
'a'ke'si'ta'bing 阿科斯塔病
'a'ku'lei'li'shi'bing 阿库雷里氏病
'a'la'jie'li'zong'he'zheng 阿拉杰里综合征
'a'lao'bo'zhi'pi'yan 阿烙波肢皮炎
'a'li'bei'er'te'shi'bing 阿利贝尔特氏病
'a'luo'shi'tong'kong 阿罗氏瞳孔
'a'mi'ba'bing 阿米巴病
'a'mi'ba'bing'chang'chuan'kong 阿米巴病肠穿孔
'a'mi'ba'bing'dai'jun'zhe 阿米巴病带菌者
'a'mi'ba'bing'xie'dai'zhe 阿米巴病携带者
'a'mi'ba'chang'kui'yang 阿米巴肠溃疡
'a'mi'ba'nao'he'fei'nong'zhong 阿米巴脑和肺脓肿
'a'mi'ba'nao'he'gan'fei'nong'zhong 阿米巴脑和肝肺脓肿
'a'mi'ba'nao'he'gan'nong'zhong 阿米巴脑和肝脓肿
'a'mi'ba'nong'zhong 阿米巴脓肿
'a'mi'ba'pi'yan 阿米巴皮炎
'a'mi'ba'xing'chang'yan 阿米巴性肠炎
'a'mi'ba'xing'fei'nong'zhong 阿米巴性肺脓肿
'a'mi'ba'xing'gan'nong'zhong 阿米巴性肝脓肿
'a'mi'ba'xing'gui'tou'yan 阿米巴性龟头炎
'a'mi'ba'xing'jie'chang'yan 阿米巴性结肠炎
'a'mi'ba'xing'lan'wei'yan 阿米巴性阑尾炎
'a'mi'ba'xing'li'ji 阿米巴性痢疾
'a'mi'ba'xing'nao'mo'nao'yan 阿米巴性脑膜脑炎
'a'mi'ba'xing'nao'nong'zhong 阿米巴性脑脓肿
'a'mi'ba'xing'pi'fu'kui'yang 阿米巴性皮肤溃疡
'a'mi'ba'xing'rou'ya'zhong'a'mi'ba'liu 阿米巴性肉芽肿阿米巴瘤
'a'mi'ba'xing'wai'yin'yan 阿米巴性外阴炎
'a'mi'ba'xing'xin'bao'yan 阿米巴性心包炎
'a'mi'ti'lin'an'ding'yao'yi'wai'zhong'du 阿米替林安定药意外中毒
'a'nuo'de'xi'a'li'shi'zong'he'zheng'a'ji'shi'zong'he'zheng 阿诺德希阿里氏综合征阿基氏综合征
'a'nuo'fei'da'xing'gan'ying'bian 阿诺肥大性肝硬变
'a'nuo'xiao'fa'er'shi'zong'he'zheng 阿诺肖法尔氏综合征
'a'pei'er'shi'zong'he'zheng 阿佩尔氏综合征
'a'pu'zuo'lun'zhong'du 阿普唑伦中毒
'a'sa'qi'bing'du'xing'yan'yan 阿萨奇病毒性咽炎
'a'shuo'fu'xiao'ti 阿朔夫小体
'a'si'pi'lin'shi'yong'ge'ren'shi 阿斯匹林使用个人史
'a'si'pi'lin'yi'wai'zhong'du 阿斯匹林意外中毒
'a'si'po'zong'he'zheng 阿斯珀综合征
'a'tuo'pin'yi'wai'zhong'du 阿托品意外中毒
'a'tuo'pin'zi'sha 阿托品自杀
'a'yang'wei'da'er'shi'zong'he'zheng 阿杨维达尔氏综合征
'a'ye'sa'shi'zong'he'zheng 阿耶萨氏综合征
'ai'bing'kong'bu 癌病恐怖
'ai'bo'la'bing'du'bing 埃博拉病毒病
'ai'bo'si'tan'shi'yi'chang 爱伯斯坦氏异常
'ai'bo'te'zong'he'zheng 艾伯特综合征
'ai'bu'shi'tai'yin'yi'chang 埃布施泰因异常
'ai'de'hua'zi'zong'he'zheng 爱德华兹综合征
'ai'di'sen'shi'ban'hen'ge'da'liu 艾迪森氏瘢痕疙瘩瘤
'ai'di'sheng 艾迪生
'ai'di'sheng'hei'bian'bing 艾迪生黑变病
'ai'di'sheng'jie'he'bing'hei'bing'bian 艾迪生结核病黑病变
'ai'di'sheng'xi'er'de'fu'zheng 艾迪生席尔德复征
'ai'di'shi'zong'he'zheng'tong'kong 艾迪氏综合征瞳孔
'ai'duo'si'shi'pu'er'wei'zong'he'zheng 埃多斯施普尔伟综合征
'ai'er'bu'ying'yang'bu'liang 埃尔布营养不良
'ai'er'tuo'huo'luan 埃尔托霍乱
'ai'er'tuo'xiao'chang'yan 埃尔托小肠炎
'ai'ji'xue'xi'chong'bing'pang'guang'xue'xi'chong'bing 埃及血吸虫病膀胱血吸虫病
'ai'ji'yan'yan 埃及眼炎
'ai'ke'bing'du'gan'ran 埃可病毒感染
'ai'ke'bing'du'yin'qi'de'ji'xing'zhi'qi'guan'yan 艾柯病毒引起的急性支气管炎
'ai'ke'bo'mu'shi'zong'he'zheng 埃克博姆氏综合征
