'bao'liu'bu'tie 保留补贴
'cai'zheng'pei'tao'zhu'fang'gong'ji'jin 财政配套住房公积金
'can'jia'gong'zuo'nian'yue 参加工作年月
'chang'qi'bu'fa 长期补发
'chang'qi'kou'kuan 长期扣款
'chu'sheng'ri'qi 出生日期
'dan'wei'ming'cheng 单位名称
'dang'ci'ji'shu'deng'ji'gong'zi 档次技术等级工资
'dang'yue'bu'fa 当月补发
'dang'yue'kou'kuan 当月扣款
'di'qu'bu'tie 地区补贴
'du'sheng'zi'nv'fei 独生子女费
'gang'wei'gong'zi 岗位工资
'ge'ren'bian'ma 个人编码
'ge'ren'suo'de'shui 个人所得税
'gong'zi'deng'ji'hao 工资登记号
'gong'zi'jie'gou 工资结构
'gong'zi'xing'zhi 工资性质
'gong'zi'xu'hao 工资序号
'gong'zuo'jin'tie 工作津贴
'ji'chu'ji'xiao 基础绩效
'jiang'li'ji'xiao 奖励绩效
'jiang'wen'qu'nuan 降温取暖
'jiao'tong'fei 交通费
'jin'bu'tie'bu'fa 津补贴补发
'jin'bu'tie'he'ji 津补贴合计
'jin'bu'tie'kou'fa 津补贴扣发
'jin'bu'tie'zhang'hao 津补贴帐号
'jing'gong'zi 净工资
'kou'kuan'he'ji 扣款合计
'kou'zhi'ye'nian'jin 扣职业年金
'pai'xu'xu'hao 排序序号
'pei'tao'yang'lao'bao'xian 配套养老保险
'ren'shi'xing'zhi 人事性质
'ren'xian'zhi'shi'jian 任现职时间
'ren'yuan'biao'zhi 人员标识
'ren'yuan'zhuang'tai 人员状态
'ri'qi 日期
'shen'fen'zheng 身份证
'shen'fen'zheng'hao 身份证号
'sheng'huo'bu'tie 生活补贴
'shi'fa'gong'zi 实发工资
'shi'fa'jin'e 实发金额
'shi'fou'ling'dao'zhi'wu 是否领导职务
'te'gang'jin'tie 特岗津贴
'xin'ji 薪级
'xing'bie 性别
'xing'ming 姓名
'xue'li 学历
'yang'lao'bao'xian 养老保险
'yang'lao'bao'xian'pei'tao 养老保险配套
'yi'liao'bao'xian 医疗保险
'yin'hang'zhang'hao 银行帐号
'yin'hang'zhang'hao 银行账号
'ying'fa'he'ji 应发合计
'ying'fa'jin'e 应发金额
'ying'jiao'she'bao'fei 应缴社保费
'yue'zeng'zi 月增资
'zeng'xiang'he'ji 增项合计
'zhi'wu 职务
'zhi'wu'gang'wei'gong'zi 职务岗位工资
'zhi'wu'ji'shu'deng'ji 职务技术等级
'zhi'wu'ji'shu'deng'ji'dang'ci 职务技术等级档次
'zhi'wu'ji'shu'lei'bie 职务技术类别
'zhi'ye'nian'jin 职业年金
'zhu'fang'gong'ji'jin 住房公积金
'zhu'fang'gong'ji'jin'he'ji 住房公积金合计
'zhu'guan'bu'men 主管部门
