'bi'qi'zhen'shi'ye 彼其真是也
'bi'wu'wei'wei'zhen'shi'ye 彼无为谓真是也
'bi'yu'bi'bu'zhi'ye 彼与彼不知也
'bian'ran'er'wan'wu'zi'gu'yi'gu'cun 扁然而万物自古以固存
'bu'yi'nan'hu 不亦难乎
'bu'zhi'da'ye 不知答也
'bu'zhi'ying'wo'ye 不知应我也
'chou'fu'fu'hua'wei'shen'qi 臭腐复化为神奇
'ci'qi'si'zhi'ye 此其似之也
'ci'zhi'wei'ben'gen 此之谓本根
'da'sheng'bu'zuo 大圣不作
'dai'zhi'cheng'ti 待之成体
'dao'bu'ke'zhi 道不可致
'dao'zhi'hua'er'luan'zhi'shou'ye 道之华而乱之首也
'de'bu'ke'zhi 德不可至
'deng'hu'que'zhi'shang 登狐阕之上
'deng'yin'fen'zhi'qiu 登隐弅之丘
'er'du'kuang'qu'yan 而睹狂屈焉
'er'shi'zao'wu'wei'wei'yan 而适遭无为谓焉
'fan'yu'bai'shui'zhi'nan 反于白水之南
'fan'yu'di'gong 反于帝宫
'fei'bu'da 非不答
'fei'bu'wo'gao 非不我告
'fei'bu'wo'ying 非不我应
'fu'zhi'zhe'bu'yan 夫知者不言
'ge'de'qi'xu 各得其序
'gu'sheng'ren'xing'bu'yan'zhi'jiao 故圣人行不言之教
'gu'wan'wu'yi'ye 故万物一也
'gu'yue 故曰
'guan'yu'tian'di'zhi'wei'ye 观于天地之谓也
'he'chu'he'fu'ze'an'dao 何处何服则安道
'he'cong'he'dao'ze'de'dao 何从何道则得道
'he'si'he'lv'ze'zhi'dao 何思何虑则知道
'huang'di'yue 黄帝曰
'hun'ran'ruo'wang'er'cun 惛然若亡而存
'jian'huang'di'er'wen'yan 见黄帝而问焉
'jiang'yu'ruo 将语若
'jin'bi'shen'ming'zhi'jing 今彼神明至精
'jin'yi'wei'wu'ye 今已为物也
'jin'yu'wen'hu'ruo 今予问乎若
'ju'ze'wei'sheng 聚则为生
'ke'yi'guan'yu'tian'yi 可以观于天矣
'kuang'qu'si'zhi 狂屈似之
'kuang'qu'wen'zhi 狂屈闻之
'kuang'qu'yue 狂屈曰
'kuang'qu'zhong'yu'gao'wo'er'bu'wo'gao 狂屈中欲告我而不我告
'li'xiang'wei'ye 礼相伪也
'li'zhe 礼者
'lu'he'wei'ju 六合为巨
'mo'zhi'qi'gen'ye 莫知其根也
'qi'shu'shi'xie 其孰是邪
'qi'suo'e'zhe'wei'chou'fu 其所恶着为臭腐
'qi'wei'da'ren'hu 其唯大人乎
'qi'yi'ye 其易也
'qi'zhi'ju'ye 气之聚也
'qiu'hao'wei'xiao 秋豪为小
'ren'ke'wei'ye 仁可为也
'ren'zhi'sheng 人之生
'ruo'si'sheng'zhi'tu 若死生之徒
'ruo'zhi'zhi 若知之
'san'wen'er'wu'wei'wei'bu'da'ye 三问而无为谓不答也
'san'ze'wei'si 散则为死
'shen'qi'fu'hua'wei'chou'fu 神奇复化为臭腐
'sheng'ren'gu'gui'yi 圣人故贵一
'sheng'ren'zhe 圣人者
'sheng'ye'si'zhi'tu 生也死之徒
'shi'dao'er'hou'de 失道而后德
'shi'de'er'hou'ren 失德而后仁
'shi'gu'zhi'ren'wu'wei 是故至人无为
'shi'qi'suo'mei'zhe'wei'shen'qi 是其所美者为神奇
'shi'ren'er'hou'yi 失仁而后义
'shi'yi'er'hou'li 失义而后礼
'shu'zhi'qi'ji 孰知其纪
'si'shi'you'ming'fa'er'bu'yi 四时有明法而不议
'si'ye'sheng'zhi'shi 死也生之始
'sun'zhi'you'sun'zhi'yi'zhi'yu'wu'wei 损之又损之以至于无为
'tian'di'you'da'mei'er'bu'yan 天地有大美而不言
'tian'xia'mo'bu'shen'fu 天下莫不沈浮
'tong'tian'xia'yi'qi'er 通天下一气耳
'wan'wu'chu'er'bu'zhi 万物畜而不知
'wan'wu'you'cheng'li'er'bu'shuo 万物有成理而不说
'wei'dao'zhe'ri'sun 为道者日损
'wei'li'qi'nei 未离其内
'wo'yu'ru'zhong'bu'jin'ye 我与汝终不近也
'wo'yu'ruo'zhi'zhi 我与若知之
'wu'chu'wu'fu'shi'an'dao 无处无服始安道
'wu'cong'wu'dao'shi'de'dao 无从无道始得道
'wu'si'wu'lv'shi'zhi'dao 无思无虑始知道
'wu'wei'er'wu'bu'wei'ye 无为而无不为也
'wu'wei'wei'bu'wo'ying 无为谓不我应
'wu'wen'kuang'qu 吾问狂屈
'wu'wen'wu'wei'wei 吾问无为谓
'wu'yi'si'sheng'fang'yuan 物已死生方圆
'wu'you'he'huan 吾又何患
'xi'gu'bu'jin 奚故不近
'yan'zhe'bu'zhi 言者不知
'yi'huang'di'wei'zhi'yan 以黄帝为知言
'yi'ke'kui'ye 义可亏也
'yi'qi'bu'zhi'ye 以其不知也
'yi'qi'wang'zhi'ye 以其忘之也
'yi'qi'zhi'zhi'ye 以其知之也
'yin'yang'si'shi'yun'xing 阴阳四时运行
