'a'zhu 阿珠
'ba'li'zhuang 八里庄
'bai'hu'gang'dan'yi 白虎钢胆衣
'bai'kai'xin 白开心
'bai'san'niang 白三娘
'bai'zhan'tang 白展堂
'bang'pai'guan'li'yuan 帮派管理员
'bang'pai'ren'wu 帮派任务
'bang'pai'sheng'ji'shi'zhe 帮派升级使者
'bao'bao'tu 抱抱兔
'bei'hui'feng 悲回风
'bei'jiao 北郊
'bi'lei 薜雷
'bian'que 边鹊
'cai'feng 裁缝
'cai'feng'liang 裁缝梁
'cai'hua'zei 采花贼
'can'yang'dao 残阳岛
'cang'ku'guan'li'yuan 仓库管理员
'cang'lang 苍狼
'cang'mang 苍茫
'chan'juan'zhi'pao 婵娟之袍
'chang'bi'yuan'guai 长臂猿怪
'chang'ge 长歌
'chao'ting'qin'chai 朝廷钦差
'chen'xi'cao'yuan 晨曦草原
'cheng'xiang 丞相
'cheng'xue'er 程雪儿
'chi'hou 斥候
'chong'wu'guan'li'yuan 宠物管理员
'chou'tian 仇天
'chu'chang'ge 楚长歌
'chu'jing'xiang 楚婧翔
'chuan'song'shi 传送师
'chuan'song'shi'feng'yi'ying 传送师风逸影
'chun'qiu'zhi'yi 春秋之衣
'ci'bei 慈悲
'cong'lin'yi'ji 丛林遗迹
'cong'lin'zhan'shi 丛林战士
'cui'xiong'chen 摧凶辰
'cun'zhang 村长
'da'dao 大道
'da'ma'hou 大马猴
'da'yu'zhi'yi 大禹之衣
'dai'dao'kuang'gong 带刀矿工
'dao'bing 刀兵
'dao'zei 盗贼
'dao'zhi'zhi'xue 盗跖之靴
'di'nv'hua 帝女花
'di'zi 弟子
'die'cui'ling 叠翠岭
'dong'jiao 东郊
'dou'ni'wan 窦倪玩
'du'cheng 都城
'du'ruo'xie 杜若鞋
'du'yan'dai'tu 独眼歹徒
'duan'chen'feng 段尘风
'duan'yu'yan 段语嫣
'duan'zhi'xuan'yuan 断指轩辕
'dui'zhang 队长
'e'shao 恶少
'e'yu'shui'jing 鳄鱼水晶
'fa'mu'chang 伐木场
'fan'li'hua'zhi'lv 樊梨花之履
'fei'lian'jia 飞廉甲
'feng'ling'xiao 凤凌宵
'feng'ling'xue 凤凌雪
'feng'liu'dao'ke 风流刀客
'feng'liu'mang'xia 风流盲侠
'feng'man'ying 风漫影
'feng'san'niang 凤三娘
'feng'xian'yu 凤纤羽
'feng'zhong'he 风中鹤
'fu'hao'zhi'kai 妇好之铠
'fu'rong'nv'xia 芙蓉女侠
'fu'xi 符曦
'fu'xi'zhi'chi 伏曦之尺
'gai'bang'di'zi 丐帮弟子
'gai'bang'zhang'lao 丐帮长老
'gong'chang'zhang 恭长张
'gong'gong'yi 共工衣
'gong'shou 弓手
'gong'sun'wu'long 公孙乌龙
'gu'chang'feng 顾长风
'gu'qing'feng 顾青锋
'gu'qing'niu 古青牛
'gu'xuan'ji 顾玄机
'guan'yin'xie 观音鞋
'guang'wu 光武
'gui'lian 鬼脸
'gui'wu'ji 归无计
'gui'xu'xue 归墟靴
'guo'fu'rong 郭芙蓉
'guo'ya'peng 郭亚鹏
'hai'kou 海寇
'hai'kou'tou'mu 海寇头目
'hao'jie 浩劫
'he'tie'shou 何铁手
'hei'feng'zhai 黑风寨
'heng'e'zhi'yi 恒娥之衣
'hong'jun'pao 洪钧袍
'hong'meng 鸿蒙
'hong'ming 红名
'hong'xiu 红袖
'hong'yu'jia 红玉甲
'hou'pi'ye'zhu 厚皮野猪
'hou'tu'kai 后土铠
'hou'yi'jia 后羿甲
'hu'bu'tian 胡步天
'hu'fa'shi'zhe 护法使者
'hu'you 胡悠
'hua'he'shang 花和尚
'hua'jian'xiu 花见羞
'hua'jie'yu 花解语
'hua'man'lou 花漫楼
'hua'mu'lan'zhi'kui 花木兰之盔
'hua'rui'fu'ren'xie 花蕊夫人鞋
'hua'ruo'die 花若蝶
'hua'shen'zhi'jia 花神之甲
'hua'wu'ying 花舞影
'hua'yao 花妖
'huang'cheng'dao'bing 皇城刀兵
'huang'cheng'gong'shou 皇城弓手
'huang'cheng'jian'shi 皇城剑士
'huang'cheng'jin'wei 皇城禁卫
'huang'cheng'jin'wei'chang 皇城禁卫长
'huang'cheng'qiang'bing 皇城枪兵
'huang'cheng'shi'wei 皇城侍卫
'huang'cheng'shu'shi 皇城术士
'huang'jia'lie'chang 皇家猎场
'huang'ling 皇陵
'huang'tian'dang'zhi'kui 黄天荡之盔
'huang'wu'cun'luo 荒芜村落
'hun'dun 混沌
'hun'jing 魂晶
'huo'lang 货郎
'huo'lang'na'lan'ruo 货郎纳兰若
'huo'xiao'yu 霍小玉
'huo'xie 火蝎
'huo'yuan'zhen 霍元真
'ji'dou 计都
'ji'feng 疾风
'jia'yun'chang 贾云长
'jian'chi'hu 剑齿虎
'jian'di'zhi'kui 简狄之盔
'jian'ke 剑客
'jian'ruo'hong 剑若虹
'jian'shi 剑士
'jiang'jun 将军
'jin'hua'po'po 金花婆婆
'jin'shen 晋绅
'jin'wei 禁卫
'jin'wei'chang 禁卫长
'jing'cheng 京城
'jing'lian'shi 精炼师
'jing'wei'zhi'mao 精卫之帽
'ju'lu'zhi'xie 俱卢之鞋
'ju'xian'zhuang 聚贤庄
'jue'ming'shen'jian 绝命神剑
'jue'shi 绝世
'kai'guo'lv 开国履
'kai'huang 开黄
'ke'lan 柯蓝
'kong'lin 孔林
'ku'lou'jiang'jun 骷髅将军
'ku'lou'pao'shou 骷髅炮手
'ku'rong 枯荣
'kuang'gong'tou'mu 矿工头目
'kuang'lang'dou'shi 狂狼斗士
'kuang'lang'gu 狂狼谷
'kuang'tian'you 况天佑
'lan'yao 蓝遥
'lao'jun'pao 老君袍
'lao'yin'ta 烙印塔
'lao'yin'zhi'hen 烙印之痕
'lao'yin'zhi'ta 烙印之塔
'lei'di'zhi'gu 雷帝之骨
'lei'jiu'xiao 雷九霄
'lei'tian'ba 雷天霸
'lei'tian'you 雷天佑
'lei'ting'ping'yuan 雷霆平原
'leng'han'yu 冷寒羽
'li'ba'shan'xi'qi'gai'shi 力拔山兮气盖世
