'ban'ji'xiao'ban 班级小班
'chu'sheng'nian'yue 出生年月
'fu'qin 父亲
'gong'zuo'dan'wei'dai'ye 工作单位待业
'gong'zuo'dan'wei'nan'feng'xian'si'fa'ju 工作单位南丰县司法局
'hu'ji'di'zhi'nan'feng'xian'qin'cheng'zhen 户籍地址南丰县琴城镇
'hu'kou'fei'nong'hu 户口非农户
'lian'xi'dian'hua 联系电话
'mu'qin 母亲
'ru'xue'lei'xing'xin'sheng 入学类型新生
'shen'fen'zheng'hao 身份证号
'shi'fou'jie'song'bu'jie'song 是否接送不接送
'xing'bie'nv 性别女
'xing'ming'chang'cai 姓名常财
'xing'ming'jie'xiao'nv 姓名揭小女
'yan'zheng'ma 验证码
'you'er'xing'ming'chang'yi'xin 幼儿姓名常意欣
'yuan'qu'xin'yuan 园区新园
