'ai'gan'huang'tian'xi'cheng'wei'hui 哀感皇天兮城为隳
'ai'gong'shi'san'nian'chuan 哀公十三年传
'ai'mu'ge 哀慕歌
'ai'qi'fa'zhi'fei 爱弃发之费
'ai'sang'fu'xin 哀丧腹心
'ai'shi'liu'nian 哀十六年
'an'he'zhi'gui 闇河之桂
'an'jue'fang'chan 安厥房产
'an'le'bi'jing 安乐必敬
'an'ning'qi'chu 安宁其处
'an'qi'rang'tu 安其壌土
'an'suo'geng 安所耕
'an'suo'geng'li'shan'pan'xi 安所耕历山盘兮
'an'suo'gui'geng'li'shan'pan'xi 安所归耕历山盘兮
'an'wei 安危
'an'wei'pian 安危篇
'an'wu'wang'wei 安无忘危
'an'zhi'bu'wei'hu 安知不为虎
'ao'xia 骜夏
'ao'xiang'yu 翱翔于
'ba'bo'ge 八伯歌
'ba'di'xian'min 巴地先民
'ba'feng'hui'hui 八风回回
'ba'la'bu'shen 拔剌不深
'ba'ren 巴人
'ba'ren'diao'ge 巴人嬥歌
'ba'shi'zhi'hou 八世之后
'ba'shuo'pian 八说篇
'ba'tian'xia 霸天下
'ba'yao'ge 巴谣歌
'ba'yu'qu'ye 巴渝曲也
'ba'zhang 八章
'ba'zhi 巴志
'ba'zhi'bing'shi'gui'yu'tu'hai'ye 八枝并使归于徒骇也
'ba'zhi'pian 巴志篇
'bai'bi'bu'ke'wei 白璧不可为
'bai'cao'xian'chun 百草咸淳
'bai'di'zi'ge 白帝子歌
'bai'er'shi'ri'wei'yi'ye 百二十日为一夜
'bai'fa'xuan 白发玄
'bai'gong'xi'zai 百工熙哉
'bai'hu'tong 白虎通
'bai'hu'tong'shu'zheng 白虎通疏证
'bai'jin'bu'xing 百金不刑
'bai'jin'zhi'zi'bu'qi'heng 百金之子不骑衡
'bai'li'bu'fan'qiao 百里不贩樵
'bai'li'xi 百里奚
'bai'li'xi'ci 百里奚词
'bai'li'xi'ge 百里奚歌
'bai'qu'qi'hou 白渠起后
'bai'ren'jiao'qian 白刃交前
'bai'ri'fei'wo'zhu 白日非我烛
'bai'sha'zai'ni 白沙在泥
'bai'sha'zai'ni'zhong 白沙在泥中
'bai'shi'lan 白石烂
'bai'shou'ji'zhi 拜受祭之
'bai'shui 白水
'bai'si'shi'wu 百四十五
'bai'tie 白帖
'bai'tou'er'xin 白头而新
