'ai'e'xiang'gong'er'ji'xiong'sheng 爱恶相攻而吉凶生
'an'de'qin'ye 安得禽也
'an'jie 安节
'an'jie'zhi'heng 安节之亨
'an'min'zhi 安民志
'an'qi'wei'zhe'ye 安其位者也
'an'tu'dun'hu'ren 安土敦乎仁
'an'xing'ye 安行也
'an'zhai 安宅
'an'zhen 安贞
'an'zhen'zhi'ji 安贞之吉
'ba'gua'cheng'lie 八卦成列
'ba'gua'ding'ji'xiong 八卦定吉凶
'ba'gua'er'xiao'cheng 八卦而小成
'ba'gua'xiang'cuo 八卦相错
'ba'gua'yi'xiang'gao 八卦以象告
'ba'mao'ru 拔茅茹
'ba'mao'zhen'ji 拔茅贞吉
'ba'mao'zheng'ji 拔茅征吉
'bai'ben 白贲
'bai'ben'wu'jiu 白贲无咎
'bai'gu'cao'mu'li'hu'tu 百谷草木丽乎土
'bai'guan'yi'zhi 百官以治
'bai'ma'han'ru 白马翰如
'bai'si'shi'you'si 百四十有四
'bai'wu'bu'fei 百物不废
'bai'xing'ri'yong'bu'zhi 百姓日用不知
'bai'xing'yu'neng 百姓与能
'bao'cheng 包承
'bao'he'da'he 保合大和
'bao'huang 包荒
'bao'meng'ji 包蒙吉
'bao'qi'cun'zhe'ye 保其存者也
'bao'wu'yu 包无鱼
'bao'xi'shi'mei 包羲氏没
'bao'xiu 包羞
'bao'you'yu 包有鱼
'bei'er'bu'ke'yu 卑而不可踰
'bei'fa'di 卑法地
'bei'gao'yi'chen 卑高以陈
'bei'wu'zhi'yong 备物致用
'bei'ye 惫也
'bei'yi'zi'mu'ye 卑以自牧也
'ben'gua'zhong 贲卦终
'ben'hu'di'zhe'qin'xia 本乎地者亲下
'ben'hu'tian'zhe'qin'shang 本乎天者亲上
'ben'mo'ruo'ye 本末弱也
'ben'mo'ye 本末也
'ben'qi'xu 贲其须
'ben'qi'zhi 贲其趾
'ben'ru'po'ru 贲如皤如
'ben'ru'ru'ru 贲如濡如
'ben'wu'se'ye 贲无色也
'ben'yu'qiu'yuan 贲于丘园
'ben'zhe'shi'ye 贲者饰也
'bi'bi'you'suo'chu'ye 比必有所畜也
'bi'fan'qi'jia 必反其家
'bi'fan'xia 必反下
'bi'gua'zhong 比卦终
'bi'ji 必济
'bi'jue 必决
'bi'kun 必困
'bi'le 比乐
'bi'luan'bang'ye 必乱邦也
'bi'xing'zhi 必行之
'bi'yi 必益
'bi'you'shi 必有事
'bi'you'yu'qing 必有馀庆
'bi'you'yu'yang 必有馀殃
'bi'yu 必豫
'bi'zhan 必战
'bi'zhe'bi'ye 比者比也
'bi'zhi'chu'liu 比之初六
'bi'zhi'fei'ren 比之匪人
'bi'zhi'wu'shou 比之无首
'bi'zhi'zi'nei 比之自内
'bian'dong'bu'ju 变动不居
'bian'dong'yi'li'yan 变动以利言
'bian'er'tong'zhi'yi'jin'li 变而通之以尽利
'bian'hua'jian'yi 变化见矣
'bian'hua'yun'wei 变化云为
'bian'hua'zhe 变化者
'bian'ji'xiong'zhe 辩吉凶者
'bian'shi'yu'fei 辨是与非
'bian'tong'mo'da'hu'si'shi 变通莫大乎四时
'bian'wu'zheng'yan 辨物正言
'bian'zai'qi'zhong'yi 变在其中矣
'bian'ze'tong 变则通
'bing'shou'qi'fu 并受其福
'bo'chuang'yi'bian 剥牀以辨
'bo'chuang'yi'fu 剥牀以肤
'bo'chuang'yi'zu 剥牀以足
'bo'gua'zhong 剥卦终
'bo'lan'ye 剥烂也
'bo'neng'lv 跛能履
'bo'neng'lv'ji 跛能履吉
'bo'qiong'shang'fan'xia 剥穷上反下
'bo'ye 剥也
'bo'zhe'bo'ye 剥者剥也
'bo'zhi 剥之
'bo'zhi'wu'jiu 剥之无咎
'bu'cheng'hu'ming 不成乎名
'bu'chu'hu'ting 不出户庭
'bu'chu'men'ting 不出门庭
'bu'du'fu'ye 不独富也
'bu'e'er'yan 不恶而严
'bu'fan'nan'xing'ye 不犯难行也
'bu'fan'zai'ye 不犯灾也
'bu'feng'bu'shu 不封不树
'bu'fu 不富
'bu'fu'yuan 不复远
'bu'geng'huo 不耕获
'bu'gu'fou'er'ge 不鼓缶而歌
'bu'hai'min 不害民
'bu'heng'qi'de 不恒其德
'bu'huo'qi'shen 不获其身
'bu'ji'qi'jun 不及其君
'bu'jia'shi'ji 不家食吉
'bu'jian'li'er'bu'quan 不见利而不劝
'bu'jian'qi'qi 不见其妻
'bu'jian'qi'ren 不见其人
'bu'jian'shi'er'wu'men 不见是而无闷
'bu'jie'ruo 不节若
'bu'jie'yi'fu 不戒以孚
'bu'jie'zhi'jie 不节之嗟
'bu'ke'da'shi 不可大事
'bu'ke'da'shi'ye 不可大事也
'bu'ke'ji'zhen 不可疾贞
'bu'ke'jiu'ye 不可咎也
'bu'ke'luan'ye 不可乱也
'bu'ke'rong'yi'lu 不可荣以禄
'bu'ke'ru'he'ye 不可如何也
'bu'ke'she'da'chuan 不可涉大川
'bu'ke'shi'ye 不可试也
'bu'ke'song 不克讼
'bu'ke'wei'qu'yao 不可为曲要
'bu'ke'yi'bu'jiu'ye 不可以不久也
'bu'ke'yi'you'fu'ye 不可以有辅也
'bu'ke'yi'you'wei'ye 不可以有为也
'bu'ke'yu'chang'ye 不可与长也
'bu'ke'yuan 不可远
'bu'ke'zhen 不可贞
'bu'ke'zheng 不克征
'bu'li'bin 不利宾
'bu'li'dong'bei 不利东北
'bu'li'ji'rong 不利即戎
'bu'li'jun'zi'zhen 不利君子贞
'bu'li'she'da'chuan 不利涉大川
'bu'li'wei'kou 不利为寇
'bu'li'you'you'wang 不利有攸往
'bu'li'yuan'zhe 不利远者
'bu'luan'qun'ye 不乱群也
'bu'ming'hui 不明晦
'bu'neng'sui 不能遂
'bu'neng'tui 不能退
'bu'neng'zheng'shi'ye 不能正室也
'bu'ning'fang'lai 不宁方来
'bu'qi'jia 蔀其家
'bu'rao'hu'xia'ye 不桡乎下也
'bu'ru'qi'di'zhi'mei'liang 不如其娣之袂良
'bu'ru'qi'di'zhi'mei'liang'ye 不如其娣之袂良也
'bu'ru'xi'lin'zhi'shi'ye 不如西邻之时也
'bu'ru'xi'lin'zhi'yue'ji 不如西邻之禴祭
'bu'sang'bi'chang 不丧匕鬯
'bu'shan'qian'li'zhi'wai'wei'zhi 不善千里之外违之
'bu'shang'cai 不伤财
'bu'sheng'er'wang 不胜而往
'bu'shi'wang'hou 不事王侯
'bu'shi'ye 不失也
'bu'su'bao'ye 不素饱也
'bu'su'zhi'ke'lai 不速之客来
'bu'wang'he'zai'ye 不往何灾也
'bu'wei'bu'cheng 不威不惩
'bu'wei'bu'yi 不畏不义
'bu'wei'ze'ye 不违则也
'bu'wo'neng'ji 不我能即
'bu'xi'ren 不咥人
'bu'xi'wu'bu'li 不习无不利
'bu'xia'yi 不遐遗
'bu'xiang'ye 不祥也
'bu'xiang'yu'ye 不相与也
'bu'xing'er'zhi 不行而至
'bu'xing'ye 不行也
'bu'xu'zhong'ye 不续终也
'bu'yan'er'xin 不言而信
'bu'yan'suo'li 不言所利
'bu'yang'ze'bu'ke'dong 不养则不可动
'bu'yi'hu'shi 不易乎世
'bu'yi'shang'hu 不亦伤乎
'bu'yi'shang'yi'xia 不宜上宜下
'bu'yong'suo'shi 不永所事
'bu'you'gong 不有躬
'bu'yuan'zhi'fu 不远之复
'bu'zheng'qi'sui 不拯其随
'bu'zhong'ri 不终日
'bu'zi'she 不菑畲
'bu'zi'shi'ye 不自失也
'bu'zu'yi'cheng'ming 不足以成名
'bu'zu'yi'mie'shen 不足以灭身
'bu'zu'yi'you'ming'ye 不足以有明也
'bu'zu'yi'yu'xing'ye 不足以与行也
'can'wu'yi'bian 参伍以变
'cang'zhu'yong 藏诸用
'cao'mu'fan 草木蕃
'chang'yu'er'bu'she 长裕而不设
'chen'bu'ke'guo'ye 臣不可过也
'chen'bu'mi 臣不密
'chen'dao'ye 臣道也
'chen'shi'qi'jun 臣弑其君
'cheng'er'yin 称而隐
'cheng'fu'yu'huang 城复于隍
'cheng'gang'ye 乘刚也
'cheng'ma'ban'ru 乘马班如
'cheng'mu'you'gong'ye 乘木有功也
'cheng'mu'zhou'xu'ye 乘木舟虚也
'cheng'qi'yong 乘其墉
'cheng'shang'dao'ye 承上道也
'cheng'tian'chong'ye 承天宠也
'cheng'tian'er'shi'xing 承天而时行
'cheng'tian'xia'zhi'wei'wei'zhe 成天下之亹亹者
'cheng'wu'ping'shi 称物平施
'cheng'xiang'zhi'wei'qian 成象之谓乾
'cheng'xing'cun'cun 成性存存
'cheng'xu'kuang'ye 承虚筐也
'cheng'yan'hu'gen 成言乎艮
'cheng'yi'de'ye 承以德也
'cheng'you'yu 成有渝
'cheng'zhi'zhe'xing'ye 成之者性也
'chi'gui'you'shi 迟归有时
'chi'huo'zhi'qu 尺蠖之屈
'chi'you'hui 迟有悔
'chong'chong'wang'lai 憧憧往来
'chong'gao'mo'da'hu'fu'gui 崇高莫大乎富贵
'chong'xiao'tian 崇效天
'chou'li'zhi 畴离祉
'chou'ru 愁如
'chu'chen'qie'ji 畜臣妾吉
'chu'ci'ni'zhi 初辞拟之
'chu'deng'yu'tian 初登于天
'chu'ji 初吉
'chu'ji'zhong'luan 初吉终乱
'chu'jiu 初九
'chu'jiu'yu'ji 初九虞吉
'chu'jiu'yue 初九曰
'chu'ke'yi'shou'zong'miao'she'ji 出可以守宗庙社稷
'chu'lei'er'chang'zhi 触类而长之
'chu'liu 初六
'chu'liu'ming'yu 初六鸣豫
'chu'liu'tong'guan 初六童观
'chu'liu'zhi'ji 初六之吉
'chu'lv'qi'ci 初率其辞
'chu'men'jiao'you'gong 出门交有功
'chu'men'tong'ren 出门同人
'chu'pin'niu 畜牝牛
'chu'qi'yan 出其言
'chu'ru'wu'ji 出入无疾
'chu'shi'gao 初噬告
'chu'ti'tuo'ruo 出涕沱若
'chu'yu'men'ting 出于门庭
'chu'zi'xue 出自穴
'chui'qi'yi 垂其翼
'chui'yi'shang'er'tian'xia'zhi 垂衣裳而天下治
'chun'cui'jing'ye 纯粹精也
'ci'suo'yi'cheng'bian'hua'er'xing'gui'shen'ye 此所以成变化而行鬼神也
'ci'xiao'ren'zhi'fu'ye 此小人之福也
'ci'ye'zhe 辞也者
'ci'you'xian'yi 辞有险易
'ci'zhi'wei'ye 此之谓也
'ci'zhi'wei'yi'zhi'dao'ye 此之谓易之道也
'cong'bu'ming'ye 聪不明也
'cong'fu'xiong'ye 从妇凶也
'cong'huo'qiang'zhi 从或戕之
'cong'shang'ji'ye 从上吉也
'cong'yi'er'zhong'ye 从一而终也
'cong'zheng'ji'ye 从正吉也
'cui'gua'zhong 萃卦终
'cui'ju 萃聚
'cui'ru 摧如
'cui'ru 萃如
'cui'you'wei 萃有位
'cui'zhe'ju'ye 萃者聚也
'cun'er'bu'wang'wang 存而不忘亡
'cun'hu'bian 存乎变
'cun'hu'ci 存乎辞
'cun'hu'de'xing 存乎德行
'cun'hu'gua 存乎卦
'cun'hu'hui 存乎悔
'cun'hu'jie 存乎介
'cun'hu'qi'ren 存乎其人
'cun'hu'tong 存乎通
'cun'hu'wei 存乎位
'cuo'zong'qi'shu 错综其数
'da'che'yi'zai 大车以载
'da'cheng'ye 大成也
'da'chu 大畜
'da'chu'gua'zhong 大畜卦终
'da'chu'shi'ye 大畜时也
'da'de'min'ye 大得民也
'da'de'zhi'ye 大得志也
'da'guan'zai'shang 大观在上
'da'guo 大过
'da'guo'dian'ye 大过颠也
'da'guo'gua'zhong 大过卦终
'da'guo'zhi'shi'yi'da'yi'zai 大过之时义大矣哉
'da'heng'yi'zheng 大亨以正
'da'heng'zhen 大亨贞
'da'ji 大吉
'da'ji'wu'jiu 大吉无咎
'da'jian'peng'lai 大蹇朋来
'da'jun'you'ming 大君有命
'da'jun'zhi'yi 大君之宜
'da'ming'shi'zhong 大明始终
'da'ren'fou'heng 大人否亨
'da'ren'hu'bian 大人虎变
'da'ren'ji 大人吉
'da'ren'yi'ji'ming'zhao'yu'si'fang 大人以继明照于四方
'da'ren'zao'ye 大人造也
'da'ren'zhi'ji 大人之吉
'da'shi'ke'xiang'yu 大师克相遇
'da'shi'xiang'yu 大师相遇
'da'wang'xiao'lai 大往小来
'da'wu'gong'ye 大无功也
'da'wu'sang'ye 大无丧也
'da'yan'zhi'shu'wu'shi 大衍之数五十
'da'ye 大也
'da'yi'zai 大矣哉
'da'you 大有
'da'you'chu'jiu 大有初九
'da'you'de 大有得
'da'you'gua'zhong 大有卦终
'da'you'qing'ye 大有庆也
'da'you'shang'ji 大有上吉
'da'you'zhong'ye 大有众也
'da'zai'qian'hu 大哉乾乎
'da'zai'qian'yuan 大哉乾元
'da'zhe'guo'ye 大者过也
'da'zhe'zheng'ye 大者正也
'da'zhe'zhuang'ye 大者壮也
'da'zhen'xiong 大贞凶
'da'zheng'ye 大正也
'da'zhong'er'shang'xia'ying'zhi 大中而上下应之
'da'zhuang 大壮
'da'zhuang'gua'zhong 大壮卦终
'da'zhuang'li'zhen 大壮利贞
'da'zhuang'ze'zhi 大壮则止
'dai'nan'xing'ye 待男行也
'dai'shi'er'dong 待时而动
'dang'qi'zhi'ri 当期之日
'dang'wan'wu'zhi'shu'ye 当万物之数也
'dang'wei'shi'ye 当位实也
'dang'wei'yi'jie 当位以节
'dang'wei'yi'ye 当位疑也
'dang'wei'zhen'ji 当位贞吉
'dang'wen'wang'yu'zhou'zhi'shi'xie 当文王与纣之事邪
'dao'bu'xu'xing 道不虚行
'dao'da'bei'ye 道大悖也
'dao'da'xing'ye 道大行也
'dao'si'duo'yi 盗思夺矣
'dao'si'fa'zhi'yi 盗思伐之矣
'dao'wei'guang'ye 道未光也
'dao'yi'zhi'men 道义之门
'dao'you'bian'dong 道有变动
'dao'zhi'zhao'ye 盗之招也
'de'bo'er'hua 德博而化
'de'chen'wu'jia 得臣无家
'de'dang'ye 得当也
'de'di 得敌
'de'he'wu'jiang 德合无疆
'de'huang'jin 得黄金
'de'huang'shi 得黄矢
'de'ji'zai'ye 德积载也
'de'jin'shi 得金矢
'de'qi'da'shou 得其大首
'de'qi'suo'gui'zhe'bi'da 得其所归者必大
'de'qi'zi'fu 得其资斧
'de'qie'yi'qi'zi 得妾以其子
'de'shang'yu'zhong'hang 得尚于中行
'de'shi'pu'ye 德施普也
'de'suo'yuan'ye 得所愿也
'de'tong'pu'zhen 得童仆贞
'de'xing'heng 德行恒
'de'xing'heng'jian'yi'zhi'zu 德行恒简以知阻
'de'yan'sheng 德言盛
'de'yuan'ye 得愿也
'de'zhi'ben'ye 德之本也
'de'zhi'bian'ye 德之辨也
'de'zhi'bing'ye 德之柄也
'de'zhi'di'ye 德之地也
'de'zhi'gu'ye 德之固也
'de'zhi'ji'ye 德之基也
'de'zhi'sheng'ye 德之盛也
'de'zhi'xiu'ye 德之修也
'de'zhi'ye 得志也
'de'zhi'yu'ye 德之裕也
'de'zhi'zhi'ye 德之制也
'de'zhong'dao'ye 得中道也
'de'zhong'er'ying'hu'gang 得中而应乎刚
'de'zhong'ye 得中也
'di'ba'gua 第八卦
'di'ba'zhang 第八章
'di'chu'hu'zhen 帝出乎震
'di'dao'bei'er'shang'xing 地道卑而上行
'di'dao'bian'ying'er'liu'qian 地道变盈而流谦
'di'dao'guang'ye 地道光也
'di'dao'wu'cheng 地道无成
'di'dao'ye 地道也
'di'di 弟弟
'di'er'gua 第二卦
'di'er'shi'ba'gua 第二十八卦
'di'er'shi'er'gua 第二十二卦
'di'er'shi'gua 第二十卦
'di'er'shi'jiu'gua 第二十九卦
'di'er'shi'liu'gua 第二十六卦
'di'er'shi'qi'gua 第二十七卦
'di'er'shi'san'gua 第二十三卦
'di'er'shi'si'gua 第二十四卦
'di'er'shi'wu'gua 第二十五卦
'di'er'shi'yi'gua 第二十一卦
'di'er'zhang 第二章
'di'feng'sheng 地风升
'di'gang'ye 敌刚也
'di'huo'ming'yi 地火明夷
'di'jiu'gua 第九卦
'di'jiu'zhang 第九章
'di'lei'fu 地雷复
'di'liu'gua 第六卦
'di'liu'shi'er'gua 第六十二卦
'di'liu'shi'gua 第六十卦
'di'liu'shi'san'gua 第六十三卦
'di'liu'shi'si'gua 第六十四卦
'di'liu'shi'yi'gua 第六十一卦
'di'liu'zhang 第六章
'di'qi'gua 第七卦
'di'qi'zhang 第七章
'di'san'gua 第三卦
'di'san'shi'ba'gua 第三十八卦
'di'san'shi'er'gua 第三十二卦
'di'san'shi'gua 第三十卦
'di'san'shi'jiu'gua 第三十九卦
'di'san'shi'liu'gua 第三十六卦
'di'san'shi'qi'gua 第三十七卦
'di'san'shi'san'gua 第三十三卦
'di'san'shi'si'gua 第三十四卦
'di'san'shi'wu'gua 第三十五卦
'di'san'shi'yi'gua 第三十一卦
'di'san'zhang 第三章
'di'shan'qian 地山谦
'di'shang'you'shui 地上有水
'di'shi'ba'gua 第十八卦
'di'shi'er'gua 第十二卦
'di'shi'er'zhang 第十二章
'di'shi'gua 第十卦
'di'shi'jiu'gua 第十九卦
'di'shi'kun 地势坤
'di'shi'liu'gua 第十六卦
'di'shi'qi'gua 第十七卦
'di'shi'san'gua 第十三卦
'di'shi'si'gua 第十四卦
'di'shi'wu'gua 第十五卦
'di'shi'yi'gua 第十一卦
'di'shi'yi'zhang 第十一章
'di'shi'zhang 第十章
'di'shu'san'shi 地数三十
'di'shu'wu 地数五
'di'shui'shi 地水师
'di'si'gua 第四卦
'di'si'shi'ba'gua 第四十八卦
'di'si'shi'er'gua 第四十二卦
'di'si'shi'gua 第四十卦
'di'si'shi'jiu'gua 第四十九卦
'di'si'shi'liu'gua 第四十六卦
'di'si'shi'qi'gua 第四十七卦
'di'si'shi'san'gua 第四十三卦
'di'si'shi'si'gua 第四十四卦
'di'si'shi'wu'gua 第四十五卦
'di'si'shi'yi'gua 第四十一卦
'di'si'zhang 第四章
'di'tian'fou 地天否
'di'wu'gua 第五卦
'di'wu'shi'ba'gua 第五十八卦
'di'wu'shi'er'gua 第五十二卦
'di'wu'shi'gua 第五十卦
'di'wu'shi'jiu'gua 第五十九卦
'di'wu'shi'liu'gua 第五十六卦
'di'wu'shi'qi'gua 第五十七卦
'di'wu'shi'san'gua 第五十三卦
'di'wu'shi'si'gua 第五十四卦
'di'wu'shi'wu'gua 第五十五卦
'di'wu'shi'yi'gua 第五十一卦
'di'wu'zhang 第五章
'di'xian'shan'chuan'qiu'ling'ye 地险山川丘陵也
'di'yang'chu'fan 羝羊触藩
'di'yi'gua 第一卦
'di'yi'gui'mei 帝乙归妹
'di'yi'zhang 第一章
'di'ze'lin 地泽临
'di'zhong'sheng'mu 地中生木
'di'zhong'you'shan 地中有山
'di'zhong'you'shui 地中有水
'di'zi'yu'shi 弟子舆尸
'di'zi'yu'shi 弟子舆师
'dian'yi 颠颐
'dian'yi'ji 颠颐吉
'dian'yi'zhi'ji 颠颐之吉
'die'yong'rou'gang 迭用柔刚
'ding'dian'zhi 鼎颠趾
'ding'er'ge 鼎耳革
'ding'gua'zhong 鼎卦终
'ding'huang'er 鼎黄耳
'ding'huang'er'jin'xuan 鼎黄耳金铉
'ding'qi'jiao'er'hou'qiu 定其交而后求
'ding'qu'xin'ye 鼎取新也
'ding'tian'xia'zhi'ji'xiong 定天下之吉凶
'ding'you'shi 鼎有实
'ding'yu'xuan 鼎玉铉
