'a'ba'du'lu'zhe'na 阿跋度路柘那
'a'ba'duo'luo 阿跋多罗
'a'ba'mo'luo 阿跋摩罗
'a'ba'ye'qi'li 阿跋耶祇厘
'a'ban'lan'de'jia 阿般兰得迦
'a'ban'ti 阿般提
'a'bang 阿傍
'a'bei'luo'hong'qian 阿卑罗吽欠
'a'bi 阿鼻
'a'bi'da'cheng 阿鼻大城
'a'bi'di'yu 阿鼻地狱
'a'bi'huan'di'yu 阿鼻唤地狱
'a'bi'jiao're'di'yu 阿鼻焦热地狱
'a'bi'luo'ti 阿比罗提
'a'bi'mu'qu 阿比目佉
'a'bi'mu'qu'yin'ming 阿比目佉印明
'a'bi'tuo'jie'ci'na 阿避陀羯刺拏
'a'bi'zhi 阿鼻旨
'a'bing 阿鞞
'a'bing'ba'zhi 阿鞞跋致
'a'bo'di'bo'la'di'ti'she'na 阿钵底钵喇底提舍那
'a'bo'hui 阿波会
'a'bo'ji'duo 阿波笈多
'a'bo'lan'duo'jia 阿波兰多迦
'a'bo'li'qu'tuo'ni 阿钵唎瞿陀尼
'a'bo'luo 阿波罗
'a'bo'luo'luo 阿波罗啰
'a'bo'luo'luo'long'quan 阿波逻罗龙泉
'a'bo'luo'mo'na'a'po 阿波罗摩那阿婆
'a'bo'luo'mo'na'po'bo'li'duo'po 阿钵罗摩那婆钵利多婆
'a'bo'luo'ti'mu'jia 阿波罗提目伽
'a'bo'luo'zhi'duo 阿波罗质多
'a'bo'mo'li'jia 阿波末利加
'a'bo'mo'luo 阿波摩罗
'a'bo'mo'na 阿波摩那
'a'bo'na'jia'di 阿波那伽低
'a'bo'po'me'luo 阿跛婆么啰
'a'bo'ta'na 阿波他那
'a'bo'yi'na 阿波阤那
'a'cha'mo 阿差末
'a'cha'mo'luo 阿叉摩罗
'a'cha'mo'pu'sa'jing 阿差末菩萨经
'a'chan'di'jia 阿阐底迦
'a'chan'ti 阿阐提
'a'chou'na 阿畴那
'a'chu'po 阿刍婆
'a'di'li 阿底哩
'a'di'mu'de'jia 阿地目得迦
'a'di'qu'duo 阿地瞿多
'a'dian'di'jia 阿颠底迦
'a'dian'po'chi'luo'guo 阿点婆翅罗国
'a'er'duo'fu'di 阿尔多缚底
'a'fa'luo'shi'luo 阿伐罗势罗
'a'fang'luo'cha 阿防罗剎
'a'fu'da'mo 阿浮达磨
'a'fu'he'na 阿浮呵那
'a'fu'lu'zhi'di'shi'fa'luo 阿缚卢枳低湿伐逻
'a'fu'lu'zhi'di'yi'shi'fa'luo 阿缚卢枳帝伊湿伐罗
'a'fu'lu'zhi'duo'yi'shi'fa'luo 阿缚卢枳多伊湿伐罗
'a'fu'luo'he'qu 阿缚罗诃佉
'a'fu'tuo'da'mo 阿浮陀达磨
'a'fu'zhe'luo 阿缚遮罗
'a'han 阿含
'a'han'bu 阿含部
'a'han'kou'jie'shi'er'yin'yuan'jing 阿含口解十二因缘经
'a'han'mu 阿鋡暮
'a'han'shi 阿含时
'a'han'zheng'xing'jing 阿含正行经
'a'he'he 阿呵呵
'a'hong 阿吽
'a'hu 阿呼
'a'hu'di'yu 阿呼地狱
'a'ji'mo 阿笈摩
'a'jia'hua 阿迦花
'a'jia'huai 阿伽坏
'a'jia'lu 阿伽嚧
'a'jia'luo 阿迦罗
'a'jia'luo'jia 阿伽罗伽
'a'jia'mo 阿伽摩
'a'jia'mu'tuo 阿伽目陀
'a'jia'mu'tuo'luo 阿伽母陀罗
'a'jia'nang 阿迦囊
'a'jia'ni'se'zha 阿迦尼瑟咤
'a'jia'ni'sha'tuo 阿迦尼沙托
'a'jia'ni'zha 阿迦尼咤
'a'jia'se 阿迦色
'a'jia'she 阿迦奢
'a'jia'tuo 阿伽陀
'a'jia'yun 阿伽云
'a'jian'duo 阿犍多
'a'jie 阿揭
'a'jie'duo 阿揭多
'a'jie'duo'xian 阿竭多仙
'a'jie'duo'xing'zhou 阿竭多星咒
'a'jie'luo 阿羯罗
'a'jie'tuo 阿竭陀
'a'jiu'liu 阿鸠留
'a'jiu'liu'jing 阿鸠留经
'a'jiu'luo'jia'luo 阿鸠罗加罗
'a'ju'lu'she 阿拘卢奢
'a'la'la 阿剌剌
'a'la'la 阿喇喇
'a'lai'ye 阿赖耶
'a'lai'ye'shi'san'zhong'jing 阿赖耶识三种境
'a'lai'ye'wai'dao 阿赖耶外道
'a'lan 阿蓝
'a'lan'mo 阿蓝磨
'a'lan'na 阿兰那
'a'lan'na'jing 阿兰那经
'a'lan'po 阿蓝婆
'a'lan'po'su'dou 阿岚婆苏都
'a'lan'po'ye'na 阿岚婆也那
'a'lan'qie'lan 阿蓝伽蓝
'a'lan're 阿兰若
'a'lan're'jia 阿兰若迦
'a'lan're'xing 阿兰若行
'a'li 阿梨
'a'li'duo'ke 阿力多柯
'a'li'duo'luo 阿唎多罗
'a'li'duo'luo'jing 阿唎多罗经
'a'li'he 阿梨呵
'a'li'luo'ba'ti 阿利罗跋提
'a'li'se'jia'zi 阿唎瑟迦紫
'a'li'se'zha 阿梨瑟咤
'a'li'sha 阿利沙
'a'li'sha 阿黎沙
'a'li'sha'ji 阿利沙偈
'a'li'sha'zhu'chu 阿黎沙住处
'a'li'si'na 阿梨斯那
'a'li'ye 阿利耶
'a'li'ye 阿梨耶
'a'li'ye 阿黎耶
'a'li'ye'ba'mo 阿离耶跋摩
'a'li'ye'fa'mo 阿梨耶伐摩
'a'li'ye'mo'he'seng'qi'ni'jia'ye 阿离耶莫诃僧祇尼迦耶
'a'li'ye'san'mi'li'di'ni'jia'ye 阿离耶三蜜栗底尼迦耶
'a'li'ye'si'na 阿梨耶斯那
'a'li'yi 阿梨宜
'a'li'zha 阿梨咤
'a'li'zha'jing 阿梨咤经
'a'lian'er 阿练儿
'a'lian'ruo 阿练若
'a'liu'na 阿留那
'a'lou'na 阿楼那
'a'lu'ba 阿路巴
'a'lu'han 阿卢汉
'a'lu'li 阿噜力
'a'lu'li'jia 阿噜力迦
'a'lu'li'jing 阿噜力经
'a'lu'lu'di 阿辘辘地
'a'lu'na 阿卢那
'a'lu'na'hua 阿卢那花
'a'lu'na'xiang 阿卢那香
'a'lu'tuo'luo'yin 阿噜陀罗印
'a'luo 阿罗
'a'luo'bo'bao'duo'ye'cha 阿罗波宝多夜叉
'a'luo'bo'duo 阿罗波多
'a'luo'bo'zhe'na 阿罗波遮那
'a'luo'cha'po 阿落剎婆
'a'luo'di'lan'po 阿逻底蓝婆
'a'luo'ge 阿罗歌
'a'luo'han 阿罗汉
'a'luo'han'guo 阿罗汉果
'a'luo'han'ju'de'jing 阿罗汉具德经
'a'luo'han'suo'bu'xi'shi'yi'fa 阿罗汉所不习十一法
'a'luo'han'xiang 阿罗汉向
'a'luo'he 阿罗诃
'a'luo'jia 阿罗伽
'a'luo'jia'mo'luo 阿罗迦摩罗
'a'luo'li 阿罗梨
'a'luo'luo 阿罗逻
'a'luo'luo'jia'lan 阿罗逻迦兰
'a'luo'luo'jia'lan 阿罗逻迦蓝
'a'luo'luo'jia'luo'mo 阿罗逻迦罗摩
'a'luo'mi 阿罗弥
'a'luo'mi 阿罗蜜
'a'luo'mo 阿罗磨
'a'luo'po 阿罗婆
'a'luo'po'jia'lin 阿罗婆伽林
'a'luo'po'suo 阿啰婆娑
'a'luo'po'zhe'na 阿罗婆遮那
'a'luo'she 阿罗阇
'a'luo'tu 阿逻荼
'a'luo'tu'jia'luo'mo 阿逻荼迦逻摩
'a'luo'tuo 阿罗陀
'a'luo'ye 阿罗耶
'a'man'da'luo'ni 阿曼怛罗泥
'a'mao'zha 阿茂咤
'a'mi 阿弥
'a'mi'li'duo 阿密哩多
'a'mi'li'duo'jun'tu'li'ming'wang 阿密哩多军荼利明王
'a'mi'tuo 阿弥陀
'a'mi'tuo'bao'hua'yi 阿弥陀报化异
