'ai'er'bu'shang 哀而不伤
'ai'gong'wen 哀公问
'ai'gong'wen'she'yu'zai'wo 哀公问社于宰我
'ai'gong'wen'yu'you'ruo'yue 哀公问于有若曰
'ai'gong'wen'yue 哀公问曰
'ai'ren 爱人
'ai'zhi 爱之
'ai'zhi'yu'qi'sheng 爱之欲其生
'an'jian'fang'liu'qi'shi 安见方六七十
'an'nv'an'ze'wei'zhi 安女安则为之
'an'wu'qing 安无倾
'ao'dang'zhou 奡荡舟
'ba'yi'di'san 八佾第三
'ba'yi'wu'yu'ting 八佾舞于庭
'ba'zhu'hou 霸诸侯
'bai'er'shou'zhi 拜而受之
'bai'gong'ju'si'yi'cheng'qi'shi 百工居肆以成其事
'bai'guan'zhi'fu 百官之富
'bai'guan'zong'ji'yi'ting'yu'zhong'zai 百官总己以听于冢宰
'bai'wu'sheng'yan 百物生焉
'bai'xia 拜下
'bai'xing'bu'zu 百姓不足
'bai'xing'you'guo 百姓有过
'bai'xing'zu 百姓足
'ban'zhe 版者
'bang'fen'beng'li'xi 邦分崩离析
'bang'jun'shu'sai'men 邦君树塞门
'bang'jun'wei'liang'jun'zhi'hao 邦君为两君之好
'bang'jun'zhi'qi 邦君之妻
'bang'ren'cheng'zhi'yue'jun'fu'ren 邦人称之曰君夫人
'bang'wu'dao 邦无道
'bang'wu'dao'ru'shi 邦无道如矢
'bang'wu'dao'ze'ke'juan'er'huai'zhi 邦无道则可卷而怀之
'bang'you'dao 邦有道
'bang'you'dao'ru'shi 邦有道如矢
'bang'you'dao'ze'shi 邦有道则仕
'bang'yue'gua'xiao'jun 邦曰寡小君
'bao'hu'ping'he 暴虎冯河
'bao'shi'zhong'ri 饱食终日
'ben'er'dian 奔而殿
'ben'li'er'dao'sheng 本立而道生
'ben'zhi'ze'wu 本之则无
'bi'bian 必变
'bi'bian'se'er'zuo 必变色而作
'bi'biao'er'chu'zhi 必表而出之
'bi'bu'de'yi'er'qu 必不得已而去
'bi'cha'yan 必察焉
'bi'chen'cao'chuang'zhi 裨谌草创之
'bi'chu'zhi 必畜之
'bi'fu'ke'yu'shi'jun'ye'yu'zai 鄙夫可与事君也与哉
'bi'fu'ming'yue 必复命曰
'bi'gan'jian'er'si 比干谏而死
'bi'ji'san'nian 比及三年
'bi'qi'ru'ye 必齐如也
'bi'qu 必趋
'bi'sha'zhi 必杀之
'bi'shi'er'hou'ren 必世而后仁
'bi'shi'fan'zhi 必使反之
'bi'shi'zhi 必失之
'bi'shu'er'jian'zhi 必熟而荐之
'bi'wen 必文
'bi'wen'qi'zheng 必闻其政
'bi'xian'li'qi'qi 必先利其器
'bi'yan 必偃
'bi'ye'kuang'juan'hu 必也狂狷乎
'bi'ye'lin'shi'er'ju 必也临事而惧
'bi'ye'qin'sang'hu 必也亲丧乎
'bi'ye'she'hu 必也射乎
'bi'ye'sheng'hu 必也圣乎
'bi'ye'shi'wu'song'hu 必也使无讼乎
'bi'ye'zheng'ming'hu 必也正名乎
'bi'yi'mao 必以貌
'bi'you'jin'you 必有近忧
'bi'you'ke'guan'zhe'yan 必有可观者焉
'bi'you'lin 必有邻
'bi'you'ming'yi 必有明衣
'bi'you'qin'yi 必有寝衣
'bi'you'wo'shi'yan 必有我师焉
'bi'zai 鄙哉
'bi'zai 彼哉
'bi'zheng'li'zhi'sui 必正立执绥
'bi'zheng'xi'xian'chang'zhi 必正席先尝之
'bi'zuo 必作
'bian'bian'yan 便便言
'bian'dou'zhi'shi 笾豆之事
'bian'huo 辨惑
'bian'zhuang'zi'zhi'yong 卞庄子之勇
'bin'bu'gu'yi 宾不顾矣
'bin'tui 宾退
