'an'xu'wei'bu 按需喂哺
'an'zhi'tong'jian 按之痛减
'bai'hou 白喉
'bai'se'xiao'dian 白色小点
'bai'xie'cheng'pian 白屑成片
'bao'xie'shang'yin 暴泻伤阴
'bao'yuan'tang 保元汤
'bing'ji 病机
'bu'shen'di'huang'wan 补肾地黄丸
'bu'shen'pei'yuan 补肾培元
'bu'shen'wen'yang 补肾温阳
'bu'shou'fa 补授法
'bu'tong'dian 不同点
'cang'fu 藏府
'cang'fu'jiao'nen 藏府娇嫩
'cang'qi'qing'ling 藏气清灵
'cao'mei'she 草莓舌
'chang'ji'sheng'chong 肠寄生虫
'chang'tao'die 肠套叠
'chou'hu'zhuang 稠糊状
'chu'qi 出齐
'chu'sheng'ti'zhong 出生体重
'chuan'bian'xun'su 传变迅速
'chuan'ran'xing 传染性
'chun'se'ying'hong 唇色樱红
'chun'yang'zhi'ti 纯阳之体
'cu'dong'zuo 粗动作
'da'huang'fa 大黄法
'dai'shou'fa 代授法
'dai'xiao'zheng 呆小症
'dan'sha 丹痧
'di'chu'sheng'ti'zhong'er 低出生体重儿
'di'er'gao'feng 第二高峰
'di'yi'gao'feng 第一高峰
'dou'chi'fa 豆豉法
'duan'nai 断奶
'duan'qi 断脐
'e'kou'chuang 鹅口疮
'e'shang'you'qing'jin'xian'lu 额上有青筋显露
'er'ba'can'an 二八惨案
'er'tai'si'cheng'liu'hui'zuo 二抬四撑六会坐
'fa'bing'rong'yi 发病容易
'fa'jie'ru'sui 发结如穗
'fa'xi 发稀
'fa'yi 发颐
'fa'yu'gui'lv 发育规律
'fa'yu'xun'su 发育迅速
'fang'yao 方药
'fen'mian 分娩
'fu'bu'peng'da 腹部膨大
'fu'shi 辅食
'fu'zhu 附注
'gan'ji 疳积
'gang'men'sao'yang 肛门瘙痒
'gou'lou'bing 佝偻病
'guo'jiang'se 果酱色
'heng'ya 恒牙
'hou'xin 后囟
'hu'xi'jiong'po 呼吸窘迫
'hua'nong'xing 化脓性
'huan'kou'cang'bai'quan 环口苍白圈
'huang'lian'fa 黄连法
'hui'bai'se'jia'mo 灰白色假膜
'hui'chong'bing 蛔虫病
'hun'he'wei'yang 混合喂养
'jia'yue'jing 假月经
'jian'bie 鉴别
'jian'bing'guo'zi'lai'yi'tao 煎饼果子来一套
'jian'pi'yi'shen 健脾益肾
'jie'lu 解颅
'ke'chu'ji 可触及
'ke'ting'bing 克汀病
'kou'chuang 口疮
'kou'chun'zhou'wei'cang'bai 口唇周围苍白
'liang'jia'nian'mo 两颊粘膜
'liang'xie'wai'fan 两胁外翻
'lu'nei'ya'zeng'gao 颅内压增高
'ma'ya 马牙
'ma'zhen'nian'mo'ban 麻疹粘膜斑
'meng'chu 萌出
'mian'cheng'qing'se 面呈青色
'mian'huang'wu'hua 面黄无华
'mian'jia'chao'hong 面颊潮红
'mu'ru'wei'yang 母乳喂养
'mu'zhu'xia'chui 目珠下垂
'nao'chong'bing 蛲虫病
'nao'ji'shui 脑积水
'nian'ling'fen'qi 年龄分期
'pi'fu'nian'mo'lin'ba'jie'zong'he'zheng 皮肤黏膜淋巴结综合征
'pi'shen'liang'xu 脾肾两虚
'po'kui'mi'lan 破溃糜烂
'qi'gun'ba'pa'zhou'hui'zou 七滚八爬周会走
'qi'qi'shi'bian 七七事变
'qi'zhou'teng'tong 脐周疼痛
'qi'zhou'zhen'tong 脐周阵痛
'qian'xin 前囟
'qian'xin'kuan'da 前囟宽大
'qiang'ke 呛咳
'quan'fei'yang'ke'sou 犬吠样咳嗽
'ren'shen 妊娠
'ru'fang'long'qi 乳房隆起
'ru'ya 乳牙
'she'qi'cu'da'hong'ci 舌起粗大红刺
'shen'chang 身长
'shen'jing'bo'ruo 肾精薄弱
'shen'pi'liang'xu 肾脾两虚
'sheng'ji'peng'bo 生机蓬勃
'sheng'zhang'fa'yu 生长发育
'shi'qu 拭去
'shou'yun 受孕
'tai'du 胎毒
'tai'er'qi 胎儿期
'tai'fen 胎粪
'tai'qie 胎怯
'tai'ruo 胎弱
'tai'xin'ying'you 胎新婴幼
'tang'lang'zi 螳螂子
'ti'zhong'di'xia 体重低下
'tiao'suo'zhuang'bao'kuai 条索状包块
'tou'da'he'suo 头大颌缩
'tou'feng'kai'lie 头缝开裂
'tou'wei'da'yu'zheng'chang 头围大于正常
'wei'yang'fang'shi 喂养方式
'wen'yun'pi'yang 温运脾阳
'xian'tian'xing'jia'jian 先天性甲减
'xiang'tong'dian 相同点
'xiao'chuan 哮喘
'xiao'er'bing'li 小儿病理
'xiao'er'shen'gao 小儿身高
'xiao'er'sheng'li 小儿生理
'xiao'er'ti'zhong 小儿体重
'xiao'yu'tai'ling'er 小于胎龄儿
'xin'men'ao'xian 囟门凹陷
'xin'men'chi'bi 囟门迟闭
'xin'men'tu'chu 囟门凸出
'xin'pi'ji're 心脾积热
'xin'sheng'er'ji'bing 新生儿疾病
'xin'sheng'er'qi 新生儿期
'xin'sheng'er'sheng'li'xing'huang'dan 新生儿生理性黄疸
'xin'sheng'er'te'shu'sheng'li'xian'xiang 新生儿特殊生理现象
'xin'tian 囟填
'xin'xian 囟陷
'xing'hong're 猩红热
'xing'qi'wei'chong 形气未冲
'xing'ru'ji'xiong 形如鸡胸
'xiong'kuo'gao'song 胸廓高耸
'xiong'xie'chu'ji'chuan'zhu 胸胁触及串珠
'xu'lun 绪论
'xue'ling'qi 学龄期
'xue'ling'qian 学龄前
'ye'jian'mo'ya 夜间磨牙
'ye'mei'bu'ning 夜寐不宁
'yi'han'yi're 易寒易热
'yi'jing'chong'sui 益精充髓
'yi'qu'kang'fu 易趋康复
'yi'shen'wei'zhu 以肾为主
'yi'wu'du'se'qi'dao 异物堵塞气道
'yi'xu'yi'shi 易虚易实
'yi'zhi'ding'san'guan 一指定三关
'yin'hua'gan'cao'fa 银花甘草法
'yin'shang'ye'jie'zhi'shi'shui 阴伤液竭之失水
'ying'er'qi 婴儿期
'ying'yang'bu'liang 营养不良
'you'er'qi 幼儿期
'you'shao'dao'duo 由少到多
'you'xi'dao'chou 由稀到稠
'you'xi'dao'cu 由细到粗
'you'yi'zhong'dao'duo'zhong 由一种到多种
'zao'chan'er 早产儿
'zha'sai 痄腮
'zhen'jian'da'xiao 针尖大小
'zheng'chang'jun'zhi 正常均值
'zheng'hou 证候
'zhi'fa 治法
'zhi'liao'yuan'ze 治疗原则
'zhi'ti'shou'ruo 肢体瘦弱
'zhi'yin'zhi'yang 稚阴稚阳
'zhong'yi'er'ke'xue 中医儿科学
'zhou'sui 周岁
'zhou'wei'hong'yun 周围红晕
'zhu'ru'zheng 侏儒症
'zhuang'ru'cao'mei 状如草莓
'zu'yue'xiao'yang'er 足月小样儿
