'a'bo'rui'si'an'ying'gong 阿伯瑞斯暗影弓
'a'en'de'tong'ku'shi'bu'yao'dai 阿恩的痛苦饰布腰带
'a'er'bei'long'de'zheng'tu'fang'pin'zhan'shi'zhi'xue 阿尔贝隆的征途仿品战士之靴
'a'er'bei'long'de'zheng'tu'zhan'shi'zhi'xue 阿尔贝隆的征途战士之靴
'a'er'lun'shen'zhu'fang'pin'mu'se'sha'qiu 阿尔伦神柱仿品暮色沙丘
'a'er'lun'shen'zhu'mu'se'sha'qiu 阿尔伦神柱暮色沙丘
'a'hua'na'zhi'ya'sha'chi'jian'dai 阿华纳之牙鲨齿箭袋
'a'ke'dun'tu'lu'zhi'fu 阿克顿屠戮之斧
'a'ke'lai'de'cao'yuan'hong'yu'jie'zhi 阿克莱的草原红玉戒指
'a'ke'lai'de'gao'shan'hong'yu'jie'zhi 阿克莱的高山红玉戒指
'a'ke'lai'de'shan'gu'hong'yu'jie'zhi 阿克莱的山谷红玉戒指
'a'kou'ya'zhi'ning'shi'shi'jun'zhi'mian 阿寇亚之凝视弑君之面
'a'la'ka'li'zhi'ya'shou'xue'duan'bi 阿拉卡力之牙兽血短匕
'a'zi'li'de'fan'ji'jin'yang'qing'dun 阿兹里的反击金阳轻盾
'a'zi'li'de'jie'si'fang'pin'wa'er'hu'shou 阿兹里的捷思仿品瓦尔护手
'a'zi'li'de'jie'si'wa'er'hu'shou 阿兹里的捷思瓦尔护手
'a'zi'li'de'jin'lv'mi'zong'duan'xue 阿兹里的金履迷踪短靴
'a'zi'li'de'mi'bao'ku'wa'er'jin'zi'ta 阿兹里的秘宝库瓦尔金字塔
'a'zi'li'de'nuo'yan'zi'jing'yao'ji 阿兹里的诺言紫晶药剂
'a'zi'li'de'tong'zhi'shen'pan'chang'zhang 阿兹里的统治审判长杖
'a'zi'li'de'wei'quan'ji'li'shu'yi 阿兹里的威权祭礼束衣
'a'zi'li'de'xing'ren'wa'er'ju'fu 阿兹里的刑刃瓦尔巨斧
'a'zi'li'sheng'hui'fang'pin'hai'ling'hu'shen'fu 阿兹里圣徽仿品海灵护身符
'a'zi'li'sheng'hui'hai'ling'hu'shen'fu 阿兹里圣徽海灵护身符
'a'zi'li'zhi'quan'chi'hong'zhu'bao 阿兹里之权赤红珠宝
'ai'bei'la'si'zhi'jiao'yang'jiao'fa'zhang 艾贝拉斯之角羊角法杖
'ai'er'fu'lei'lang'shou'pi'kui 艾尔弗雷狼首皮盔
'ai'la'dai'si'ma'nao'hu'shen'fu 埃拉黛丝玛瑙护身符
'ai'man'na'mu'de'ning'shi'cang'bai'zhi'ning'zhu'bao 埃曼纳姆的凝视苍白之凝珠宝
'ai'pu'de'ba'quan'wa'er'mo'dun 艾普的霸权瓦尔魔盾
'ai'pu'zhi'meng'wa'er'mo'dun 艾普之梦瓦尔魔盾
'ai'pu'zhi'nu'ling'zhao'fa'zhang 艾普之怒灵兆法杖
'ai'xu'zhi'jing'wa'er'mo'dun 艾许之镜瓦尔魔盾
'ai'xu'zhi'mian'wa'er'mo'dun 艾许之面瓦尔魔盾
'ai'zi'mai'de'rong'guang'cu'tie'kui 艾兹麦的荣光粗铁盔
'an'hei'xian'zhe'ying'yu'duan'zhang 黯黑贤者影语短杖
'an'lei'long'lin'chang'xue 暗雷龙鳞长靴
'an'mu'bu'de'zhan'jia'fang'pin'sheng'zhan'suo'jia 安姆布的战甲仿品圣战锁甲
'an'mu'bu'de'zhan'jia'sheng'zhan'suo'jia 安姆布的战甲圣战锁甲
'an'sai'na'si'de'an'fu'zhi'yu'si'chou'shou'tao 安赛娜丝的安抚之语丝绸手套
'an'sai'na'si'de'xun'min'zhi'guan'tie'duan'zhi'guan 安赛娜丝的迅敏之冠铁锻之冠
'an'ye'ci'zu'an'ying'zhi'xue 暗夜刺足暗影之靴
'an'ye'du'ya'cao'ling'zhe'zhi'guan 暗夜毒牙操灵者之冠
'an'ye'shi'yi'du'zhu'si'zhi'pao 暗夜弑衣毒蛛丝之袍
'an'ye'zhi'li'jin'li'hu'shou 暗夜织礼禁礼护手
'an'ye'zhi'wo'fu'wen'long'shou 暗夜之握符文笼手
'an'ying'de'zhong'fu'shi'dian'chang'zhang 暗影的重负史典长杖
'an'ying'feng'he'ji'li'shu'yi 暗影缝合祭礼束衣
'ao'er'zhi'xing'hei'yao'hu'shen'fu 奥尔之兴黑曜护身符
'ao'ku'na'de'yi'zhi'huan'dai'hu'shou 奥库娜的意志环带护手
'ao'lai'xi'ya'de'xi'yue'shi'bu'yao'dai 奥莱西亚的喜悦饰布腰带
'ao'rui'ya'de'jin'tou'hui'yan'yao'ji 奥瑞亚的尽头灰岩药剂
'ao'shu'zhi'fu'shui'jing'yao'dai 奥术之符水晶腰带
'ba'quan'shi'dai'shen'pan'chang'zhang 霸权时代审判长杖
'bai'jing'zhi'feng'di'guo'duan'bi 白净之风帝国短匕
'bai'yin'zhi'she'xian'qu'zhe'zhi'gong 白银之舌先驱者之弓
'bao'feng'zhe'zhao'cui'lv'zhu'bao 暴风遮罩翠绿珠宝
'bao'feng'zhi'gang'fang'pin'zheng'zhan'zhi'jian 暴风之钢仿品征战之剑
'bao'feng'zhi'gang'zheng'zhan'zhi'jian 暴风之钢征战之剑
'bao'feng'zhi'yan'hai'yu'hu'shen'fu 暴风之言海玉护身符
'bao'feng'zhi'yu'hai'yu'hu'shen'fu 暴风之语海玉护身符
'bao'jun'wang'guan'xing'zheng'zhe'zhan'guan 暴君王冠行政者战冠
'bao'jun'zhi'wo'jun'tuan'shou'tao 暴君之握军团手套
'bao'lie'zhi'she'dun'shi'jian'dai 爆裂之射钝矢箭袋
'bao'nang'shou'wei'sheng'zhe'lian'jia 孢囊守卫圣者链甲
'bao'shi'jing'hua'da'xing'fu'he'yao'ji 宝视精华大型复合药剂
'bao'shi'pi'ge'yao'dai 暴食皮革腰带
'bao'yu'zhi'duo'xiu'mu'yuan'dun 暴雨之舵朽木圆盾
'bao'yu'zhi'xian'chang'gong 暴雨之弦长弓
'bei'fang'lei'ting'sheng'zhang'di'guo'chang'zhang 北方雷霆圣杖帝国长杖
'bei'lei'ke'de'bing'yu'huo'zhi'ge'shuang'yu'jie'zhi 贝雷克的冰与火之歌双玉戒指
