'ban'hen'ge'da 瘢痕疙瘩
'ban'hen'luan'suo 瘢痕挛缩
'ban'hen'ti'zhi 瘢痕体质
'bao'za'liao'fa 包扎疗法
'biao'pi'ceng 表皮层
'bing'qu 病区
'bo'zhong'hou'pi'pian 薄中厚皮片
'bu'ye 补液
'bu'ye'liang'ji'suan'gong'shi 补液量计算公式
'bu'ye'liao'fa 补液疗法
'chao'shi 超室
'chuang'mian'shi'fu 创面湿敷
'dian'ji'shang 电击伤
'dian'shao'shang 电烧伤
'du'shao'shang 度烧伤
'fan'shen'chuang 翻身床
'fang'she'xing'shao'shang 放射性烧伤
'gan'ran'qi 感染期
'gu'shi'qu'pi'ji 鼓式取皮机
'gun'zhou'dao 辊轴刀
'han'xian 汗腺
'hou'zhong'hou'pi'pian 厚中厚皮片
'hu'shi'zhan 护士站
'hua'xue'shao'shang 化学烧伤
'huan'yao'shi 换药室
'hui'yin 会阴
'jia'pi 痂皮
'jian'cha'zhi'liao'shi 检查治疗室
'jian'shao'shang 碱烧伤
'kang'fu'qi 康复期
'mao'fa 毛发
'men'zhen'ban'gong'shi 门诊办公室
'men'zhen'hu'shi'ban'gong'shi 门诊护士办公室
'pi'ban 皮瓣
'pi'ban'yi'zhi'shu 皮瓣移植术
'pi'ban'zhuan'yi 皮瓣转移
'pi'xia'zu'zhi 皮下组织
'pi'zhi'xian 皮脂腺
'qian'bi 前臂
'qie'jia 切痂
'qie'jia'shu 切痂术
'qing'chuang'shu 清创术
'qing'du'shao'shang 轻度烧伤
'qu'gan'bu 躯干部
'qu'pi'jiao'mo 取皮胶膜
'qu'pi'shu 取皮术
'quan'hou'pi'fu'yi'zhi 全厚皮肤移植
'quan'hou'pi'pian 全厚皮片
'ren'hou'pi'pian 刃厚皮片
'shang'bi 上臂
'shang'zhi 上肢
'shao'shang'ban'hen'luan'suo 烧伤瘢痕挛缩
'shao'shang'bing'fa'zheng 烧伤并发症
'shao'shang'bing'fang 烧伤病房
'shao'shang'bing'ren 烧伤病人
'shao'shang'bing'ren'jia'ting'jin'ji'chu'li'fa 烧伤病人家庭紧急处理法
'shao'shang'bing'ren'yin'shi 烧伤病人饮食
'shao'shang'bing'ren'zhuan'song 烧伤病人转送
'shao'shang'can'yu'chuang'mian 烧伤残余创面
'shao'shang'chong'xue'dai 烧伤充血带
'shao'shang'chu'li 烧伤处理
'shao'shang'chuang'mian 烧伤创面
'shao'shang'chuang'mian'chu'li 烧伤创面处理
'shao'shang'chuang'mian'kai'fang'bao'lu'liao'fa 烧伤创面开放暴露疗法
'shao'shang'chuang'mian'nong'du'zheng 烧伤创面脓毒症
'shao'shang'chuang'mian'yu'he 烧伤创面愈合
'shao'shang'du'su 烧伤毒素
'shao'shang'fen'lei 烧伤分类
'shao'shang'fu'liao 烧伤敷料
'shao'shang'fu'liao'jiao'huan 烧伤敷料交换
'shao'shang'gan'ran 烧伤感染
'shao'shang'gao 烧伤膏
'shao'shang'gao'dai'xie 烧伤高代谢
'shao'shang'he'bing'ji'sui'sun'shang 烧伤合并脊髓损伤
'shao'shang'he'bing'zhong'du 烧伤合并中毒
'shao'shang'hou'fu'dan'ping'heng 烧伤后负氮平衡
'shao'shang'hou'zhao'xing'shou 烧伤后爪形手
'shao'shang'ji'zhen'chu'li 烧伤急诊处理
'shao'shang'jian'hu'bing'fang 烧伤监护病房
'shao'shang'jiao'jia 烧伤焦痂
'shao'shang'kang'fu 烧伤康复
'shao'shang'mian'ji 烧伤面积
'shao'shang'mian'ji'de'dan'wei 烧伤面积的单位
'shao'shang'mian'ji'gu'ji 烧伤面积估计
'shao'shang'mian'ji'shou'zhang'gu'suan'fa 烧伤面积手掌估算法
'shao'shang'shen'du 烧伤深度
'shao'shang'shen'du'gu'ji 烧伤深度估计
'shao'shang'ti'biao'mian'ji 烧伤体表面积
'shao'shang'xing'luan'suo 烧伤性挛缩
'shao'shang'xing'xiu'ke 烧伤性休克
'shao'shang'xue 烧伤学
'shao'shang'zhi'pi 烧伤植皮
'shao'shang'zhong'xin 烧伤中心
'shou'shu'shi 手术室
'suan'shao'shang 酸烧伤
'tan'li'beng'dai 弹力绷带
'tun'bu 臀部
'xia'zhi 下肢
'xin'dian'tu'shi 心电图室
'xiu'ke'dai'chang'qi 休克代偿期
'xiu'ke'qi 休克期
'xue'jia 削痂
'xue'jia'shu 削痂术
'yi'du'shao'shang'chu'qi'ju'bu'zhi'liao 一度烧伤初期局部治疗
'yi'xue'zheng'xing'ke 医学整形科
'zhen'pi'ceng 真皮层
'zhong'du'shao'shang 中度烧伤
'zhong'du'shao'shang 重度烧伤
'zhong'hou'pi'pian 中厚皮片
