'a'bang'fu'cang'shi 阿邦伏藏师
'a'di'xia 阿底峡
'a'di'yu'jia 阿底瑜珈
'a'ge'wang'bo'zun'zhe 阿格旺波尊者
'a'li'ban'chan 阿里班禅
'a'nu'yu'jia 阿努瑜珈
'a'pi'da'mo 阿毗达磨
'a'qi'hu'fa 阿企护法
'a'wang'jiang'pa'ming'zhu'long'duo'duo'jie 阿旺降帕明珠龙多多杰
'ba'bang'si 八蚌寺
'ba'chu'ren'bo'qie 巴楚仁波切
'ba'da'fa'xing 八大法行
'ba'da'hei'lu'ga 八大黑噜嘎
'ba'da'hei'lu'ga 八大黑鲁嘎
'ba'da'shi'lin 八大尸林
'ba'rong'ga'ju 拔戎噶举
'ba'shi'ga'ma'ba 八世噶玛巴
'ba'si'ba 八思巴
'bai'ya'ren'bo'qie 白雅仁波切
'bei'fu'cang 北伏藏
'bei'ma'de'qing'lin'ba 贝玛德清林巴
'bei'ma'lin'ba 贝玛林巴
'bei'ma'wang'jie 贝玛旺杰
'bei'ma'wang'qing 贝玛旺晴
'bei'nuo'fa'wang 贝诺法王
'bei'ruo'zha'na 贝若扎那
'bei'yan'cang 北岩藏
'ben'zhi 本质
'cai'ba 蔡巴
'cai'ba'ga'ju 蔡巴噶举
'chen'lv'an 陈履安
'cheng'wei 称为
'chi'song'de'zan 赤松德赞
'chuang'gu'ren'bo'qie 创古仁波切
'da'ma'wang'qiu 达玛旺秋
'da'shou'yin 大手印
'da'shu'sheng'hei'lu'ga 大殊胜黑噜嘎
'da'si'tu 大司徒
'dao'ci'di 道次第
'de'da'lin'ba 德达林巴
'de'qiu'duo'jie 德丘多杰
'de'song'qian'ba 德松千巴
'de'xin'xie'ba 德新谢巴
'di'ba'shi'ren'zeng'qian'mo 第八世仁增千摩
'di'jiu'shi'ren'zeng'qian'mo 第九世仁增千摩
'di'liu'shi'ren'zeng'qian'mo 第六世仁增千摩
'di'luo'ba 帝洛巴
'di'qi'shi'ren'zeng'qian'mo 第七世仁增千摩
'di'san'shi'ren'zeng'qian'mo 第三世仁增千摩
'di'wu'shi'ren'zeng'qian'mo 第五世仁增千摩
'di'yi'shi'zuo'qin'fa'wang'bei'ma'ren'zeng 第一世佐钦法王贝玛仁增
'ding'guo'qin'zhe 顶果钦哲
'ding'guo'qin'zhe'fa'wang 顶果钦哲法王
'dong'wa'dong'deng 东瓦董登
'du'bu'ba 杜补巴
'du'bu'ba 笃补巴
'du'jiong'lin'ba 杜炯林巴
'dun'dou'duo'jie 敦都多杰
'dun'zhu'fa'wang 敦珠法王
'dun'zhu'lin'ba 敦珠林巴
'duo'ji'zha 多吉扎
'duo'ji'zha'chuan'cheng 多吉扎传承
'duo'ji'zha'si 多吉扎寺
'duo'jie'du'jiong 多杰杜迥
'duo'jie'le'ba 多杰勒巴
'duo'luo'na'ta 多罗那他
'duo'qin'zhe 多钦哲
