'an'lv 安虑
'an'ran'er'ri'zhang 暗然而日章
'bai'pi'qi'xing'zhi 百辟其刑之
'bai'shi 百世
'bai'shi'yi'si'sheng'ren 百世以俟圣人
'bai'shi'yi'si'sheng'ren'bu'huo 百世以俟圣人不惑
'bao'shen 保身
'ben'mo 本末
'ben'zhu'shen 本诸身
'bo'hou 博厚
'bo'wen 博文
'bo'xue 博学
'bu'bei 不倍
'bu'da'sheng'yi'se 不大声以色
'bu'du 不睹
'bu'gan'zuo'li'yue 不敢作礼乐
'bu'jiao 不骄
'bu'kao'wen 不考文
'bu'nu'er'min'wei'yu'fu'yue 不怒而民威于鈇钺
'bu'wen 不闻
'bu'xian'wei'de 不显惟德
'bu'xiang'bei 不相悖
'bu'xin'min'fu'cong 不信民弗从
'bu'yan 不厌
'bu'yan'er'xin 不言而信
'bu'you'ren 不尤人
'bu'yuan'tian 不怨天
'bu'zhi'du 不制度
'bu'zun'bu'xin 不尊不信
'che'tong'gui 车同轨
'cheng'ming 诚明
'cheng'shen 诚身
'cheng'wu 成物
'cheng'yi 诚意
'chong'li 崇礼
'ci'tian'di'zhi'suo'yi'wei'da'ye 此天地之所以为大也
'cong'ming'rui'zhi 聪明睿知
'cuo'xing 错行
'da'ben 大本
'da'dao 达道
'da'de'dun'hua 大德敦化
'dan'er'bu'yan 淡而不厌
'dao'bing'xing 道并行
'dao'bing'xing'er'bu'xiang'bei 道并行而不相悖
'dao'wen'xue 道问学
'dao'xin 道心
'dao'zhi'yi'de 道之以德
'dao'zhong'yong 道中庸
'de'dao 得道
'de'ran'er'ri'wang 的然而日亡
'de'xing 德性
'de'you'ru'mao 德輶如毛
'di'zhi'suo'zai 地之所载
'ding'jing 定静
'dong'er'shi'wei'tian'xia'dao 动而世为天下道
'du'xing 笃行
'dun'hou 敦厚
'dun'hou'chong'li 敦厚崇礼
'e'qi'wen'zhi'zhu'ye 恶其文之著也
'er'zao'you'yu'yu'tian'xia'zhe'ye 而蚤有誉于天下者也
'fa'qiang'gang'yi 发强刚毅
'fa'yu'wan'wu 发育万物
'fan'gu'zhi'dao 反古之道
'fan'you'xue'qi'zhe 凡有血气者
'fei'tian'zi'bu'yi'li 非天子不议礼
'gao'ming 高明
'ge'ren'xiu'yang 个人修养
'ge'wu 格物
'ge'wu'zhi'zhi 格物致知
'gou'bu'gu'cong'ming'sheng'zhi'da'tian'de'zhe 苟不固聪明圣知达天德者
'gou'bu'zhi'de 苟不至德
'gou'wu'de 苟无德
'gu'jun'zi'bu'dong'er'jing 故君子不动而敬
'gu'jun'zi'nei'xing'bu'jiu 故君子内省不疚
'gu'jun'zi'zhi'dao 故君子之道
'gu'yue'pei'tian 故曰配天
'gua'guo 寡过
'gui'shen 鬼神
'guo'wu'dao 国无道
'guo'you'dao 国有道
'hao'hao'qi'tian 浩浩其天
'hao'wu 好恶
'he'xie 和谐
'ji'gao'ming 极高明
'ji'ming'qie'zhe 既明且哲
'jian'er'hao'zi'zhuan 贱而好自专
'jian'er'min'mo'bu'jing 见而民莫不敬
'jian'er'wen 简而文
'jian'zhu'tian'di 建诸天地
'jiao'yu 教育
'jie'ju 戒惧
'jin'jing'wei 尽精微
'jin'tian'xia 今天下
'jin'yong'zhi 今用之
'jin'zhi 近之
'jing'lun'tian'xia'zhi'da'jing 经纶天下之大经
'jing'yi 精一
'ju'shang 居上
'ju'shang'bu'jiao 居上不骄
'jun'zi'wei'you'bu'ru'ci 君子未有不如此
'jun'zi'zhi'dao 君子之道
'jun'zi'zhi'suo'bu'ke'ji'zhe 君子之所不可及者
'kao'zhu'san'wang 考诸三王
'ke'yu'ru'de'yi 可与入德矣
'kong'ju 恐惧
'kuan'yu'wen'rou 宽裕温柔
'li'tian'xia'zhi'da'ben 立天下之大本
'li'yi 礼仪
'li'yi'san'bai 礼仪三百
'liang'zhi 良知
'mao'you'you'lun 毛犹有伦
'ming'bian 明辨
'ming'ming'de 明明德
'ming'shan 明善
'ming'zhe 明哲
'mo'bu'zun'qin 莫不尊亲
'mo'jian 莫见
'mo'ye 末也
'nei'xing 内省
'pei'di 配地
'pei'tian 配天
'pi'ru'si'shi'zhi'cuo'xing 辟如四时之错行
'pi'ru'tian'di'zhi'wu'bu'chi'zai 辟如天地之无不持载
'ping'tian'xia 平天下
'pu'bo'ru'tian 溥博如天
'pu'bo'yuan'quan 溥博渊泉
'qi'bu'zu'zheng 杞不足征
'qi'jia 齐家
'qi'mo 其默
'qi'mo'zu'yi'rong 其默足以容
'qi'shu'neng'zhi'zhi 其孰能知之
'qi'wei'ren'zhi'suo'bu'jian'hu 其唯人之所不见乎
'qi'yan 其言
'qi'yan'zu'yi'xing 其言足以兴
'qi'zhi'yi'li 齐之以礼
'qi'zhuang'zhong'zheng 齐庄中正
'qian'sui'fu'yi 潜虽伏矣
'qin'min 亲民
'ren'li'suo'tong 人力所通
'ren'xin 人心
'ren'yi 仁义
'ri'yue 日月
'ri'yue'dai'ming 日月代明
'ri'yue'suo'zhao 日月所照
'ri'yue'zhi'dai'ming 日月之代明
'san'chong 三重
'san'wang 三王
'shang'bu'kui'yu'wu'lou 尚不愧于屋漏
'shang'lv'tian'shi 上律天时
'shang'tian'zhi'zai 上天之载
'shang'yan'zhe 上焉者
'she'hui'zhi'li 社会治理
'shen'du 慎独
'shen'si 慎思
'shen'wen 审问
'sheng'hu'jin'zhi'shi 生乎今之世
'sheng'jin'zhi'shi 生今之世
'sheng'ren 圣人
'sheng'se'zhi'yu'yi'hua'min 声色之于以化民
'shi'chu 时出
'shi'chu'zhi 时出之
'shi'cuo'zhi'yi 时措之宜
'shi'gu'jun'zi'bu'shang'er'min'quan 是故君子不赏而民劝
'shi'gu'jun'zi'du'gong'er'tian'xia'ping 是故君子笃恭而天下平
'shi'ji'man'mo 施及蛮貊
'shi'jian 实践
'shi'mi'you'zheng 时靡有争
'shi'tian 事天
'shi'wei'tian'xia'dao 世为天下道
'shi'wei'tian'xia'fa 世为天下法
'shi'wei'tian'xia'ze 世为天下则
'shi'yi'sheng'ming'yang'yi'hu'zhong'guo 是以声名洋溢乎中国
'shi'yue 诗曰
'shi'yun 诗云
'shu'ji'su'ye 庶几夙夜
'shu'min 庶民
'shu'tong'wen 书同文
'shuai'xing 率性
'shuang'lu'suo'zhui 霜露所坠
'si'ming 俟命
'si'shi 四时
'sui'shan'bu'zun 虽善不尊
'sui'shan'wu'zheng 虽善无征
'sui'you'wei 虽有位
'tian'di 天地
'tian'di'wan'wu'yi'ti 天地万物一体
'tian'di'wei 天地位
'tian'di'zhi'wu'bu'chi'zai 天地之无不持载
'tian'li 天理
'tian'zhi'suo'fu 天之所覆
'wan'wu'bing'yu 万物并育
'wan'wu'bing'yu'er'bu'xiang'hai 万物并育而不相害
'wan'wu'yi'ti 万物一体
'wan'wu'yu 万物育
'wang'tian'xia 王天下
'wei'jing 惟精
'wei'tian'xia'zhi'cheng 唯天下至诚
'wei'tian'xia'zhi'sheng 唯天下至圣
'wei'xia 为下
'wei'xia'bu'bei 为下不倍
'wei'yi 威仪
'wei'yi 惟一
'wei'yi'san'qian 威仪三千
'wen'er'li 温而理
'wen'gu'zhi'xin 温故知新
'wen'li'mi'cha 文理密察
'wen'rou'dun'hou 温柔敦厚
'wo'gui'wo'zhe'gui 我贵我者贵
'wu'cong'zhou 吾从周
'wu'de 无德
'wu'e'yu'zhi 无恶于志
'wu'ru'er'bu'zi'de 无入而不自得
'wu'sheng'wu'xiu 无声无臭
'wu'shuo'xia'li 吾说夏礼
'wu'wei 无位
'wu'xue'yin'li 吾学殷礼
'wu'xue'zhou'li 吾学周礼
'wu'zheng'bu'xin 无征不信
'xia'xi'shui'tu 下袭水土
'xia'xue'er'shang'da 下学而上达
'xia'yan'zhe 下焉者
'xian'hou 先后
'xian'zhang'wen'wu 宪章文武
'xiang'zai'er'shi 相在尔室
'xiao'ci 孝慈
'xiao'de'chuan'liu 小德川流
'xiao'ren'zhi'dao 小人之道
'xin'ji'li 心即理
'xin'le 信乐
'xin'min 新民
'xing'er'min'mo'bu'shuo 行而民莫不说
'xing'er'shi'wei'tian'xia'fa 行而世为天下法
'xing'tong'lun 行同伦
'xiu'shen 修身
'xiu'shen'yi'si'ming 修身以俟命
'yan'er'min'mo'bu'xin 言而民莫不信
'yan'er'shi'wei'tian'xia'ze 言而世为天下则
'yang'yang 洋洋
'yao'shou'bu'er 夭寿不贰
'yi'bao'qi'shen 以保其身
'yi'jin'shang'jiong 衣锦尚絅
'yi'kong'zhi'zhao 亦孔之昭
'yi'yong'zhong'yu 以永终誉
'yin'wei 隐微
'you'de 有得
'you'de 有德
'you'jiu 悠久
'you'song'cun'yan 有宋存焉
'you'wang 有望
'you'wei 有位
'yu'er'hao'zi'yong 愚而好自用
'yu'huai'ming'de 予怀明德
'yuan'quan'ru'yuan 渊泉如渊
'yuan'yuan'qi'yuan 渊渊其渊
'yuan'zhi 远之
'yue'li 约礼
'zai'bi'wu'e 在彼无恶
'zai'ci'wu'yi 在此无射
'zai'ji'qi'shen 烖及其身
'zheng'xin 正心
'zheng'zhu'shu'min 征诸庶民
'zhi'cheng 至诚
'zhi'dao'bu'ning 至道不凝
'zhi'feng'zhi'zi 知风之自
'zhi'guang'da 致广大
'zhi'guo 治国
'zhi'liang'zhi 致良知
'zhi'ren'ye 知人也
'zhi'shan 至善
'zhi'tian'di'zhi'hua'yu 知天地之化育
'zhi'tian'ye 知天也
'zhi'wei'zhi'xian 知微之显
'zhi'wo'zhe'xi 知我者希
'zhi'xing'he'yi 知行合一
'zhi'yi 至矣
'zhi'yuan'zhi'jin 知远之近
'zhi'zhi 知止
'zhi'zhi 致知
'zhi'zhu'gui'shen 质诸鬼神
'zhi'zhu'gui'shen'wu'yi 质诸鬼神无疑
'zhong'he 中和
'zhong'ni'zu'shu'yao'shun 仲尼祖述尧舜
'zhong'shi 终始
'zhong'yong 中庸
'zhou'che'suo'zhi 舟车所至
'zhun'zhun'qi'ren 肫肫其仁
'zi'xin 自新
'zi'yue 子曰
'zou'jia'wu'yan 奏假无言
'zu'shu'yao'shun 祖述尧舜
'zu'yi'rong 足以容
'zu'yi'xing 足以兴
'zun'de'xing 尊德性
