'bai'nian'lao'wu 百年老屋
'bi'qu 比去
'bu'chang'ju 不常居
'bu'neng'de'ri 不能得日
'chang'ju'yu'ci 尝居于此
'chen'ni'shen'lu 尘泥渗漉
'chi'yi'xiang'hu'zhi 持一象笏至
'ci'wu'zu'tai'chang'gong 此吾祖太常公
'cong'xuan'qian'guo 从轩前过
'cong'yu'wen'gu'shi 从余问古事
'da'lei'nv'lang'ye 大类女郎也
'da'mu'guo'yu'yue 大母过余曰
'dai'you'shen'hu'zhe 殆有神护者
'dai'zhu'fu'yi'cuan 迨诸父异爨
'de'bu'fen 得不焚
'dong'quan'xi'fei 东犬西吠
'du'shu'xuan'zhong 读书轩中
'duo'ke'xi 多可喜
'er'han'hu 儿寒乎
'er'mu'li'yu'zi 而母立于兹
'er'ting'jie'ji'ji 而庭阶寂寂
'er'zhi'cheng 儿之成
'fan'zai'bian'yi 凡再变矣
'fang'er'ren'zhi'mei'mei'yu'yi'yu'ye 方二人之昧昧于一隅也
'fang'yang'mei 方扬眉
'feng'yi'ying'dong 风移影动
'gu'chang'wei'chu 故尝为厨
'gu'shi'wu'ke'zhi'zhe 顾视无可置者
'gua'gua'er'qi 呱呱而泣
'gui'ying'ban'bo 桂影斑驳
'he'jing'ri'mo'mo'zai'ci 何竟日默默在此
'hou'wu'nian 后五年
'huo'ping'ji'xue'shu 或凭几学书
'ji'qi'yu'ting 鸡栖于厅
'jia'you'lao'yu 家有老妪
'jie'shu'man'jia 借书满架
'jin'yi'ting'ting'ru'gai'yi 今已亭亭如盖矣
'jiu'bu'jian'ruo'ying 久不见若影
'jiu'nan'ge'zi'ye 旧南阁子也
'jiu'shi'lan'dun 旧时栏楯
'jiu'zhi 久之
'ke'rong'yi'ren'ju 可容一人居
'ke'yu'pao'er'yan 客逾庖而宴
'li'jia'tian'xia 利甲天下
'ling'ren'chang'hao'bu'zi'jin 令人长号不自禁
'liu'xuan'de'yu'cao'cao'zheng'tian'xia 刘玄德与曹操争天下
'mei'yi'an 每移案
'ming'ran'wu'zuo 冥然兀坐
'ming'yue'ban'qiang 明月半墙
'mou'suo 某所
'nai'shi'ren'fu'qi'nan'ge'zi 乃使人复葺南阁子
