'a'mo'luo'pu'luo'pai 阿摩罗普罗派
'a'zha'li'jiao 阿咤力教
'an'da'pai 案达派
'an'yue'lv 安乐律
'ba'zong 八宗
'bai'lian'zong 白莲宗
'bai'yun'zong 白云宗
'bei'jing'lv 北京律
'bei'shan'zhu'bu 北山住部
'bei'zong 北宗
'ben'men'fo'li'zong 本门佛立宗
'ben'men'zong 本门宗
'bu'shou'bu'shi'pai 不受不施派
'cao'dong'zong 曹洞宗
'cao'tang'pai 草堂派
'cao'xi'zong 曹溪宗
'chan'zong 禅宗
'cheng'shi'shi 成实师
'cheng'shi'zong 成实宗
'ci'min'pai 慈愍派
'da'an'si'liu 大安寺流
'da'cheng'shang'zuo'bu 大乘上座部
'da'de'si'pai 大德寺派
'da'hui'pai 大慧派
'da'long'ga'ju'pai 达垄噶举派
'da'ma'yu'te'pai 达玛瑜特派
'da'te'luo'fo'jiao 怛特罗佛教
'da'ying'pai 大应派
'da'zhong'bu 大众部
'di'lun'zong 地论宗
'dong'mi 东密
'dong'ming'pai 东明派
'dong'ta'zong 东塔宗
'du'zi'bu 犊子部
'duo'wen'bu 多闻部
'fa'cang'bu 法藏部
'fa'shang'bu 法上部
'fa'xiang'zong 法相宗
'fa'xing'zong 法性宗
'fa'yan'zong 法眼宗
'fen'bie'shuo'bu 分别说部
'feng'lin'shan'pai 凤林山派
'fo'tong'si'pai 佛通寺派
'ga'dang'pai 噶当派
'ga'ju'pai 噶举派
'ga'ma'ga'ju'pai 噶玛噶举派
'ge'lu'pai 格鲁派
'gu'shan'xi 鼓山系
'gu'xian'pai 古先派
'gu'yi'zhen'yan'zong 古义真言宗
'guang'ze'liu 广泽流
'gui'miu'lun'zheng'pai 归谬论证派
'he'ze'zong 荷泽宗
'hong'zhou'zong 洪州宗
'hu'qiu'pai 虎丘派
'hua'di'bu 化地部
'hua'yan'zong 华严宗
'huan'zhu'pai 幻住派
'huang'bo'zong 黄檗宗
'huang'long'pai 黄龙派
'ji'yin'bu 鸡胤部
'jiang'hu'pai 江湖派
'jiao'chan'er'zong 教禅二宗
'jiao'shan'xi 焦山系
'jie'tuo'hui 解脱会
'jin'gang'cheng 金刚乘
'jing'liang'bu 经量部
'jing'tu'zhen'zong 净土真宗
'jing'tu'zong 净土宗
'jing'zhong'zong 净众宗
'jiu'shan'chan'men 九山禅门
'ju'she'shi 俱舍师
'jue'nang'pai 觉囊派
'jue'yu'pai 觉宇派
'kan'hua'chan 看话禅
'lin'ji'zong 临济宗
'liu'jia'qi'zong 六家七宗
'liu'zong 六宗
'lv'zong 律宗
'mi'lin'shan'bu 密林山部
'mi'zong 密宗
'miao'xin'si'pai 妙心寺派
'nan'dou'liu'zong 南都六宗
'nan'shan'nian'fo'men'chan'zong 南山念佛门禅宗
'nie'pan'shi 涅槃师
'nie'pan'zong 涅槃宗
'ning'ma'pai 宁玛派
'pa'zhu'ga'ju 帕竹噶举
'pi'tan'shi 毗昙师
'pi'yu'shi 譬喻师
'pu'hua'zong 普化宗
'qian'guang'pai 千光派
'qian'hua'pai 千华派
'qing'yuan'xia 青原下
'ri'lian'zheng'zong 日莲正宗
'ri'lian'zong 日莲宗
'rong'tong'nian'fo'zong 融通念佛宗
'rui'jing'pai 瑞景派
'sa'jia'pai 萨迦派
'san'feng'pai 三峰派
'san'jie'jiao 三阶教
'san'lun'zong 三论宗
'san'men'tu 三门徒
'san'zong 三宗
'shan'fu 山伏
'shan'jia 山家
'shan'men 山门
'shan'wai 山外
'shang'zuo'bu 上座部
'she'lun'shi 摄论师
'she'shi'pai 舍世派
'shi'lun'cheng 时轮乘
'shi'xing'zong 始兴宗
'shi'zi'shan'pai 师子山派
'shi'zong 时宗
'shuo'chu'shi'bu 说出世部
'shuo'jia'bu 说假部
'shuo'yi'qie'you'bu 说一切有部
'si'lun'pai 四论派
'si'men 寺门
'si'ming'pai 四明派
'si'zong 四宗
'tai'gu'zong 太古宗
'tai'mi 台密
'tian'long'si'pai 天龙寺派
'tian'tai'zong 天台宗
'wei'yang'zong 沩仰宗
'wo'fa'ju'you'zong 我法俱有宗
'wu'jia'qi'zong 五家七宗
'wu'jiao'liang'zong 五教两宗
'wu'jiao'shi'zong 五教十宗
'wu'xue'pai 无学派
'xi'jian'pai 西涧派
'xi'jie'pai 希解派
'xi'shan'pai 西山派
'xi'shan'zhu'bu 西山住部
'xian'luo'pai 暹罗派
'xian'zhou'bu 贤胄部
'xiang'ba'jia'ju'pai 响巴迦举派
'xiang'bu'zong 相部宗
'xiang'yue'si'pai 向岳寺派
'xin'yi'zhen'yan'zong 新义真言宗
'xiu'yan'dao 修验道
'xue'shan'bu 雪山部
'yang'qi'pai 杨岐派
'yi'shan'pai 一山派
'yi'shuo'bu 一说部
'yi'xiang'zong 一向宗
'yin'guang'bu 饮光部
'yin'mi'nian'fo 隐祕念佛
'yu'jia'xing'pai 瑜伽行派
'yuan'fo'jiao 圆佛教
'yun'men'zong 云门宗
'zhen'yan'lv'zong 真言律宗
'zhen'yan'zong 真言宗
'zhen'zong'shi'pai 真宗十派
'zheng'liang'bu 正量部
'zhi'duo'shan'bu 制多山部
'zhi'gong'ga'ju'pai 止贡噶举派
'zhong'guan'pai 中观派
'zhong'shen'zong 中神宗
'zhong'yan'pai 中巖派
'zhu'ba'ga'ju'pai 主巴噶举派
'zhu'lin'pai 竹林派
'zi'li'lun'zheng'pai 自立论证派
'zong'chi'zong 摠持宗
