'an'zhuang'que'ren 安装确认
'bao'cai 包材
'bao'fei 报废
'bao'jing 报警
'bao'jing'lie'biao 报警列表
'bao'xiu 报修
'bei'fen 备份
'bei'fen'xi'tong 备份系统
'bei'fen'yu'hui'fu 备份与恢复
'bei'fen'zhou'qi 备份周期
'bian'geng 变更
'bian'geng'deng'ji 变更等级
'bian'geng'kong'zhi 变更控制
'biao'mian'jun 表面菌
'bu'he'gui 不合规
'bu'jian'qing'xi'ji 部件清洗机
'cha'cuo 差错
'cha'she'xiao'he 插舌小盒
'chan'pin'fang'xing 产品放行
'chan'pin'zhi'liang 产品质量
'chang'qi'wen'ding'xing 长期稳定性
'chen'jiang'jun 沉降菌
'chi'xu 持续
'chi'xu'gong'yi 持续工艺
'chi'xu'wen'ding'xing 持续稳定性
'chong'ce'qi 重测期
'chou'yang'liang 抽样量
'chu'cang'tiao'jian 储藏条件
'chu'jun'guo'lv 除菌过滤
'chun'hua'shui 纯化水
'cu'pin 粗品
'dan'qi 氮气
'deng'jian 灯检
'deng'jian'ji 灯检机
'dian'jiao'xiao'he 点胶小盒
'dian'zi'jian'guan'ma 电子监管码
'dian'zi'shu'ju 电子数据
'ding'zhi 定置
'ding'zhi'guan'li 定置管理
'fa'gui 法规
'fa'gui'bi'dui 法规比对
'fan'gong 返工
'fang'fa'xue'yan'zheng 方法学验证
'fang'zhi'yao 仿制药
'fen'ceng'qu'yang 分层取样
'fen'xi'fang'fa'yan'zheng 分析方法验证
'feng'xian'ping'gu 风险评估
'feng'xian'yi'shi 风险意识
'fu'liao 辅料
'fu'ma'xi'tong 赋码系统
'fu'wu'shang 服务商
'fu'you'jun 浮游菌
'gan're'mie'jun 干热灭菌
'gan'su'na 肝素钠
'gao'xiao'guo'lv 高效过滤
'ge'li'qi 隔离器
'gong'cheng'yun'xing 工程运行
'gong'yi'bo'dong 工艺波动
'gong'yi'can'shu 工艺参数
'gong'yi'he'cha 工艺核查
'gong'yi'jian'ce 工艺监测
'gong'yi'yan'zheng 工艺验证
'gong'ying'shang 供应商
'gong'yong'jie'zhi 公用介质
'gong'yong'xi'tong 公用系统
'gong'zuo'zhan 工作站
'gu'ti 固体
'guan'bi'bao'guan 关闭报关
'guan'jian'can'shu 关键参数
'guan'zhuang'ji 灌装机
'gui'dang 归档
'hai'chong'hai'shou 害虫害兽
'he'gui'xing 合规性
'he'tong'sheng'chan'shang 合同生产商
'hu'ren 互认
'hu'ren'jian'yan 互认检验
'hu'xi'dai 呼吸袋
'hu'xi'qi 呼吸器
'hua'xue'shi'ji 化学试剂
'hua'xue'yao 化学药
'huan'jing'jian'ce 环境监测
'hun'xiao 混淆
'huo'wei'ka 货位卡
'ji'fen 积分
'ji'lu 记录
'ji'shu'bian'geng 技术变更
'ji'shu'zhuan'yi 技术转移
'jia'su'wen'ding'xing 加速稳定性
'jian'ce'bao'gao 检测报告
'jian'ce'pin'lv 监测频率
'jian'ce'wei'dian 监测位点
'jian'yan 检验
'jian'yan'bao'gao 检验报告
'jiao'cha'wu'ran 交叉污染
'jiao'sai 胶塞
'jiao'yan 校验
'jiao'zhun 校准
'jie'jing'qu 洁净区
'jin'kou'shang 进口商
'jing'gao'xin 警告信
'jing'xiao'shang 经销商
'ju'du'shi'ji 剧毒试剂
'ju'jue'fang'xing 拒绝放行
'jun'yi'xing 均一性
'kai'feng'hou'chong'ce'qi 开封后重测期
'kai'feng'hou'you'xiao'qi 开封后有效期
'kai'jiao 开胶
'kong'qi'guo'lv'qi 空气过滤器
'kong'tiao'xi'tong 空调系统
'kong'zhi'qu 控制区
'lan'dian'shi'yan 蓝点试验
'li'hua 理化
'li'hua'shi'yan'shi 理化实验室
'lian'he'jian'cha 联合检查
'liang'hao'ji'lu'gui'fan 良好记录规范
