'a'lu'ka'duo 阿鲁卡多
'a'si'ta'luo'te'de'xuan'pan 阿斯塔罗特的宣判
'ai'la 艾拉
'ai'qi'ka 艾琪卡
'an'hai'long 暗骸龙
'an'hei'gong'feng 暗黑供奉
'an'hun'bao'shi'zhe 暗魂暴食者
'an'ming'wei'wang'ren 暗命未亡人
'an'ye'lang'hun 暗夜狼魂
'an'ye'nv'wang 暗夜女王
'an'ye'yin'you'shi'ren 暗夜吟游诗人
'an'ye'zhong'de'shou'qun 暗夜中的兽群
'ao'jia'si 奥迦斯
'ao'lei'li'ya 奥蕾莉亚
'bai'gu'sheng'tang'jiao'zhu 白骨圣堂教主
'bai'yin'de'jian'ji 白银的箭击
'bai'yin'qi'shi 白银骑士
'ban'long'ren'mo'fa'shi 半龙人魔法师
'bao'feng'zhan'shi 暴风战士
'bao'lan'de'ju'long 暴岚的巨龙
'bao'shi'ju'xiang 宝石巨像
'bao'shi'long 宝石龙
'bei'feng'yin'de'gu'dai'ju'long 被封印的古代巨龙
'bi'hu'de'tian'guang 庇护的天光
'bu'jie'chong'sheng 不洁重生
'bu'jing'jiang'jun 不净将军
'bu'qu'de'shi'bing 不屈的士兵
'bu'san'de'yin'hun 不散的阴魂
'can'bao'de'nv'xiu'shi 残暴的女修士
'can'ku'shou'ge'zhe 残酷收割者
'can'ku'shou'lie 残酷狩猎
'chen'mo'de'mo'jiang 沉默的魔将
'chen'shui'zhi'sen 沉睡之森
'chi'hou'jun'tuan'bing 斥候军团兵
'chong'man're'cheng'de'xiu'nv 充满热诚的修女
'chong'sheng'de'zhou'yin 重生的咒印
'chu'ji'fa'shu 初级法术
'chu'ji'lian'jin'shi'yan 初级炼金实验
'chu'jue 处决
'chuang'shi'long 创世龙
'chuang'zao'de'mo'nv 创造的魔女
'ci'ai'fu'yin 慈爱福音
'ci'yuan'chao'yue 次元超越
'cong'lin'bian'fu 丛林蝙蝠
'cong'mo'zhao'huan 从魔召唤
'da'peng'niao 大鹏鸟
'da'zhao'huan'shi 大召唤师
'da'zhu'jiao 大主教
'da'zi'ran'de'dao'yin 大自然的导引
'di'cheng'yao'jing 地城妖精
'di'lie'dan 地裂弹
'di'si'de'zhi'cai 狄斯的制裁
'ding'dang'tian'shi 叮当天使
'dong'zhi'nv'wang'de'ji'xing'yi'shu 冬之女王的即兴艺术
'du'la'han 杜拉汉
'du'ya'yan'jing'she 毒牙眼镜蛇
'e'li'ni'e'si 厄里倪厄斯
'e'mo'chong'ji'bo 恶魔冲击波
'e'mo'long'qi'shi 恶魔龙骑士
'e'mo'she'shou 恶魔射手
'e'mo'shen'pan'guan 恶魔审判官
'e'mo'si'ling 恶魔司令
'fa'fu'na 法夫纳
'fa'lu'te 法露特
'fan'ji'de'e'mo 反击的恶魔
'fei'long 飞龙
'fei'tian'yan'long'qi'bing 绯天炎龙骑兵
'fei'xue'zhi'nu 沸血之怒
'fen'nu'de'jiang'jun 愤怒的将军
'feng'bao'ju'long 风暴巨龙
'feng'huang'de'ting'yuan 凤凰的庭园
'feng'nian'ji 丰年祭
'feng'shen 风神
'fu'huai'ju'feng 腐坏飓风
'fu'li'ai 孚里埃
'fu'wen'shou'wei 符文守卫
'fu'wen'zhi'jian'zhao'huan'shi 符文之剑召唤师
'fu'yan'nv'wu 缚炎女巫
'gao'jie'lian'jin'shu'shi 高阶炼金术师
'ge'bu'lin'ju'mo'qi'shi 哥布林巨魔骑士
'ge'lv'weng 革律翁
'gong'jian'shou 弓箭手
'gong'ting'jian'shi 宫廷剑士
'gong'zhu'de'jin'wei'bing 公主的近卫兵
'gu'hai'wang 骨骸王
'guang'ming'zhi'lu 光明之路
'guang'yao'sa'man 光耀萨满
'guang'zhi'zhi'yu'mu'shi 光之治愈牧师
'gui'zu'qi'shi 贵族骑士
'hai'de'la 海德拉
'hai'di'du'shi'ba'zhu 海底都市霸主
'hai'gu'jue'dou'zhe 骸骨决斗者
'hai'gu'kuang'zhan'shi 骸骨狂战士
'hai'gu'qi'shi 骸骨骑士
'hai'gu'shi'bing 骸骨士兵
'hai'gu'shou 骸骨兽
'hai'gu'wei'wang'ren 骸骨未亡人
'hai'gu'zhan'jiang 骸骨战将
'hai'jian'long 海剑龙
'hai'jun'shang'jiang 海军上将
'hai'long'bao'jun 骸龙暴君
'hang'hai'jia 航海家
'hei'an'mu'shi 黑暗牧师
'hei'an'zhao'huan'shi 黑暗召唤师
'hei'long'qi'shi 黑龙骑士
'hei'tian'yue'tu'yao 黑天月兔妖
'hong'se'guang'hui 虹色光辉
'hua'xian'jian'shi 花仙剑士
'huan'mo'long 幻魔龙
'huan'xiang'bai'tu 幻想白兔
'huan'ying'wu'shu'shi 幻影巫术师
'huan'ying'zhi'xiao 幻影之啸
'huang'jia'jian'shi 皇家剑士
'huang'jin'long'de'chao'xue 黄金龙的巢穴
'hui'gui'gen'yuan 回归根源
'huo'yan'lian'suo 火焰连锁
'huo'yan'xi'yi 火焰蜥蜴
'ji'dong'de'mo'long 急冻的魔龙
'ji'er'jia'mei'shi 吉尔伽美什
'ji'er'ni'te'la 吉尔尼特拉
'ji'li'zhi'wu 激励之舞
'ji'ti'mai'zang'di 集体埋葬地
'jia'bai'lie 加百列
'jia'mian'ju'ren 假面巨人
'jian'dui'zhi'hui'guan 舰队指挥官
'jian'hao 剑豪
'jian'shu'jiao'guan 剑术教官
'jian'xi'lian'jin'shu'shi 见习炼金术师
'jian'xi'qi'bing 见习骑兵
'jian'xi'xiu'nv 见习修女
'jiao'ao'de'yuan'yi'shi 骄傲的园艺师
'jiao'hui'shou'hu'zhe 教会守护者
'jiao'tuan'sheng'qiang'bing 教团圣枪兵
'jie'jie'mo'fa'shi 结界魔法师
'jin'shu'de'shi'xiang 金属的石像
'jin'shu'wan'jia'zhi'liao'shi 金属腕甲治疗师
'jing'hun'zhi'hu 净魂之狐
'jing'ling'nv'hai 精灵女孩
'jing'ling'yu'yan'zhe 精灵预言者
'jing'ling'zhi'hen 精灵之恨
'jing'tong'zhou'fa'de'nv'wu 精通咒法的女巫
'jiu'ji'fa'shu 究极法术
'ju'lian'hai'gu'bing 巨镰骸骨兵
'ju'ren'lie'shou 巨人猎手
'ju'xiang'shou'hu'shu 巨像守护术
'jun'shi'de'miao'ji 军师的妙计
'kai'er'bei'luo'si 凯尔贝洛斯
'ke'ke 可可
'ku'gu'ju'she 骷骨巨蛇
'kuang'nu'de'ju'ren 狂怒的巨人
'kuang'ye'zhui'ji 狂野追击
'lei'li'ya 雷莉亚
'lei'se'mu 雷瑟姆
'lei'ting'zhi'bei'xi'mo'si 雷霆之贝西摩斯
'li'li'mu 莉莉姆
'li'mi'er'de'mi'mi 莉蜜儿的秘密
'li'ren'fu'mo 利刃附魔
'li'wei'tan 利维坦
'lian'jin'da'shi 炼金大师
'lian'jin'gong'fang 炼金工房
'lian'jin'shu'de'dai'jia 炼金术的代价
'lian'jin'shu'de'zhi'shi 炼金术的知识
'ling'hun'shang'ren 灵魂商人
'ling'hun'shou'ge'zhe 灵魂收割者
'ling'hun'shou'lie 灵魂狩猎
'ling'hun'zhuan'yi 灵魂转移
'ling'ti'hua 灵体化
'liu'lang'jing'ling 流浪精灵
'long'hua'mi'shu 龙化秘术
'long'hua'zhi'ta 龙化之塔
'long'hun'qi'yue'zhe 龙魂契约者
'long'qi'shi 龙骑士
'long'ren'gong'zhu 龙人公主
'long'ren'shao'nv 龙人少女
'long'ren'zhi'shu'shi 龙人织术师
'long'zhi'chuan'ling 龙之传令
'long'zhi'li 龙之力
'long'zhi'pao'xiao 龙之咆哮
'long'zhi'yi'ji 龙之翼击
'lu'mi'ye'si'qi'shi 鲁米耶斯骑士
'lu'xi'fa 路西法
'luo'bin'han 罗宾汉
'luo'la 萝拉
'ma'ji'sha 玛姬纱
'man'niu 曼纽
'mei'du'sha 美杜莎
'mei'fu 梅芙
'mei'gui'huang'hou 玫瑰皇后
'mei'lin 梅林
'mei'mo 魅魔
'meng'jing'bai'tu 梦境白兔
'meng'xi 猛袭
'mi'mi 米米
'mi'wu'ju'long 迷雾巨龙
'mi'yin'ju'xiang 秘银巨像
'mie'wang'xuan'gao 灭亡宣告
'ming'dou'nv'wang 冥都女王
'ming'fu'zhi'lu 冥府之路
'ming'yan'long 冥炎龙
'ming'yun'de'zhi'yin 命运的指引
'mo'dao'li'chang 魔导力场
'mo'er'mo 摩耳摩
'mo'fa'jing'ling'gong'zhu 魔法精灵公主
'mo'fa'xiong'lu 魔法雄鹿
'mo'hua'zhi'hua 魔化之花
'mo'jian'de'an'ye'juan'shu 魔剑的暗夜眷属
'mo'li'ji'xu 魔力积蓄
'mo'shen'fa'shi 魔神法师
'mo'shou'zhi'pei'zhe 魔兽支配者
'mo'zhang'qian'fu'zhe 魔掌潜伏者
'niu'tou'ren 牛头人
'nuo'nuo'de'mi'mi'yan'jiu'shi 诺诺的秘密研究室
'nv'pu'shi'wu'zhang 女仆事务长
'nv'wang 女王
'po'huai'shen'de'qi'xi 破坏神的气息
'po'mo'chong 破魔虫
'po'xi'wa'er 珀西瓦尔
'pu'lu'tuo 普鲁托
'qi'e'mo'fa'shi 企鹅魔法师
'qi'hei'zhi'qi 漆黑之契
'qi'shi'lu 启示录
'qi'shi'lu'pai'zu 启示录牌组
'qi'shi'wang'de'wei'wang 骑士王的威望
'qi'yuan'zhe'de'hao'zhao 祈愿者的号召
