'an'le'si 安乐死
'ban'liu'zhi'yin'shi 半流质饮食
'ban'wo'wei 半卧位
'ban'zuo'wo'wei 半坐卧位
'bei'dong'ti'wei 被动体位
'bei'po'wo'wei 被迫卧位
'bi'niao 闭尿
'bian'mi 便秘
'bing'qing'guan'cha 病情观察
'bu'gui'ze're 不规则热
'chan'ming'yang'hu'xi 蝉鸣样呼吸
'chao'shi'hu'xi 潮式呼吸
'chi'zhang're 弛张热
'chu'mai 绌脉
'chuan'bo'tu'jing 传播途径
'dan'nang'zao'ying'yin'shi 胆囊造影饮食
'dao'niao 导尿
'di'dan'bai'yin'shi 低蛋白饮食
'di'dan'gu'chun'yin'shi 低胆固醇饮食
'di'xiao'xing'hu'xi'xing'tai 低效性呼吸型态
'di'xue'ya 低血压
'di'yan'yin'shi 低盐饮食
'di'zhi'fang'yin'shi 低脂肪饮食
'dian'di'xi'shu 点滴系数
'duo'niao 多尿
'fu'wo'wei 腹卧位
'fu'xie 腹泻
'gan'ran'yuan 感染源
'gao'ban'wo'wei 高半卧位
'gao'dan'bai'yin'shi 高蛋白饮食
'gao're'liang'yin'shi 高热量饮食
'gao'shan'shi'xian'wei'yin'shi 高膳食纤维饮食
'gao'xue'ya 高血压
'ge'li 隔离
'guan'chang'shu 灌肠术
'guan'si'yin'shi 管饲饮食
'hong'xi'bao 红细胞
'hu'li 护理
'hu'li'bing'cheng 护理病程
'hu'li'guan'li 护理管理
'hu'li'ji'lu 护理记录
'hu'li'xue 护理学
'hu'xi'kun'nan 呼吸困难
'huan'jing 环境
'huan'mai 缓脉
'huo'dong'wu'nai'li 活动无耐力
'ji'ben'yin'shi 基本饮食
'ji'dian'yin'shi 忌碘饮食
'ji'gan'shi'yan'yin'shi 肌酐试验饮食
'ji'hu'li 级护理
'ji'liu're 稽留热
'ji'rou'zhu'she 肌肉注射
'jian'duan'hu'xi 间断呼吸
'jian'kang 健康
'jian'xie're 间歇热
'jiao'lv 焦虑
'jiao'ti'mai 交替脉
'jiao'ti'rong'ye 胶体溶液
'jie'shi'wei 截石位
'jing'mai'shu'xue 静脉输血
'jing'mai'shu'ye 静脉输液
'jing'mai'shu'ye'wei'xiang 静脉输液危象
'jing'mai'yan 静脉炎
'jing'mai'zhu'she 静脉注射
'jing'ti'rong'ye 晶体溶液
'kong'ju 恐惧
'kou'fu 口服
'lin'zhong'guan'huai 临终关怀
'liu'zhi'dao'niao 留置导尿
'liu'zhi'yin'shi 流质饮食
'mie'jun 灭菌
'nao'si'wang 脑死亡
'nei'yuan'xing'gan'ran 内源性感染
'niao'chu'liu 尿储留
'niao'pin 尿频
'niao'shi'jin 尿失禁
'pai'bian'qian'sai 排便嵌塞
'pai'xie 排泄
'pang'guang'chong'xi 膀胱冲洗
'pi'fu'hu'li 皮肤护理
'pi'fu'wan'zheng'xing'shou'sun'de'wei'xian 皮肤完整性受损的危险
'pi'nei'zhu'she 皮内注射
'pi'xia'zhu'she 皮下注射
'ping'tang'wei 平躺位
'pu'tong'yin'shi 普通饮食
'qi'mai 奇脉
'qi'ti'jiao'huan'shou'sun 气体交换受损
'qian'xue'shi'yan'yin'shi 潜血试验饮食
'qian'zai'bing'fa'zheng 潜在并发症
'qing'jie 清洁
'qing'li'hu'xi'dao'wu'xiao 清理呼吸道无效
'quan'xue 全血
'ren'gong'hu'xi'qi 人工呼吸器
'rong'xue'fan'ying 溶血反应
'ru'hu 入壶
'ruan'zhi'yin'shi 软质饮食
'shao'niao 少尿
'shao'zha'yin'shi 少渣饮食
'shen'du'hu'xi 深度呼吸
'sheng'ming'ti'zheng 生命体征
'shi'yan'yin'shi 试验饮食
'shu'shi'du'gai'bian 舒适度改变
'shu'ye'fan'ying 输液反应
'shu'ye'wei'li 输液微粒
'shui'mian'xing'tai'wen'luan 睡眠形态紊乱
'si'wang 死亡
'su'mai 速脉
'teng'tong 疼痛
'ti'wen'guo'di 体温过低
'ti'wen'guo'gao 体温过高
'ti'ye'guo'duo 体液过多
'tou'di'jiao'gao'wei 头低脚高位
'wai'yuan'xing'gan'ran 外源性感染
'wu'hua'xi'ru 雾化吸入
'wu'niao 无尿
'wu'yan'di'na'yin'shi 无盐低钠饮食
'xi'wei'shu 洗胃术
'xiao'du 消毒
'xin'fei'fu'su 心肺复苏
'xin'shu'chu'liang'jian'shao 心输出量减少
'xiu'ke'wo'wei 休克卧位
'xuan'fu'hong'xi'bao 悬浮红细胞
'xue'xiao'ban 血小板
'ya'chuang'hu'li 压疮护理
'yi'gan'su'zhu 易感宿主
'yi'ji'hu'li 一级护理
'yi'yuan'gan'ran 医院感染
'ying'yang'shi'heng 营养失衡
'ying'yang'shi'tiao 营养失调
'you'ce'wo'wei 右侧卧位
'you'chu'xue'de'wei'xian 有出血的危险
'you'gan'ran'de'feng'xian 有感染的风险
'you'xue'shuan'xing'cheng'de'wei'xian 有血栓形成的危险
'you'zhi'xi'de'wei'xian 有窒息的危险
'zhi'liao'yin'shi 治疗饮食
'zhi'shi'que'fa 知识缺乏
'zhi'ye'bao'lu 职业暴露
'zi'dong'ti'wei 自动体位
'zi'wo'xing'xiang'wen'luan 自我形象紊乱
'zuo'ce'wo'wei 左侧卧位
