'a'di'xia'hong'guang'xing'pai 阿底峡弘广行派
'a'di'xia'zun'xu'wu'zhong 阿底峡尊许五种
'a'huo'zhong'cheng'ke'ai'you'qing'ting 阿吙忠诚可爱友请听
'a'she'li'long'shu 阿阇黎龙树
'ai'zi'wu'shi'xun'xi'xie'dao'zhe 唉自无始熏习邪道者
'ba'wei'da'cheng'jiu'zhe'deng 八位大成就者等
'ban'ma'wang'jia 班玛旺嘉
'bao'xiang'tiao'hang'yu'kua'hang 抱项跳行与跨行
'bei'qi'gong'yang'man'cha'luo 悲泣供养曼茶罗
'bei'zhe'yu'zhu'zhi 悲者于诸汁
'ben'ju'neng'li'bu'xiang'ci 本具能力不降慈
'ben'shi'fo'wei'wu'bi'qiu 本师佛为五比丘
'ben'shi'pu'xian'jin'gang'chi 本师普贤金刚持
'ben'ti'chu'li'yi'le'yin 本体出离意乐引
'ben'ti'ci'bei'run'xiang'xu 本体慈悲润相续
'ben'ti'san'men'you'fang'bian 本体三门由方便
'ben'ti'zhuan'yi'de'shang'ju 本体转依德上具
'ben'zun'zhi'wo'chu 本尊至我处
'bi'bi'yi'fan'er'an'li 彼彼易犯而安立
'bi'deng'shi'yan'duo'zhong'li 彼等誓言多种理
'bi'jiang'shi'jie'lv 彼将失戒律
'bi'qiu'er'bai'wu'shi'san 比丘二百五十三
'bi'qiu'yu'ni'chu'jia'fang 比丘与尼出家方
'bi'ren'sang'ming'ju'you'ji'da'zui 彼人丧命具有极大罪
'bi'shou'shao'jiao'nei'zang'wu'liang'ku 必受烧焦内脏无量苦
'bi'wei'shi'yu'zhe 彼为实语者
'bi'yi'yuan'xin'si'li'zhong 彼亦愿心思利众
'bi'yu'jia'shi'bu'ju'zu 彼瑜伽士不具足
'bi'zhe'shi'hui'fan'jing'xing 彼者失毁梵净行
'bi'zhi'dui'zhi'xiu'xue'chu 彼之对治修学处
'bie'jie'pu'sa'mi'cheng'jie 别解菩萨密乘戒
'bie'jie'ruo'yi'fa'xin'she 别解若以发心摄
'bie'jie'tuo'jie'wei'qi'zhong 别解脱戒唯七种
'bin'chu'jing'tang'wai 摈出经堂外
'bing'du'lao'mu'you'qing'zhi'shang'zhu 并度老母有情至商主
'bing'pian'deng'yan'yao 冰片等眼药
'bing'shi'zi'you'wei'ta'shi 病失自由为他事
'bo'deng'ruo'bei'dao 钵等若被盗
'bu'de'zheng'jue'fo'suo'shuo 不得正觉佛所说
'bu'fu'zhan'tan'deng 不敷旃檀等
'bu'hu'xin'qi'di'shi'er 不护心欺第十二
'bu'jian'duan'xing'wu'can'kui 不间断行无惭愧
'bu'jiao'wai'dao'ge'gong'jing 不交外道各恭敬
'bu'jing'qi'di'sheng'yi'le 不净七地胜意乐
'bu'jing'yin'jiu'mu'ru'cheng 不敬饮酒暮入城
'bu'ju'yu'jia'yu'zhi'hui 不具瑜伽与智慧
'bu'li'jin'sheng'hai'hou'shi 不利今生害后世
'bu'li'ju'san'xin'xin'zhong 不利具三信心众
'bu'neng'qu'wu'deng'sheng'zhang 不能驱乌等胜障
'bu'qi'fen'bian'tuo'ye'ti 不弃粪便唾液涕
'bu'qing'shi'wu'guo 不请示无过
'bu'she'zhong'sheng'nian'gong'de 不舍众生念功德
'bu'shou'zuo'dian'sun'fu'ju 不收坐垫损敷具
'bu'shui'yu'qi'hou 不睡于其后
'bu'tan'se'sheng'xiang'wei'chu 不贪色声香味触
'bu'wei'fa'qi'shuo'mi'fa 不为法器说密法
'bu'wei'ming'jiang'she'san'bao 不为命奖舍三宝
'bu'wei'xing'zou'er'shi'ju 不为行走二十聚
'bu'xi'shi'di'yu'ci'sheng'yan'li 不喜视敌于此生厌离
'bu'xun'gui'ta'duan'hai'zhong 不寻皈他断害众
'bu'yi'shi'mo'zhu 不依师莫住
'bu'yi'xiang'tu'shen 不以香涂身
'bu'yin'cao'jian'xu 不饮草尖许
'bu'ying'diu'bi'ti 不应丢鼻涕
'bu'ying'shui'wo'deng 不应睡卧等
'bu'yu'qu'shi'yu'fa'shu 不予取食与伐树
'bu'yuan'zi'ta'shi'wu'shi 不缘自他示无实
'bu'zhan'li'jie'da'xiao'bian 不站立解大小便
'bu'zhi'zui'jie'bu'jing'shi 不知罪界不敬师
'bu'zuo'wu'liao'zhi'shi'dang'li'zhong 不作无聊之事当利众
'cai'fa'wu'wei'yu'ci'shi 财法无畏与慈施
'cai'fan'deng'liang'wei'ci'di 菜饭等量未次第
'cai'fen'mi'chu'zhi'tan'cheng 彩粉密处之坛城
'cai'nv'da'cheng'shen'shen'fa 财女大乘甚深法
'can'shi'zhi'yu'bo'zhong'qi 残食置于钵中弃
'can'yue'shi'lun'jin'gang'shuo 参阅时轮金刚说
'cao'fen'mu'cai'deng 草粪木材等
'ceng'ji'si'chu'zhi'bo'yu 层级四处置钵盂
'ceng'jing'xiu'xing'yi'jiu'jing 曾经修行已究竟
'cha'na'wu'chang'si'zhu'lai'ying'jie 刹那无常死主来迎接
'chan'ding'zi'zeng'sheng'jing'sen'lin'zhong 禅定自增胜境森林中
'chan'tong'si'wu'liang 禅通四无量
'chang'gong'ling'zi'ta'gui'yi 常供令自他皈依
'chang'jing'an'ju'yu'jie'zhi 长净安居与解制
'chang'jing'shi'jie'si'zong'pai 长净十戒四宗派
'chang'shi'xi'guan'cha 长时细观察
'chao'guo'liu'shi'cheng'yue'shi 超过六时称越时
