'ai'bing 癌病
'ai'qian'hei'su'chen'zhuo'bian'bing 癌前黑素沉着变病
'ai'rou'liu 癌肉瘤
'bai'xue'bing 白血病
'bai'xue'bing'xing'wang'zhuang'nei'pi'xi'bao'zeng'zhi 白血病性网状内皮细胞增殖
'bao'en'bing'ai'qian'pi'yan 鲍恩病癌前皮炎
'bei'xing'xi'bao'lei'ai 杯形细胞类癌
'bi'xian'wei'xing'qiu'zhen 鼻纤维性丘疹
'biao'mian'kuo'san'xing'hei'se'su'liu 表面扩散性黑色素瘤
'biao'pi'nei'lin'zhuang'xi'bao'yuan'wei'ai 表皮内鳞状细胞原位癌
'biao'pi'yang'ai 表皮样癌
'biao'pi'yang'ru'tou'zhuang'ai 表皮样乳头状癌
'biao'qian'kuo'san'xing'xian'ai 表浅扩散性腺癌
'bo'ji'te'lin'ba'liu 伯基特淋巴瘤
'bo'ji'te'xi'bao'bai'xue'bing 伯基特细胞白血病
'bo'wen'shi'bing 搏温氏病
'bu'fen'xing'pu'tao'tai 部分性葡萄胎
'bu'lun'na'liu 布伦纳瘤
'chan'nian'ye'xing'xian'ai 产粘液性腺癌
'chang'gu'cheng'you'zhi'liu 长骨成釉质瘤
'chang'xing'xian'ai 肠型腺癌
'cheng'gan'jue'shen'jing'xi'bao'liu 成感觉神经细胞瘤
'cheng'gu'mu'xi'bao'liu 成骨母细胞瘤
'cheng'gu'xi'bao'rou'liu 成骨细胞肉瘤
'cheng'jiao'zhi'xi'bao'liu 成胶质细胞瘤
'cheng'mu'zhi'fang'xi'bao'liu 成母脂肪细胞瘤
'cheng'ren'heng'wen'ji'liu 成人横纹肌瘤
'cheng'ren'xi'bao'bai'xue'bing'lin'ba'liu 成人细胞白血病淋巴瘤
'cheng'ruan'gu'mu'xi'bao'liu 成软骨母细胞瘤
'cheng'ruan'gu'mu'xi'bao'xing'gu'rou'liu 成软骨母细胞性骨肉瘤
'cheng'shao'tu'shen'jing'jiao'zhi'xi'bao'liu 成少突神经胶质细胞瘤
'cheng'shen'jing'guan'xi'bao'liu 成神经管细胞瘤
'cheng'shen'jing'jiao'zhi'mu'xi'bao'liu 成神经胶质母细胞瘤
'cheng'shen'jing'mu'xi'bao'liu 成神经母细胞瘤
'cheng'shi'guan'mo'xi'bao'liu 成室管膜细胞瘤
'cheng'shi'wang'mo'mu'xi'bao'liu 成视网膜母细胞瘤
'cheng'song'guo'ti'mu'xi'bao'liu 成松果体母细胞瘤
'cheng'sui'yang'ji'mu'xi'bao'liu 成髓样肌母细胞瘤
'cheng'xian'wei'mu'xi'bao'xing'gu'rou'liu 成纤维母细胞性骨肉瘤
'cheng'xing'xing'mu'xi'bao'liu 成星形母细胞瘤
'cheng'xue'guan'mu'xi'bao'liu 成血管母细胞瘤
'cheng'xue'guan'mu'xi'bao'xing'nao'ji'mo'liu 成血管母细胞性脑脊膜瘤
'cheng'you'mu'xi'bao'xian'wei'rou'liu 成釉母细胞纤维肉瘤
'cheng'you'mu'xi'bao'xian'wei'ya'chi'liu 成釉母细胞纤维牙齿瘤
'cheng'you'mu'xi'bao'ya'chi'rou'liu 成釉母细胞牙齿肉瘤
'cheng'you'xi'bao'liu 成釉细胞瘤
'cheng'you'xi'bao'xian'wei'liu 成釉细胞纤维瘤
'chu'wai'pang'guang'ru'tou'zhuang'liu 除外膀胱乳头状瘤
'cong'zhuang'shen'jing'xian'wei'liu 丛状神经纤维瘤
'cong'zhuang'xue'guan'liu 从状血管瘤
'cu'jie'di'zu'zhi'zeng'sheng'xing'xian'wei'liu 促结缔组织增生性纤维瘤
'cui'ru'su'liu 催乳素瘤
'da'nao'shen'jing'jiao'zhi'xi'bao'liu'bing 大脑神经胶质细胞瘤病
'da'xi'bao'ai 大细胞癌
'da'xi'bao'ai'xiao'xi'bao 大细胞癌小细胞
'da'xi'bao'he'lie'mi'man'xing'e'xing'lin'ba'liu 大细胞核裂弥漫性恶性淋巴瘤
'da'xi'bao'lin'ba'liu 大细胞淋巴瘤
'da'xi'bao'lv'pao'xing'e'xing'lin'ba'liu 大细胞滤泡性恶性淋巴瘤
'da'xi'bao'mi'man'xing'e'xing'lin'ba'liu 大细胞弥漫性恶性淋巴瘤
'da'xi'bao'wai'zhou'xi'bao'lin'ba'liu 大细胞外周细胞淋巴瘤
'da'xi'bao'wu'he'lie'mi'man'xing'e'xing'lin'ba'liu 大细胞无核裂弥漫性恶性淋巴瘤
'da'yuan'xi'bao'xing'xing'xing'xi'bao'liu 大圆细胞性星形细胞瘤
'dan'chun'ai 单纯癌
'dan'guan'ai 胆管癌
'dan'guan'nang'xian'ai 胆管囊腺癌
'dan'guan'nang'xian'liu 胆管囊腺瘤
'dan'guan'xian'liu 胆管腺瘤
'dan'he'xi'bao'xing'bai'xue'bing 单核细胞性白血病
'dan'he'xi'bao'yang'xi'bao'lin'ba'liu 单核细胞样细胞淋巴瘤
'dan'ke'long'bing'qiu'dan'bai'bing 单克隆丙球蛋白病
'dan'xing'xing'xian'liu 单形性腺瘤
'dao'fang'guan'nei'ru'tou'zhuang'liu 导房管内乳头状瘤
'dao'guan'nei'ai'he'xiao'ye'xing'yuan'wei'ai 导管内癌和小叶性原位癌
'dao'guan'nei'ru'tou'zhuang'liu'bing 导管内乳头状瘤病
'dao'guan'nei'ru'tou'zhuang'xian'ai'ban'you'qin'xi 导管内乳头状腺癌伴有侵袭
'dao'guan'xian'ai 导管腺癌
'ding'mi'xing'xian'ai 顶泌性腺癌
'ding'mi'xing'xian'liu 顶泌性腺瘤
'ding'ning'xian'ai 耵聍腺癌
