'biao'qing'jiao'lv 表情焦虑
'bu'zhong 不肿
'ce'jing'gong'si 测井公司
'cha'ti'he'zuo 查体合作
'cheng'er'cun 乘二村
'cheng'feng'zhuang 乘风庄
'ding'qi'jian'ce 定期监测
'fa'yu'zheng'chang 发育正常
'fu'cha 复查
'fu'ruan 腹软
'gan'pi'lei'xia'wei'ji 肝脾肋下未及
'ge'ban'mo'ting'zhen'qu'wu'za'yin 各瓣膜听诊区无杂音
'hei'meng 黑矇
'hou'zhong 喉中
'hu'xi'yin 呼吸音
'jing'dian 静点
'jing'ruan 颈软
'ke'tan 咳痰
'li'yuan 离院
'lv'qi 律齐
'men'zhen'sui'zhen 门诊随诊
'nian'ye 粘液
'nu'zhang 怒张
'qi'guan'ju'zhong 气管居中
'shang'fu 上腹
'shen'qing'yu'ming 神清语明
'shuang'fei 双肺
'shuang'xia'zhi 双下肢
'wu'fu'zhong 无浮肿
'wu'ya'tong'ji'fan'tiao'tong 无压痛及反跳痛
'xi'tan 吸痰
'yan'chong'xue 咽充血
'yin'lang 银浪
'yin'lang'cun 银浪村
'yin'lang'ku 银浪库
'ying'yang'zhong'deng 营养中等
'you'fei 右肺
'you'tian'zong'yi'yuan 油田总医院
'yuan'wang 远望
'zhan'tan 粘痰
'zhu'huan'zhe 嘱患者
'zhu'qi 嘱其
'zi'zhu'ti'wei 自主体位
'zuo'fei 左肺
