'a'xiu'luo 阿修罗
'ai'cao 艾草
'ai'hao'zhi'jian 哀嚎之剑
'ai'hao'zhi'zhang 哀嚎之杖
'an'ran'xiao'hun 黯然销魂
'an'ran'xiao'hun'yang'bu'hui 黯然销魂杨不悔
'an'sha'zhi'ye'xing'yi 暗杀之夜行衣
'ao'yi 奥义
'ba'wang'kai 霸王铠
'ba'wang'qiang 霸王枪
'bai'bu'chuan'yang 百步穿扬
'bai'bu'chuan'yang'yang'you'ji 百步穿扬养游基
'bai'feng'jian 白锋剑
'bai'gui'mu 百鬼墓
'bai'jun'mu 白君墓
'bai'long'zhang 白龙杖
'bai'long'zhang'wei 白龙杖伪
'bai'ma 白马
'bai'shi 百事
'bai'wang'du'zhu 白网毒蛛
'bai'xue'zhan'ma 白雪战马
'bai'yu'hu 白玉虎
'bai'yue'hu 白月狐
'bai'yue'hu'wang 白月狐王
'ban'fu 板斧
'ban'xian 半仙
'ban'xian'man'tian 半仙满天
'bang'gong 帮贡
'bao'guo 包裹
'bao'li'huo'hun'zhang 暴力火魂杖
'bao'li'zhi'ba'wang'kai 暴力之霸王铠
'bao'li'zhi'hui'tian'chu 暴力之回天杵
'bao'li'zhi'ni'lin'kai 暴力之逆磷铠
'bao'li'zhi'pan'shi'kai 暴力之磐石铠
'bao'li'zhi'wu'shuang'kai 暴力之无双铠
'bao'luan'shi'bing 暴乱士兵
'bao'min 暴民
'bao'min'tou'mu 暴民头目
'bao'tu'zhi'fu 暴徒之斧
'bao'wan'liang 包万两
'bao'yan'shu 爆炎术
'bei'ci 背刺
'bei'guan'kuang'keng 北关矿坑
'bei'guan'lin'chang 北关林场
'bi'hai'guan 碧海冠
'bi'hai'hu'jian 碧海护肩
'bi'hai'hu'shou 碧海护手
'bi'hai'lv 碧海履
'bi'hai'pao 碧海袍
'bi'ling'jian 碧灵剑
'bi'shou 匕首
'bi'shou'da'shi 匕首大师
'bi'shou'jing'tong 匕首精通
'bi'shui'shen'shi 避水神狮
'bi'xuan'guan 碧玄冠
'bi'xuan'hu'jian 碧玄护肩
'bi'xuan'hu'shou 碧玄护手
'bi'xuan'lv 碧玄履
'bi'xuan'pao 碧玄袍
'bian'hou 变猴
'bian'lu 变鹿
'bian'que 扁鹊
'bian'xing'shu 变形术
'bian'xiong 变熊
'bin'tie'fu 镔铁斧
'bing'hua'hun 冰化魂
'bing'hun 冰魂
'bing'jian'shu 冰箭术
'bing'leng'ji'she 冰棱激射
'bing'mo 冰魔
'bing'po'shi 冰魄石
'bing'qi'shang 兵器商
'bing'qi'shang'mo'lao'er 兵器商莫老二
'bing'qi'shang'mo'lao'si 兵器商莫老四
'bing'qi'shang'mo'lao'wu 兵器商莫老五
'bing'shan'di'long 冰山地龙
'bing'tie'pan'long'qiang 冰铁盘龙枪
'bing'yuan'qian'shao 冰原前哨
'bing'yuan'xiang 冰原象
'bing'zhui'shu 冰锥术
'bo'he 薄荷
'bu'dong'ming'wang 不动明王
'bu'dong'ming'wang'fa 不动明王法
'bu'dong'ru'shan 不动如山
'bu'qu'ying'ling 不屈英灵
'bu'qu'zhi'zhang 不屈之杖
'bu'ren'hu'jian 步人护肩
'bu'ren'hu'shou 步人护手
