'a'bi'luo'ti 阿比罗提
'a'bing'ba'zhi 阿鞞跋致
'a'chan'di'jia 阿阐底迦
'a'dian'di'jia 阿颠底迦
'a'ga'se 阿伽色
'a'hong 阿吽
'a'lai'ye'shi 阿赖耶识
'a'li'ye 阿离耶
'a'mo'luo'shi 阿摩罗识
'a'nou'duo'luo'san'miao'san'pu'ti 阿耨多罗三藐三菩提
'a'pi'da'mo 阿毗达磨
'a'te'man 阿特曼
'a'tuo'na'shi 阿陀那识
'a'zi'wu'zhuan 阿字五转
'ai'bie'li'ku 爱别离苦
'ai'jian 爱见
'ai'jian'da'bei 爱见大悲
'ai'xing 爱行
'an'li 安立
'an'xin 安心
'ba'bu'zhong'dao 八不中道
'ba'chu 八触
'ba'da'ren'jue 八大人觉
'ba'fa 八法
'ba'jie'tuo 八解脱
'ba'jing'fa 八敬法
'ba'jue 八觉
'ba'ku 八苦
'ba'nan 八难
'ba'ren'ba'zhi 八忍八智
'ba'sheng'chu 八胜处
'ba'shi 八识
'ba'shi'ba'shi 八十八使
'ba'shi'jiu'xin 八十九心
'ba'shi'sui'xing'hao 八十随形好
'ba'wan'si'qian'fa'men 八万四千法门
'ba'wei'ceng'you 八未曾有
'ba'xiang'cheng'dao 八相成道
'ba'zheng'dao 八正道
'ba'zhu 把住
'ba'zhuan'sheng 八转声
'bai'ba'fan'nao 百八烦恼
'bai'fa 百法
'bai'fa'hei'fa 白法黑法
'bai'fa'ming'men 百法明门
'bai'fu'zhuang'yan 百福庄严
'bai'jie'qian'ru 百界千如
'bai'ye 白业
'bai'yi 白衣
'bai'yue 白月
'ban'dao 办道
'ban'ze'jia 半择迦
'ban'zi'man'zi 半字满字
'ban'zuo 半座
'bao'shen 报身
'bao'tu 报土
'bei'zeng 悲增
'ben'di'chui'ji 本地垂迹
'ben'di'shen 本地身
'ben'hua 本化
'ben'ji'er'men 本迹二门
'ben'jue 本觉
'ben'lai'mian'mu 本来面目
'ben'sheng 本生
'ben'wei'you'shan 本未有善
'ben'you'jia 本有家
'ben'yuan 本愿
'ben'zhi 本质
'ben'zun 本尊
'bi'jing'kong 毕竟空
'bian'ji'suo'zhi'xing 遍计所执性
'bian'xing 遍行
'bian'yi'sheng'si 变易生死
'bian'zhi 遍知
'bian'zhi'jian 边执见
'biao'se 表色
'biao'wu'biao 表无表
'bie'bao 别报
'bie'fa 别法
'bie'jiao 别教
'bie'jing 别境
'bie'li'sui'yuan 别理随缘
'bie'qing 别请
'bie'xiang'yuan'xiu 别向圆修
'bo'di 薄地
'bo're'bo'luo'mi 般若波罗蜜
'bo'wu'yin'guo 拨无因果
'bu'bian'sui'yuan 不变随缘
'bu'ding 不定
'bu'ding'de'fa 不定地法
'bu'ding'jiao 不定教
'bu'ding'ye 不定业
'bu'dong'fa 不动法
'bu'dong'man'tu'luo 不动曼荼罗
'bu'er'mo'he'yan 不二摩诃衍
'bu'er'yi'yuan'lun 不二一元论
'bu'fang'yi 不放逸
'bu'gong'fa 不共法
'bu'gong'jiao 不共教
'bu'gong'xiang 不共相
'bu'gong'ye 不共业
'bu'hai 不害
'bu'huai'fa 不坏法
'bu'li'wen'zi 不立文字
'bu'liao'yi 不了义
'bu'ran'wu 不染污
'bu'ran'wu'wu'zhi 不染污无知
'bu'sa 布萨
'bu'shan 不善
'bu'sheng'bu'mie 不生不灭
'bu'shi 布施
'bu'shi'jie'tuo 不时解脱
'bu'te'ga'luo 补特伽罗
'bu'tuo'luo'shan 补陀洛山
'bu'xian 不闲
'bu'xiang'ying'xin 不相应心
'bu'yi'bu'yi'shuo 不一不异说
'bu'zeng'bu'jian 不增不减
'can 参
'cao'mu'cheng'fo 草木成佛
'cha 剎
'cha'na 剎那
'chan 缠
'chan'hui 忏悔
'chang'ji'guang'tu 常寂光土
'chang'jian 常见
'chao'fo'yue'zu 超佛越祖
'chao'zheng 超证
'chen 尘
'chen 瞋
'chen'dian'jie 尘点劫
'chen'lao 尘劳
'chen'sha'huo 尘沙惑
'cheng'dao 成道
'cheng'fo 成佛
'cheng'jiu 成就
'chi 痴
'chu 处
'chu'fa'ming'dao 初法明道
'chu'li 出离
'chu'li'yi 出离依
'chu'shi 出世
'chu'shi'jian 出世间
'chu'ye 初夜
'chu'zhuan'fa'lun 初转法轮
'chun'ri'man'tu'luo 春日曼荼罗
'ci'bei 慈悲
'da'bei 大悲
'da'bei'chan'ti 大悲阐提
'da'bu'shan'de'fa 大不善地法
'da'cheng'san'xi 大乘三系
'da'cheng'si'guo 大乘四果
'da'cheng'wu'xiang'wang'zhi 大乘无相妄执
'da'ci'da'bei 大慈大悲
'da'di'fa 大地法
'da'fan'nao'de'fa 大烦恼地法
'da'fo 大佛
'da'shan'di'fa 大善地法
'da'shi 大师
'da'xiong 大雄
'da'yuan'jing'zhi 大圆镜智
'dai'ye'wang'sheng 带业往生
'dang'ma'man'tu'luo 当麻曼荼罗
'dao 道
'dao'di 道谛
'deng'guang'cheng 灯光城
'deng'jue 等觉
'deng'liu'xi'qi 等流习气
'di 谛
'di'yi'yi'di 第一义谛
'di'yi'yi'kong 第一义空
'dian'dao 颠倒
'diao'ju 掉举
'ding'san 定散
'ding'ye 定业
'dong'shan'wu'wei 洞山五位
'duan'huo 断惑
'duan'mie'lun 断灭论
'duan'mo'mo 断末摩
'dui'zhi'li 对治离
'dun'jian'er'jiao 顿渐二教
'dun'wu 顿悟
'duo'nian'yi 多念义
'duo'wen 多闻
'e 恶
'e'jian 恶见
'e'qu'kong 恶取空
'e'ren'zheng'ji 恶人正机
'e'zhi'shi 恶知识
'e'zuo 恶作
'en 恩
'er'bian 二边
'er'cheng 二乘
'er'cheng'zuo'fo 二乘作佛
'er'chong'zhong'dao 二重中道
'er'di 二谛
'er'gen 耳根
'er'gen 二根
'er'he'bai'dao 二河白道
'er'hu 二护
'er'jiao 二教
'er'jiao'liu'li 二教六理
'er'kong 二空
'er'li 二力
'er'qu 二取
'er'ru'si'hang 二入四行
'er'shi 耳识
'er'shi'er'gen 二十二根
'er'shi'er'yu 二十二愚
'er'shi'si'yuan 二十四缘
'er'shi'wu'di 二十五谛
'er'shi'wu'fang'bian 二十五方便
'er'shi'wu'you 二十五有
'er'shi'wu'yuan'tong 二十五圆通
'er'shu'nie'teng 二鼠啮藤
'er'tu 二土
'er'tu'hong'jing 二土弘经
'er'xing 二形
'er'yin 二因
'er'zhang 二障
'er'zhi 二智
'er'zhong'sheng'si 二种生死
'fa 法
'fa'cang 法藏
'fa'chu'suo'she'se 法处所摄色
'fa'er'zi'ran 法尔自然
'fa'hua'qi'yu 法华七喻
'fa'jie 法界
'fa'jie'ding'yin 法界定印
'fa'jie'guan 法界观
'fa'jie'yuan'qi 法界缘起
'fa'la 法腊
'fa'lun 法轮
'fa'men 法门
'fa'ming 法名
'fa'pu'ti'xin 发菩提心
'fa'shen 法身
'fa'shu 法数
'fa'ti 法体
'fa'ti'heng'you 法体恒有
'fa'wang 法王
'fa'xiang 法相
'fa'xing 法性
'fa'xing'sheng'shen 法性生身
'fa'xing'tu 法性土
'fa'yan'jing 法眼净
'fa'zhi 法执
'fa'zhu'zhi 法住智
'fan 梵
'fan'fu 凡夫
'fan'nao 烦恼
'fan'nao'ji'pu'ti 烦恼即菩提
'fan'nao'zhang 烦恼障
'fan'xing 梵行
'fang'bian 方便
'fang'xing 放行
'fang'yi 放逸
'fei'ren 非人
'fei'you'xiang'fei'wu'xiang 非有想非无想
'fen'bie 分别
'fen'bie'bian 分别变
'fen'bie'qi 分别起
'fen'duan'sheng'si 分段生死
'fen'shen 分身
'fo'bu 佛部
'fo'ding 佛顶
'fo'gu 佛骨
'fo'jiao 佛教
'fo'shen 佛身
'fo'tu 佛土
'fo'xing 佛性
'fo'zhi 佛智
'fo'zhong 佛种
'fu 缚
'fu'dao 伏道
'fu'fa 付法
'fu'lv'tan'chang 扶律谈常
'fu'tian 福田
'fu'xi'run'sheng 扶习润生
'fu'zhu 付嘱
'ga'na 伽那
'ga'tuo 伽陀
'gai 盖
'gan'lu 甘露
'gan'tuo'luo'se 干陀罗色
'ge'yi 格义
'gen 根
'gen'ben'fan'nao 根本烦恼
'gen'ben'shi 根本识
'gen'ben'zhi 根本智
'gen'bian'yun 根边蕴
'gong'an 公案
'gong'bo're 共般若
'gong'de 功德
'gong'jiao 共教
'gong'neng 功能
'gong'xiang 共相
'gong'xiang'huo 共相惑
'gong'ye 共业
'gong'zhong'zi 共种子
'guang'chang'she'xiang 广长舌相
'guang'da'xing 广大行
'guang'ming 光明
'gui'yi 归依
'guo 果
'guo'bao 果报
'guo'fen 果分
'guo'neng'bian 果能变
'guo'tou'wu'ren 果头无人
'hei'ye 黑业
'hei'yue 黑月
'hong 吽
'hong'shi 弘誓
'hou'you 后有
'hu'nian 护念
'hua'cheng'yu 化城喻
'hua'fa'si'jiao 化法四教
'hua'fo 化佛
'hua'ren 化人
'hua'shen 化身
'hua'tu 化土
'hua'yi'si'jiao 化仪四教
'hua'yuan 化缘
'hua'zhi'er'jiao 化制二教
'hua'zhu 化主
'huai'fa 坏法
'huai'jie 坏劫
'huai'se 坏色
'huan 幻
'huan'xi 欢喜
'huan'you 幻有
'hui 慧
'hui'san'gui'yi 会三归一
'hui'shen'mie'zhi 灰身灭智
'hui'tu 秽土
'hui'xiang 回向
'hui'xin'xiang'da 回心向大
'hun'chen 惛沉
'huo 惑
'huo'zhai 火宅
'ji 机
'ji'di 集谛
'ji'le'jing'tu 极乐净土
'ji'mie 寂灭
'ji'shen'cheng'fo 即身成佛
'ji'wei 极微
'jia 假
'jia'bei 加被
'jia'chi 加持
'jia'chi'shen 加持身
'jia'chi'shi'jie 加持世界
'jia'chi'wu 加持物
'jia'ming 假名
'jia'shi'er'fa 假实二法
'jia'xing 加行
'jia'xing'dao 加行道
'jia'xing'de 加行得
'jia'xing'shan 加行善
'jia'xing'wei 加行位
'jian 见
'jian'ai'er'fan'nao 见爱二烦恼
'jian'dan'dui'dai 兼但对带
'jian'dao 见道
'jian'fo 见佛
'jian'huo 见惑
'jian'si'huo 见思惑
'jian'wu 渐悟
'jian'xing 见行
'jian'xing 减行
'jian'xing'cheng'fo 见性成佛
'jian'xiu'er'huo 见修二惑
'jian'yuan 减缘
'jiao'li'xing'guo 教理行果
'jiao'xiang 教相
'jie 劫
'jie 界
'jie'chu 劫初
'jie'ji 结集
'jie'jin'qu'jian 戒禁取见
'jie'nei 界内
'jie'shi 结使
'jie'tuo 解脱
'jie'tuo'dao 解脱道
'jie'wai 界外
'jie'xi 界系
'jie'xia 结夏
'jie'yuan 结缘
'jin'gang 金刚
'jin'gang'bu 金刚部
'jin'gang'fa'jie'gong 金刚法界宫
'jin'gang'jie 金刚界
'jin'gang'jie'san'shi'qi'zun 金刚界三十七尊
'jin'zhi 尽智
'jing'jin 精进
'jing'tu 净土
'jing'xin 净心
'jing'xing'guo 境行果
'jing'ye 净业
'jiu'cheng 九乘
'jiu'di 九谛
'jiu'di 九地
'jiu'fang'bian 九方便
'jiu'fo'shi 九佛事
'jiu'heng'si 九横死
'jiu'jie 九结
'jiu'jing 究竟
'jiu'jing'li 究竟离
'jiu'lei'sheng 九类生
'jiu'pin'huo 九品惑
'jiu'pin'jing'tu 九品净土
'jiu'pin'lian'tai 九品莲台
'jiu'pin'wang'sheng 九品往生
'jiu'pin'yin 九品印
'jiu'shan'ba'hai 九山八海
'jiu'shang'yuan'huo 九上缘惑
'jiu'shi 九食
