'a'ji'mi'de'luo'xian 阿基米德螺线
'a'ji'mi'de'luo'xuan'mian 阿基米德螺旋面
'a'ji'mi'de'wo'gan 阿基米德蜗杆
'a'meng'dong'ding'lv 阿蒙东定律
'a'su'er'gan'zu 阿苏尔杆组
'an'quan'li'he'qi 安全离合器
'an'quan'xiao 安全销
'an'quan'zhi'dong'qi 安全制动器
'an'xing'jian 鞍形键
'an'xing'tan'xing'dian'quan 鞍形弹性垫圈
'an'zhuang'ju 安装距
'an'zhuang'tu 安装图
'ao'chi'mian 凹齿面
'ao'hu'mian'tu'lun 凹弧面凸轮
'ao'mian 凹面
'ao'tu'mian'fa'lan 凹凸面法兰
'ao'xing'bian'xing 凹形变形
'ba'jiao'fang'cheng 八角方程
'ba'jiao'luo'mu 八角螺母
'ba'jiao'tou'luo'shuan 八角头螺栓
'ba'shou 把手
'bai'dong'cong'dong'jian 摆动从动件
'bai'dong'dao'gan'hua'kuai'ji'gou 摆动导杆滑块机构
'bai'dong'zai'he 摆动载荷
'bai'dong'zhui'chi'lun 摆动锥齿轮
'bai'xian 摆线
'bai'xian'chi'kuo 摆线齿廓
'bai'xian'chi'lun 摆线齿轮
'bai'xian'chi'zhui'chi'lun 摆线齿锥齿轮
'bai'xian'lun 摆线轮
'bai'xian'shao'chi'cha'chi'lun'fu 摆线少齿差齿轮副
'bai'xian'shao'chi'cha'chuan'dong 摆线少齿差传动
'bai'xian'yuan'zhu'chi'lun 摆线圆柱齿轮
'bai'xian'zhen'lun'jian'su'ji 摆线针轮减速机
'bai'zao'sheng 白噪声
'ban'chen'tou'mao'ding 半沉头铆钉
'ban'jiao'cha'chuan'dong 半交叉传动
'ban'jin'shu'mo'ca'cai'liao 半金属摩擦材料
'ban'kong'xin'mao'ding 半空心铆钉
'ban'shi'lian 板式链
'ban'shi'ping'han'fa'lan 板式平焊法兰
'ban'shi'xin'bian'song'tao'fa'lan 板式新边松套法兰
'ban'shou'lian 扳手链
'ban'tan'huang 板弹簧
'ban'ye'ti'run'hua 半液体润滑
'ban'yuan'jian 半圆键
'ban'yuan'tou'mao'ding 半圆头铆钉
'ban'zheng'xian'chong'ji'mai'chong 半正弦冲击脉冲
'bao'bi'zhou'wa 薄壁轴瓦
'bao'chi'jia 保持架
