'bei'qu'yu'bing'wang 北驱予并往
'bei'sui'mao'jing 北虽貌敬
'bei'yao'dang'guo'zhe'xiang'jian 北邀当国者相见
'bei'yi'wei'gan'ju'qing'wu'guo 北亦未敢遽轻吾国
'bei'yu'kou'wang'lai'qi'jian 北与寇往来其间
'bei'yu'zhi'yan 悲予志焉
'bi'shao'zhu'lin'zhong 避哨竹林中
'bi'zhu'zhou 避渚洲
'bian'xing'ming 变姓名
'bu'de'yi 不得已
'bu'fu'gu'li'hai 不复顾利害
'bu'xing'lv'shi'meng'gou'e'yu'qian 不幸吕师孟构恶于前
'bu'zhi'qi'ji'yi 不知其几矣
'cao'xing'lu'su 草行露宿
'ceng'jian'cuo'chu 层见错出
'chang'kong'wu'gu'si 常恐无辜死
'chen'si'you'yu'lu 臣死有余僇
'cheng'bu'zi'yi'fan'wu'yi'guan 诚不自意返吾衣冠
'chong'jian'ri'yue 重见日月
'chu'bei'hai 出北海
'chu'ru'luan'shi'zhong 出入乱尸中
'chu'zhi'bei'ying 初至北营
'cong'wang'yu'shi 从王于师
'dai'li'song'si 殆例送死
'dan'yu'qiu'si 但欲求死
'dao'hai'an'ru'gao 道海安如皋
'dao'zhong'shou'zi'chao'lu 道中手自抄录
'de'jian'ben'zhen'zhou 得间奔真州
'de'you'er'nian'er'yue'shi'jiu'ri 德祐二年二月十九日
'di'da'qiu'dang'si 诋大酋当死
'du'du'zhu'lu'jun'ma 都督诸路军马
'du'gua'zhou 渡瓜洲
'er'bu'zai'shi'zhe'zhi'mu 而不在使者之目
'er'gui'qiu'ming'yue'guan'ban 二贵酋名曰馆伴
'er'jing'jie'wei'e 而境界危恶
'er'si'gu'fu'zhi'du'wai'yi 而死固付之度外矣
'er'si'you'yu'ze 而死有余责
'er'xing'sheng'ye'he'wei 而幸生也何为
'er'yu'bu'de'gui'yi 而予不得归矣
'fa'bei'guan'wai 发北关外
'fan'san'bai'li 凡三百里
'fei'ren'shi'suo'kan 非人世所堪
'feng'shi'wang'lai 奉使往来
'fu'gao'zu'zhi'ye 复高祖之业
'fu'he'han'zai 复何憾哉
'fu'huan'jing'kou 复还京口
'gai'yuan'jing'yan 改元景炎
'gui'er'qiu'jiu'guo'zhi'ce 归而求救国之策
'gui'zong'ji 诡踪迹
'guo'gua'zhou'yang'zi'qiao 过瓜洲扬子桥
'guo'shi'sui'bu'ke'shou'shi 国事遂不可收拾
'guo'shi'zhi'ci 国事至此
'hao'hu'mi'ji 号呼靡及
'hui'shi'zhe'jiao'chi 会使辙交驰
'ji'cong'yu'fu'si 几从鱼腹死
'ji'ju'yi'bei'xu'shi'gao'dong'xi'er'kun 即具以北虚实告东西二阃
'ji'luo'zei'shou'si 几落贼手死
'ji'pang'huang'si 几彷徨死
'ji'wu'suo'tao'si 几无所逃死
'ji'xian'si 几陷死
'ji'xie'hou'si 几邂逅死
'ji'yi'bu'na'si 几以不纳死
'ji'yi'bu'xi'si 几以捕系死
'ji'zi'jing'si 几自刭死
'jia'jia'zhuang'ji'wei'xun'jiao'suo'ling'po'si 贾家庄几为巡徼所陵迫死
'jia'yu'qing'deng'yi'qi'qing'shi'yi'bei 贾余庆等以祈请使诣北
'jia'yu'qing'xian'chan'yu'hou 贾余庆献谄于后
'jian'yi'shi'ji'suo'zao 间以诗记所遭
'jiang'cang'zhi'yu'jia 将藏之于家
'jiang'qing'zui'yu'jun 将请罪于君
'jiang'wu'wang'er'bu'de'si'suo'yi 将无往而不得死所矣
'jiang'yi'you'wei'ye 将以有为也
'jie'fu 嗟夫
'jin'cun'qi'ben'bu'ren'fei 今存其本不忍废
'jin'shen'dai'fu'shi'cui'yu'zuo'cheng'xiang'fu 缙绅大夫士萃于左丞相府
'jin'tui'bu'you 进退不由
'jing'bei'jian'shi'yu'li 经北舰十余里
'jing'shi'yu'shao 竟使遇哨
'jun'bu'xu 君不许
'jun'qin'qi'wei'yu'he 君亲其谓予何
'kang'ci'kang'kai 抗辞慷慨
'lai'tian'zhi'ling 赖天之灵
'li'wu'men'pi'ling 历吴门毗陵
'liu'bei'guan'wai 留北关外
'liu'er'ri 留二日
'lu'ling'wen'tian'xiang'zi'xu'qi'shi 庐陵文天祥自序其诗
'luo'zhe'shu'shi'qi 逻者数十骑
'lv'dang'si 屡当死
'ma'ni'zei'dang'si 骂逆贼当死
'mi'shi'dao 迷失道
'ming'yue'zhi'nan'lu 名曰指南录
'mo'zhi'ji'suo'chu 莫知计所出
'mu'bu'xu 母不许
'qi'shu'qian'guo'qi'men 骑数千过其门
'qing'zui'yu'mu 请罪于母
'qing'zui'yu'xian'ren'zhi'mu 请罪于先人之墓
'qiong'e'wu'liao 穷饿无聊
'qu'jing'kou 去京口
'qu'zhen'zhou'yang'zhou'gao'you'tai'zhou'tong'zhou 趋真州扬州高邮泰州通州
'ran'er'yin'ren'yi'xing 然而隐忍以行
'ran'hou'du'yang'zi'jiang 然后渡扬子江
'ran'wei'yi'zi'wen'yu'jun'qin 然微以自文于君亲
'ri'yu'bei'qi'xiang'chu'mo'yu'chang'huai'jian 日与北骑相出没于长淮间
'ru'gao'sha 如高沙
'ru'su'zhou'yang 入苏州洋
'ru'yang'zhou 如扬州
'ruo'yu'zhe 若予者
'shang'xia'po'jing'dong 上下颇惊动
'sheng'wu'yi'jiu'guo'nan 生无以救国难
'shi'bei'bing'yi'po'xiu'men'wai 时北兵已迫修门外
'shi'bei'ying 使北营
'shi'dan'xi'de'zheng'qiu'shou 使旦夕得正丘首
'shi'lai'zhe'du'zhi 使来者读之
'shi'nian'xia'wu 是年夏五
'shi'ze'fen'nu 实则愤怒
'shu'ji'zai'ci 庶几在此
'shu'lv'shi'meng'shu'zhi'wei'ni 数吕师孟叔侄为逆
'si'er'hou'yi 死而后已
'si'er'si'yi 死而死矣
'si'sheng 死生
'si'you'wei'li'gui'yi'ji'zei 死犹为厉鬼以击贼
'suo'qiu'hu'wei'chen 所求乎为臣
'suo'qiu'hu'wei'zi 所求乎为子
'suo'wei'ju'gong'jin'li 所谓鞠躬尽力
'suo'wei'shi'bu'yu'zei'ju'sheng 所谓誓不与贼俱生
'tian'gao'di'jiong 天高地迥
'tong'ding'si'tong 痛定思痛
'tong'he'ru'zai 痛何如哉
'tuo'jing'kou 脱京口
'wei'ji 未几
'wei'xun'chuan'suo'wu'se 为巡船所物色
'wei'yang'shuai'xia'zhu'ke'zhi'ling 维扬帅下逐客之令
'wei'yi'juan 为一卷
'wu'bu'si 无不死
'wu'hu 呜呼
'wu'ke'nai'he 无可奈何
'wu'liu'bei'zhe 无留北者
'wu'ri'er'fei'ke'si 无日而非可死
'xi'ren'yun 昔人云
