'an'quan'fu'huo 安全复活
'an'quan'qu 安全区
'ba'dao 霸刀
'bai'long 白龙
'bai'tan 摆摊
'bai'tan'qu 摆摊区
'bang'ding 绑定
'bang'pai 帮派
'bang'pai'ling 帮派令
'bang'pai'mo'shi 帮派模式
'bang'pai'zhan 帮派战
'bao'di'xing'yi'fu 保底星移符
'bao'ming 报名
'bao'wei'jia'ren 保卫佳人
'bao'zi 包子
'bei'bao 背包
'bei'hai 北海
'bei'hai'rong'dong 北海溶洞
'bian'jing 边境
'bian'jing'ma'che'fu 边境马车夫
'biao'ju 镖局
'bu'bu'jing'xin 步步惊心
'cang'ku'guan'li'yuan 仓库管理员
'cao'chuan'jie'jian 草船借箭
'chang'ban'po 长坂坡
'che'fu 车夫
'chen'liu 陈留
'cheng'xiang 丞相
'chi'hou 斥候
'chi'rou 吃肉
'chi'tu 赤兔
'chuan'song'guan 传送官
'cui'lian 淬炼
'cui'lian'shi 淬炼石
'da'du'du 大都督
'da'qi 大旗
'da'ti 答题
'da'xiang'zhou 大象州
'dan'teng 蛋疼
'di'guo 帝国
'di'guo 敌国
'di'lu 的卢
'diao'yu 钓鱼
'ding'hun 订婚
'dun'fu 盾斧
'er'deng'qing'tong 二等青铜
'er'deng'tie'ding 二等铁锭
'fa'gong 法功
'fa'zhang 法杖
'fang'ju'dian'lao'ban'niang 防具店老板娘
'fang'yu 防御
'fei'shao 非少
'fei'shao'guo 非少锅
'feng'yi'ting 凤仪亭
'fu'jia'tian'xia 富甲天下
'fu'zheng'da'chen 辅政大臣
'fu'zhuang'dian'lao'ban'niang 服装店老板娘
'gao'cui 高淬
'gong'ji 攻击
'gong'zi 工资
'gou'wa 狗娃
'gua'ji 挂机
'guan'du 官渡
'guo'bian 过边
'guo'hun 国婚
'guo'tan 国探
'guo'tu'deng'dai 过图等待
'guo'wang 国王
'guo'wang'diao'xiang 国王雕像
'guo'wang'yi'xiang 国王遗像
'guo'yun 国运
'guo'zhan 国战
'guo'zhan'meng'shi 国战猛士
'guo'zhan'wu'hu'jiang 国战五虎将
'guo'zhan'zhan'jiang 国战战将
'guo'zhan'zhan'shuai 国战战帅
'hai'wa 海娃
'han'xue 汗血
'heng'sao'qian'jun 横扫千军
'hu'fu 虎符
'hu'guo'chan'shi 护国禅师
'hu'guo'si 护国寺
'hu'lao 虎牢
'hua'rong'dao 华容道
'huan'biao'ling 换镖令
'huang'bang 皇榜
'huang'bang'fa'bu'ren 皇榜发布人
'huang'hou 皇后
'ji'jie 集结
'ji'mao'xin 鸡毛信
'ji'neng 技能
'ji'neng'shu 技能书
'ji'shou'xing 寄售行
'jia'ren 佳人
'jia'zu 家族
'jia'zu'ling 家族令
'jia'zu'mo'shi 家族模式
'jia'zu'ren'wu 家族任务
'jia'zu'yang'ma 家族养马
'jia'zu'zhan'che 家族战车
'jia'zu'zhan'hun 家族战魂
'jia'zu'zhan'zheng 家族战争
'jiang'zhou 江州
'jie'bang 解绑
'jie'bang'fu 解绑符
'jie'zhi 戒指
'jin'bang'ti'ming 金榜题名
'jin'ge'tie'ma 金戈铁马
'jin'wei'jun 禁卫军
'jin'wu'wei 金吾卫
'jin'yan 禁言
'jin'zi 金子
'jing'shen 精神
'jing'yan 经验
'jing'yan'dan 经验丹
'jing'zhou 荆州
'jiu'xing'tao 九星套
'jiu'zhou 九州
'jiu'zhou'ding 九州鼎
'ju'lu 巨鹿
'jue'ying 绝影
'jun'tuan 军团
'jun'xu 军需
'kai'tian'pi'di 开天辟地
'kuang'fu 狂斧
'la'ling 拉令
'li'liang 力量
'liu'xing'tao 六星套
'long'yin'hu'xiao 龙吟虎啸
'luan'min 乱民
'luo'yang 洛阳
'lv'jiu 绿九
'lv'liu 绿六
'mai'hua'de'xiao'nv'hai 卖花的小女孩
'mei'gui'hua 玫瑰花
'mei'zhi 妹纸
'meng'guo 盟国
'meng'guo'mo'shi 盟国模式
'mi'dao 密道
'miao'huang'bang 秒皇榜
'min'jie 敏捷
'nai'ma 奶妈
'nan'man'ru'qin'fu'huo'dian 南蛮入侵复活点
'nan'men 南门
'nan'men'yuan'pan 南门圆盘
'pu'cui 普淬
'pu'tong'guo 普通国
'qi'tun'shan'he 气吞山河
'qian'ming 签名
'qiang'guo 强国
'qin'wang 亲王
'qing'he 清河
'qing'li'yuan'pan 清理圆盘
'qing'zhou 青州
'qiu'si'an'quan 求死安全
'quan'ti 全体
'quan'ti'xia'che 全体下车
'qun'xiong'zhu'lu 群雄逐鹿
'qun'ying'zhan 群英战
'ru'ri'zhong'tian 如日中天
'ruo'guo 弱国
'san'deng'qing'tong 三等青铜
'san'deng'tie'ding 三等铁锭
'san'xing'tao 三星套
'shen'gong 神弓
'shi'er'xing'tao 十二星套
'shi'pin 饰品
'shi'zhuang 时装
'shou'fang'ru'kou 守方入口
'shou'shi 守尸
'shua'wu'xun 刷武勋
'shuang'fu 双斧
'song'xian'hua 送鲜花
'tai'chang 太常
'tai'shi 太师
'tai'shi'ci 太史慈
'tai'wei 太尉
'tao'yuan'zhen 桃源镇
'ti'zhi 体质
'tian'ming 天命
'tie'qi 铁骑
'tong'que'tai 铜雀台
'tou'bao 投保
'tou'shi'che 投石车
'tou'shu 偷书
'tou'zhu 偷猪
'wan'shi'ju'bei 万事俱备
'wang'cheng 王城
'wang'cheng'da'qi 王城大旗
'wang'cheng'hui'cheng'juan 王城回城卷
'wang'cheng'mi'dao'zuo 王城密道左
'wang'hou 王后
'wei'zhen'jiu'zhou 威震九州
'wen'chou'zhong'jia'jing'bing 文丑重甲精兵
'wen'quan 温泉
'wen'zi'zhi'hui 文字指挥
'wen'zi'zhi'hui 蚊子指挥
'wo'long'cheng 卧龙城
'wu'gong 武功
'wu'hu'zhan'jiang 五虎战将
'wu'qi'dian'lao'ban 武器店老板
'wu'xun 武勋
'xi'liang'gong'shou 西凉弓手
'xi'liang'gong'shou'da'yuan'pan 西凉弓手大圆盘
'xi'men 西门
'xi'wa 喜娃
'xia'bian 下边
'xia'pi 下邳
'xiao'bao'guo 小包裹
'xiao'pei 小沛
'xin'shou'li'bao 新手礼包
'xing'yi'fu 星移符
'xu'kong'jia'mian 虚空假面
'xu'zhou 徐州
'xue'zhan'ba'fang 血战八方
'yan'zhou 燕州
'yang'ping'guan 阳平关
'yang'ping'luan'min 阳平乱民
'yang'zhou 扬州
'yi'da 益达
'yi'min'guan 移民官
'yi'zhan'cheng'ming 一战成名
'yi'zhou 益州
'yi'zu'qi'bing'jiang'ling 异族骑兵将领
'yin'qiang 淫枪
'yin'qiang 银枪
'yin'zi 银子
'ying'chuan 颍川
'you'chai 邮差
'you'xia 右下
'you'zhou 幽州
'yu'long'zai'tian 御龙在天
'yu'shan 羽扇
'yu'shi'da'fu 御史大夫
'yu'yin'zhao'ji'ling 语音召集令
'yu'zhou 豫州
'yue'lao 月老
'za'ji'dan 砸鸡蛋
'za'xing 砸星
'zhen'guan 镇关
'zhen'guan'shou'jiang 镇关守将
'zhi'hui 指挥
'zhi'hui 智慧
'zhong'cui 中淬
'zhong'jian 重剑
'zhong'li'qu 中立区
'zhu'guan 猪倌
'zhu'juan 猪圈
'zhuan'guo 转国
'zhuang'bei'da'shi 装备大师
'zhuang'tai 状态
'zhuang'yuan 庄园
'zi'jiu 紫九
'zi'liu 紫六
'zu'dui 组队
'zuo'shang 左上
'zuo'xia 左下
