'a'di'xia'zun'zhe 阿底峡尊者
'a'di'xia'zun'zhe'zhu 阿底峡尊者著
'a'ji'mo 阿笈摩
'a'pi'da'mo'jing 阿毗达磨经
'a'she'li 阿阇黎
'a'yi'duo 阿逸多
'an'bu 安布
'an'bu'ta'xiang 安布塔像
'an'le 安乐
'an'le'fang'bian 安乐方便
'an'li'zi'zong 安立自宗
'an'shou'ku'ren 安受苦忍
'an'zhu 安住
'ba'ji 拔济
'ba'qian'song 八千颂
'ba'qian'song'da'shu 八千颂大疏
'ba'qian'song'guang'shi 八千颂广释
'ba'wu'xia'lun 八无暇论
'bai'fa 白法
'bai'li'zhen'shun'xian 百利针顺衔
'bai'lian'hua 白莲华
'bai'miao'hua 白妙华
'bai'wu'shi'song 百五十颂
'bai'ye 白業
'bai'ye'guo 白业果
'bai'ye'jing 百业经
'ban'nie'pan 般涅槃
'bao'ding'jing 宝顶经
'bao'ju'tuo'luo'ni'jing 宝炬陀罗尼经
'bao'liu 暴流
'bao'man'lun 宝鬘论
'bao'yun'jing 宝云经
'bao'yun'jing 宝蕴经
'bei'hua'jing 悲华经
'bei'min 悲愍
'bei'min'xin 悲愍心
'bei'min'zhe 悲愍者
'ben'sheng'lun 本生论
'bi'fu 蔽覆
'bi'ji'ye'zhi'li 彼集业之理
'bi'qiu'zhen'ai'jing 比丘珍爱经
'bi'ru'he'po'huai 彼如何破坏
'bi'sheng'qi'zhi'liang 彼生起之量
'bi'xu'an'shou'ku'zhi'li 必须安受苦之理
'bi'xu'shan'ming'suo'po'zhi'yin'xiang 必须善明所破之因相
'bi'ying'ru'he'yi'shi'zhi'li 彼应如何依师之理
'bian'hu'zheng'nian 遍护正念
'bian'she'yi'qie'yan'mo'jing 遍摄一切研磨经
'bian'zhong'bian'lun 辨中边论
'bian'zhong'bian'lun'shi 辨中边论释
'bie'jie'tuo 别解脱
'bie'jie'tuo'ji 别解脱即
'bie'jie'tuo'jie'jing 别解脱戒经
