'an'lao'fen'pei'gui'lv 按劳分配规律
'bao'hu'mao'yi 保护贸易
'bi'jiao'jing'ji'xue 比较经济学
'cai'zheng 财政
'cai'zheng'chi'zi 财政赤字
'chang'xian'chan'pin 长线产品
'chang'zhang'jing'li'fu'ze'zhi 厂长经理负责制
'cu'fang'jing'ying 粗放经营
'dai'kuan 贷款
'dao'qiong'si'ping'jun'zhi'shu 道琼斯平均指数
'di'san'chan'ye 第三产业
'di'si'chan'ye 第四产业
'duan'xian'chan'pin 短线产品
'dui'wai'kai'fang 对外开放
'duo'ceng'ci'jing'ji'zhou'qi'li'lun 多层次经济周期理论
'duo'guo'gong'si 多国公司
'fa'zhan'jing'ji'xue 发展经济学
'fu'li'jing'ji'xue 福利经济学
'ge'ti'gong'shang'hu 个体工商户
'ge'ti'jing'ji 个体经济
'gong'ji'xue'pai'de'jing'ji'si'xiang 供给学派的经济思想
'gong'si 公司
'gong'ye'bu'ju 工业布局
'gong'zhai 公债
'guan'yu'long'duan'zi'ben'zhu'yi'jing'ji'wei'ji'de'si'xiang 关于垄断资本主义经济危机的思想
'guo'ji'huo'bi'ti'xi 国际货币体系
'guo'ji'jin'rong'shi'chang 国际金融市场
'guo'ji'jing'ji'xin'zhi'xu 国际经济新秩序
'guo'ji'shi'chang'jia'ge 国际市场价格
'guo'jia'jue'suan 国家决算
'guo'jia'yu'suan 国家预算
'guo'min'jing'ji 国民经济
'guo'min'sheng'chan'zong'zhi 国民生产总值
'guo'ying'qi'ye 国营企业
'hai'guan 海关
'huang'jin'chu'bei 黄金储备
'huang'jin'shi'chang 黄金市场
'huo'bi 货币
'huo'bi'bian'zhi 货币贬值
'huo'bi'zhu'yi'de'jing'ji'si'xiang 货币主义的经济思想
'ji'chu'she'shi 基础设施
'ji'hua'jing'ji 计划经济
'ji'hua'jing'ji'si'xiang 计划经济思想
'ji'lei'ji'jin 积累基金
'ji'ti'jing'ji 集体经济
'ji'yue'jing'ying 集约经营
'jia'zhi'gui'lv 价值规律
'jian'li'she'hui'zhu'yi'shi'chang'jing'ji'ti'zhi'de'si'xiang 建立社会主义市场经济体制的思想
