'a'gao'zhi'yi 阿缟之衣
'ao'zhi'ai'yan'hou'xian'yu'chang'an'jun 媪之爱燕后贤于长安君
'ao'zhi'song'yan'hou'ye 媪之送燕后也
'ba'guo'zhi'yu'jiao'er'zhou'sheng'zhi'yi'shi'ye 霸国之余教而骤胜之遗事也
'ba'san'chuan'zhi'di 拔三川之地
'bai'xing'le'yong 百姓乐用
'bao'jiu'yi 包九夷
'bao'ren'an'shu 报任安书
'bao'xian'wang'zhi'chou 报先王之仇
'bei'shou'shang'jun 北收上郡
'bi'chu'yu'qin'ran'hou'ke 必出于秦然后可
'bi'jie'wo'ying 彼竭我盈
'bi'qin'guo'zhi'suo'sheng'ran'hou'ke 必秦国之所生然后可
'bi'wu'shi'fan 必勿使反
'bi'yi'chang'an'jun'wei'zhi 必以长安君为质
'bing'guo'er'shi 并国二十
'bing'nai'chu 兵乃出
'bing'qiang'ze'shi'yong 兵强则士勇
'bu'chan'yu'qin 不产于秦
'bu'de'jian'jiu'yi 不得见久矣
'bu'ke'de'ye 不可得也
'bu'liang'qing'ruo 不量轻弱
'bu'lun'qu'zhi 不论曲直
'bu'mou'yu'fu'xiong 不谋于父兄
'bu'neng'feng'cheng'xian'wang'zhi'jiao 不能奉承先王之教
'bu'ruo'chang'an'jun'zhi'shen 不若长安君之甚
'bu'shi'chao'ting 不饰朝廷
'bu'wei'wan'hao 不为玩好
'bu'wen'ke'fou 不问可否
'bu'xiao 不肖
'bu'yi'guan'sui'qi'ai 不以官随其爱
'can'shi'zhu'hou 蚕食诸侯
'cao'gui 曹刿
'cao'gui'qing'jian 曹刿请见
'ceng'bu'neng'ji'zou 曾不能疾走
'chang'an'jun'he'yi'zi'tuo'yu'zhao 长安君何以自托于赵
'chang'guo'jun'yue'yi 昌国君乐毅
'chang'qu'zhi'guo 长驱至国
'che'jia'zhen'qi 车甲珍器
'chen'bu'ning 臣不佞
'chen'dui'yue 臣对曰
'chen'nai'kou'shou'ling 臣乃口受令
'chen'sui'bu'ning'shu'feng'jiao'yu'jun'zi'yi 臣虽不佞数奉教于君子矣
'chen'wen 臣闻
'chen'wen'di'guang'zhe'su'duo 臣闻地广者粟多
'chen'wen'li'yi'zhu'ke 臣闻吏议逐客
'chen'wen'xian'ming'zhi'jun 臣闻贤明之君
'chen'yi'suo'xue'zhe'guan'zhi 臣以所学者观之
'chen'zhi'shang'ji'ye 臣之上计也
'chen'zhi'suo'da'kong'ye 臣之所大恐也
'chen'zi'yi'wei'feng'ling'cheng'jiao 臣自以为奉令承教
'cheng'gong'zhi'jun 成功之君
'cheng'xian'li'zhi'ma 乘纤离之马
'chi'qi'zhong 持其踵
'chong'xia'chen 充下陈
'chu'long'shuo'zhao'tai'hou 触龙说赵太后
'chu'wei'zhi'suo'tong'yuan'ye 楚魏之所同愿也
'chui'ming'yue'zhi'zhu 垂明月之珠
'ci'fei'suo'yi'kua'hai'nei 此非所以跨海内
'ci'qi'jin'zhe'huo'ji'shen 此其近者祸及身
'ci'shu'bao'zhe 此数宝者
'ci'si'jun'zhe 此四君者
'ci'suo'wei 此所谓
'ci'wu'di'san'wang'zhi'suo'yi'wu'di'ye 此五帝三王之所以无敌也
'ci'wu'zi'zhe 此五子者
'ci'zhi'chi'yi'er'fu'zhi'jiang 赐之鸱夷而浮之江
'da'chen'qiang'jian 大臣强谏
'da'lv'chen'yu'yuan'ying 大吕陈于元英
'da'sheng'zhi 大胜之
'dan'shan'ling'beng 旦山陵崩
'deng'shi'er'wang'zhi 登轼而望之
'dong'de'bai'li'xi'yu'wan 东得百里奚于宛
'dong'ju'cheng'gao'zhi'xian 东据成皋之险
'du'si'men 杜私门
'dui'yue 对曰
'duo'xian'wang'zhi'ming'zhe 堕先王之名者
'duo'yu'zhi'zhong'qi 多予之重器
'er'bi'xia'shuo'zhi 而陛下说之
'er'bu'cha'shu'yuan'zhi'xing'ye 而不察疏远之行也
'er'bu'ji'jin'ling'you'gong'yu'guo 而不及今令有功于国
'er'chen'shuai 而臣衰
'er'feng'zhi'yi'gao'yu'zhi'di 而封之以膏腴之地
'er'ge'hu'wu'wu'kuai'er'zhe 而歌呼呜呜快耳者
'er'jun'liang'kuai'ti'bu'shi'wai'jiu 而骏良駃騠不实外厩
'er'kong'tai'hou'yu'ti'zhi'you'suo'xi'ye 而恐太后玉体之有所郄也
'er'kuang'ren'chen'hu 而况人臣乎
'er'li'zhi'hu'qun'chen'zhi'shang 而立之乎群臣之上
'er'mu'gong'yong'zhi 而穆公用之
'er'qin'wu'qiang'da'zhi'ming'ye 而秦无强大之名也
