'a'gu'ru 阿古茹
'a'si'te'la 阿斯特拉
'a'si'te'long 阿斯特隆
'ai'di 爱迪
'ai'ke'si 艾克斯
'ai'lei'ke 艾雷克
'ai'lei'wang 艾雷王
'ai'mi'ya 埃米亚
'ai'si 艾斯
'an'pei'la'xing'ren 安培拉星人
'ba'ba'er'xing'ren 巴巴尔星人
'ba'dun 巴顿
'ba'er'ji'xing'ren 巴尔吉星人
'bei'meng'si'tan 贝蒙斯坦
'bei'si 贝斯
'bo'jia'ru 博伽茹
'bo'jia'ru'meng'si 博伽茹蒙斯
'bu'lu 布鲁
'cha'ke'ao'te'man 察克奥特曼
'chao'cang'lu 朝仓陆
'chao'shou 超兽
'chu'dai 初代
'da'gu 大古
'dai'na 戴拿
'di'jia 迪迦
'di'nuo'zuo'lu 帝诺佐鲁
'di'si'lei'mu 帝斯雷姆
'dong'guang'tai'lang 东光太郎
'dong'jing 东京
'fei'niao'xin 飞鸟信
'feng'yuan 凤源
'gai'ya 盖亚
'gao'ci'yuan'bu'shi'ti 高次元捕食体
'gao'si 高斯
'ge'er'zan 哥尔赞
'ge'lei 葛雷
'ge'luo'bu 格罗布
'ge'luo'li 格罗丽
'ge'luo'zha'mu 格罗扎姆
'ge'mo'la 哥莫拉
'gu'dun 古敦
'gu'lan'te 古兰特
'ji'lu'bo 基路伯
'jia'la'te'long 加拉特隆
'jie'dun 杰顿
'jie'ke 杰克
'jie'si'ti'si 杰斯提斯
'ku'luo'nuo'mu 库罗诺姆
'lei'de'wang 雷德王
'lei'fu'lai'te'xing'ren 雷弗莱特星人
'lei'ou 雷欧
'luo'bei'la'ge 罗贝拉格
'luo'bu 罗布
'luo'suo 罗索
'luo'te 洛特
'ma'ge'ma'xing'ren 马格马星人
'mai'ke'si 麦克斯
'mei'fei'la'si'xing'ren 美菲拉斯星人
'meng'bi'you'si 梦比优斯
'mi'ke'la'si 米克拉斯
'mo'ka'dan'da 莫卡旦达
'nuo'bei 诺贝
'pa'wa'te 帕瓦特
'qiao'ni'ya'si 乔尼亚斯
'quan'shi'jie 全世界
'ri'ben 日本
'ri'bi'ye'wei'lai 日比野未来
'sa'de'la 萨德拉
'sai'wen 赛文
'shi'de'meng 矢的猛
'shi'kao'te 史考特
'shuang'wei'guai 双尾怪
'tai'lai'si'tong 泰莱斯通
'tai'luo 泰罗
'teng'gong 藤宫
'wo'meng 我梦
'wu'ying'da'mu 乌英达姆
'wu'zang 武藏
'xi'ka'li 希卡利
'xing'liang'zi 星凉子
'ya'bo'ren 亚波人
'yan'ben 岩本
'yi'ci'yuan'ren 异次元人
'ying'mao'gang 樱毛冈
'ying'pu'lai'zha 英普莱扎
'you'li'an 尤莉安
'yuan'pan'sheng'wu 圆盘生物
'zao'tian 早田
'zhu'shi'hui'she 株式会社
'zuo'fei 佐菲
