'ben'bi 本币
'ben'shen'mei'you'jia'zhi 本身没有价值
'ben'zhi 本质
'bi'xu 必须
'biao'xian'wei 表现为
'bu'ping'heng 不平衡
'cha'xun'shou'xu 查询手续
'chi'xu'kuai'su 持续快速
'chi'xu'xia'die 持续下跌
'chong'dang 充当
'chu'piao'ren 出票人
'cun'kuan 存款
'cun'qu'xian'jin 存取现金
'dai'shou'shang'pin'liang 待受商品量
'di'yi 第一
'di'yi'dan'yuan 第一单元
'di'yi'ke 第一课
'dian'zi'zhi'fu'ka 电子支付卡
'du'hui'jing'ji'zhi'xu 杜会经济秩序
'dui'huan'bi'lv 兑换比率
'fa'da'guo'jia 发达国家
'fa'xing'gui'lv 发行规律
'fen'li 分离
'gou'mai'shou'duan 购买手段
'gou'wu'xiao'fei 购物消费
'gu'ding 固定
'guan'nian'shang'de'huo'bi 观念上的货币
'guo'ji'jian'jie'suan 国际间结算
'guo'min'jing'ji 国民经济
'han'yi 含义
'hui'jia 汇价
'hui'lv 汇率
'hui'lv'die'luo 汇率跌落
'hui'lv'sheng'gao 汇率升高
'huo'bi 货币
'huo'bi'biao'xian 货币表现
'huo'bi'liang 货币量
'huo'bi'liu'tong'ci'shu 货币流通次数
'huo'qi'cun'kuan 活期存款
'ji'ben'shu'xing 基本属性
'ji'ben'wen'ding 基本稳定
'jia'ge'shui'ping 价格水平
'jia'ge'you'jia'zhi'jue'ding 价格有价值决定
'jia'zhi 价值
'jia'zhi'chi'du 价值尺度
'jia'zhi'fu'hao 价值符号
'jian'kang'fa'zhan 健康发展
'jiao'yi'fei'yong 交易费用
'jie'suan 结算
'jin'e'gei 金额给
'jin'rong'ji'gou 金融机构
'jin'shu'huo'bi 金属货币
'jing'chang'shi'yong 经常使用
'jing'ji'sheng'huo 经济生活
'jing'ji'shuai'tui 经济衰退
'jing'ji'wang'lai 经济往来
'jing'ji'xian'xiang 经济现象
'lao'dong'chan'pin 劳动产品
'liang'ge'tiao'jian 两个条件
'liang'zhong'fang'shi 两种方式
'liang'zhong'ji'ben'zhi'neng 两种基本职能
'liu'tong'shou'duan 流通手段
'mei'yuan 美元
'ou'yuan 欧元
'qiang'zhi'shi'yong 强制使用
'qu'kuan 取款
'que'yi'bu'ke 缺一不可
'ren'min'bi'bian'zhi 人民币贬值
'ren'min'bi'hui'lv'wen'ding 人民币汇率稳定
'ren'min'bi'sheng'zhi'ren'min'bi'bi'zhi 人民币升值人民币币值
'ren'min'sheng'huo'an'ding 人民生活安定
'ri'yuan 日元
'rui'shi'fa'lang 瑞士法郎
'shang'pin 商品
'shang'pin'jia'ge 商品价格
'shang'pin'jia'ge'zong'e 商品价格总额
'shang'pin'jia'zhi 商品价值
'shang'pin'jiao'huan'mei'jie 商品交换媒介
'shen'qi'de'huo'bi 神奇的货币
'sheng'huo'yu'xiao'fei 生活与消费
'shi'ji'xu'yao 实际需要
'shi'jie'huo'bi 世界货币
'shi'jie'jin'rong 世界金融
'shi'shi'zai'zai 实实在在
'shi'yong'jia'zhi 使用价值
'shou'kuan'ren 受款人
'tong'chang'ban'sui'zhe 通常伴随着
'tong'huo'jin'suo'jing'ji 通货紧缩经济
'tong'huo'peng'zhang 通货膨胀
'tong'shi'ju'bei 同时具备
'tong'yi'yu 统一于
'wai'bi 外币
'wai'hui 外汇
'wei'tuo'yin'hang 委托银行
'wu'jia'quan'mian 物价全面
'wu'jia'shang'zhang 物价上涨
'wu'jia'zong'shui'ping'wen'ding 物价总水平稳定
'wu'tiao'jian 无条件
'wu'zhi'cheng'dan'zhe 物质承担者
'xian'jin'jie'suan 现金结算
'xian'jin'zhi'piao 现金支票
'xian'shi'de'huo'bi 现实的货币
'xiao'fei 消费
'xiao'fei'an'quan 消费安全
'xin'yong'dai'kuan 信用贷款
'xin'yong'gong'ju 信用工具
'xin'yong'ka 信用卡
'yi'ban'deng'jia'wu 一般等价物
'yong'yu'jiao'huan 用于交换
'zeng'qiang 增强
'zhe'chi'piao'ren 者持票人
'zhi'bi 纸币
'zhi'bi'bian'zhi 纸币贬值
'zhi'bi'fa'xing'liang 纸币发行量
'zhi'fu 支付
'zhi'fu'ping'zheng 支付凭证
'zhi'fu'shou'duan 支付手段
'zhi'neng 职能
'zhi'piao 支票
'zhi'suo'yi 之所以
'zhi'xing 执行
'zhu'cang'shou'duan 贮藏手段
'zhu'yao'yuan'yin 主要原因
'zhuan'zhang'jie'suan 转账结算
'zhuan'zhang'zhi'piao 转账支票
'zong'gong'ji 总供给
'zong'xu'qiu 总需求
