'bi'zhi'si'xian'gu'jin'te'jue 彼之四贤古今特绝
'chi'shui'jin'mo 池水尽墨
'ci'nai'tui'zhang'mai'zhong'zhi'yi'ye 此乃推张迈钟之意也
'er'jin'bu'dai'gu'gu'zhi'er'jin'yan 而今不逮古古质而今研
'er'xi'xian'ji'zhi 而羲献继之
'fu'zhi'yi'dai'xing'yan'yin'su'yi 夫质以代兴妍因俗易
'fu'zi'gu'zhi'shan'shu'zhe 夫自古之善书者
'gu'wu'can'yu'ji'shi 故无惭于即事
'gui'neng'gu'bu'guai'shi'jin'bu'tong'bi 贵能古不乖时今不同弊
'han'wei'you'zhong'zhang'zhi'jue 汉魏有钟张之绝
'huo'wei'guo'zhi 或谓过之
'jia'ling'gua'ren'dan'zhi'ruo'ci 假令寡人耽之若此
'jin'mo'cheng'er'wang'zhi'miao 晋末称二王之妙
'kao'qi'zhuan'shan 考其专擅
'ke'wei'zhong'zhang'yun'mei 可谓钟张云没
'ping'zhe'yun 评者云
'qi'xu'bu'zu'guan 其徐不足观
'qing'xun'zhu'ming'shu 顷寻诸名书
'ran'zhang'jing'shu 然张精熟
'sui'shu'qi'zhi'zuo'shi'yi'ji'yan 虽书契之作适以记言
'sui'wei'guo'yu'qian'gui 虽未果于前规
'suo'wei'wen'zhi'bin'bin'ran'hou'jun'zi 所谓文质彬彬然后君子
'wang'xi'zhi'yun 王羲之云
'wei'bi'xie'zhi 未必谢之
'wu'shu'bi'zhi'zhong'zhang 吾书比之钟张
'you'yun 又云
'zhang'cao'you'dang'yan'hang 张草犹当雁行
'zhi'yi'jian'tong 摭以兼通
'zhong'dang'kang'xing 钟当抗行
'zhong'zhang'xin'wei'jue'lun 钟张信为绝伦
