'ai'er'bu'shang 哀而不伤
'ai'gong'wen 哀公问
'ai'gong'wen'she'yu'zai'wo 哀公问社於宰我
'ai'gong'wen'yu'you'ruo'yue 哀公问於有若曰
'ai'gong'wen'yue 哀公闻曰
'ai'ren 爱人
'ai'zhi 爱之
'ai'zhi'yu'qi'sheng 爱之欲其生
'an'jian'fang'liu'qi'shi 安见方六七十
'ba'yi'di'san 八佾第三
'ba'yi'wu'yu'ting 八佾舞於庭
'ba'zhu'hou 霸诸侯
'bai'er'shou'zhi 拜而受之
'bai'sheng'zhi'jia 百乘之家
'bai'xia 拜下
'bai'xing'bu'zu 百姓不足
'bai'xing'zu 百姓足
'bang'jun'shu'sai'men 邦君树塞门
'bang'jun'wei'liang'jun 邦君为两君
'bang'wu'dao 邦无道
'bang'you'dao 邦有道
'bao'hu'ping'he 暴虎冯河
'bei'gong'shi 卑宫室
'bei'jing 北京
'ben'er'dian 奔而殿
'ben'li'er'dao'sheng 本立而道生
'bi'bian'se'er'zuo 必变色而作
'bi'biao'er'chu'zhi 必表而出之
'bi'bu'de'yi'er 必不得已而
'bi'bu'de'yi'er'qu 必不得已而去
'bi'chao'fu'er'chao 必朝服而朝
'bi'chu'zhi 必畜之
'bi'fu'ming 必复命
'bi'ji'san'nian 比及三年
'bi'qi'ru'ye 必齐如也
'bi'sha'zhi 必杀之
'bi'shen'cao'chuang'zhi 裨谌草创之
'bi'shi'er'hou'ren 必世而後仁
'bi'shi'fan'zhi 必使反之
'bi'shu'er'jian'zhi 必熟而荐之
'bi'wen'qi'zheng 必闻其政
'bi'ye 必也
'bi'ye'kuang'juan'hu 必也狂狷乎
'bi'ye'lin'shi'er'ju 必也临事而惧
'bi'ye'she'hu 必也射乎
'bi'ye'sheng'hu 必也圣乎
'bi'ye'zheng'ming'hu 必也正名乎
'bi'yi'gao'xin'ling'yin 必以告新令尹
'bi'you'lin 必有邻
'bi'you'ming'yi 必有明衣
'bi'you'qin'yi 必有寝衣
'bi'you'wo'shi'yan 必有我师焉
'bi'you'yan 必有言
'bi'you'yong 必有勇
'bi'you'zhong'xin'ru'qiu'zhe'yan 必有忠信如丘者焉
'bi'zai 鄙哉
'bi'zai'bi'zai 彼哉彼哉
'bi'zheng'li 必正立
'bi'zheng'xi'xian'chang'zhi 必正席先尝之
'bian'bian'ran 便便然
'bian'dou'zhi'shi 笾豆之事
'bian'huo 辨惑
'bian'zhuang'zi'zhi'yong 卞庄子之勇
'bin'bu'gu'yi 宾不顾矣
'bin'tui 宾退
'bing'qi'si'bu'xi'zhe 屏气似不息者
'bing'wen 病闻
'bo'liao'qi'ru'ming'he 伯寮其如命何
'bo'niu'you'ji 伯牛有疾
'bo'ru'zhan'se 勃如战色
'bo'wo'yi'wen 搏我以文
'bo'xue'er'wu'suo'cheng'ming 搏学而无所成名
'bo'xue'yu'wen 博学於文
'bo'yi 伯夷
'bu 不
'bu 布
'bu'bai 不拜
'bu'bao'qi'wang'ye 不保其往也
'bu'bi 不必
'bu'bi'you'de 不必有德
'bu'che'jiang'shi 不撤姜食
'bu'cheng'ren'zhi'e 不成人之恶
'bu'chi'xia 不耻下
'bu'chu'san'ri 不出三日
'bu'chu'ye 不处也
'bu'da 不达
'bu'de'qi'jiang'bu'shi 不得其酱不食
'bu'de'qi'si'ran 不得其死然
'bu'de'zhong'hang'er'yu'zhi 不得中行而与之
'bu'duo'shi 不多食
'bu'duo'ye 不多也
'bu'er 不贰
'bu'fei 不废
'bu'fei'bu'fa 不悱不发
'bu'fen'bu'jiu 不愤不咎
'bu'gan'bu'gao'ye 不敢不告也
'bu'gan'chang 不敢尝
'bu'hao'fan'shang 不好犯上
'bu'heng'qi'de 不恒其德
'bu'huan'mo'ji'zhi 不患莫己知
'bu'huan'ren'zhi'bu'ji'zhi 不患人之不己之
'bu'huan'ren'zhi'bu'ji'zhi 不患人之不己知
'bu'huan'wu'wei 不患无位
'bu'ji'hu'yi'yan'er'sang'bang'hu 不几乎一言而丧邦乎
'bu'ji'hu'yi'yan'er'xing'bang'hu 不几乎一言而兴邦乎
'bu'ji'luan 不及乱
'bu'ji'yan 不疾言
'bu'jian'ji 不践迹
'bu'jing 不敬
'bu'ke 不可
'bu'ke'bu'zhi'ye 不可不知也
'bu'ke'de'er'wen 不可得而闻
'bu'ke'er'wei'zhi'zhe'yu 不可而为之者与
'bu'ke'qi'ye 不可弃也
'bu'ke'shi'zhi'zhi 不可使知之
'bu'ke'tu'xing'ye 不可徒行也
'bu'ke'wang'ye 不可罔也
'bu'ke'xian'ye 不可陷也
'bu'ke'yi'bu'hong'yi 不可以不弘毅
'bu'ke'yi'chang'chu'le 不可以长处乐
'bu'ke'yi'wei'teng'xue'dai'fu 不可以为滕薛大夫
'bu'ke'yi'yu'shang'ye 不可以语上也
'bu'ke'yi'zuo'wu'yi 不可以作巫医
'bu'ke'ze'zhi 不可则止
'bu'ling'er'xing 不令而行
'bu'mou'qi'zheng 不谋其政
'bu'neng 不能
'bu'neng'si 不能死
'bu'neng'yi'li'rang'guo 不能以礼让国
'bu'neng'zheng'qi'shen 不能正其身
'bu'neng'zhuan'dui 不能专对
'bu'ni 不逆
'bu'qi'ran'hu 不其然乎
'bu'qian'nu 不迁怒
'bu'qin'zhi 不亲指
'bu'qu'ye 不去也
'bu'ran 不然
'bu'ren'zhe 不仁者
'bu'ren'zhe'bu'ke'yi'jiu'chu'yue 不仁者不可以久处约
'bu'ren'zhe'yuan'yi 不仁者远矣
'bu'ru 不辱
'bu'ru'qiu'zhi'hao'xue'ye 不如丘之好学也
'bu'ru'xiang'ren'zhi'shan'zhe'hao'zhi 不如乡人之善者好之
'bu'ru'zhu'xia'zhi'wang'ye 不如诸夏之亡也
'bu'shan'bu'neng'gai 不善不能改
'bu'she'zhou'ye 不舍昼夜
'bu'shi 不食
'bu'shi'bu'ren'zhe'jia'hu'qi'shen 不使不仁者加乎其身
'bu'shi'bu'shi 不时不食
'bu'shi'sheng'shi'qi 不使胜食气
'bu'shi'zhi'yi 不食之矣
'bu'shuo'ye 不说也
'bu'si'jia'xing'yi 不俟驾行矣
'bu'tu'wei'le'zhi'zhi'yu'si'ye 不图为乐之至於斯也
'bu'wei 不违
'bu'wei'jiu'kun 不为酒困
'bu'wen'ma 不问马
'bu'wu'zhi'ye 不吾知也
'bu'xin 不信
'bu'xing'duan'ming'si'yi 不幸短命死矣
'bu'xing'yan 不行焉
'bu'yan 不言
'bu'yi 不亿
'bu'yi'bing'che 不以兵车
'bu'yi'bu'ke'hu 不亦不可乎
'bu'yi'de'ye 不易得也
'bu'yi'diao 不以吊
'bu'yi'er'fu'qie'gui 不义而富且贵
'bu'yi'jun'zi'hu 不亦君子乎
'bu'yi'le'hu 不亦乐乎
'bu'yi'li'jie'zhi 不以礼节之
'bu'yi'qi'dao'de'zhi 不以其道得之
'bu'yi'shan'hu 不亦善乎
'bu'yi'yuan'hu 不亦远乎
'bu'yi'yue'hu 不亦说乎
'bu'yi'zhong'hu 不亦重乎
'bu'you'bu'ju 不忧不惧
'bu'you'zhu'tuo'zhi'ning 不有祝沱之佞
'bu'yu'ju 不逾矩
'bu'yu'qi'tui'ye 不与其退也
'bu'yuan'tian 不怨天
'bu'yuan'you 不远游
'bu'zai'qi'wei 不在其位
'bu'zhan'er'yi'yi 不占而已矣
'bu'zhi'bu'qiu 不忮不求
'bu'zhi'lao'zhi'jiang'zhi'yun'er 不知老之将至云尔
'bu'zhi'qi 不知其
'bu'zhi'qi'ke'ye 不知其可也
'bu'zhi'qi'ren'ye 不知其仁也
'bu'zhi'suo'yi'cai 不知所以裁
