'ai'fu'tun'suan 嗳腐吞酸
'ai'qi 嗳气
'an'hao'yin'xue 暗耗阴血
'an'ji'fu 按肌肤
'an'shou'zu 按手足
'an'xiong'fu 按胸腹
'an'xu'li 按虚里
'an'zhen 按诊
'an'zhi'dan'shou 按之弹手
'an'zhi'kong'xu 按之空虚
'an'zhi'mei'zhi 按之没指
'ba'gang 八纲
'bai'ban 白斑
'bai'bing'sheng'yu'qi'ye 百病生于气也
'bai'da 白瘩
'bai'hou 白喉
'bai'hua'tai 白滑苔
'bai'jing'an'zhuo 白睛暗浊
'bai'ni 白腻
'bai'ri'ke 百日咳
'bai'ru'chu'gao 白如豖膏
'bai'tai 白苔
'bai'zhi 白痔
'ban'biao'ban'li 半表半里
'ban'biao'ban'li'zheng 半表半里证
'ban'biao'ban'li'zhi'jian'de'jie'duan 半表半里之间的阶段
'ban'chan 半产
'ban'chuang 斑疮
'ban'shen'bu'sui 半身不遂
'ban'shen'han 半身汗
'ban'tu 斑秃
'ban'zhen 斑疹
'ban'zhen'shang'han 斑疹伤寒
'ban'zhen'tou'lu 斑疹透露
'bao'bing'shang'zheng 暴病伤正
'bao'feng'ke're 暴风客热
'bao'jue 暴厥
'bao'lian'shi'yang 胞脸失养
'bao'lun'zhen'tiao 胞轮振跳
'bao'nu'shang'yin 暴怒伤阴
'bao'qi'du'xie 暴气毒邪
'bao'tou'huo'dan 抱头火丹
'bao'xi'shang'yang 暴喜伤阳
'bao'yin'bao'shi 暴饮暴食
'ben'xu'biao'shi 本虚标实
'beng'lou 崩漏
'bi'chou 鼻臭
'bi'hu'du'chu 闭户独处
'bi'jing 闭经
'bi'liu'qing'ti 鼻流清涕
'bi'liu'zhuo'ti 鼻流浊涕
'bi'nv 鼻衄
'bi'qi 鼻气
'bi'se 鼻塞
'bi'se'liu'ti 鼻塞流涕
'bi'wei'fei'qiao 鼻为肺窍
'bi'yi'shan'dong 鼻翼煽动
'bi'yuan 鼻渊
'bi'zhi 鼻痔
'bi'zhi 鼻窒
'bian'chu'bu'shuang 便出不爽
'bian'hei'ru'you 便黑如油
'bian'hong'zhong'hei'run'tai 边红中黑润苔
'bian'mi 便秘
'bian'ti'bu'shu 遍体不舒
'bian'zhen'fa 遍诊法
'bian'zheng 辩证
'bian'zheng'qiu'yin 辨证求因
'biao'han'li're 表寒里热
'biao'han'zheng 表寒证
'biao'li 表里
'biao'li'bian'zheng 表里辨证
'biao'li'chu'ru 表里出入
'biao'li'tong'bing 表里同病
'biao're'li'han 表热里寒
'biao'shi 表实
'biao'shi'li'xu 表实里虚
'biao'xie'ru'li 表邪入里
'biao'xu 表虚
'biao'xu'li'shi 表虚里实
'biao'zheng 表证
'biao'zheng'wu'han 表证无汗
'biao'zheng'you'han 表证有汗
'bie'ci 鳖刺
'bing'fu'bu'zu 禀赋不足
'bing'jiu'zheng'xu 病久正虚
'bing'li'chan'wu'xu'ji 病理产物蓄积
'bing'mai 病脉
