'ai'ai'fu'mu 哀哀父母
'ai'ai'wang'duo'ji'ren 藹藹王多吉人
'ai'ai'wang'duo'ji'shi 藹藹王多吉士
'ai'ci'guan'gua 哀此鳏寡
'ai'ci'qiong'du 哀此惸独
'ai'dong'zhong'guo 哀恫中国
'ai'er'bu'jian 爱而不见
'ai'jin'zhi'ren 哀今之人
'ai'ming'ao'ao 哀鸣嗷嗷
'ai'mo'zhu'zhi 愛莫助之
'ai'wo'dan'ren 哀我惮人
'ai'wo'ren'si 哀我人斯
'ai'wo'tian'gua 哀我填寡
'ai'wo'xiao'xin 哀我小心
'ai'wo'zheng'fu 哀我征夫
'ai'zai'bu'neng'yan 哀哉不能言
'ai'zai'wei'you 哀哉为犹
'an'qie'ji'xi 安且吉兮
'an'qie'yu'xi 安且燠兮
'ang'hong'yu'chen 卬烘于煁
'ang'sheng'yu'dou 卬盛于豆
'ang'xu'wo'you 卬须我友
'ba'luan'cang'cang 八鸞鸧鸧
'ba'luan'cang'cang 八鸾玱玱
'ba'luan'jie'jie 八鸞喈喈
'ba'luan'qiang'qiang 八鸞鏘鏘
'ba'yue'bo'zao 八月剥枣
'ba'yue'duan'hu 八月断壶
'ba'yue'huan'wei 八月萑苇
'ba'yue'qi'huo 八月其获
'ba'yue'zai'ji 八月载绩
'ba'yue'zai'yu 八月在宇
'bai'chuan'fei'teng 百川沸腾
'bai'du'jie'xing 百堵皆興
'bai'du'jie'zuo 百堵皆作
'bai'er'jun'zi 百尔君子
'bai'er'suo'si 百尔所思
'bai'fu'zhi'fang 百夫之防
'bai'fu'zhi'te 百夫之特
'bai'fu'zhi'yu 百夫之御
'bai'gui'zhi'dian 白圭之玷
'bai'hua 白华
'bai'hua'jian'xi 白华菅兮
'bai'hua'jin'yi 白华今佚
'bai'hui'ju'fei 百卉具腓
'bai'ju 白驹
'bai'li'ji'zhi 百礼既至
'bai'liang'cheng'zhi 百两成之
'bai'liang'jiang'zhi 百两将之
'bai'liang'peng'peng 百兩彭彭
'bai'liang'yu'zhi 百两御之
'bai'liao'shi'shi 百僚是试
'bai'lu'shi'he 百祿是何
'bai'lu'shi'qiu 百祿是遒
'bai'lu'shi'zong 百祿是總
'bai'lu'wei'shuang 白露为霜
'bai'lu'wei'xi 白露未晞
'bai'lu'wei'yi 白露未已
'bai'mao'bao'zhi 白茅包之
'bai'mao'chun'shu 白茅纯束
'bai'mao'shu'xi 白茅束兮
'bai'mu'xing'gang 白牡騂刚
'bai'niao'he'he 白鸟翯翯
'bai'pei'yang'yang 白旆央央
'bai'pi'qi'xing'zhi 百辟其刑之
'bai'pi'qing'shi 百辟卿士
'bai'pi'wei'xian 百辟为宪
'bai'shen'er'zhu'yi 百神尔主矣
'bai'shi'hao'hao 白石皓皓
'bai'shi'lin'lin 白石粼粼
'bai'shi'ying'zhi 百室盈止
'bai'shi'zao'zao 白石凿凿
'bai'sui'zhi'hou 百岁之后
'bai'zhou 柏舟
'ban'huan'er'you'yi 伴奐尔游矣
'ban'you'qi 阪有漆
'ban'you'sang 阪有桑
'bang'guo'ruo'fou 邦国若否
'bang'guo'shi'you 邦国是有
'bang'guo'tian'cui 邦国殄瘁
'bang'ji'qian'li 邦畿千里
'bang'jia'zhi'guang 邦家之光
'bang'jia'zhi'ji 邦家之基
