'ai'qin'jing'chang 爱亲敬长
'ai'yue'ren 爱曰仁
'ai'zeng'zhi'ke'qu'she 爱憎之可取舍
'ai'zhao'xi'zhi 爱朝夕炙
'an'chang'chu'shun 安常处顺
'an'lv 安虑
'an'lv'you'de 安虑有得
'an'ran'er'ri'zhang 暗然而日章
'ba'ben'sai'yuan 拔本塞源
'ba'shu 霸术
'bai'pi'qi'xing'zhi 百辟其刑之
'bai'sha'zai'ni 白沙在泥
'bai'shi 百世
'bai'shi'yi'si 百世以俟
'bai'shi'yi'si'sheng'ren 百世以俟圣人
'bai'shi'yi'si'sheng'ren'bu'huo 百世以俟圣人不惑
'bai'ti'cong'ling 百体从令
'bai'xing 百姓
'ban'xuan'ya'bi'er'xia'zheng'zhi 扳悬崖壁而下拯之
'bao'shen 保身
'bei'ni 背逆
'ben'mo 本末
'ben'ti 本体
'ben'wu'yi'ti 本吾一体
'ben'xin'zhi'ming 本心之明
'ben'ye 本也
'ben'zhu'shen 本诸身
'bi'ci'an'ran 彼此暗然
'bi'ci'xing'ji'min'ran 彼此形迹泯然
'bi'gu'jiang'yi'qi'ren 彼固将以欺人
'bi'gu'yi'wu'neng'zi'chu 彼固以无能自处
'bi'jiang'ce'ran'er'you'suo'bu'ren 必将恻然而有所不忍
'bi'qi'zhi'zhi'shang'wei'du'ye 必其志之尚未笃也
'bi'ren'zhi'jian 鄙人之见
'bi'wen'lie'jun'zhi'shi 比闻列郡之始
'bi'xia 陛下
'bi'xia'cong'ming'chao'jue 陛下聪明超绝
'bi'xia'shu'cong'er'wen'zhi 陛下孰从而闻之
'bi'xu 必须
'bi'ye'shi'wu'song 必也使无讼
'bi'yi'a'lou'ni'zhi'tu'sui'duo 彼依阿偻你之徒虽多
'bi'you'he'qi 必有和气
'bi'you'shi'yan 必有事焉
'bi'you'wan'rong 必有婉容
'bi'you'yu'se 必有愉色
'bi'yu'shi'xue'shi'qu'fu'wai'hao 必于始学时去夫外好
'bi'zhi'e'ji'er'bu'ke'she 必至恶积而不可赦
'bi'zhi'tui'chu'shan'lin'shi 比之退处山林时
'bi'zhong'xin'yi'de'zhi 必忠信以得之
'bian'dang'you'jin'bu'chu'yi 便当有进步处矣
'bian'ji'shi'xing'le 便即是行了
'bian'jiang'liu'yu'xin'lao'ri'zhuo'er'bu'zi'zhi'yi 便将流于心劳日拙而不自知矣
'bian'jie'guo'le'yi'sheng 便结果了一生
'bian'jie'ran'neng'ren'mo'de 便截然能忍默得
'bian'kuo'ran'neng'xiao'hua'de 便廓然能消化得
'bian'shi 便是
