'a'fu'ta'xing'kou'yan 阿弗它性口炎
'ai'qian'bing'bian 癌前病变
'ai'zi'bing 艾滋病
'ba'ya'jin'ji'zheng 拔牙禁忌症
'ba'ya'shi'ying'zheng 拔牙适应症
'bai'se'bing 白塞病
'bai'se'hai'mian'zhuang'ban'zhi 白色海绵状斑痣
'ban'hen'xing'lei'tian'pao'chuang 瘢痕性类天疱疮
'bei'jing'kou'qiang'yi'xue 北京口腔医学
'bei'shi'kou'chuang 贝氏口创
'bi'chun'nang'zhong 鼻唇囊肿
'bi'e'nang'zhong 鼻腭囊肿
'bi'gu'gu'zhe 鼻骨骨折
'bi'zhong'du 铋中毒
'bian'ping'tai'xian'xuan 扁平苔藓癣
'bian'yuan'xing'he'gu'gu'sui'yan 边缘性颌骨骨髓炎
'biao'mian'ma'zui 表面麻醉
'bu'fen'guan 部分冠
'bu'ge'zhong'que'sun'he'que'shi'de'ke'xue 部各种缺损和缺失的科学
'bu'jie'xing'yin'yan 不洁性龈炎
'chao'wei'jie'gou 超微结构
'chu'dai 初戴
'chuang'shang'dan'dao 创伤弹道
'chuang'shang'xing'kui'yang 创伤性溃疡
'chuang'shang'xing'xue'pao'ji'kui'yang 创伤性血疱及溃疡
'chun'ai 唇癌
'chun'e'lie 唇腭裂
'chun'she'xi'dai'xiu'zheng'shu 唇舌系带修整术
'chun'yan 唇炎
'ci'rong'fu'jin'shu'quan'guan 瓷熔附金属全冠
'da'lun'ding'xing'ya'yin'zeng'sheng 大仑丁性牙龈增生
'dai'ya'xu'zhi 戴牙须知
'dai'zhuang'pao'zhen 带状疱疹
'dan'chun'pao'zhen'bing'du 单纯疱疹病毒
'dan'he'quan'kou'yi'chi 单颌全口义齿
'di'tu'she 地图舌
'duo'xing'shen'chu'xing'hong'zhong 多形渗出性红肿
'e'xing'duo'xing'xing'xian'liu 恶性多形性腺瘤
'er'tong'ya'wai'shang 儿童牙外伤
'er'tong'ya'zhou'zu'zhi'bing 儿童牙周组织病
'fang'she'xing'gu'huai'si 放射性骨坏死
'fang'she'xing'kou'yan 放射性口炎
'fu'fa'huai'si'xing'nian'ye'xian'zhou'wei'yan 复发坏死性粘液腺周围炎
'fu'fa'xing'kou'chuang 复发性口疮
'fu'gai'quan'kou'yi'chi 覆盖全口义齿
'fu'ya'zheng 氟牙症
'fu'zhen 复诊
'gai'sui'shu 盖髓术
'gan'cao'zheng 干槽症
'gan'sui'shu 干髓术
'gen'guan'zhi'liao'shu 根管治疗术
'gen'jian'nang'zhong 根尖囊肿
'gen'jian'qie'chu'shu 根尖切除术
'gen'jian'you'dao'cheng'xing'shu 根尖诱导成形术
'gen'jian'zhou'bing 根尖周病
'gen'jian'zhou'yan 根尖周炎
'gong'zhong'du 汞中毒
'gou'wen'she 沟纹舌
'gu'ding'ke'zhai'lian'he'yi'chi 固定可摘联合义齿
'gu'ding'yi'chi 固定义齿
'gu'long'tu'xiu'zheng'shu 骨隆突修整术
'gu'wei'ti 固位体
'gu'wei'wen'ding'yuan'li 固位稳定原理
'gu'xian'wei'yi'chang'zeng'zhi'zheng 骨纤维异常增殖症
'gu'you'ceng 固有层
'gu'zhe'yu'he'de'ji'li 骨折愈合的机理
'gu'zhe'yu'he'de'te'dian 骨折愈合的特点
'guan'jie'wai'qiang'zhi 关节外强直
'guan'zhou'yan 冠周炎
'guan'zhu'mo'xing 灌注模型
'guo'ji'kou'qiang'yi'xue'za'zhi 国际口腔医学杂志
'guo'wai'yi'xue'kou'qiang'yi'xue'fen'ce 国外医学口腔医学分册
'han'jie'ji'shu 焊接技术
'he'gu'jie'he'mei'du 颌骨结核梅毒
'he'gu'yu'ji'xing 颌骨育畸形
'he'li'de'pai'ya'you'li'yu'gu'wei'de'xing'tai 合理的排牙有利于固位的形态
'he'mian'bu'fang'xian'jun'bing 颌面部放线菌病
'he'mian'bu'huo'qi'shang'de'zhi'shang'yin'su 颌面部火器伤的致伤因素
'he'mian'bu'jian'xi'gan'ran 颌面部间隙感染
'he'mian'bu'que'sun'xiu'fu 颌面部缺损修复
'he'mian'bu'zheng'fu'shou'shu 颌面部整复手术
'he'wei'guan'xi'de'ji'lu 颌位关系的记录
'he'wei'guan'xi'de'zhuan'yi 颌位关系的转移
'he'xia'xian 颌下腺
'he'zhou'jian'xi'gan'ran 颌周间隙感染
'hua'nong'xing'gen'jian'zhou'yan 化脓性根尖周炎
'hua'nong'xing'he'gu'gu'sui'yan 化脓性颌骨骨髓炎
'hua'xi'kou'qiang'yi'xue'za'zhi 华西口腔医学杂志
