'a'mi'tuo'fo'chun 阿弥驼佛纯
'an'jing'cong'xin'qi 安静从心起
'an'le'ye'ru'shi 安乐也如是
'ba'feng'ren'chui'dong 八风任吹动
'ba'wan'zong'chi'men 八万总持门
'ba'yue'gui'hua'ceng'ceng'kai 八月桂花层层开
'bai'yun'gao'fei'dan'ding'he 白云高飞丹顶鹤
'bai'yun'rao'shan'niao'zi'fei 白云绕山鸟自飞
'bai'zhuan'qian'hui'he'ren'jie 百转千回何人解
'bei'ji'si'liang'xin'wu'bian 北极思量心无边
'bi'shui'wei'lan'lian'jiu'tian 碧水微澜连九天
'bian'shi'fei'xiu'xing 便是非修行
'bian'zhao'hong'chen'san'da'qian 遍照红尘三大千
'bian'zhi'ni'wo'ben'lai'tong 便知你我本来同
'bing'ku'ye'ru'shi 病苦也如是
'bu'chu'qian'nian'an 不除千年暗
'bu'fu'fo'tuo'dang'nian'zou 不负佛陀当年走
'bu'fu'qian'jie'ci'ren'shen 不负千劫此人身
'bu'ji'mi'tuo'yi'sheng'jian 不及弥陀一声间
'bu'jian'wang'xie'dang'nian'hou 不见王谢当年侯
'bu'jian'yang'liu'chun'feng'du 不见杨柳春风度
'bu'lao'gong'li'bu'lao'shen 不劳功力不劳神
'bu'lao'tan'zhi'jian 不劳弹指间
'bu'pian'zhong'lai'zheng'zhong'qu 不偏中来正中去
'bu'shi'ben'lai'xin 不是本来心
'bu'xi'tian'peng'luo'fan'jian 不惜天篷落凡间
'bu'yin'chun'feng'you'zui'yi 不因春风有醉意
'bu'zai'you'yu'chu 不在犹豫处
'bu'zhi'yao'chi'luo'gan'lu 不知瑶池落甘露
'cao'cao'za'za'cao'mei'bing 嘈嘈杂杂草莓饼
'cao'se'yi'jing'lv'qian'jia 草色已经绿千家
'cao'yi'shi'jie'ye'ru'ci 草蚁世界也如此
'chang'jian'chun'feng'qing'qing'qu 常见春风轻轻去
'chang'si'chun'se'wu'bian'zai 常思春色无边在
'chang'xiang'wu'bian'jue'you'qing 畅想无边觉有情
'chang'ye'jiang'jin'lu'jian'yuan 长夜将尽路渐远
'chen'zhong'ming'qian'li 晨钟鸣千里
'cheng'feng'po'lang'dai'chun'zhi 乘风破浪待春知
'cheng'fo'zuo'zu'yin 成佛作祖因
