'ai'er'bu'neng'ling 爱而不能令
'ai'min'ke'fan 爱民可烦
'an'du'chen'cang 暗渡陈仓
'an'neng'dong'zhi 安能动之
'an'ze'jing 安则静
'ba'ren'zhi'cheng'er'fei'gong'ye 拔人之城而非攻也
'ba'zhe 拔者
'bai'bing'ruo'yi'zhu'cheng'yi 败兵若以铢称镒
'bai'bing'xian'zhan'er'hou'qiu'sheng 败兵先战而后求胜
'bai'li'er'zheng'li 百里而争利
'bai'xing'zhi'fei 百姓之费
'bai'zhan 百战
'bai'zhan'ji 败战计
'bai'zhi'dao'ye 败之道也
'bao'li'zi'sui 暴戾恣睢
'bao'neng'ji'zhi 饱能饥之
'bei'cheng'yi'duo'zhe 背城邑多者
'bei'er'hou'dong 备而后动
'bei'er'jiao'zhi 卑而骄之
'bei'hou'ze'qian'gua 备后则前寡
'bei'qiu'wu'ni 背丘勿逆
'bei'ren'zhe'ye'zhong'zhe 备人者也众者
'bei'you'ze'zuo 备右则左
'bei'ze'fen'zhi 倍则分之
'bei'zhe'duo 备者多
'bei'zhou'ze'yi'dai 备周则意怠
'bei'zuo'ze'you'gua 备左则右寡
'ben'zou'er'chen'bing'zhe 奔走而陈兵者
'bi'chu 彼出
'bi'chu'qi'yang'er'you'bei'zhi 必处其阳而右背之
'bi'de'yi'li'zhe 彼得亦利者
'bi'gua'ke'yi'ji'wu'zhi'zhong'zhe 彼寡可以击吾之众者
'bi'ji'qu'zhi 必亟去之
'bi'ji'ru'zhi 必亟入之
'bi'jin'cha'zhi 必谨察之
'bi'jin'fu'suo'zhi 必谨覆索之
'bi'jiu'ye'wo'bu'yu'zhan 必救也我不欲战
'bi'ju'gao'yang 必居高阳
'bi'ke'yi 彼可以
'bi'ke'yi'lai'zhe 彼可以来者
'bi'qi'rui 避其锐
'bi'qin 必擒
'bi'sheng'ke'lu 必生可虏
'bi'si'ke'sha 必死可杀
'bi'yi 必依
'bi'yi'quan'zheng'yu'tian'xia 必以全争于天下
'bi'yi'wu'wei 必以五危
'bi'yin'wu'huo'zhi'bian 必因五火之变
'bi'ying'zhi'yi'dai'di 必盈之以待敌
'bi'za'yu'li'hai 必杂于利害
'bi'ze'fan'bing 逼则反兵
'bi'zhan'ke'ye'zhan'dao'bu'sheng 必战可也战道不胜
