'an'jian'dang'shi'ren 案件当事人
'an'yao'qiu'jin'xing'diao'cha'chu'li 按要求进行调查处理
'an'yi'tian'ji'suan 按一天计算
'an'zhao'ben'tiao'li 按照本条例
'an'zhao'deng'ji'de'ye'wu'fan'wei 按照登记的业务范围
'an'zhao'guo'jia'gui'ding 按照国家规定
'an'zhao'qi'yi'tu 按照其意图
'ban'an'ji'guan 办案机关
'ban'an'ji'guan'cha'xun 办案机关查询
'ban'an'ji'guan'yi'chu'ju 办案机关以出具
'ban'an'ji'guan'ying'dang'jiang 办案机关应当将
'bao'chi'fa'ding'deng'ji'tiao'jian'de 保持法定登记条件的
'bao'cun'zhuang'kuang 保存状况
'bao'guan 保管
'bao'guan'jian'ding'dang'an'chao'guo'shi'nian'de 保管鉴定档案超过十年的
'bao'shou'zai'zhi'ye'huo'dong'zhong 保守在执业活动中
'bao'xian'gong'si 保险公司
'bao'zhang'si'fa'jian'ding'guan'li 保障司法鉴定管理
'bao'zheng'ke'zhui'su'xing 保证可追溯性
'bei'an 备案
'bei'diao'xiao'guo 被吊销过
'bei'jian'ding'ren'ju'bu'pei'he 被鉴定人拒不配合
'bei'zhu'xiao'deng'ji'de 被注销登记的
'ben'ji'gou'fu'ze'ren 本机构负责人
'ben'ji'gou'huo'zhe'she'li'zu'zhi 本机构或者设立组织
'ben'ji'gou'ji'shu'tiao'jian 本机构技术条件
'ben'ren'huo'zhe'qi'jin'qin'shu 本人或者其近亲属
'ben'ren'shi'dang'shi'ren 本人是当事人
'ben'sheng'tui'guang'ying'yong 本省推广应用
'ben'sheng'xing'zheng'qu'yu'nei 本省行政区域内
'ben'tiao'li'di'er'shi'yi'tiao 本条例第二十一条
'ben'tiao'li'shi'yong'yu 本条例适用于
'ben'tiao'li'suo'cheng 本条例所称
'ben'tiao'li'zi'nian 本条例自年
'bi'xu'dao'xian'chang 必须到现场
'bi'yao'de'zai'tu'shi'jian 必要的在途时间
'bi'yao'shi 必要时
'bian'geng'deng'ji'shi'xiang 变更登记事项
'bian'hu'ren 辩护人
'bian'hu'ren'cha'yue 辩护人查阅
'bian'zhi'ben'sheng 编制本省
'bian'zhi'ming'ce'zhong'de 编制名册中的
'biao'ge'bu'qing'xi'de 表格不清晰的
'biao'zhun'wen'shu'ge'shi 标准文书格式
'bing'an'shi'wan'cheng 并按时完成
'bing'an'zhao'gui'ding'de'shi'xian 并按照规定的时限
'bing'an'zhao'wei'tuo'yue'ding 并按照委托约定
'bing'bao'gao'di'ji'yi'shang'shi 并报告地级以上市
'bing'bao'zheng'sheng'wu'jian'cai 并保证生物检材
'bing'cai'qu'bi'yao'bu'jiu'cuo'shi 并采取必要补救措施
'bing'chu'wu'wan'yuan'yi'shang 并处五万元以上
'bing'chu'yi'wan'yuan'yi'shang 并处一万元以上
'bing'da'fu'tou'su'ren 并答复投诉人
'bing'dui'ben'ji'gou'ren'yuan 并对本机构人员
'bing'dui'jian'ding'cai'liao'de 并对鉴定材料的
'bing'ji'shi'geng'xin 并及时更新
'bing'ji'yu'si'fa'jian'ding'ren 并给予司法鉴定人
'bing'jiang'kao'he'ping'jia'jie'guo 并将考核评价结果
'bing'ling'xing'zhi'ding'fu'he'tiao'jian'de 并另行指定符合条件的
'bing'shu'mian'shuo'ming'li'you 并书面说明理由
'bing'ti'gong'you'guan'cai'liao 并提供有关材料
'bing'tui'huan'jian'ding'cai'liao 并退还鉴定材料
'bing'xiang'she'hui'gong'bu 并向社会公布
'bing'xiang'wei'tuo'ren'chu'ju 并向委托人出具
'bing'yi'fa'ban'li'deng'ji 并依法办理登记
'bing'zai'feng'kou'chu 并在封口处
'bing'zai'gui'ding'de'shi'xian'nei 并在规定的时限内
'bing'zheng'de'qi'shu'mian'tong'yi 并征得其书面同意
'bing'zi'zuo'chu'zhun'yu 并自作出准予
'bu'an'gui'ding'gui'dang 不按规定归档
'bu'chong'jian'ding'de'qing'xing 补充鉴定的情形
'bu'chong'jian'ding'shi 补充鉴定是
'bu'de'gai'bian 不得改变
'bu'de'gan'she 不得干涉
'bu'de'jiang'yi'jie'shou'wei'tuo'de 不得将已接受委托的
'bu'de'jie'shou'chong'xin'jian'ding'wei'tuo 不得接受重新鉴定委托
'bu'de'jie'shou'wei'tuo 不得接受委托
'bu'de'ju'wei'ji'you 不得据为己有
'bu'de'kai'zhan'zhi'ye'huo'dong 不得开展执业活动
'bu'de'kai'zhan'zhi'ye'huo'dong'qi'jian 不得开展执业活动期间
'bu'de'si'zi'jie'shou'wei'tuo 不得私自接受委托
'bu'de'tu'gai 不得涂改
'bu'de'zhi'jie'ti'xian 不得直接体现
'bu'fu'he'zhi'zuo'yao'qiu'de 不符合制作要求的
'bu'ji'ru'shen'he'shi'xian 不计入审核时限
'bu'jie'shou'wei'tuo'de 不接受委托的
'bu'yu'deng'ji 不予登记
'bu'yu'shou'li 不予受理
'bu'zai'fu'he'deng'ji'tiao'jian'de 不再符合登记条件的
'bu'zheng'dang'shou'duan'zhao'lan'ye'wu'de 不正当手段招揽业务的
'bu'zheng'ying'dang'zai 补正应当在
'cai'liao'jiao'jie'ping'zheng 材料交接凭证
'cai'wu'guan'li 财务管理
'cai'zheng 财政
'can'jia'guo'tong'yi'jian'ding'shi'xiang'de 参加过同一鉴定事项的
'can'kao'yi'ju 参考依据
'can'zhao'guo'jia'ji'guan 参照国家机关
'ce'shi 测试
'ce'shi'jie'guo 测试结果
'ce'shi'suo'xu'shi'jian 测试所需时间
'chai'lv'fei'biao'zhun'zhi'xing 差旅费标准执行
'chao'chu'deng'ji'de'zhi'ye'fan'wei 超出登记的执业范围
'chao'chu'ye'wu'fan'wei'de 超出业务范围的
'che'xiao'jian'ding'wei'tuo'de 撤销鉴定委托的
'chen'shu'shen'bian'li'you'bu'cheng'li'de 陈述申辩理由不成立的
'cheng'ji'qi'quan'li'yi'wu'de 承继其权利义务的
'cheng'xin'ping'jia 诚信评价
'cheng'xin'ping'jia'zhi'du 诚信评价制度
'cheng'xu'deng 程序等
'cheng'xu'yao'qiu 程序要求
'chong'fen'de'jian'ding'cai'liao 充分的鉴定材料
'chong'xin'jian'ding'wei'tuo 重新鉴定委托
'chu'fa'de 处罚的
'chu'jie 出借
'chu'li'she'ji'ben'ji'gou'de 处理涉及本机构的
'chu'sheng'yi'xue'zheng'ming'qian'fa'ji'gou 出生医学证明签发机构
'chu'ting'shi'jian'bu'zu'yi'tian'de 出庭时间不足一天的
'chu'ting'zuo'zheng 出庭作证
'chu'ting'zuo'zheng'fei'yong'biao'zhun 出庭作证费用标准
'chu'xian'ben'tiao'li 出现本条例
'chu'yue'ding'tui'huan 除约定退还
'chu'zi'ren 出资人
'chu'zu 出租
'cong'ren'ti'ti'qu'sheng'wu'jian'cai'de 从人体提取生物检材的
'cong'shi'jian'ding'ye'wu'de 从事鉴定业务的
'cong'shi'si'fa'jian'ding'ye'wu 从事司法鉴定业务
'cun'ru'jian'ding'dang'an 存入鉴定档案
'dan'ren'guo'ben'an'pei'shen'yuan 担任过本案陪审员
'dan'shi'bu'de'shi'shi 但是不得实施
'dan'shi'bu'fu'he 但是不符合
'dan'shi'bu'ying'xiang'jian'ding'yi'jian'de 但是不影响鉴定意见的
'dan'shi'ying'dang'ling'xing'zhi'ding 但是应当另行指定
'dang'an'guan'li 档案管理
'dang'shi'ren 当事人
'dang'shi'ren'bu'de'ming'shi 当事人不得明示
'dang'shi'ren'ju'jue'zhi'fu 当事人拒绝支付
'dang'shi'ren'yu'fu 当事人预付
'dao'mai 倒卖
'dao'zhi'si'fa'jian'ding'ren 导致司法鉴定人
'de'ren'shen'an'quan 的人身安全
'de'zhu'suo 的住所
'deng'hou'qu'deng 等候区等
'deng'ji'de'zhi'ye'chang'suo'nei'shi'shi 登记的执业场所内实施
'deng'ji'guan'li 登记管理
'deng'ji'guan'li'shi'shi'xi'ze 登记管理实施细则
'deng'ji'jue'ding'zhi'ri'qi 登记决定之日起
'deng'ji'shi'xiang 登记事项
'deng'ji'shi'xiang'fa'sheng'bian'hua 登记事项发生变化
'deng'jin'xing'shen'he 等进行审核
'deng'te'shu'yuan'yin'de 等特殊原因的
'deng'you'guan'fa'lv 等有关法律
'di'ba'tiao 第八条
'di'er'shi'ba'tiao 第二十八条
'di'er'shi'er'tiao 第二十二条
'di'er'shi'er'tiao'suo'lie'qing'xing 第二十二条所列情形
'di'er'shi'jiu'tiao 第二十九条
'di'er'shi'jiu'tiao'di'yi'xiang 第二十九条第一项
'di'er'shi'liu'tiao 第二十六条
'di'er'shi'qi'tiao 第二十七条
'di'er'shi'san'tiao 第二十三条
'di'er'shi'si'tiao 第二十四条
'di'er'shi'tiao 第二十条
'di'er'shi'wu'tiao 第二十五条
'di'er'shi'yi'tiao 第二十一条
'di'er'tiao 第二条
'di'er'xiang 第二项
'di'er'zhang 第二章
'di'hui'qi'ta'tong'hang'ye'ji'gou 诋毁其他同行业机构
'di'ji'yi'shang'shi 地级以上市
'di'ji'yi'shang'shi'ren'min'zheng'fu 地级以上市人民政府
'di'jiu'tiao 第九条
'di'jiu'tiao'gui'ding'de 第九条规定的
'di'liu'shi'ba'tiao 第六十八条
'di'liu'shi'er'tiao 第六十二条
'di'liu'shi'jiu'tiao 第六十九条
'di'liu'shi'liu'tiao 第六十六条
'di'liu'shi'qi'tiao 第六十七条
'di'liu'shi'san'tiao 第六十三条
'di'liu'shi'si'tiao 第六十四条
'di'liu'shi'tiao 第六十条
'di'liu'shi'wu'tiao 第六十五条
'di'liu'shi'yi'tiao 第六十一条
'di'liu'tiao 第六条
'di'liu'zhang'fu'ze 第六章附则
'di'qi'shi'tiao 第七十条
'di'qi'shi'yi'tiao 第七十一条
'di'qi'tiao 第七条
'di'san'shi'ba'tiao 第三十八条
'di'san'shi'er'tiao 第三十二条
'di'san'shi'jiu'tiao 第三十九条
'di'san'shi'liu'tiao 第三十六条
'di'san'shi'qi'tiao 第三十七条
'di'san'shi'san'tiao 第三十三条
'di'san'shi'san'tiao'di'yi'kuan'di'si'xiang'de 第三十三条第一款第四项的
'di'san'shi'si'tiao 第三十四条
'di'san'shi'tiao 第三十条
'di'san'shi'wu'tiao 第三十五条
'di'san'shi'yi'tiao 第三十一条
'di'san'tiao 第三条
'di'san'zhang'jian'ding'cheng'xu 第三章鉴定程序
'di'shi'ba'tiao 第十八条
'di'shi'ba'tiao'gui'ding'zhi'xing 第十八条规定执行
'di'shi'er'tiao 第十二条
'di'shi'jiu'tiao 第十九条
'di'shi'liu'tiao 第十六条
'di'shi'qi'tiao 第十七条
'di'shi'qi'tiao'di'yi'xiang 第十七条第一项
'di'shi'san'tiao 第十三条
'di'shi'si'tiao 第十四条
'di'shi'tiao 第十条
'di'shi'tiao'gui'ding'de'tiao'jian 第十条规定的条件
'di'shi'wu'tiao 第十五条
'di'shi'yi'tiao 第十一条
'di'si'shi'ba'tiao 第四十八条
'di'si'shi'er'tiao 第四十二条
'di'si'shi'jiu'tiao 第四十九条
'di'si'shi'liu'tiao 第四十六条
'di'si'shi'qi'tiao 第四十七条
'di'si'shi'san'tiao 第四十三条
'di'si'shi'si'tiao 第四十四条
'di'si'shi'tiao 第四十条
'di'si'shi'wu'tiao 第四十五条
'di'si'shi'yi'ci'hui'yi 第四十一次会议
'di'si'shi'yi'tiao 第四十一条
'di'si'tiao 第四条
'di'si'zhang'jian'du'guan'li 第四章监督管理
'di'wu'shi'ba'tiao 第五十八条
'di'wu'shi'er'tiao 第五十二条
'di'wu'shi'jiu'tiao 第五十九条
'di'wu'shi'liu'tiao 第五十六条
'di'wu'shi'qi'tiao 第五十七条
'di'wu'shi'san'tiao 第五十三条
'di'wu'shi'si'tiao 第五十四条
'di'wu'shi'tiao 第五十条
'di'wu'shi'wu'tiao 第五十五条
'di'wu'shi'yi'tiao 第五十一条
'di'wu'tiao 第五条
'di'wu'xiang'qing'xing'de 第五项情形的
'di'wu'zhang'fa'lv'ze'ren 第五章法律责任
'di'yi'tiao 第一条
'di'yi'zhang'zong'ze 第一章总则
'dian'zi'jian'ding'yi'jian'shu 电子鉴定意见书
'ding'qi'zu'zhi'dui 定期组织对
'dui'ban'an'ji'guan'shi'fou'cai'xin 对办案机关是否采信
'dui'bu'fu'he'tiao'jian'de 对不符合条件的
'dui'fa'ren'huo'zhe'qi'ta'zu'zhi 对法人或者其他组织
'dui'fu'he'tiao'jian'de 对符合条件的
'dui'ge'ren'bing'chu 对个人并处
'dui'jian'ding'cai'liao'jin'xing'feng'zhuang 对鉴定材料进行封装
'dui'jian'ding'dang'an'shi'xing 对鉴定档案实行
'dui'jian'ding'de'wei'tuo'ren 对鉴定的委托人
'dui'jian'ding'yi'jian'shu 对鉴定意见书
'dui'jian'ding'yi'jian'you'bu'tong'yi'jian'de 对鉴定意见有不同意见的
'dui'jian'ding'yi'jian'you'yi'yi 对鉴定意见有异议
'dui'ni'zhi'ye'ren'yuan 对拟执业人员
'dui'she'xian'wei'fa'de 对涉嫌违法的
'dui'si'fa'jian'ding'cheng'xu'gui'ze 对司法鉴定程序规则
'dui'si'fa'jian'ding'ji'gou 对司法鉴定机构
'dui'tong'yi'jian'ding'shi'xiang 对同一鉴定事项
'dui'wai'fu'wu'qu'yu 对外服务区域
'dui'wei'fan'hang'ye'zi'lv'gui'fan'de 对违反行业自律规范的
'dui'yu'fu'za 对于复杂
'dui'yu'jing'ji'que'you'kun'nan 对于经济确有困难
'dui'zhi'ye'chang'suo 对执业场所
'duo'fang'gong'tong'wei'tuo'de 多方共同委托的
'duo'ren'can'jia'de'jian'ding 多人参加的鉴定
'duo'shu'zhuan'jia'ren'ke'de 多数专家认可的
'e'yi'di'hui'qi'ta'tong'hang'ye 恶意诋毁其他同行业
'er'ming'yi'shang'si'fa'jian'ding'ren 二名以上司法鉴定人
'er'shi'ge'gong'zuo'ri'nei 二十个工作日内
'fa'gui 法规
'fa'gui'deng'gui'ding'de'qing'kuang 法规等规定的情况
'fa'gui'deng'gui'ding'de'shi'xian 法规等规定的时限
'fa'gui'gui'ding'de 法规规定的
'fa'gui'he'she'hui'gong'de 法规和社会公德
'fa'gui'ling'you'gui'ding'de'chu'wai 法规另有规定的除外
'fa'lv 法律
'fa'lv'yuan'zhu'tiao'jian'de'gong'min 法律援助条件的公民
'fa'ren'huo'zhe'qi'ta'zu'zhi 法人或者其他组织
