'an'wu'zhi 暗物质
'an'wu'zhi'gai 暗物质改
'an'ying'cai'jue 暗影裁决
'an'ying'wei'dian 暗影伪典
'an'ying'zhi'mao 暗影之矛
'bing'lan'chong'ji 冰蓝冲击
'bing'lan'zhi'lei 冰蓝之泪
'bing'yu'han'lan 冰狱寒岚
'bing'yu'ming'hao 冰狱冥嚎
'bing'zhi'chui 冰之锤
'cang'bai'di'yu 苍白地狱
'chen'mo'shi'zi 沉默十字
'chi'hong'she'xian 赤红射线
'chi'tian'shi'zhi'huan 炽天使之环
'chi'yan'di'yu 炽炎地狱
'chun'jing'hu'guang 纯净弧光
'ci'yuan'shang'sheng 次元上升
'da'di'beng'lie 大地崩裂
'da'di'hui'mie 大地毁灭
'da'di'zhi'mao 大地之矛
'da'di'zhi'qiang 大地之墙
'da'di'zhi'qiang 大地之枪
'da'di'zhi'yu 大地之愈
'da'di'zhi'yu 大地治愈
'da'di'zhi'zhang 大地之障
'da'hai'xiao 大海啸
'da'hui'fu'shu 大回复术
'da'hui'fu'shu'fu 大回复术复
'da'zai'bian 大灾变
'da'zhi'yu'shu 大治愈术
'dao'li'ting'zhi 导力停止
'deng'li'zi'zhi'bo 等离子之波
'di'mai'zhen'dang 地脉振荡
'di'yu'zhi'men 地狱之门
'di'zhen'bo 地震波
'dian'liu'zhi'shi 电流之矢
'duo'luo'shen'yuan 堕落深渊
'duo'tian'shi'an'yi 堕天使暗翼
'e'mo'zhi'lian 恶魔之镰
'e'yun'zhi'die 厄运之蝶
'fan'mo'fa'ling'yu 反魔法领域
'fan'mo'fa'ling'yu'fu 反魔法领域复
'fan'she'ping'zhang 反射屏障
'feng'bao'jiang'lin 风暴降临
'feng'mo'ling'yu 封魔领域
'feng'zhi'chuan'suo 风之穿梭
'feng'zhi'jing'ling 风之精灵
'feng'zhi'lian 风之镰
'feng'zhi'ling'yu 风之领域
'feng'zhi'lun 风之轮
'feng'zhi'qiang 风之枪
'feng'zhi'shou'hu 风之守护
'feng'zhi'yu'yi 风之羽翼
'fu'su'shu 复苏术
'gai'ya'zhi'dun 盖亚之盾
'gao'ya'shui'kuai 高压水块
'gen'yuan'ping'zhang 根源屏障
'guang'zi'fei'she 光子飞射
'gui'mei'zhi'tong 鬼魅之痛
'han'shuang'zhi'ren 寒霜之刃
'hu'guang'xiao'hao 弧光消耗
'hu'xing'ri'er 弧形日珥
'huan'yin'fang'zhou'pao 幻银方舟炮
'huan'ying'zhi'ta 幻影之塔
'huang'jin'qiu 黄金球
'huang'lan'zhi'qiang 荒岚之枪
'hui'fu'shu 回复术
'hui'fu'shu'fu 回复术复
'hun'dun'lao'yin 混沌烙印
'huo'shan'dan'yu 火山弹雨
'huo'shan'pao'xiao 火山咆哮
'huo'yan'jian 火焰箭
'huo'yan'zhi'she 火焰之舌
'huo'zhi'shi 火之矢
'huo'zhi'shi'gai 火之矢改
'jian'ren'shou'hu 坚韧守护
'jiao'yue'zhi'guang 皎月之光
'jie'jing'fang'hu 结晶防护
'jie'jing'fang'hu'fu 结晶防护复
'jin'yao'hui'huan 金耀辉环
'jing'ling'zhi'ge 精灵之歌
'ju'shen'nu'zhen 巨神怒震
'kong'zhi'ling'yu 空之领域
'kuang'bao'ju'feng 狂暴飓风
'kuang'luan'zhi'yue 狂乱之月
'kuang'nu'feng'bao 狂怒风暴
'lei'dian'ji 雷电击
'lei'guang'long'juan 雷光龙卷
'lian'yu'zhi'zhu 炼狱之主
'long'huang'lian'yu'huo 龙皇炼狱火
'long'juan'huo'yan 龙卷火焰
'luo'xuan'ju'wo 螺旋巨涡
'luo'xuan'zhi'yan 螺旋之炎
'mei'ying'zhi'ju 魅影之惧
'mo'dao'zhu'fu 魔导祝福
'mo'ri'long'juan 末日龙卷
'mo'shi'bing'he 末世冰河
'ning'guang'huan'jian 凝光幻剑
'ning'jiao'chou'xu 凝胶稠絮
'po'sui'xu'kong 破碎虚空
'po'xie'zhi'yin 破邪之印
'qian'yang'xing'xing 千阳行星
'qiang'li'zhi'yin 强力之音
'qiang'li'zhi'yin'fu 强力之音复
'qing'bao'jie'xi 情报解析
'quan'hui'fu'shu 全回复术
'ran'dian'bao'lie 燃点爆裂
'rong'yan'zhi'xi 熔岩之息
'shan'dian'guang'shu 闪电光束
'shan'yao'tian'qi 闪耀天启
'shen'pan'lei'guang 审判雷光
'shen'sheng'zhu'fu 神圣祝福
'sheng'ling'shu 圣灵术
'sheng'ling'su'sheng 圣灵苏生
'sheng'ling'zhi'xi 圣灵之息
'sheng'ming'zhi'xi 生命之息
'shi'hua'zhi'xi 石化之息
'shi'jian'bao'fa 时间爆发
'shi'jian'jia'su 时间加速
'shi'jian'jia'su'gai 时间加速改
'shi'jian'jian'su 时间减速
'shi'jie'zhi'shu 世界之树
'shi'zhi'chui 石之锤
'shi'zhi'mang 石之芒
'shui'jing'hong'liu 水晶洪流
'shui'liu'hong'ji 水流轰击
'shui'zhi'huan'ying 水之幻影
'shui'zhi'shi 水之矢
'si'wang'luo'xuan 死亡螺旋
'si'wang'pao'xiao 死亡咆哮
'tai'tan'pao'xiao 泰坦咆哮
'tian'guo'zhi'men 天国之门
'tian'shen'zhi'chui 天神之锤
'tian'ying'zhi'yao 天鹰之耀
'xin'ling'zhi'xia 心灵之霞
