'bai'wan'zhi'zhong 百万之众
'bai'you'yu'nian'yi 百有余年矣
'bai'yue'zhi'jun 百越之君
'bao'ju'yu'nei 包举宇内
'bei'shou'yao'hai'zhi'jun 北收要害之郡
'bi'quan'liang'li 比权量力
'bing'tun'ba'huang'zhi'xin 并吞八荒之心
'bu'ai'zhen'qi'zhong'bao'fei'rao'zhi'di 不爱珍器重宝肥饶之地
'cai'neng'bu'ji'zhong'ren 才能不及中人
'chang'yi'shi'bei'zhi'di 尝以十倍之地
'chen'she'zhi'wei 陈涉之位
'chu'you'chun'shen 楚有春申
'chu'you'ji'jin 锄懮棘矜
'ci'si'jun'zhe 此四君者
'dang'ci'zhi'shi 当此之时
'dang'shi'shi'ye 当是时也
'dong'ge'gao'yu'zhi'di 东割膏腴之地
'er'jue'qi'qian'mo'zhi'zhong 而倔起阡陌之中
'er'qian'xi'zhi'tu'ye 而迁徙之徒也
'er'shou'fan'li 而守藩篱
'er'tian'xia'zhu'hou'yi'kun'yi 而天下诸侯已困矣
'fei'ji'xiang'shi'zhi'shi'ye 非及向时之士也
'fei'kang'yu'jiu'guo'zhi'shi'ye 非抗于九国之师也
'fei'kuo'yu'gou'ji'chang'sha'ye 非铦于钩戟长铩也
'fei'you'zhong'ni 非有仲尼
'fei'zun'yu 非尊于
'fen'bai'jia'zhi'yan 焚百家之言
'fen'lie'shan'he 分裂山河
'fen'liu'shi'zhi'yu'lie 奋六世之余烈
'fu'shi'bai'wan 伏尸百万
'fu'shou'xi'jing 俯首系颈
'gong'ye'xiang'fan 功业相反
'guo'jia'wu'shi 国家无事
'he'zong'di'jiao 合从缔交
'hu'ren'bu'gan'nan'xia'er'mu'ma 胡人不敢南下而牧马
'hui'meng'er'mou'ruo'qin 会盟而谋弱秦
'hui'ming'cheng 隳名城
'hui'wen'wu'zhao'xiang'meng'gu'ye 惠文武昭襄蒙故业
'ji'zhi'shi'huang 及至始皇
'jian'han'wei'yan'chu'qi 兼韩魏燕楚齐
'jiang'shu'bai'zhi'zhong 将数百之众
'jie'gan'wei'qi 揭竿为旗
'jie'ming'zhi'er'zhong'xin 皆明智而忠信
'jin'cheng'qian'li 金城千里
'jiu'guo'zhi'shi 九国之师
'ju'yi'zhang'zhi'cheng 据亿丈之城
'ju'zhi'xian'yang 聚之咸阳
'jun'chen'gu'shou'yi'kui'zhou'shi 君臣固守以窥周室
'kou'guan'er'gong'qin 叩关而攻秦
'kuan'hou'er'ai'ren 宽厚而爱人
'liang'jiang'jing'nu'shou'yao'hai'zhi'chu 良将劲弩守要害之处
'lin'bu'ce'zhi'yuan 临不测之渊
'liu'xue'piao'lu 流血漂橹
'lou'huan'zhai'jing'su'li'yue'yi 楼缓翟景苏厉乐毅
'lv'pi'bi'zhi'zu 率疲弊之卒
'lv'zhi'zun'er'zhi'lu'he 履至尊而制六合
'mang'li'zhi'ren 氓隶之人
'mo'di'zhi'xian 墨翟之贤
'nai'shi'meng'tian'bei'zhu'chang'cheng 乃使蒙恬北筑长城
'nan'qu'bai'yue'zhi'di 南取百越之地
'nan'qu'han'zhong 南取汉中
'nang'kuo'si'hai'zhi'yi 囊括四海之意
'nei'li'fa'du 内立法度
'nie'zu'hang'wu'zhi'jian 蹑足行伍之间
'qi'chu'yan'zhao'han'wei'song'wei'zhong'shan 齐楚燕赵韩魏宋卫中山
'qi'ming'zhou'zui'chen'zhen'zhao'hua 齐明周最陈轸召滑
'qi'you'meng'chang 齐有孟尝
'qiang'guo'qing'fu 强国请服
'qie'fu'tian'xia'fei'xiao'ruo'ye 且夫天下非小弱也
'qin'ren'gong'shou'er'qu'xi'he'zhi'wai 秦人拱手而取西河之外
'qin'ren'kai'guan'yan'di 秦人开关延敌
'qin'wang'ji'mei 秦王既没
'qin'wu'wang'shi'yi'zu'zhi'fei 秦无亡矢遗镞之费
'qin'xiao'gong'ju'xiao'han'zhi'gu 秦孝公据崤函之固
'qin'you'yu'li'er'zhi'qi'bi 秦有余力而制其弊
'que'xiong'nu'qi'bai'yu'li 却匈奴七百余里
'qun'xun'er'bu'gan'jin 逡巡而不敢进
'ran'chen'she'weng'you'sheng'shu'zhi'zi 然陈涉瓮牖绳枢之子
'ran'er'cheng'bai'yi'bian 然而成败异变
'ran'hou'jian'hua'wei'cheng 然后践华为城
'ran'hou'yi'lu'he'zhi'jia 然后以六合之家
'ran'qin'yi'qu'qu'zhi'di 然秦以区区之地
'ren'yi'bu'shi'er'gong'shou'zhi'shi'yi 仁义不施而攻守之势异
'ruo'guo'ru'chao 弱国入朝
'sha'hao'jie 杀豪杰
'shan'dong'hao'jun 山东豪俊
'shang'jun'zuo'zhi 商君佐之
'shen'mou'yuan'lv 深谋远虑
'shen'si'ren'shou 身死人手
'shi'bu'gan'wan'gong'er'bao'yuan 士不敢弯弓而报怨
'shi'huang'zhi'xin 始皇之心
'shi'shi'shan'dong'zhi'guo'yu'chen'she'duo'chang'xie'da 试使山东之国与陈涉度长絜大
'shou'tian'xia'zhi'bing 收天下之兵
'sui'bing'qi'er'wang'qin'zu'yi 遂并起而亡秦族矣
'tao'zhu'yi'dun'zhi'fu 陶朱猗顿之富
'tian'xia'yi'ding 天下已定
'tian'xia'yun'ji'xiang'ying 天下云集响应
'tong'qi'yi 通其意
'tun'er'zhou'er'wang'zhu'hou 吞二周而亡诸侯
'wai'lian'heng'er'dou'zhu'hou 外连衡而斗诸侯
'wang'liao'tian'ji'lian'po'zhao'she 王廖田忌廉颇赵奢
'wei'ming'xia'li 委命下吏
'wei'tian'xia'xiao'zhe 为天下笑者
'wei'you'xin'ling 魏有信陵
'wei'zhen'si'hai 威振四海
'wei'zhi'mou 为之谋
'wu'geng'zhi 务耕织
'wu'qi'sun'bin'dai'tuo'ni'liang 吴起孙膑带佗倪良
'xi'ju'ba'shu 西举巴蜀
'xiang'guo'zhi'ri'qian 享国之日浅
'xiang'yu'wei'yi 相与为一
'xiao'feng'di 销锋镝
'xiao'gong'ji'mei 孝公既没
'xiao'han'wei'gong 崤函为宫
'xiao'han'zhi'gu 崤函之固
'xin'chen'jing'zu'chen'li'bing'er'shui'he 信臣精卒陈利兵而谁何
'xing'jun'yong'bing'zhi'dao 行军用兵之道
'xiu'shou'zhan'zhi'ju 修守战之具
'xu'ba'zhou'er'chao'tong'lie 序八州而朝同列
'yan'ji'xiao'wen'wang'zhuang'xiang'wang 延及孝文王庄襄王
'yi'fu'zuo'nan'er'qi'miao'hui 一夫作难而七庙隳
'yi'ruo'tian'xia'zhi'min 以弱天下之民
'yi'wei'gu 以为固
'yi'wei'gui'lin'xiang'jun 以为桂林象郡
'yi'yu'qian'shou 以愚黔首
'yi'zhi'tian'xia'zhi'shi 以致天下之士
'yin'he'wei'chi 因河为池
'yin'li'cheng'bian 因利乘便
'yin'yi'ce 因遗策
'ying'liang'er'jing'cong 赢粮而景从
'yong'yong'zhou'zhi'di 拥雍州之地
'yong'zhou'zhi'di 雍州之地
'you'ning'yue'xu'shang'su'qin'du'he 有宁越徐尚苏秦杜赫
'you'xi'juan'tian'xia 有席卷天下
'yu'shi'cong'san'yue'bai 于是从散约败
'yu'shi'fei'xian'wang'zhi'dao 于是废先王之道
'yu'shi'liu'guo'zhi'shi 于是六国之士
'yu'wei'zhen'yu'shu'su 余威震于殊俗
'yue'cong'li'heng 约从离衡
'zai'ge'tian'xia 宰割天下
'ze'bu'ke'tong'nian'er'yu'yi 则不可同年而语矣
'zhan'mu'wei'bing 斩木为兵
'zhao'song'wei'zhong'shan'zhi'zhong 赵宋卫中山之众
'zhao'you'ping'yuan 赵有平原
'zhe'shu'zhi'zhong 谪戍之众
'zhen'chang'ce'er'yu'yu'nei 振长策而御宇内
'zheng'ge'di'er'lu'qin 争割地而赂秦
'zhi'qi'bing 制其兵
'zhi'qiao'pu'er'bian'chi'tian'xia 执敲扑而鞭笞天下
'zhi'wan'sheng'zhi'shi 致万乘之势
'zhu'hou'kong'ju 诸侯恐惧
'zhu'yi'wei'jin'ren'shi'er 铸以为金人十二
'zhuan'er'gong'qin 转而攻秦
'zhui'wang'zhu'bei 追亡逐北
'zi'ruo'ye 自若也
'zi'sun'di'wang'wan'shi'zhi'ye'ye 子孙帝王万世之业也
'zi'yi'wei'guan'zhong'zhi'gu 自以为关中之固
'zun'xian'er'zhong'shi 尊贤而重士
