'bai'sui'song 百岁松
'bai'yu'dian 白羽殿
'bei'mo'zhou 北漠洲
'bi'fu'wan 碧芙湾
'bi'luo 碧落
'bi'luo'jie 碧落界
'bi'luo'tan 碧螺坛
'bi'shan'lin 璧山林
'bi'tong'lin 碧桐林
'bi'xi'jie 碧犀街
'bi'xiang'cheng 碧象城
'bi'yun'ta 碧云踏
'bing'hu 冰湖
'bing'xu'fu 冰虚府
'bing'yu 冰狱
'bo'luo'mi'ta 波罗蜜塔
'bo're'si 般若寺
'bu'gui'yan 不归岩
'bu'si'shu 不死树
'chang'le'gong 长乐宫
'chang'ling'xian 长菱县
'chang'sheng 长生
'chang'sheng'jie 长生界
'chang'sheng'xian'lao 长生仙牢
'chao'mo'ling 朝魔岭
'chi'wu'ding 赤雾顶
'chi'yan 赤焱
'chi'yan'zhou 赤炎洲
'chong'hua'gong 崇华宫
'ci'an'gong 慈安宫
'da'yin 大殷
'di'chi'jie 帝赤街
'dong'huang'zhou 东皇洲
'dong'ting'fu 洞庭府
'dong'ting'xiang 洞庭乡
'dong'zhu'lin 东竹林
'fang'hui'yuan 芳徽苑
'fei'cui'hua'du 翡翠花都
'feng'lin'jiang 凤麟江
'feng'ling'du 风灵渡
'feng'yi'gong 凤仪宫
'fu'hua'chen'shi 浮华尘世
'fu'mo'tai 伏魔台
'fu'xi'lian 浮汐莲
'guan'xie 管协
'hai'luo'shan 海螺山
'hai'xi'gong 海汐宫
'hai'ying'cheng 海映城
'han'xiao'men 寒潇门
'hua'yan'yu'hai 花颜玉海
'hua'yin'gu 花音谷
'huo'yu 火狱
'jie'shan 戒山
'jin'dian'yin'pu 金典银谱
'jin'mi'sheng'jing 金弥圣境
'jin'xiu'yin'zhen'tang 金绣银针堂
'jin'yuan'cheng 金元城
'jing'shi'jing 净世井
'jiu'sheng'ju 九圣居
'jiu'tian'fu'di 九天福地
'jiu'tian'xuan'nv 九天玄女
'jiu'xu 旧墟
'ju'ling 聚灵
'ju'ling'jie 聚灵界
'ju'wu'chu 剧务处
'ju'yang'ling'tian 聚阳灵天
'ku'ye'ya 枯叶崖
'kun'lun'mi'jing 昆仑秘境
'lan'tang'jun 兰塘郡
'lan'yu 阑煜
'lang'huan'xian'qi 琅嬛仙栖
'li'bu 离部
'li'huang 离荒
'lian'yang'gu 炼阳谷
'lie'huo'cheng 烈火城
'lie'zhi 烈炙
'ling'tuo'jun 灵驼郡
'ling'xu'bao'di 灵虚宝地
'ling'yu 灵狱
'liu'mo'dao 六魔道
'long'dao 龙岛
'long'xiang'cheng 笼香城
'luo'yue'wu 落月坞
'lv'man'gu 绿蔓谷
'man'tuo 曼陀
'man'tuo'guo 曼陀国
'man'tuo'shan'zhuang 曼陀山庄
'meng'wu'shan 梦妩山
'mi'fang'jian 弭芳涧
'mi'li'tian 迷离天
'ming'yan'ju 溟烟聚
'mo'he'si 摩诃寺
'mo'jin 漠烬
