'ai'jiu 艾灸
'ai'sen'ke'ren'ge'ping'ding 艾森克人格评定
'ai'zheng'gao're'zhi'liao 癌症高热治疗
'an'mo'shou'fa'zhi'liao 按摩手法治疗
'an'qu'bing'sun'qie'chu'shu 鞍区病损切除术
'an'shi'ying'jian'cha 暗适应检查
'an'zhuang'ya'tuo 安装牙托
'ao'di'shi'kuo'yue'ji'kuo'zhang'shu 奥狄氏括约肌扩张术
'ao'di'shi'kuo'yue'ji'qie'kai'shu 奥狄氏括约肌切开术
'ba'jia'shu 拔甲术
'ba'ya'shu 拔牙术
'bai'nei'zhang'chao'sheng'ru'hua'chou'xi'shu 白内障超声乳化抽吸术
'bai'nei'zhang'nang'nei'zhai'chu'shu 白内障囊内摘除术
'bai'nei'zhang'nang'wai'zhai'chu'shu 白内障囊外摘除术
'bai'nei'zhang'qie'ge'xi'chu'shu 白内障切割吸出术
'bai'nei'zhang'zhen'xi'shu 白内障针吸术
'bai'xi'bao'zhi'liao'xing'qu'chu 白细胞治疗性去除
'ban'ce'gu'pen'qie'chu'shu 半侧骨盆切除术
'ban'ce'yan'mian'wei'suo'jiao'zheng'shu 半侧颜面萎缩矫正术
'ban'ceng'jiao'mo'cheng'xing'shu'ban'zi'ti'yi'zhi'wu 板层角膜成形术伴自体移植物
'ban'ceng'jiao'mo'yi'zhi'shu 板层角膜移植术
'ban'gui'guan'kai'chuang'shu 半规管开窗术
'ban'hen'song'jie'shu 瘢痕松解术
'ban'hou'qie'chu'shu 半喉切除术
'ban'yue'shen'jing'jie'qie'chu'shu 半月神经节切除术
'bao'pi'ban'hen'qie'chu'shu 包皮瘢痕切除术
'bao'pi'bing'sun'qie'chu'shu 包皮病损切除术
'bao'pi'huan'qie'shu 包皮环切术
'bao'pi'qie'kai'shu 包皮切开术
'bei'bu'chao'sheng'jian'cha 背部超声检查
'bei'bu'ji'rou'bing'sun'qie'chu'shu 背部肌肉病损切除术
'bei'kuo'ji'yi'zhi'shu 背阔肌移植术
'bei'zhuang'er'jiao'zheng'shu 杯状耳矫正术
'ben'men'bing'sun'qie'chu'shu 贲门病损切除术
'ben'men'bu'fen'qie'chu'ban'shi'guan'wei'wen'he'shu 贲门部分切除伴食管胃吻合术
'ben'men'zhou'wei'xue'guan'jie'za'shu 贲门周围血管结扎术
'bi'bu'fen'qie'chu'shu 鼻部分切除术
'bi'bu'pi'ban'bi'chong'jian'shu 臂部皮瓣鼻重建术
'bi'chong'jian'shu 鼻重建术
'bi'chun'bing'sun'qie'chu'shu 鼻唇病损切除术
'bi'chun'gou'cheng'xing'shu 鼻唇沟成形术
'bi'chun'lou'guan'qie'chu'shu 鼻唇瘘管切除术
'bi'chun'pi'ban'bi'cheng'xing'shu 鼻唇皮瓣鼻成形术
'bi'cong'shen'jing'shang'zhong'xia'gan'feng'he'shu 臂丛神经上中下干缝合术
'bi'cong'shen'jing'song'jie'shu 臂丛神经松解术
'bi'cong'shen'jing'tan'cha'shu 臂丛神经探查术
'bi'dao'chong'xi 鼻道冲洗
'bi'dian'ning'zhi'xue 鼻电凝止血
'bi'dou'cheng'xing'shu 鼻窦成形术
'bi'dou'chou'xi'he'guan'xi 鼻窦抽吸和灌洗
'bi'dou'gu'zhe'qie'kai'fu'wei'shu 鼻窦骨折切开复位术
'bi'dou'he'ci'gong'zhen'jian'cha 鼻窦核磁共振检查
'bi'dou'lou'xiu'bu'shu 鼻窦瘘修补术
'bi'dou'qie'kai'yi'wu'qu'chu'shu 鼻窦切开异物取出术
'bi'dou'tou'zhao 鼻窦透照
'bi'dou'zao'kou'shu 鼻窦造口术
'bi'dou'zao'ying 鼻窦造影
'bi'gong'neng'xing'jian'cha 鼻功能性检查
'bi'gu'gu'zhe'bi'he'fu'wei'shu 鼻骨骨折闭合复位术
'bi'gu'gu'zhe'qie'kai'fu'wei'shu 鼻骨骨折切开复位术
'bi'he'xing'lu'shen'jing'huo'zu'zhi'jian'cha 闭合性颅神经活组织检查
'bi'he'xing'xia'he'zhi'gu'cheng'xing'shu 闭合性下颌支骨成形术
'bi'he'xing'zhou'wei'shen'jing'huo'zu'zhi'jian'cha 闭合性周围神经活组织检查
'bi'huo'zu'zhi'jian'cha 鼻活组织检查
'bi'jia'bu'fen'qie'chu'shu 鼻甲部分切除术
'bi'jia'cheng'xing'shu 鼻甲成形术
'bi'jia'dian'shao'shu 鼻甲电烧术
'bi'jia'gu'zhe'shu 鼻甲骨折术
'bi'jia'ji'guang'shao'zhuo'shu 鼻甲激光烧灼术
'bi'jia'leng'dong'qie'chu'shu 鼻甲冷冻切除术
'bi'jia'she'pin'xiao'rong'shu 鼻甲射频消融术
'bi'jia'wei'bo'shao'zhuo'shu 鼻甲微波烧灼术
'bi'jia'zhi'an'zhuang 臂假肢安装
'bi'jia'zhi'zhuang'zhi'zhi'ru'shu 臂假肢装置置入术
'bi'jian'cheng'xing'shu 鼻尖成形术
'bi'kong'shan'xiu'bu'shu 闭孔疝修补术
'bi'kong'shen'jing'feng'he'shu 闭孔神经缝合术
'bi'kong'shen'jing'qie'duan'shu 闭孔神经切断术
'bi'kong'shen'jing'wen'he'shu 闭孔神经吻合术
'bi'lei'guan'cha'guan'shu 鼻泪管插管术
'bi'lei'guan'ji'guang'tan'tong'cha'guan'shu 鼻泪管激光探通插管术
'bi'lei'guan'kuo'zhang'mo'zhi'ru'shu 鼻泪管扩张模置入术
'bi'lei'guan'tan'tong'shu 鼻泪管探通术
'bi'leng'dong'zhi'xue 鼻冷冻止血
'bi'lie'shang'feng'he'shu 鼻裂伤缝合术
'bi'nei'bing'sun'ji'guang'shao'zhuo'shu 鼻内病损激光烧灼术
'bi'nei'bing'sun'qie'chu'shu 鼻内病损切除术
'bi'nei'jing'xia'jing'bi'xian'yang'ti'qie'chu'shu 鼻内镜下经鼻腺样体切除术
'bi'nei'jing'xia'xian'yang'ti'xiao'rong'shu 鼻内镜下腺样体消融术
'bi'nei'kui'jing'jian'cha 鼻内窥镜检查
'bi'nei'kui'jing'xia'bi'dou'huo'zu'zhi'jian'cha 鼻内窥镜下鼻窦活组织检查
'bi'nei'kui'jing'xia'bi'dou'jian'cha 鼻内窥镜下鼻窦检查
'bi'nei'kui'jing'xia'bi'jia'bu'fen'qie'chu'shu 鼻内窥镜下鼻甲部分切除术
'bi'nei'kui'jing'xia'bi'jia'cheng'xing'shu 鼻内窥镜下鼻甲成形术
'bi'nei'kui'jing'xia'bi'jia'qie'chu'shu 鼻内窥镜下鼻甲切除术
'bi'nei'kui'jing'xia'bi'lei'guan'wen'he'shu 鼻内窥镜下鼻泪管吻合术
'bi'nei'kui'jing'xia'bi'nei'bing'sun'qie'chu'shu 鼻内窥镜下鼻内病损切除术
'bi'nei'kui'jing'xia'bi'qiang'zhan'lian'song'jie'shu 鼻内窥镜下鼻腔粘连松解术
'bi'nei'kui'jing'xia'bi'wei'bo'shao'zhuo'zhi'xue'shu 鼻内窥镜下鼻微波烧灼止血术
'bi'nei'kui'jing'xia'bi'zhong'ge'cheng'xing'shu 鼻内窥镜下鼻中隔成形术
